col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BKSW
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BKSW
1,21-11-2025,63,63,62,63,767.000,48.321.000,1.61%,1.61%,0.00%,1.61%,0.00%,1.59%,BKSW
2,20-11-2025,62,63,62,62,1.011.900,62.737.800,0.00%,1.61%,0.00%,0.00%,1.61%,3.17%,BKSW
3,19-11-2025,62,63,61,62,2.573.300,159.544.600,0.00%,1.61%,-1.61%,0.00%,1.61%,1.59%,BKSW
4,18-11-2025,63,64,62,62,1.971.000,122.202.000,0.00%,1.59%,-1.59%,-1.59%,1.59%,3.13%,BKSW
5,17-11-2025,63,64,62,63,1.221.600,76.960.800,0.00%,1.59%,-1.59%,0.00%,1.59%,1.56%,BKSW
6,14-11-2025,64,64,63,63,1.722.900,108.542.700,0.00%,0.00%,-1.56%,-1.56%,0.00%,1.56%,BKSW
7,13-11-2025,63,64,63,64,2.096.400,134.169.600,0.00%,1.59%,0.00%,1.59%,1.59%,3.13%,BKSW
8,12-11-2025,63,64,62,63,1.670.400,105.235.200,0.00%,1.59%,-1.59%,0.00%,1.59%,1.56%,BKSW
9,11-11-2025,64,65,63,63,3.083.000,194.229.000,1.59%,3.17%,0.00%,0.00%,1.56%,3.08%,BKSW
10,10-11-2025,64,65,63,63,3.357.100,211.497.300,0.00%,1.56%,-1.56%,-1.56%,1.56%,4.62%,BKSW
11,07-11-2025,63,64,62,64,4.231.000,270.784.000,0.00%,1.59%,-1.59%,1.59%,1.59%,3.13%,BKSW
12,06-11-2025,63,64,62,63,4.302.700,271.070.100,0.00%,1.59%,-1.59%,0.00%,1.59%,3.13%,BKSW
13,05-11-2025,63,64,62,63,4.095.000,257.985.000,0.00%,1.59%,-1.59%,0.00%,1.59%,3.13%,BKSW
14,04-11-2025,64,64,62,63,4.703.900,296.345.700,0.00%,0.00%,-3.13%,-1.56%,0.00%,1.56%,BKSW
15,03-11-2025,64,66,63,64,7.237.800,463.219.200,0.00%,3.13%,-1.56%,0.00%,3.13%,4.55%,BKSW
16,31-10-2025,64,64,63,64,472.500,30.240.000,0.00%,0.00%,-1.56%,0.00%,0.00%,1.56%,BKSW
17,30-10-2025,64,64,63,64,1.097.300,70.227.200,0.00%,0.00%,-1.56%,0.00%,0.00%,3.13%,BKSW
18,29-10-2025,63,64,62,64,1.492.400,95.513.600,0.00%,1.59%,-1.59%,1.59%,1.59%,3.13%,BKSW
19,28-10-2025,63,64,62,63,3.042.400,191.671.200,0.00%,1.59%,-1.59%,0.00%,1.59%,4.69%,BKSW
20,27-10-2025,63,63,61,63,4.484.400,282.517.200,0.00%,0.00%,-3.17%,0.00%,0.00%,1.59%,BKSW
21,24-10-2025,63,64,62,63,2.456.400,154.753.200,0.00%,1.59%,-1.59%,0.00%,1.59%,1.56%,BKSW
22,23-10-2025,63,65,63,63,3.436.800,216.518.400,0.00%,3.17%,0.00%,0.00%,3.17%,4.62%,BKSW
23,22-10-2025,64,64,62,63,12.940.500,815.251.500,0.00%,0.00%,-3.13%,-1.56%,0.00%,3.13%,BKSW
24,21-10-2025,63,65,62,64,6.997.300,447.827.200,1.61%,4.84%,0.00%,3.23%,3.17%,6.15%,BKSW
25,20-10-2025,61,63,61,62,2.353.900,145.941.800,0.00%,3.28%,0.00%,1.64%,3.28%,3.17%,BKSW
26,17-10-2025,62,62,61,61,3.229.100,196.975.100,0.00%,0.00%,-1.61%,-1.61%,0.00%,4.84%,BKSW
27,16-10-2025,60,62,59,62,2.815.800,174.579.600,0.00%,3.33%,-1.67%,3.33%,3.33%,4.84%,BKSW
