col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BLTA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BLTA
1,21-11-2025,32,32,31,32,1.300.300,41.609.600,0.00%,0.00%,-3.13%,0.00%,0.00%,0.00%,BLTA
2,20-11-2025,32,32,32,32,1.561.900,49.980.800,3.23%,3.23%,3.23%,3.23%,0.00%,3.13%,BLTA
3,19-11-2025,31,32,31,31,1.702.500,52.777.500,0.00%,3.23%,0.00%,0.00%,3.23%,3.13%,BLTA
4,18-11-2025,31,31,31,31,1.033.400,32.035.400,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BLTA
5,17-11-2025,32,32,31,31,4.897.900,151.834.900,-3.03%,-3.03%,-6.06%,-6.06%,0.00%,3.13%,BLTA
6,14-11-2025,31,33,31,33,1.833.500,60.505.500,0.00%,6.45%,0.00%,6.45%,6.45%,6.06%,BLTA
7,13-11-2025,34,34,31,31,9.478.800,293.842.800,0.00%,0.00%,-8.82%,-8.82%,0.00%,0.00%,BLTA
8,12-11-2025,34,34,34,34,7.344.200,249.702.800,9.68%,9.68%,9.68%,9.68%,0.00%,14.71%,BLTA
9,11-11-2025,29,31,29,31,9.164.300,284.093.300,0.00%,6.90%,0.00%,6.90%,6.90%,6.45%,BLTA
10,10-11-2025,29,29,29,29,9.549.100,276.923.900,7.41%,7.41%,7.41%,7.41%,0.00%,6.90%,BLTA
11,07-11-2025,27,27,27,27,3.883.300,104.849.100,0.00%,0.00%,0.00%,0.00%,0.00%,3.70%,BLTA
12,06-11-2025,28,28,26,27,6.650.800,179.571.600,0.00%,0.00%,-7.14%,-3.57%,0.00%,0.00%,BLTA
13,05-11-2025,30,30,28,28,5.679.800,159.034.400,0.00%,0.00%,-6.67%,-6.67%,0.00%,0.00%,BLTA
14,04-11-2025,30,30,30,30,2.164.700,64.941.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BLTA
15,03-11-2025,30,30,30,30,3.807.300,114.219.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BLTA
16,31-10-2025,30,30,30,30,1.830.800,54.924.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BLTA
17,30-10-2025,32,32,30,30,7.549.500,226.485.000,0.00%,0.00%,-6.25%,-6.25%,0.00%,0.00%,BLTA
18,29-10-2025,32,33,32,32,1.356.300,43.401.600,0.00%,3.13%,0.00%,0.00%,3.13%,3.03%,BLTA
19,28-10-2025,33,33,32,32,2.526.500,80.848.000,0.00%,0.00%,-3.03%,-3.03%,0.00%,0.00%,BLTA
20,27-10-2025,33,34,33,33,3.359.900,110.876.700,-2.94%,0.00%,-2.94%,-2.94%,3.03%,0.00%,BLTA
21,24-10-2025,35,35,34,34,2.079.100,70.689.400,0.00%,0.00%,-2.86%,-2.86%,0.00%,0.00%,BLTA
22,23-10-2025,35,35,35,35,4.388.200,153.587.000,2.94%,2.94%,2.94%,2.94%,0.00%,2.86%,BLTA
23,22-10-2025,34,34,34,34,1.632.400,55.501.600,0.00%,0.00%,0.00%,0.00%,0.00%,5.88%,BLTA
24,21-10-2025,34,34,32,34,2.090.100,71.063.400,0.00%,0.00%,-5.88%,0.00%,0.00%,2.94%,BLTA
25,20-10-2025,33,34,33,34,2.043.900,69.492.600,0.00%,3.03%,0.00%,3.03%,3.03%,2.94%,BLTA
26,17-10-2025,37,37,33,33,3.383.700,111.662.100,5.71%,5.71%,-5.71%,-5.71%,0.00%,13.51%,BLTA
27,16-10-2025,32,35,32,35,3.959.400,138.579.000,0.00%,9.38%,0.00%,9.38%,9.38%,8.57%,BLTA
28,15-10-2025,33,33,32,32,4.412.200,141.190.400,-5.71%,-5.71%,-8.57%,-8.57%,0.00%,-6.06%,BLTA
29,14-10-2025,36,36,35,35,4.009.400,140.329.000,-5.26%,-5.26%,-7.89%,-7.89%,0.00%,-5.56%,BLTA
30,13-10-2025,42,42,38,38,13.384.000,508.592.000,0.00%,0.00%,-9.52%,-9.52%,0.00%,0.00%,BLTA
31,10-10-2025,42,42,42,42,27.318.600,1.147.381.200,7.69%,7.69%,7.69%,7.69%,0.00%,7.14%,BLTA
32,09-10-2025,39,39,39,39,16.864.400,657.711.600,8.33%,8.33%,8.33%,8.33%,0.00%,15.38%,BLTA
33,08-10-2025,33,36,33,36,8.099.500,291.582.000,0.00%,9.09%,0.00%,9.09%,9.09%,8.33%,BLTA
34,07-10-2025,33,34,33,33,7.977.800,263.267.400,0.00%,3.03%,0.00%,0.00%,3.03%,2.94%,BLTA
