col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BMBL
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BMBL
1,21-11-2025,60,63,54,59,30.498.100,1.799.387.900,0.00%,5.00%,-10.00%,-1.67%,5.00%,9.52%,BMBL
2,20-11-2025,57,60,57,60,54.185.500,3.251.130.000,3.64%,9.09%,3.64%,9.09%,5.26%,21.67%,BMBL
3,19-11-2025,52,55,47,55,49.749.300,2.736.211.500,4.00%,10.00%,-6.00%,10.00%,5.77%,16.36%,BMBL
4,18-11-2025,46,50,46,50,23.778.200,1.188.910.000,0.00%,8.70%,0.00%,8.70%,8.70%,16.00%,BMBL
5,17-11-2025,43,46,42,46,21.459.900,987.155.400,2.38%,9.52%,0.00%,9.52%,6.98%,8.70%,BMBL
6,14-11-2025,43,45,42,42,4.637.700,194.783.400,-2.27%,2.27%,-4.55%,-4.55%,4.65%,6.67%,BMBL
7,13-11-2025,45,45,42,44,4.925.200,216.708.800,2.27%,2.27%,-4.55%,0.00%,0.00%,6.67%,BMBL
8,12-11-2025,45,46,42,44,8.087.900,355.867.600,0.00%,2.22%,-6.67%,-2.22%,2.22%,2.17%,BMBL
9,11-11-2025,49,50,45,45,23.089.800,1.039.041.000,0.00%,2.04%,-8.16%,-8.16%,2.04%,16.00%,BMBL
10,10-11-2025,45,49,42,49,20.193.500,989.481.500,0.00%,8.89%,-6.67%,8.89%,8.89%,16.33%,BMBL
11,07-11-2025,41,45,41,45,10.137.500,456.187.500,0.00%,9.76%,0.00%,9.76%,9.76%,13.33%,BMBL
12,06-11-2025,41,42,39,41,4.561.600,187.025.600,-2.38%,0.00%,-7.14%,-2.38%,2.44%,4.76%,BMBL
13,05-11-2025,44,44,40,42,8.168.100,343.060.200,0.00%,0.00%,-9.09%,-4.55%,0.00%,2.27%,BMBL
14,04-11-2025,44,44,43,44,2.316.100,101.908.400,0.00%,0.00%,-2.27%,0.00%,0.00%,6.82%,BMBL
15,03-11-2025,43,44,41,44,4.333.600,190.678.400,0.00%,2.33%,-4.65%,2.33%,2.33%,9.09%,BMBL
16,31-10-2025,42,43,40,43,5.455.800,234.599.400,0.00%,2.38%,-4.76%,2.38%,2.38%,4.65%,BMBL
17,30-10-2025,42,43,41,42,3.507.300,147.306.600,-2.33%,0.00%,-4.65%,-2.33%,2.38%,2.33%,BMBL
18,29-10-2025,44,44,42,43,6.168.400,265.241.200,0.00%,0.00%,-4.55%,-2.27%,0.00%,2.27%,BMBL
19,28-10-2025,44,44,43,44,2.114.200,93.024.800,0.00%,0.00%,-2.27%,0.00%,0.00%,2.27%,BMBL
20,27-10-2025,43,45,43,44,5.925.800,260.735.200,-4.44%,0.00%,-4.44%,-2.22%,4.65%,4.44%,BMBL
21,24-10-2025,46,46,43,45,5.854.600,263.457.000,0.00%,0.00%,-6.52%,-2.17%,0.00%,4.35%,BMBL
22,23-10-2025,46,46,44,46,4.012.900,184.593.400,0.00%,0.00%,-4.35%,0.00%,0.00%,6.52%,BMBL
23,22-10-2025,49,49,43,46,9.518.600,437.855.600,8.89%,8.89%,-4.44%,2.22%,0.00%,12.24%,BMBL
24,21-10-2025,46,46,43,45,7.934.600,357.057.000,0.00%,0.00%,-6.52%,-2.17%,0.00%,2.17%,BMBL
25,20-10-2025,47,50,45,46,14.653.600,674.065.600,-4.08%,2.04%,-8.16%,-6.12%,6.38%,2.00%,BMBL
