col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BMRI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BMRI
1,21-11-2025,4.940,4.970,4.900,4.950,142.452.600,705.140.370.000,0.00%,0.61%,-0.81%,0.20%,0.61%,1.41%,BMRI
2,20-11-2025,4.940,4.990,4.900,4.940,234.717.700,1.159.505.438.000,1.86%,2.89%,1.03%,1.86%,1.01%,3.81%,BMRI
3,19-11-2025,4.820,4.850,4.800,4.850,107.585.700,521.790.645.000,0.63%,1.25%,0.21%,1.25%,0.62%,1.44%,BMRI
4,18-11-2025,4.810,4.850,4.780,4.790,127.022.100,608.435.859.000,-0.21%,0.62%,-0.83%,-0.62%,0.83%,1.65%,BMRI
5,17-11-2025,4.780,4.850,4.770,4.820,136.477.100,657.819.622.000,0.63%,2.11%,0.42%,1.47%,1.46%,3.51%,BMRI
6,14-11-2025,4.690,4.750,4.680,4.750,73.479.600,349.028.100.000,-0.21%,1.06%,-0.43%,1.06%,1.28%,1.26%,BMRI
7,13-11-2025,4.760,4.760,4.690,4.700,108.100.300,508.071.410.000,0.00%,0.00%,-1.47%,-1.26%,0.00%,1.68%,BMRI
8,12-11-2025,4.680,4.790,4.680,4.760,138.539.800,659.449.448.000,0.00%,2.35%,0.00%,1.71%,2.35%,3.76%,BMRI
9,11-11-2025,4.740,4.750,4.610,4.680,168.794.500,789.958.260.000,0.21%,0.42%,-2.54%,-1.06%,0.21%,0.42%,BMRI
10,10-11-2025,4.790,4.790,4.730,4.730,88.738.200,419.731.686.000,0.84%,0.84%,-0.42%,-0.42%,0.00%,1.04%,BMRI
11,07-11-2025,4.750,4.780,4.740,4.750,58.845.500,279.516.125.000,0.00%,0.63%,-0.21%,0.00%,0.63%,0.63%,BMRI
12,06-11-2025,4.790,4.790,4.750,4.750,57.932.600,275.179.850.000,0.42%,0.42%,-0.42%,-0.42%,0.00%,2.30%,BMRI
13,05-11-2025,4.690,4.770,4.680,4.770,102.878.900,490.732.353.000,-0.85%,0.85%,-1.06%,0.85%,1.71%,1.05%,BMRI
14,04-11-2025,4.760,4.790,4.720,4.730,136.412.400,645.230.652.000,0.00%,0.63%,-0.84%,-0.63%,0.63%,1.88%,BMRI
15,03-11-2025,4.710,4.760,4.700,4.760,129.834.200,618.010.792.000,-0.21%,0.85%,-0.42%,0.85%,1.06%,0.84%,BMRI
16,31-10-2025,4.790,4.800,4.720,4.720,227.378.000,1.073.224.160.000,-0.21%,0.00%,-1.67%,-1.67%,0.21%,3.13%,BMRI
17,30-10-2025,4.670,4.830,4.650,4.800,390.256.000,1.873.228.800.000,0.43%,3.87%,0.00%,3.23%,3.43%,7.04%,BMRI
18,29-10-2025,4.500,4.650,4.490,4.650,176.978.800,822.951.420.000,-0.22%,3.10%,-0.44%,3.10%,3.33%,4.52%,BMRI
19,28-10-2025,4.490,4.510,4.440,4.510,174.666.600,787.746.366.000,0.45%,0.89%,-0.67%,0.89%,0.45%,2.22%,BMRI
20,27-10-2025,4.590,4.600,4.410,4.470,245.576.100,1.097.725.167.000,0.88%,1.10%,-3.08%,-1.76%,0.22%,4.78%,BMRI
21,24-10-2025,4.380,4.590,4.380,4.550,350.420.300,1.594.412.365.000,-1.13%,3.61%,-1.13%,2.71%,4.79%,6.10%,BMRI
22,23-10-2025,4.310,4.440,4.310,4.430,202.102.500,895.314.075.000,-0.46%,2.54%,-0.46%,2.31%,3.02%,3.38%,BMRI
23,22-10-2025,4.350,4.460,4.290,4.330,216.261.300,936.411.429.000,0.00%,2.53%,-1.38%,-0.46%,2.53%,3.59%,BMRI
24,21-10-2025,4.350,4.390,4.300,4.350,230.858.900,1.004.236.215.000,1.16%,2.09%,0.00%,1.16%,0.92%,7.29%,BMRI
25,20-10-2025,4.120,4.320,4.070,4.300,331.939.200,1.427.338.560.000,1.73%,6.67%,0.49%,6.17%,4.85%,6.71%,BMRI
26,17-10-2025,4.110,4.110,4.030,4.050,247.510.000,1.002.415.500.000,0.49%,0.49%,-1.47%,-0.98%,0.00%,1.46%,BMRI
27,16-10-2025,4.050,4.150,4.050,4.090,125.979.600,515.256.564.000,0.00%,2.47%,0.00%,0.99%,2.47%,3.37%,BMRI
28,15-10-2025,4.110,4.140,4.010,4.050,270.562.400,1.095.777.720.000,0.49%,1.22%,-1.96%,-0.98%,0.73%,1.21%,BMRI
29,14-10-2025,4.220,4.270,4.090,4.090,188.516.600,771.032.894.000,-0.24%,0.95%,-3.31%,-3.31%,1.18%,1.64%,BMRI
30,13-10-2025,4.210,4.240,4.200,4.230,79.178.600,334.925.478.000,-0.94%,-0.24%,-1.18%,-0.47%,0.71%,-0.24%,BMRI
31,10-10-2025,4.410,4.420,4.250,4.250,139.911.200,594.622.600.000,0.46%,0.68%,-3.19%,-3.19%,0.23%,4.98%,BMRI
32,09-10-2025,4.240,4.450,4.200,4.390,183.242.600,804.435.014.000,-0.24%,4.71%,-1.18%,3.29%,4.95%,5.39%,BMRI
33,08-10-2025,4.280,4.290,4.210,4.250,97.466.800,414.233.900.000,-0.23%,0.00%,-1.86%,-0.93%,0.23%,0.93%,BMRI
34,07-10-2025,4.260,4.320,4.250,4.290,100.237.500,430.018.875.000,0.00%,1.41%,-0.23%,0.70%,1.41%,1.39%,BMRI
35,06-10-2025,4.320,4.330,4.260,4.260,96.044.800,409.150.848.000,0.23%,0.46%,-1.16%,-1.16%,0.23%,0.69%,BMRI
36,03-10-2025,4.370,4.380,4.300,4.310,102.459.100,441.598.721.000,0.23%,0.46%,-1.38%,-1.15%,0.23%,0.46%,BMRI
37,02-10-2025,4.410,4.440,4.360,4.360,93.387.400,407.169.064.000,0.68%,1.37%,-0.46%,-0.46%,0.68%,2.03%,BMRI
38,01-10-2025,4.360,4.400,4.350,4.380,92.265.100,404.121.138.000,-0.91%,0.00%,-1.14%,-0.45%,0.92%,0.45%,BMRI
39,30-09-2025,4.420,4.450,4.380,4.400,108.639.600,478.014.240.000,0.45%,1.14%,-0.45%,0.00%,0.68%,1.12%,BMRI
40,29-09-2025,4.420,4.430,4.400,4.400,63.753.600,280.515.840.000,0.00%,0.23%,-0.45%,-0.45%,0.23%,1.81%,BMRI
41,26-09-2025,4.350,4.430,4.350,4.420,86.572.900,382.652.218.000,-0.23%,1.61%,-0.23%,1.38%,1.84%,1.58%,BMRI
42,25-09-2025,4.400,4.410,4.360,4.360,73.946.900,322.408.484.000,0.23%,0.46%,-0.68%,-0.68%,0.23%,0.45%,BMRI
43,24-09-2025,4.410,4.430,4.390,4.390,85.439.100,375.077.649.000,0.00%,0.45%,-0.45%,-0.45%,0.45%,1.35%,BMRI
44,23-09-2025,4.390,4.430,4.370,4.410,90.675.500,399.878.955.000,-0.68%,0.23%,-1.13%,-0.23%,0.91%,1.58%,BMRI
45,22-09-2025,4.410,4.420,4.360,4.420,107.176.100,473.718.362.000,0.68%,0.91%,-0.46%,0.91%,0.23%,2.04%,BMRI
46,19-09-2025,4.350,4.420,4.330,4.380,235.975.900,1.033.574.442.000,-1.58%,0.00%,-2.04%,-0.90%,1.61%,0.00%,BMRI
47,18-09-2025,4.540,4.550,4.420,4.420,177.560.100,784.815.642.000,0.67%,0.89%,-2.00%,-2.00%,0.22%,2.42%,BMRI
48,17-09-2025,4.480,4.520,4.440,4.510,232.702.500,1.049.488.275.000,0.00%,0.89%,-0.89%,0.67%,0.89%,1.33%,BMRI
49,16-09-2025,4.570,4.570,4.460,4.480,122.027.400,546.682.752.000,0.88%,0.88%,-1.55%,-1.10%,0.00%,1.09%,BMRI
50,15-09-2025,4.550,4.640,4.520,4.530,231.346.000,1.047.997.380.000,0.66%,2.65%,0.00%,0.22%,1.98%,3.45%,BMRI
51,12-09-2025,4.500,4.550,4.480,4.520,216.960.200,980.660.104.000,0.45%,1.56%,0.00%,0.89%,1.11%,2.20%,BMRI
52,11-09-2025,4.480,4.540,4.450,4.480,366.697.800,1.642.806.144.000,1.82%,3.18%,1.14%,1.82%,1.34%,4.19%,BMRI
53,10-09-2025,4.360,4.420,4.350,4.400,294.236.800,1.294.641.920.000,1.16%,2.55%,0.93%,2.09%,1.38%,2.49%,BMRI
54,09-09-2025,4.450,4.480,4.310,4.310,509.366.600,2.195.370.046.000,-0.89%,-0.22%,-4.01%,-4.01%,0.67%,0.45%,BMRI
55,08-09-2025,4.750,4.750,4.460,4.490,200.234.500,899.052.905.000,1.50%,1.50%,-4.70%,-4.06%,0.00%,2.74%,BMRI
56,04-09-2025,4.630,4.680,4.620,4.680,88.735.300,415.281.204.000,0.22%,1.30%,0.00%,1.30%,1.08%,2.35%,BMRI
57,03-09-2025,4.620,4.660,4.570,4.620,131.617.900,608.074.698.000,1.09%,1.97%,0.00%,1.09%,0.87%,2.15%,BMRI
58,02-09-2025,4.610,4.670,4.560,4.570,150.045.600,685.708.392.000,0.22%,1.52%,-0.87%,-0.65%,1.30%,4.50%,BMRI
59,01-09-2025,4.550,4.670,4.460,4.600,320.335.300,1.473.542.380.000,-3.81%,-1.27%,-5.71%,-2.75%,2.64%,0.21%,BMRI
60,29-08-2025,4.720,4.750,4.660,4.730,176.485.100,834.774.523.000,-1.05%,-0.42%,-2.31%,-0.84%,0.64%,-0.42%,BMRI
61,28-08-2025,4.790,4.850,4.770,4.770,111.707.400,532.844.298.000,-0.21%,1.04%,-0.63%,-0.63%,1.25%,1.03%,BMRI
62,27-08-2025,4.840,4.880,4.800,4.800,113.576.300,545.166.240.000,-1.22%,-0.41%,-2.04%,-2.04%,0.83%,0.41%,BMRI
63,26-08-2025,4.950,4.950,4.860,4.900,308.891.700,1.513.569.330.000,0.00%,0.00%,-1.82%,-1.01%,0.00%,0.61%,BMRI
64,25-08-2025,4.950,4.980,4.920,4.950,149.580.800,740.424.960.000,1.23%,1.84%,0.61%,1.23%,0.61%,2.21%,BMRI
65,22-08-2025,4.920,4.920,4.870,4.890,73.104.500,357.481.005.000,0.41%,0.41%,-0.61%,-0.20%,0.00%,1.22%,BMRI
66,21-08-2025,4.950,4.950,4.860,4.900,132.019.200,646.894.080.000,0.00%,0.00%,-1.82%,-1.01%,0.00%,3.43%,BMRI
67,20-08-2025,4.790,4.950,4.780,4.950,144.622.900,715.883.355.000,-0.21%,3.13%,-0.42%,3.13%,3.34%,3.43%,BMRI
68,19-08-2025,4.860,4.870,4.780,4.800,116.393.200,558.687.360.000,0.21%,0.41%,-1.44%,-1.03%,0.21%,0.41%,BMRI
69,15-08-2025,4.890,4.930,4.850,4.850,126.685.400,614.424.190.000,0.82%,1.65%,0.00%,0.00%,0.82%,1.83%,BMRI
