col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BMSR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BMSR
1,21-11-2025,296,296,286,292,172.000,50.224.000,1.37%,1.37%,-2.05%,0.00%,0.00%,4.05%,BMSR
2,20-11-2025,300,312,284,292,372.300,108.711.600,0.00%,4.00%,-5.33%,-2.67%,4.00%,4.49%,BMSR
3,19-11-2025,316,316,298,300,702.000,210.600.000,0.00%,0.00%,-5.70%,-5.06%,0.00%,1.90%,BMSR
4,18-11-2025,344,350,310,316,324.400,102.510.400,2.99%,4.79%,-7.19%,-5.39%,1.74%,13.71%,BMSR
5,17-11-2025,302,368,302,334,2.892.300,966.028.200,0.00%,21.85%,0.00%,10.60%,21.85%,17.93%,BMSR
6,14-11-2025,304,304,302,302,37.200,11.234.400,0.00%,0.00%,-0.66%,-0.66%,0.00%,0.00%,BMSR
7,13-11-2025,310,310,304,304,231.300,70.315.200,1.31%,1.31%,-0.65%,-0.65%,0.00%,2.58%,BMSR
8,12-11-2025,302,312,302,306,39.200,11.995.200,-2.58%,0.65%,-2.58%,-1.29%,3.31%,3.21%,BMSR
9,11-11-2025,306,312,302,310,96.700,29.977.000,1.32%,3.31%,0.00%,2.65%,1.96%,3.21%,BMSR
10,10-11-2025,308,310,302,302,48.100,14.526.200,0.00%,0.65%,-1.95%,-1.95%,0.65%,3.23%,BMSR
11,07-11-2025,310,310,300,308,180.500,55.594.000,-2.52%,-2.52%,-5.66%,-3.14%,0.00%,1.94%,BMSR
12,06-11-2025,314,322,304,318,135.100,42.961.800,0.00%,2.55%,-3.18%,1.27%,2.55%,4.97%,BMSR
13,05-11-2025,314,314,306,314,64.500,20.253.000,0.00%,0.00%,-2.55%,0.00%,0.00%,1.91%,BMSR
14,04-11-2025,314,314,308,314,90.700,28.479.800,1.29%,1.29%,-0.65%,1.29%,0.00%,1.91%,BMSR
15,03-11-2025,308,318,308,310,407.100,126.201.000,-0.65%,2.58%,-0.65%,0.00%,3.25%,5.03%,BMSR
16,31-10-2025,306,316,302,310,65.900,20.429.000,1.32%,4.64%,0.00%,2.65%,3.27%,4.43%,BMSR
