col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BNBR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BNBR
1,21-11-2025,48,48,46,46,22.049.500,1.014.277.000,0.00%,0.00%,-4.17%,-4.17%,0.00%,0.00%,BNBR
2,20-11-2025,49,49,48,48,46.427.900,2.228.539.200,4.26%,4.26%,2.13%,2.13%,0.00%,8.16%,BNBR
3,19-11-2025,45,47,45,47,25.029.100,1.176.367.700,0.00%,4.44%,0.00%,4.44%,4.44%,4.26%,BNBR
4,18-11-2025,45,45,45,45,20.656.400,929.538.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BNBR
5,17-11-2025,49,49,45,45,30.550.800,1.374.786.000,4.26%,4.26%,-4.26%,-4.26%,0.00%,4.08%,BNBR
6,14-11-2025,50,50,47,47,172.665.600,8.115.283.200,0.00%,0.00%,-6.00%,-6.00%,0.00%,0.00%,BNBR
7,13-11-2025,50,50,50,50,95.275.500,4.763.775.000,4.17%,4.17%,4.17%,4.17%,0.00%,10.00%,BNBR
8,12-11-2025,45,48,45,48,57.391.800,2.754.806.400,0.00%,6.67%,0.00%,6.67%,6.67%,12.50%,BNBR
9,11-11-2025,42,45,42,45,41.124.400,1.850.598.000,2.44%,9.76%,2.44%,9.76%,7.14%,15.56%,BNBR
10,10-11-2025,38,41,38,41,16.203.700,664.351.700,0.00%,7.89%,0.00%,7.89%,7.89%,7.32%,BNBR
11,07-11-2025,38,38,38,38,6.355.100,241.493.800,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BNBR
12,06-11-2025,38,38,38,38,25.087.400,953.321.200,-2.56%,-2.56%,-2.56%,-2.56%,0.00%,-2.63%,BNBR
