col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BNGA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BNGA
1,21-11-2025,1.805,1.810,1.780,1.790,2.979.900,5.334.021.000,0.28%,0.56%,-1.11%,-0.56%,0.28%,0.83%,BNGA
2,20-11-2025,1.795,1.810,1.795,1.800,2.451.900,4.413.420.000,0.00%,0.84%,0.00%,0.28%,0.84%,0.83%,BNGA
3,19-11-2025,1.820,1.835,1.795,1.795,6.343.400,11.386.403.000,0.00%,0.82%,-1.37%,-1.37%,0.82%,3.81%,BNGA
4,18-11-2025,1.765,1.850,1.765,1.820,25.967.700,47.261.214.000,0.00%,4.82%,0.00%,3.12%,4.82%,6.22%,BNGA
5,17-11-2025,1.735,1.790,1.735,1.765,8.505.500,15.012.207.500,0.00%,3.17%,0.00%,1.73%,3.17%,3.35%,BNGA
6,14-11-2025,1.745,1.745,1.730,1.735,1.716.600,2.978.301.000,0.00%,0.00%,-0.86%,-0.57%,0.00%,0.29%,BNGA
7,13-11-2025,1.745,1.750,1.740,1.745,2.922.500,5.099.762.500,0.00%,0.29%,-0.29%,0.00%,0.29%,0.57%,BNGA
8,12-11-2025,1.755,1.755,1.740,1.745,2.164.500,3.777.052.500,0.86%,0.86%,0.00%,0.29%,0.00%,1.14%,BNGA
9,11-11-2025,1.745,1.745,1.735,1.740,1.984.700,3.453.378.000,0.58%,0.58%,0.00%,0.29%,0.00%,0.57%,BNGA
10,10-11-2025,1.745,1.750,1.735,1.735,4.963.300,8.611.325.500,0.00%,0.29%,-0.57%,-0.57%,0.29%,0.57%,BNGA
11,07-11-2025,1.745,1.760,1.740,1.745,6.895.500,12.032.647.500,-0.29%,0.57%,-0.57%,-0.29%,0.86%,1.42%,BNGA
12,06-11-2025,1.740,1.755,1.735,1.750,3.019.900,5.284.825.000,-0.29%,0.57%,-0.57%,0.29%,0.86%,1.99%,BNGA
13,05-11-2025,1.725,1.745,1.720,1.745,2.936.100,5.123.494.500,-0.29%,0.87%,-0.58%,0.87%,1.16%,0.86%,BNGA
14,04-11-2025,1.750,1.755,1.730,1.730,3.500.500,6.055.865.000,0.00%,0.29%,-1.14%,-1.14%,0.29%,0.85%,BNGA
15,03-11-2025,1.755,1.755,1.740,1.750,3.539.300,6.193.775.000,0.57%,0.57%,-0.29%,0.29%,0.00%,1.71%,BNGA
16,31-10-2025,1.740,1.755,1.725,1.745,6.060.500,10.575.572.500,0.29%,1.15%,-0.58%,0.58%,0.86%,2.28%,BNGA
17,30-10-2025,1.720,1.750,1.715,1.735,10.875.200,18.868.472.000,0.29%,2.04%,0.00%,1.17%,1.74%,2.86%,BNGA
18,29-10-2025,1.700,1.715,1.700,1.715,1.325.800,2.273.747.000,0.00%,0.88%,0.00%,0.88%,0.88%,1.17%,BNGA
19,28-10-2025,1.710,1.710,1.695,1.700,1.092.000,1.856.400.000,0.59%,0.59%,-0.29%,0.00%,0.00%,0.88%,BNGA
20,27-10-2025,1.720,1.720,1.695,1.700,4.013.500,6.822.950.000,0.88%,0.88%,-0.59%,-0.29%,0.00%,0.87%,BNGA
21,24-10-2025,1.705,1.715,1.705,1.705,2.397.200,4.087.226.000,0.00%,0.59%,0.00%,0.00%,0.59%,1.17%,BNGA
22,23-10-2025,1.695,1.705,1.695,1.705,3.968.800,6.766.804.000,0.00%,0.59%,0.00%,0.59%,0.59%,0.59%,BNGA
23,22-10-2025,1.700,1.720,1.695,1.695,2.502.300,4.241.398.500,0.00%,1.18%,-0.29%,-0.29%,1.18%,1.45%,BNGA
24,21-10-2025,1.715,1.720,1.695,1.700,5.069.900,8.618.830.000,0.59%,0.88%,-0.59%,-0.29%,0.29%,2.91%,BNGA
25,20-10-2025,1.670,1.725,1.670,1.705,6.433.100,10.968.435.500,0.00%,3.29%,0.00%,2.10%,3.29%,3.19%,BNGA
26,17-10-2025,1.700,1.700,1.670,1.670,5.517.200,9.213.724.000,0.00%,0.00%,-1.76%,-1.76%,0.00%,0.00%,BNGA
27,16-10-2025,1.720,1.720,1.700,1.700,2.838.100,4.824.770.000,-2.55%,-2.55%,-3.68%,-3.68%,0.00%,3.49%,BNGA
28,15-10-2025,1.695,1.765,1.660,1.765,9.691.500,17.105.497.500,0.59%,4.75%,-1.48%,4.75%,4.13%,4.82%,BNGA
29,14-10-2025,1.695,1.715,1.680,1.685,2.995.300,5.047.080.500,0.00%,1.18%,-0.88%,-0.59%,1.18%,1.75%,BNGA
30,13-10-2025,1.700,1.700,1.685,1.695,1.898.300,3.217.618.500,0.00%,0.00%,-0.88%,-0.29%,0.00%,0.29%,BNGA
31,10-10-2025,1.705,1.710,1.695,1.700,2.620.800,4.455.360.000,-0.29%,0.00%,-0.88%,-0.58%,0.29%,1.46%,BNGA
32,09-10-2025,1.705,1.725,1.685,1.710,5.627.100,9.622.341.000,0.00%,1.17%,-1.17%,0.29%,1.17%,2.32%,BNGA
33,08-10-2025,1.695,1.705,1.685,1.705,7.698.800,13.126.454.000,0.00%,0.59%,-0.59%,0.59%,0.59%,1.17%,BNGA
34,07-10-2025,1.695,1.705,1.685,1.695,5.521.400,9.358.773.000,0.00%,0.59%,-0.59%,0.00%,0.59%,0.88%,BNGA
35,06-10-2025,1.700,1.705,1.690,1.695,3.252.700,5.513.326.500,0.00%,0.29%,-0.59%,-0.29%,0.29%,1.47%,BNGA
36,03-10-2025,1.680,1.700,1.680,1.700,4.717.900,8.020.430.000,0.00%,1.19%,0.00%,1.19%,1.19%,2.06%,BNGA
37,02-10-2025,1.685,1.685,1.665,1.680,4.834.100,8.121.288.000,0.60%,0.60%,-0.60%,0.30%,0.00%,0.59%,BNGA
38,01-10-2025,1.700,1.700,1.675,1.675,3.844.100,6.438.867.500,0.29%,0.29%,-1.18%,-1.18%,0.00%,0.88%,BNGA
39,30-09-2025,1.700,1.705,1.685,1.695,4.981.300,8.443.303.500,0.00%,0.29%,-0.88%,-0.29%,0.29%,0.59%,BNGA
40,29-09-2025,1.695,1.705,1.695,1.700,1.188.900,2.021.130.000,0.00%,0.59%,0.00%,0.29%,0.59%,1.17%,BNGA
41,26-09-2025,1.700,1.700,1.685,1.695,2.799.300,4.744.813.500,0.29%,0.29%,-0.59%,0.00%,0.00%,0.29%,BNGA
42,25-09-2025,1.705,1.710,1.695,1.695,1.552.500,2.631.487.500,0.29%,0.59%,-0.29%,-0.29%,0.29%,0.88%,BNGA
43,24-09-2025,1.705,1.705,1.695,1.700,3.059.700,5.201.490.000,0.29%,0.29%,-0.29%,0.00%,0.00%,0.59%,BNGA
44,23-09-2025,1.700,1.705,1.695,1.700,2.765.300,4.701.010.000,0.00%,0.29%,-0.29%,0.00%,0.29%,0.59%,BNGA
45,22-09-2025,1.710,1.720,1.695,1.700,3.646.600,6.199.220.000,0.29%,0.88%,-0.59%,-0.29%,0.58%,1.16%,BNGA
46,19-09-2025,1.720,1.730,1.700,1.705,3.987.200,6.798.176.000,0.00%,0.58%,-1.16%,-0.87%,0.58%,1.16%,BNGA
47,18-09-2025,1.725,1.735,1.710,1.720,2.215.200,3.810.144.000,0.00%,0.58%,-0.87%,-0.29%,0.58%,1.44%,BNGA
48,17-09-2025,1.725,1.730,1.710,1.725,2.379.800,4.105.155.000,0.00%,0.29%,-0.87%,0.00%,0.29%,0.87%,BNGA
49,16-09-2025,1.730,1.740,1.715,1.725,2.406.500,4.151.212.500,0.00%,0.58%,-0.87%,-0.29%,0.58%,1.44%,BNGA
50,15-09-2025,1.715,1.735,1.715,1.730,3.140.600,5.433.238.000,0.00%,1.17%,0.00%,0.87%,1.17%,1.73%,BNGA
51,12-09-2025,1.705,1.725,1.705,1.715,2.704.600,4.638.389.000,0.00%,1.17%,0.00%,0.59%,1.17%,1.45%,BNGA
52,11-09-2025,1.700,1.715,1.700,1.705,1.858.400,3.168.572.000,0.29%,1.18%,0.29%,0.59%,0.88%,1.46%,BNGA
53,10-09-2025,1.695,1.700,1.690,1.695,2.780.400,4.712.778.000,0.30%,0.59%,0.00%,0.30%,0.29%,1.18%,BNGA
54,09-09-2025,1.700,1.700,1.680,1.690,5.047.000,8.529.430.000,-0.29%,-0.29%,-1.47%,-0.88%,0.00%,0.00%,BNGA
55,08-09-2025,1.710,1.715,1.700,1.705,3.361.000,5.730.505.000,0.00%,0.29%,-0.58%,-0.29%,0.29%,1.17%,BNGA
56,04-09-2025,1.695,1.710,1.695,1.710,1.409.100,2.409.561.000,0.00%,0.88%,0.00%,0.88%,0.88%,0.88%,BNGA
57,03-09-2025,1.700,1.710,1.695,1.695,2.888.100,4.895.329.500,0.29%,0.88%,0.00%,0.00%,0.59%,1.17%,BNGA
58,02-09-2025,1.710,1.725,1.690,1.695,6.260.100,10.610.869.500,0.59%,1.47%,-0.59%,-0.29%,0.88%,3.77%,BNGA
59,01-09-2025,1.690,1.705,1.660,1.700,6.619.800,11.253.660.000,-0.59%,0.29%,-2.35%,0.00%,0.89%,0.29%,BNGA
60,29-08-2025,1.720,1.720,1.700,1.700,7.260.100,12.342.170.000,0.00%,0.00%,-1.16%,-1.16%,0.00%,0.00%,BNGA
61,28-08-2025,1.725,1.735,1.720,1.720,1.615.300,2.778.316.000,0.00%,0.58%,-0.29%,-0.29%,0.58%,1.15%,BNGA
62,27-08-2025,1.725,1.735,1.715,1.725,2.696.800,4.651.980.000,0.00%,0.58%,-0.58%,0.00%,0.58%,0.58%,BNGA
63,26-08-2025,1.730,1.740,1.725,1.725,2.993.700,5.164.132.500,0.00%,0.58%,-0.29%,-0.29%,0.58%,0.57%,BNGA
64,25-08-2025,1.730,1.740,1.730,1.730,2.433.700,4.210.301.000,0.29%,0.87%,0.29%,0.29%,0.58%,0.86%,BNGA
65,22-08-2025,1.740,1.740,1.725,1.725,1.341.100,2.313.397.500,0.87%,0.87%,0.00%,0.00%,0.00%,0.86%,BNGA
66,21-08-2025,1.740,1.750,1.725,1.725,3.577.000,6.170.325.000,0.00%,0.57%,-0.86%,-0.86%,0.57%,1.71%,BNGA
67,20-08-2025,1.740,1.740,1.720,1.740,2.841.600,4.944.384.000,1.16%,1.16%,0.00%,1.16%,0.00%,1.72%,BNGA
68,19-08-2025,1.715,1.730,1.710,1.720,3.343.200,5.750.304.000,0.00%,0.87%,-0.29%,0.29%,0.87%,0.87%,BNGA
69,15-08-2025,1.725,1.735,1.715,1.715,3.326.300,5.704.604.500,0.00%,0.58%,-0.58%,-0.58%,0.58%,0.86%,BNGA
70,14-08-2025,1.730,1.735,1.720,1.725,2.498.000,4.309.050.000,0.00%,0.29%,-0.58%,-0.29%,0.29%,0.86%,BNGA
71,13-08-2025,1.735,1.750,1.720,1.730,5.263.100,9.105.163.000,0.58%,1.45%,-0.29%,0.29%,0.86%,2.29%,BNGA
72,12-08-2025,1.710,1.730,1.710,1.725,5.502.100,9.491.122.500,0.29%,1.47%,0.29%,1.17%,1.17%,1.73%,BNGA
73,11-08-2025,1.700,1.715,1.700,1.705,2.796.300,4.767.691.500,0.00%,0.88%,0.00%,0.29%,0.88%,1.46%,BNGA
74,08-08-2025,1.690,1.710,1.690,1.700,1.617.700,2.750.090.000,-0.29%,0.88%,-0.29%,0.29%,1.18%,0.88%,BNGA
75,07-08-2025,1.695,1.705,1.695,1.695,1.869.800,3.169.311.000,0.00%,0.59%,0.00%,0.00%,0.59%,0.59%,BNGA
76,06-08-2025,1.700,1.705,1.695,1.695,1.274.700,2.160.616.500,0.00%,0.29%,-0.29%,-0.29%,0.29%,0.59%,BNGA
77,05-08-2025,1.695,1.710,1.695,1.700,3.189.300,5.421.810.000,0.00%,0.88%,0.00%,0.29%,0.88%,1.17%,BNGA
78,04-08-2025,1.700,1.705,1.690,1.695,5.905.400,10.009.653.000,0.00%,0.29%,-0.59%,-0.29%,0.29%,0.88%,BNGA
79,01-08-2025,1.690,1.710,1.690,1.700,2.705.700,4.599.690.000,-0.88%,0.29%,-0.88%,-0.29%,1.18%,0.88%,BNGA
80,31-07-2025,1.705,1.710,1.695,1.705,4.467.400,7.616.917.000,0.00%,0.29%,-0.59%,0.00%,0.29%,0.29%,BNGA
81,30-07-2025,1.725,1.730,1.705,1.705,6.478.400,11.045.672.000,0.00%,0.29%,-1.16%,-1.16%,0.29%,0.58%,BNGA
82,29-07-2025,1.725,1.735,1.720,1.725,2.588.500,4.465.162.500,0.00%,0.58%,-0.29%,0.00%,0.58%,0.86%,BNGA
83,28-07-2025,1.740,1.740,1.720,1.725,3.435.600,5.926.410.000,0.87%,0.87%,-0.29%,0.00%,0.00%,1.15%,BNGA
84,25-07-2025,1.740,1.740,1.720,1.725,2.690.000,4.640.250.000,0.00%,0.00%,-1.15%,-0.86%,0.00%,2.01%,BNGA
85,24-07-2025,1.710,1.755,1.705,1.740,6.594.600,11.474.604.000,0.29%,2.93%,0.00%,2.05%,2.63%,3.13%,BNGA
86,23-07-2025,1.715,1.715,1.700,1.705,2.469.600,4.210.668.000,0.88%,0.88%,0.00%,0.29%,0.00%,0.87%,BNGA
