col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BNII
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BNII
1,21-11-2025,208,208,204,206,421.700,86.870.200,0.00%,0.00%,-1.92%,-0.96%,0.00%,0.96%,BNII
2,20-11-2025,206,208,206,208,171.400,35.651.200,0.00%,0.97%,0.00%,0.97%,0.97%,0.96%,BNII
3,19-11-2025,208,208,206,206,461.200,95.007.200,0.97%,0.97%,0.00%,0.00%,0.00%,1.92%,BNII
4,18-11-2025,208,208,204,206,569.000,117.214.000,0.97%,0.97%,-0.97%,0.00%,0.00%,1.92%,BNII
5,17-11-2025,206,208,204,206,3.082.400,634.974.400,0.98%,1.96%,0.00%,0.98%,0.97%,1.92%,BNII
6,14-11-2025,208,208,204,204,2.214.400,451.737.600,0.00%,0.00%,-1.92%,-1.92%,0.00%,2.88%,BNII
7,13-11-2025,204,208,202,208,1.203.000,250.224.000,-1.92%,0.00%,-2.88%,0.00%,1.96%,1.92%,BNII
8,12-11-2025,206,208,204,208,535.900,111.467.200,0.98%,1.96%,0.00%,1.96%,0.97%,2.88%,BNII
9,11-11-2025,208,208,202,204,2.613.100,533.072.400,0.97%,0.97%,-1.94%,-0.97%,0.00%,0.96%,BNII
10,10-11-2025,206,208,206,206,2.350.100,484.120.600,0.00%,0.97%,0.00%,0.00%,0.97%,2.88%,BNII
11,07-11-2025,204,206,202,206,896.600,184.699.600,0.00%,0.98%,-0.98%,0.98%,0.98%,1.94%,BNII
12,06-11-2025,202,206,202,204,870.900,177.663.600,-0.98%,0.98%,-0.98%,0.00%,1.98%,1.94%,BNII
13,05-11-2025,202,204,202,204,751.800,153.367.200,0.00%,0.99%,0.00%,0.99%,0.99%,0.98%,BNII
14,04-11-2025,206,206,202,202,828.000,167.256.000,0.98%,0.98%,-0.98%,-0.98%,0.00%,0.97%,BNII
15,03-11-2025,206,206,204,204,456.400,93.105.600,0.00%,0.00%,-0.97%,-0.97%,0.00%,1.94%,BNII
16,31-10-2025,202,206,202,206,607.600,125.165.600,0.00%,1.98%,0.00%,1.98%,1.98%,1.94%,BNII
17,30-10-2025,202,206,202,202,1.494.300,301.848.600,-0.98%,0.98%,-0.98%,-0.98%,1.98%,2.91%,BNII
18,29-10-2025,202,204,200,204,2.736.000,558.144.000,0.00%,0.99%,-0.99%,0.99%,0.99%,1.96%,BNII
19,28-10-2025,204,204,200,202,2.104.700,425.149.400,0.00%,0.00%,-1.96%,-0.98%,0.00%,1.96%,BNII
20,27-10-2025,204,204,200,204,2.109.300,430.297.200,0.99%,0.99%,-0.99%,0.99%,0.00%,0.98%,BNII
21,24-10-2025,202,204,202,202,667.400,134.814.800,-0.98%,0.00%,-0.98%,-0.98%,0.99%,0.98%,BNII
22,23-10-2025,204,204,202,204,256.300,52.285.200,0.99%,0.99%,0.00%,0.99%,0.00%,2.45%,BNII
23,22-10-2025,204,206,199,202,2.821.100,569.862.200,0.99%,1.98%,-1.49%,0.00%,0.98%,1.94%,BNII
24,21-10-2025,204,206,202,202,991.200,200.222.400,2.00%,3.00%,1.00%,1.00%,0.98%,2.91%,BNII
25,20-10-2025,204,206,200,200,969.800,193.960.000,2.00%,3.00%,0.00%,0.00%,0.98%,2.91%,BNII
26,17-10-2025,202,204,200,200,596.400,119.280.000,0.00%,0.99%,-0.99%,-0.99%,0.99%,1.96%,BNII
27,16-10-2025,204,204,200,202,338.000,68.276.000,0.00%,0.00%,-1.96%,-0.98%,0.00%,1.96%,BNII
28,15-10-2025,206,206,200,204,993.300,202.633.200,0.98%,0.98%,-1.96%,0.00%,0.00%,2.91%,BNII
29,14-10-2025,206,206,200,204,1.547.000,315.588.000,0.98%,0.98%,-1.96%,0.00%,0.00%,1.94%,BNII
30,13-10-2025,206,206,202,204,379.300,77.377.200,0.00%,0.00%,-1.94%,-0.97%,0.00%,2.91%,BNII
31,10-10-2025,208,208,200,206,1.212.900,249.857.400,0.97%,0.97%,-2.91%,0.00%,0.00%,1.92%,BNII
