col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BNLI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BNLI
1,21-11-2025,5.075,5.075,4.950,5.000,49.700,248.500.000,0.00%,0.00%,-2.46%,-1.48%,0.00%,2.86%,BNLI
2,20-11-2025,5.000,5.125,4.930,5.075,226.900,1.151.517.500,-0.50%,1.99%,-1.89%,1.00%,2.50%,1.95%,BNLI
3,19-11-2025,5.100,5.125,5.025,5.025,56.300,282.907.500,0.00%,0.49%,-1.47%,-1.47%,0.49%,0.49%,BNLI
4,18-11-2025,5.150,5.175,5.100,5.100,55.100,281.010.000,0.00%,0.49%,-0.97%,-0.97%,0.49%,0.97%,BNLI
5,17-11-2025,5.150,5.200,5.125,5.150,47.600,245.140.000,0.00%,0.97%,-0.49%,0.00%,0.97%,1.92%,BNLI
6,14-11-2025,5.100,5.275,5.100,5.150,33.700,173.555.000,-0.49%,2.93%,-0.49%,0.49%,3.43%,2.84%,BNLI
7,13-11-2025,5.275,5.275,5.125,5.125,72.600,372.075.000,0.48%,0.48%,-2.38%,-2.38%,0.00%,0.47%,BNLI
8,12-11-2025,5.300,5.300,5.250,5.250,17.500,91.875.000,0.47%,0.47%,-0.47%,-0.47%,0.00%,1.89%,BNLI
9,11-11-2025,5.275,5.300,5.200,5.275,87.500,461.562.500,0.48%,0.95%,-0.95%,0.48%,0.47%,1.42%,BNLI
10,10-11-2025,5.275,5.300,5.225,5.250,39.200,205.800.000,0.00%,0.47%,-0.95%,-0.47%,0.47%,1.89%,BNLI
11,07-11-2025,5.275,5.325,5.200,5.275,73.900,389.822.500,0.00%,0.95%,-1.42%,0.00%,0.95%,1.41%,BNLI
12,06-11-2025,5.300,5.300,5.250,5.275,30.700,161.942.500,0.47%,0.47%,-0.47%,0.00%,0.00%,1.42%,BNLI
13,05-11-2025,5.225,5.325,5.225,5.275,38.400,202.560.000,-0.48%,1.43%,-0.48%,0.48%,1.91%,1.41%,BNLI
14,04-11-2025,5.300,5.300,5.250,5.250,21.900,114.975.000,0.95%,0.95%,0.00%,0.00%,0.00%,5.19%,BNLI
15,03-11-2025,5.025,5.300,5.025,5.250,81.100,425.775.000,-4.74%,0.47%,-4.74%,-0.47%,5.47%,1.89%,BNLI
16,31-10-2025,5.325,5.350,5.200,5.275,83.200,438.880.000,0.47%,0.94%,-1.89%,-0.47%,0.47%,4.67%,BNLI
17,30-10-2025,5.375,5.500,5.100,5.300,313.700,1.662.610.000,0.47%,2.80%,-4.67%,-0.93%,2.33%,4.55%,BNLI
