col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BOLT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BOLT
1,21-11-2025,1.100,1.100,1.080,1.080,13.000,14.040.000,0.92%,0.92%,-0.92%,-0.92%,0.00%,0.91%,BOLT
2,20-11-2025,1.095,1.095,1.090,1.090,5.200,5.668.000,0.00%,0.00%,-0.46%,-0.46%,0.00%,0.00%,BOLT
3,19-11-2025,1.115,1.115,1.095,1.095,16.400,17.958.000,0.00%,0.00%,-1.79%,-1.79%,0.00%,0.45%,BOLT
4,18-11-2025,1.115,1.115,1.110,1.115,5.000,5.575.000,0.45%,0.45%,0.00%,0.45%,0.00%,0.45%,BOLT
5,17-11-2025,1.115,1.115,1.110,1.110,6.600,7.326.000,0.45%,0.45%,0.00%,0.00%,0.00%,0.45%,BOLT
6,14-11-2025,1.110,1.110,1.110,1.110,5.500,6.105.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BOLT
7,13-11-2025,1.120,1.120,1.110,1.110,9.200,10.212.000,0.45%,0.45%,-0.45%,-0.45%,0.00%,0.45%,BOLT
8,12-11-2025,1.120,1.120,1.115,1.115,8.600,9.589.000,0.45%,0.45%,0.00%,0.00%,0.00%,0.45%,BOLT
9,11-11-2025,1.120,1.120,1.115,1.115,6.500,7.247.500,0.45%,0.45%,0.00%,0.00%,0.00%,1.34%,BOLT
10,10-11-2025,1.115,1.115,1.105,1.115,7.600,8.474.000,0.45%,0.45%,-0.45%,0.45%,0.00%,0.45%,BOLT
11,07-11-2025,1.120,1.120,1.110,1.110,9.600,10.656.000,0.00%,0.00%,-0.89%,-0.89%,0.00%,0.45%,BOLT
12,06-11-2025,1.120,1.120,1.115,1.120,6.000,6.720.000,0.00%,0.00%,-0.45%,0.00%,0.00%,0.00%,BOLT
13,05-11-2025,1.135,1.135,1.120,1.120,6.200,6.944.000,0.44%,0.44%,-0.88%,-0.88%,0.00%,1.76%,BOLT
14,04-11-2025,1.120,1.130,1.115,1.130,17.000,19.210.000,0.00%,0.89%,-0.45%,0.89%,0.89%,3.10%,BOLT
15,03-11-2025,1.150,1.150,1.095,1.120,36.000,40.320.000,0.00%,0.00%,-4.78%,-2.61%,0.00%,5.65%,BOLT
16,31-10-2025,1.100,1.150,1.085,1.150,250.300,287.845.000,0.00%,4.55%,-1.36%,4.55%,4.55%,5.65%,BOLT
17,30-10-2025,1.090,1.100,1.085,1.100,24.100,26.510.000,0.00%,0.92%,-0.46%,0.92%,0.92%,3.18%,BOLT
18,29-10-2025,1.090,1.095,1.065,1.090,15.900,17.331.000,0.46%,0.92%,-1.84%,0.46%,0.46%,3.65%,BOLT
19,28-10-2025,1.060,1.095,1.055,1.085,35.400,38.409.000,0.47%,3.79%,0.00%,2.84%,3.30%,4.11%,BOLT
20,27-10-2025,1.050,1.055,1.050,1.055,11.300,11.921.500,0.00%,0.48%,0.00%,0.48%,0.48%,0.95%,BOLT
21,24-10-2025,1.045,1.050,1.045,1.050,7.500,7.875.000,0.00%,0.48%,0.00%,0.48%,0.48%,0.48%,BOLT
