col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BRAM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BRAM
1,21-11-2025,4.930,4.940,4.850,4.920,8.200,40.344.000,0.00%,0.20%,-1.62%,-0.20%,0.20%,1.01%,BRAM
2,20-11-2025,4.930,4.930,4.890,4.930,600,2.958.000,1.23%,1.23%,0.41%,1.23%,0.00%,1.22%,BRAM
3,19-11-2025,4.870,4.960,4.870,4.870,1.600,7.792.000,0.21%,2.06%,0.21%,0.21%,1.85%,2.22%,BRAM
4,18-11-2025,4.980,5.125,4.850,4.860,13.100,63.666.000,0.20%,3.12%,-2.41%,-2.21%,2.91%,3.80%,BRAM
5,17-11-2025,4.940,5.100,4.930,4.970,4.500,22.365.000,-1.20%,2.00%,-1.40%,-0.60%,3.24%,2.16%,BRAM
6,14-11-2025,5.075,5.075,4.990,5.000,1.400,7.000.000,1.70%,1.70%,0.00%,0.20%,0.00%,1.67%,BRAM
7,13-11-2025,5.050,5.100,4.990,4.990,1.300,6.487.000,1.00%,2.00%,-0.20%,-0.20%,0.99%,1.96%,BRAM
8,12-11-2025,5.000,5.050,5.000,5.000,700,3.500.000,0.00%,1.00%,0.00%,0.00%,1.00%,0.99%,BRAM
9,11-11-2025,5.050,5.075,5.000,5.000,2.800,14.000.000,0.00%,0.50%,-0.99%,-0.99%,0.50%,1.87%,BRAM
10,10-11-2025,5.150,5.150,4.980,5.050,15.900,80.295.000,0.00%,0.00%,-3.30%,-1.94%,0.00%,1.94%,BRAM
11,07-11-2025,5.050,5.150,5.050,5.150,600,3.090.000,1.00%,3.00%,1.00%,3.00%,1.98%,4.85%,BRAM
12,06-11-2025,5.075,5.100,4.900,5.000,2.300,11.500.000,1.50%,2.00%,-2.00%,0.00%,0.49%,1.96%,BRAM
13,05-11-2025,5.050,5.175,5.000,5.000,1.800,9.000.000,0.00%,2.48%,-0.99%,-0.99%,2.48%,3.38%,BRAM
14,04-11-2025,5.025,5.075,5.000,5.050,2.300,11.615.000,0.50%,1.50%,0.00%,1.00%,1.00%,1.48%,BRAM
15,03-11-2025,5.200,5.200,5.000,5.000,4.100,20.500.000,2.97%,2.97%,-0.99%,-0.99%,0.00%,2.88%,BRAM
16,31-10-2025,5.150,5.150,5.050,5.050,3.800,19.190.000,0.98%,0.98%,-0.98%,-0.98%,0.00%,2.91%,BRAM
17,30-10-2025,5.000,5.100,5.000,5.100,2.000,10.200.000,-3.85%,-1.92%,-3.85%,-1.92%,2.00%,3.53%,BRAM
18,29-10-2025,5.050,5.200,4.920,5.200,4.200,21.840.000,-1.94%,0.97%,-4.47%,0.97%,2.97%,0.96%,BRAM
