col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BREN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BREN
1,21-11-2025,9.800,9.900,9.675,9.850,53.431.000,526.295.350.000,0.00%,1.02%,-1.28%,0.51%,1.02%,2.27%,BREN
2,20-11-2025,9.775,9.875,9.675,9.800,47.084.000,461.423.200.000,1.03%,2.07%,0.00%,1.29%,1.02%,2.78%,BREN
3,19-11-2025,9.725,9.775,9.600,9.675,23.150.100,223.977.217.500,1.04%,1.56%,-0.26%,0.52%,0.51%,2.05%,BREN
4,18-11-2025,9.750,9.800,9.575,9.625,22.462.800,216.204.450.000,0.26%,0.77%,-1.54%,-1.03%,0.51%,1.28%,BREN
5,17-11-2025,9.800,9.925,9.675,9.725,24.739.000,240.586.775.000,0.51%,1.79%,-0.77%,-0.26%,1.28%,1.76%,BREN
6,14-11-2025,9.825,9.900,9.750,9.750,18.481.200,180.191.700.000,-0.76%,0.00%,-1.52%,-1.52%,0.76%,1.77%,BREN
7,13-11-2025,9.975,10.025,9.725,9.900,39.026.800,386.365.320.000,0.50%,1.01%,-2.02%,-0.25%,0.50%,1.50%,BREN
8,12-11-2025,10.050,10.100,9.875,9.925,24.978.600,247.912.605.000,0.25%,0.75%,-1.50%,-1.00%,0.50%,1.98%,BREN
9,11-11-2025,10.325,10.350,9.900,10.025,39.156.400,392.542.910.000,0.98%,1.22%,-3.18%,-1.96%,0.24%,3.62%,BREN
10,10-11-2025,10.000,10.725,9.975,10.225,84.614.200,865.180.195.000,0.25%,7.52%,0.00%,2.51%,7.25%,9.09%,BREN
11,07-11-2025,9.925,9.975,9.750,9.975,32.421.800,323.407.455.000,0.00%,0.50%,-1.76%,0.50%,0.50%,4.76%,BREN
12,06-11-2025,10.000,10.175,9.500,9.925,103.014.800,1.022.421.890.000,2.56%,4.36%,-2.56%,1.79%,1.75%,10.32%,BREN
13,05-11-2025,9.200,9.750,9.125,9.750,53.216.800,518.863.800.000,-0.27%,5.69%,-1.08%,5.69%,5.98%,5.90%,BREN
14,04-11-2025,9.400,9.750,9.175,9.225,55.631.300,513.198.742.500,1.35%,5.12%,-1.08%,-0.54%,3.72%,10.00%,BREN
15,03-11-2025,8.800,9.400,8.775,9.275,48.431.600,449.203.090.000,1.44%,8.36%,1.15%,6.92%,6.82%,7.98%,BREN
16,31-10-2025,8.700,8.850,8.650,8.675,11.425.900,99.119.682.500,0.87%,2.61%,0.29%,0.58%,1.72%,3.67%,BREN
17,30-10-2025,8.750,8.900,8.525,8.625,14.234.100,122.769.112.500,0.00%,1.71%,-2.57%,-1.43%,1.71%,2.53%,BREN
18,29-10-2025,8.975,9.000,8.675,8.750,20.629.000,180.503.750.000,0.84%,1.12%,-2.53%,-1.69%,0.28%,6.67%,BREN
19,28-10-2025,8.900,8.975,8.400,8.900,39.432.500,350.949.250.000,0.00%,0.84%,-5.62%,0.00%,0.84%,13.09%,BREN
20,27-10-2025,9.050,9.075,7.800,8.900,156.992.400,1.397.232.360.000,-1.36%,-1.09%,-14.99%,-3.00%,0.28%,1.38%,BREN
21,24-10-2025,9.000,9.300,8.950,9.175,18.440.900,169.195.257.500,-0.28%,3.05%,-0.83%,1.66%,3.33%,4.84%,BREN
22,23-10-2025,9.125,9.175,8.850,9.025,21.356.000,192.737.900.000,0.27%,0.82%,-2.75%,-0.82%,0.55%,1.09%,BREN
23,22-10-2025,9.250,9.275,9.075,9.100,15.204.100,138.357.310.000,0.00%,0.27%,-1.89%,-1.62%,0.27%,0.81%,BREN
24,21-10-2025,9.250,9.350,9.200,9.250,10.678.300,98.774.275.000,-0.27%,0.81%,-0.81%,-0.27%,1.08%,2.41%,BREN
25,20-10-2025,9.350,9.425,9.125,9.275,20.358.300,188.823.232.500,0.54%,1.34%,-1.88%,-0.27%,0.80%,3.45%,BREN
26,17-10-2025,9.800,9.800,9.100,9.300,48.110.600,447.428.580.000,0.00%,0.00%,-7.14%,-5.10%,0.00%,3.32%,BREN
27,16-10-2025,9.650,9.825,9.475,9.800,26.735.900,262.011.820.000,1.05%,2.88%,-0.79%,2.62%,1.81%,5.85%,BREN
28,15-10-2025,9.675,9.725,9.250,9.550,30.362.500,289.961.875.000,0.00%,0.52%,-4.39%,-1.29%,0.52%,6.43%,BREN
29,14-10-2025,9.850,9.900,9.100,9.675,47.403.400,458.627.895.000,0.25%,0.76%,-7.38%,-1.53%,0.51%,3.28%,BREN
30,13-10-2025,9.600,10.250,9.575,9.825,52.095.700,511.840.252.500,-2.54%,4.06%,-2.79%,-0.25%,6.77%,5.85%,BREN
31,10-10-2025,9.900,9.975,9.650,9.850,37.198.100,366.401.285.000,0.25%,1.01%,-2.28%,-0.25%,0.76%,4.76%,BREN
32,09-10-2025,9.700,10.075,9.500,9.875,38.499.900,380.186.512.500,0.52%,4.40%,-1.55%,2.33%,3.87%,7.69%,BREN
33,08-10-2025,10.050,10.100,9.300,9.650,43.227.100,417.141.515.000,0.75%,1.25%,-6.77%,-3.26%,0.50%,1.98%,BREN
34,07-10-2025,10.150,10.350,9.900,9.975,43.961.800,438.518.955.000,1.75%,3.76%,-0.75%,0.00%,1.97%,7.49%,BREN
35,06-10-2025,9.675,10.150,9.575,9.975,67.404.700,672.361.882.500,1.31%,6.28%,0.26%,4.45%,4.91%,7.88%,BREN
36,03-10-2025,9.375,9.800,9.350,9.550,53.213.300,508.187.015.000,2.18%,6.81%,1.91%,4.09%,4.53%,7.91%,BREN
37,02-10-2025,9.175,9.275,9.025,9.175,23.891.800,219.207.265.000,0.27%,1.37%,-1.37%,0.27%,1.09%,1.35%,BREN
38,01-10-2025,9.425,9.500,9.150,9.150,31.562.600,288.797.790.000,0.53%,1.33%,-2.40%,-2.40%,0.80%,2.37%,BREN
39,30-09-2025,9.800,9.800,9.275,9.375,39.361.700,369.015.937.500,1.29%,1.29%,-4.13%,-3.10%,0.00%,8.42%,BREN
40,29-09-2025,9.025,9.950,8.975,9.675,102.431.800,991.027.665.000,0.00%,10.25%,-0.55%,7.20%,10.25%,10.30%,BREN
41,26-09-2025,9.000,9.300,8.925,9.025,35.396.100,319.449.802.500,2.27%,5.68%,1.42%,2.56%,3.33%,8.33%,BREN
42,25-09-2025,8.850,9.100,8.525,8.800,33.165.700,291.858.160.000,-0.28%,2.54%,-3.94%,-0.85%,2.82%,2.47%,BREN
43,24-09-2025,9.150,9.400,8.875,8.875,57.939.000,514.208.625.000,1.39%,4.16%,-1.66%,-1.66%,2.73%,5.32%,BREN
44,23-09-2025,8.925,9.200,8.900,9.025,29.343.200,264.822.380.000,0.00%,3.08%,-0.28%,1.12%,3.08%,4.62%,BREN
45,22-09-2025,9.050,9.050,8.775,8.925,30.798.500,274.876.612.500,0.00%,0.00%,-3.04%,-1.38%,0.00%,2.76%,BREN
46,19-09-2025,9.125,9.125,8.800,9.050,38.933.800,352.350.890.000,0.55%,0.55%,-3.03%,-0.28%,0.00%,2.47%,BREN
47,18-09-2025,8.950,9.200,8.900,9.075,42.983.000,390.070.725.000,0.28%,3.08%,-0.28%,1.68%,2.79%,4.62%,BREN
48,17-09-2025,8.875,9.200,8.775,8.925,25.326.200,226.036.335.000,0.00%,3.66%,-1.13%,0.56%,3.66%,4.62%,BREN
49,16-09-2025,9.000,9.050,8.775,8.875,11.936.400,105.935.550.000,1.41%,1.97%,-1.13%,0.00%,0.56%,4.42%,BREN
50,15-09-2025,8.650,8.950,8.650,8.875,19.471.400,172.808.675.000,0.00%,3.47%,0.00%,2.60%,3.47%,3.91%,BREN
51,12-09-2025,8.700,8.850,8.600,8.650,16.236.100,140.442.265.000,1.75%,3.51%,0.58%,1.17%,1.72%,5.08%,BREN
52,11-09-2025,8.600,8.650,8.400,8.550,15.391.700,131.599.035.000,0.58%,1.17%,-1.75%,0.00%,0.58%,3.47%,BREN
53,10-09-2025,8.525,8.650,8.350,8.550,19.462.200,166.401.810.000,2.40%,3.90%,0.30%,2.70%,1.47%,4.62%,BREN
54,09-09-2025,8.600,8.725,8.250,8.325,24.691.700,205.558.402.500,0.29%,1.75%,-3.79%,-2.92%,1.45%,2.01%,BREN
