col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BRIS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BRIS
1,21-11-2025,2.450,2.450,2.390,2.420,22.051.000,53.363.420.000,0.00%,0.00%,-2.45%,-1.22%,0.00%,0.00%,BRIS
2,20-11-2025,2.460,2.480,2.450,2.450,14.356.100,35.172.445.000,0.00%,0.81%,-0.41%,-0.41%,0.81%,1.21%,BRIS
3,19-11-2025,2.470,2.480,2.450,2.460,6.991.600,17.199.336.000,0.00%,0.40%,-0.81%,-0.40%,0.40%,1.21%,BRIS
4,18-11-2025,2.480,2.510,2.450,2.470,9.935.900,24.541.673.000,0.00%,1.21%,-1.21%,-0.40%,1.21%,1.99%,BRIS
5,17-11-2025,2.500,2.510,2.460,2.480,11.211.600,27.804.768.000,0.40%,0.80%,-1.20%,-0.40%,0.40%,1.99%,BRIS
6,14-11-2025,2.460,2.500,2.460,2.490,12.091.100,30.106.839.000,0.00%,1.63%,0.00%,1.22%,1.63%,2.00%,BRIS
7,13-11-2025,2.490,2.500,2.450,2.460,20.489.000,50.402.940.000,0.40%,0.81%,-1.21%,-0.81%,0.40%,1.20%,BRIS
8,12-11-2025,2.500,2.520,2.470,2.480,20.964.400,51.991.712.000,0.00%,0.80%,-1.20%,-0.80%,0.80%,1.98%,BRIS
9,11-11-2025,2.510,2.520,2.470,2.500,14.559.300,36.398.250.000,0.40%,0.80%,-1.20%,0.00%,0.40%,0.79%,BRIS
10,10-11-2025,2.530,2.540,2.500,2.500,13.044.200,32.610.500.000,0.80%,1.20%,-0.40%,-0.40%,0.40%,1.97%,BRIS
11,07-11-2025,2.490,2.530,2.490,2.510,16.252.400,40.793.524.000,0.00%,1.61%,0.00%,0.80%,1.61%,1.98%,BRIS
12,06-11-2025,2.500,2.510,2.480,2.490,13.416.400,33.406.836.000,0.00%,0.40%,-0.80%,-0.40%,0.40%,1.20%,BRIS
13,05-11-2025,2.520,2.520,2.480,2.500,27.036.100,67.590.250.000,0.40%,0.40%,-1.20%,-0.40%,0.00%,0.40%,BRIS
14,04-11-2025,2.540,2.560,2.510,2.510,14.220.900,35.694.459.000,0.40%,1.19%,-0.79%,-0.79%,0.79%,1.17%,BRIS
15,03-11-2025,2.550,2.580,2.530,2.530,22.920.400,57.988.612.000,0.00%,1.18%,-0.78%,-0.78%,1.18%,1.16%,BRIS
16,31-10-2025,2.570,2.620,2.550,2.550,25.759.900,65.687.745.000,0.00%,1.95%,-0.78%,-0.78%,1.95%,1.91%,BRIS
17,30-10-2025,2.600,2.660,2.570,2.570,23.838.500,61.264.945.000,0.00%,2.31%,-1.15%,-1.15%,2.31%,3.38%,BRIS
18,29-10-2025,2.580,2.620,2.570,2.600,17.255.600,44.864.560.000,0.78%,2.34%,0.39%,1.56%,1.55%,2.67%,BRIS
19,28-10-2025,2.610,2.610,2.550,2.560,15.102.900,38.663.424.000,0.38%,0.38%,-1.92%,-1.54%,0.00%,2.30%,BRIS
20,27-10-2025,2.650,2.650,2.550,2.600,13.353.300,34.718.580.000,1.53%,1.53%,-2.30%,-0.38%,0.00%,1.51%,BRIS
21,24-10-2025,2.620,2.670,2.610,2.610,13.961.700,36.440.037.000,-0.76%,1.14%,-1.14%,-1.14%,1.91%,3.00%,BRIS
22,23-10-2025,2.620,2.660,2.590,2.640,22.331.000,58.953.840.000,0.00%,1.53%,-1.15%,0.76%,1.53%,1.88%,BRIS
23,22-10-2025,2.670,2.720,2.610,2.620,20.801.200,54.499.144.000,0.00%,1.87%,-2.25%,-1.87%,1.87%,2.57%,BRIS
24,21-10-2025,2.680,2.700,2.650,2.670,24.175.700,64.549.119.000,1.52%,2.27%,0.38%,1.14%,0.75%,5.56%,BRIS
25,20-10-2025,2.550,2.690,2.550,2.640,34.752.100,91.745.544.000,1.19%,6.75%,1.19%,4.76%,5.49%,7.06%,BRIS
26,17-10-2025,2.520,2.580,2.500,2.520,9.718.200,24.489.864.000,0.00%,2.38%,-0.79%,0.00%,2.38%,3.10%,BRIS
27,16-10-2025,2.510,2.570,2.500,2.520,13.167.700,33.182.604.000,0.40%,2.80%,0.00%,0.80%,2.39%,3.11%,BRIS
28,15-10-2025,2.570,2.580,2.490,2.500,17.943.800,44.859.500.000,0.39%,0.78%,-2.73%,-2.34%,0.39%,1.55%,BRIS
29,14-10-2025,2.580,2.600,2.540,2.560,17.570.000,44.979.200.000,0.00%,0.78%,-1.55%,-0.78%,0.78%,1.15%,BRIS
30,13-10-2025,2.610,2.620,2.570,2.580,15.062.100,38.860.218.000,-0.76%,-0.38%,-2.28%,-1.90%,0.38%,0.00%,BRIS
31,10-10-2025,2.690,2.700,2.620,2.630,17.746.400,46.673.032.000,0.00%,0.37%,-2.60%,-2.23%,0.37%,4.44%,BRIS
32,09-10-2025,2.590,2.740,2.580,2.690,36.630.600,98.536.314.000,0.00%,5.79%,-0.39%,3.86%,5.79%,5.84%,BRIS
