col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BRPT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BRPT
1,21-11-2025,3.450,3.500,3.410,3.490,61.228.900,213.688.861.000,-0.58%,0.86%,-1.73%,0.58%,1.45%,0.86%,BRPT
2,20-11-2025,3.530,3.580,3.470,3.470,55.203.300,191.555.451.000,0.86%,2.29%,-0.86%,-0.86%,1.42%,2.23%,BRPT
3,19-11-2025,3.580,3.610,3.500,3.500,76.949.500,269.323.250.000,0.00%,0.84%,-2.23%,-2.23%,0.84%,2.77%,BRPT
4,18-11-2025,3.770,3.780,3.510,3.580,155.065.500,555.134.490.000,0.00%,0.27%,-6.90%,-5.04%,0.27%,0.79%,BRPT
5,17-11-2025,3.800,3.860,3.750,3.770,88.662.000,334.255.740.000,0.53%,2.12%,-0.79%,-0.26%,1.58%,3.89%,BRPT
6,14-11-2025,3.710,3.880,3.710,3.780,120.503.100,455.501.718.000,-0.27%,4.30%,-0.27%,1.61%,4.58%,4.38%,BRPT
7,13-11-2025,3.830,3.880,3.710,3.720,196.838.200,732.238.104.000,1.32%,2.65%,-1.85%,-1.59%,1.31%,9.54%,BRPT
8,12-11-2025,3.540,3.850,3.510,3.780,294.998.400,1.115.093.952.000,0.28%,9.07%,-0.57%,7.08%,8.76%,9.09%,BRPT
9,11-11-2025,3.590,3.600,3.500,3.530,58.774.500,207.473.985.000,0.00%,0.28%,-2.51%,-1.67%,0.28%,1.39%,BRPT
10,10-11-2025,3.590,3.640,3.550,3.590,97.681.600,350.676.944.000,0.00%,1.39%,-1.11%,0.00%,1.39%,2.20%,BRPT
11,07-11-2025,3.590,3.670,3.560,3.590,97.233.900,349.069.701.000,0.56%,2.80%,-0.28%,0.56%,2.23%,3.54%,BRPT
12,06-11-2025,3.640,3.650,3.540,3.570,74.999.000,267.746.430.000,2.25%,2.53%,-0.56%,0.28%,0.27%,5.75%,BRPT
13,05-11-2025,3.450,3.580,3.440,3.560,72.579.300,258.382.308.000,-1.43%,2.29%,-1.71%,1.71%,3.77%,2.23%,BRPT
14,04-11-2025,3.670,3.730,3.500,3.500,166.746.500,583.612.750.000,0.00%,1.63%,-4.63%,-4.63%,1.63%,7.51%,BRPT
15,03-11-2025,3.450,3.740,3.450,3.670,199.701.300,732.903.771.000,0.00%,8.41%,0.00%,6.38%,8.41%,7.75%,BRPT
16,31-10-2025,3.550,3.570,3.450,3.450,61.590.500,212.487.225.000,0.28%,0.85%,-2.54%,-2.54%,0.56%,3.36%,BRPT
17,30-10-2025,3.560,3.570,3.450,3.540,72.750.400,257.536.416.000,0.00%,0.28%,-3.09%,-0.56%,0.28%,5.88%,BRPT
18,29-10-2025,3.430,3.570,3.360,3.560,96.277.800,342.748.968.000,0.29%,4.39%,-1.75%,4.09%,4.08%,11.76%,BRPT
19,28-10-2025,3.330,3.450,3.150,3.420,153.376.900,524.548.998.000,0.91%,4.55%,-4.55%,3.64%,3.60%,9.57%,BRPT
20,27-10-2025,3.650,3.680,3.120,3.300,370.527.600,1.222.741.080.000,0.27%,1.10%,-14.29%,-9.34%,0.82%,2.17%,BRPT
21,24-10-2025,3.760,3.840,3.600,3.640,97.685.000,355.573.400.000,0.53%,2.67%,-3.74%,-2.67%,2.13%,2.60%,BRPT
22,23-10-2025,3.790,3.860,3.740,3.740,69.279.900,259.106.826.000,1.07%,2.93%,-0.27%,-0.27%,1.85%,4.66%,BRPT
23,22-10-2025,3.800,3.840,3.680,3.750,69.891.200,262.092.000.000,0.26%,1.32%,-2.90%,-1.06%,1.05%,2.34%,BRPT
24,21-10-2025,3.760,3.860,3.750,3.790,70.087.600,265.632.004.000,-0.27%,2.39%,-0.53%,0.53%,2.66%,6.22%,BRPT
25,20-10-2025,3.800,3.930,3.620,3.770,142.788.300,538.311.891.000,4.11%,7.67%,-0.82%,3.29%,3.42%,10.69%,BRPT
26,17-10-2025,3.900,3.930,3.510,3.650,181.325.500,661.838.075.000,-0.76%,0.00%,-10.69%,-7.12%,0.77%,0.76%,BRPT
27,16-10-2025,3.930,4.070,3.900,3.930,103.909.800,408.365.514.000,1.03%,4.63%,0.26%,1.03%,3.56%,8.85%,BRPT
28,15-10-2025,3.940,4.020,3.710,3.890,197.241.000,767.267.490.000,0.00%,2.03%,-5.84%,-1.27%,2.03%,8.46%,BRPT
29,14-10-2025,4.220,4.230,3.680,3.940,247.359.600,974.596.824.000,0.24%,0.48%,-12.59%,-6.41%,0.24%,1.18%,BRPT
30,13-10-2025,4.240,4.530,4.180,4.210,231.837.800,976.037.138.000,-0.93%,5.84%,-2.34%,-1.64%,6.84%,7.73%,BRPT
31,10-10-2025,4.180,4.320,4.180,4.280,147.932.300,633.150.244.000,1.46%,4.85%,1.46%,3.88%,3.35%,6.02%,BRPT
