col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BSDE
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BSDE
1,21-11-2025,945,955,945,950,5.152.800,4.895.160.000,0.00%,1.06%,0.00%,0.53%,1.06%,1.05%,BSDE
2,20-11-2025,950,965,945,945,21.450.800,20.271.006.000,-0.52%,1.05%,-1.05%,-1.05%,1.58%,1.04%,BSDE
3,19-11-2025,975,980,955,955,15.984.300,15.265.006.500,-0.51%,0.00%,-2.55%,-2.55%,0.51%,1.02%,BSDE
4,18-11-2025,985,1.000,970,980,17.734.800,17.380.104.000,0.00%,1.52%,-1.52%,-0.51%,1.52%,4.00%,BSDE
5,17-11-2025,965,990,960,985,20.404.700,20.098.629.500,0.52%,3.13%,0.00%,2.60%,2.59%,3.54%,BSDE
6,14-11-2025,965,970,955,960,4.440.100,4.262.496.000,0.52%,1.04%,-0.52%,0.00%,0.52%,1.03%,BSDE
7,13-11-2025,960,975,960,960,6.385.800,6.130.368.000,0.00%,1.56%,0.00%,0.00%,1.56%,1.54%,BSDE
8,12-11-2025,980,990,960,960,9.141.900,8.776.224.000,0.51%,1.54%,-1.54%,-1.54%,1.02%,2.53%,BSDE
9,11-11-2025,980,990,965,975,8.294.500,8.087.137.500,0.51%,1.54%,-1.03%,0.00%,1.02%,2.02%,BSDE
10,10-11-2025,975,985,970,975,19.216.800,18.736.380.000,0.00%,1.03%,-0.51%,0.00%,1.03%,3.05%,BSDE
11,07-11-2025,955,985,955,975,11.251.300,10.970.017.500,0.00%,3.14%,0.00%,2.09%,3.14%,3.55%,BSDE
12,06-11-2025,955,965,950,955,7.056.600,6.739.053.000,0.00%,1.05%,-0.52%,0.00%,1.05%,2.07%,BSDE
13,05-11-2025,955,960,945,955,8.333.200,7.958.206.000,0.00%,0.52%,-1.05%,0.00%,0.52%,0.52%,BSDE
14,04-11-2025,965,970,955,955,10.389.500,9.921.972.500,0.52%,1.04%,-0.52%,-0.52%,0.52%,1.55%,BSDE
15,03-11-2025,980,980,955,960,8.401.600,8.065.536.000,0.00%,0.00%,-2.55%,-2.04%,0.00%,5.10%,BSDE
16,31-10-2025,950,980,930,980,33.447.100,32.778.158.000,0.00%,3.16%,-2.11%,3.16%,3.16%,3.06%,BSDE
17,30-10-2025,985,990,950,950,24.435.500,23.213.725.000,1.03%,1.54%,-2.56%,-2.56%,0.51%,4.04%,BSDE
18,29-10-2025,965,985,950,975,14.125.300,13.772.167.500,1.58%,3.68%,0.00%,2.63%,2.07%,4.06%,BSDE
19,28-10-2025,970,970,945,950,9.858.800,9.365.860.000,1.04%,1.04%,-1.56%,-1.04%,0.00%,2.58%,BSDE
20,27-10-2025,955,975,945,960,14.974.900,14.375.904.000,0.00%,2.09%,-1.05%,0.52%,2.09%,2.56%,BSDE
21,24-10-2025,980,985,950,955,15.734.000,15.025.970.000,1.03%,1.55%,-2.06%,-1.55%,0.51%,2.03%,BSDE
22,23-10-2025,970,985,965,970,7.919.200,7.681.624.000,0.00%,1.55%,-0.52%,0.00%,1.55%,2.03%,BSDE
23,22-10-2025,985,1.010,965,970,32.726.800,31.744.996.000,0.00%,2.54%,-2.03%,-1.52%,2.54%,5.94%,BSDE
24,21-10-2025,985,990,950,985,22.742.100,22.400.968.500,2.07%,2.59%,-1.55%,2.07%,0.51%,7.07%,BSDE
25,20-10-2025,920,970,920,965,21.928.300,21.160.809.500,0.00%,5.43%,0.00%,4.89%,5.43%,5.67%,BSDE
26,17-10-2025,950,960,915,920,32.631.800,30.021.256.000,0.00%,1.05%,-3.68%,-3.16%,1.05%,1.56%,BSDE
27,16-10-2025,950,965,945,950,30.741.100,29.204.045.000,0.00%,1.58%,-0.53%,0.00%,1.58%,3.11%,BSDE
28,15-10-2025,1.005,1.025,935,950,68.318.100,64.902.195.000,0.50%,2.50%,-6.50%,-5.00%,1.99%,2.44%,BSDE
29,14-10-2025,1.020,1.050,1.000,1.000,30.630.200,30.630.200.000,0.00%,2.94%,-1.96%,-1.96%,2.94%,3.81%,BSDE
30,13-10-2025,1.020,1.045,1.010,1.020,21.417.700,21.846.054.000,-2.86%,-0.48%,-3.81%,-2.86%,2.45%,3.83%,BSDE
31,10-10-2025,1.005,1.055,1.005,1.050,33.190.700,34.850.235.000,0.00%,4.98%,0.00%,4.48%,4.98%,5.21%,BSDE
32,09-10-2025,1.010,1.030,1.000,1.005,26.075.200,26.205.576.000,0.00%,1.98%,-0.99%,-0.50%,1.98%,2.91%,BSDE
33,08-10-2025,1.025,1.035,1.000,1.010,24.603.800,24.849.838.000,0.49%,1.47%,-1.96%,-0.98%,0.98%,3.38%,BSDE
34,07-10-2025,1.030,1.040,1.000,1.020,16.497.200,16.827.144.000,0.49%,1.46%,-2.44%,-0.49%,0.97%,3.37%,BSDE
35,06-10-2025,1.045,1.055,1.005,1.025,17.497.700,17.935.142.500,0.00%,0.96%,-3.83%,-1.91%,0.96%,3.32%,BSDE
36,03-10-2025,1.035,1.060,1.020,1.045,22.005.800,22.996.061.000,0.00%,2.42%,-1.45%,0.97%,2.42%,2.83%,BSDE
37,02-10-2025,1.050,1.075,1.030,1.035,16.986.600,17.581.131.000,1.94%,4.37%,0.00%,0.49%,2.38%,5.12%,BSDE
38,01-10-2025,1.050,1.060,1.020,1.030,22.114.800,22.778.244.000,-0.94%,0.00%,-3.77%,-2.83%,0.95%,0.47%,BSDE
39,30-09-2025,1.075,1.095,1.055,1.060,14.522.600,15.393.956.000,0.00%,1.86%,-1.86%,-1.40%,1.86%,4.57%,BSDE
40,29-09-2025,1.045,1.085,1.045,1.075,19.557.100,21.023.882.500,0.48%,4.33%,0.48%,3.37%,3.83%,5.99%,BSDE
41,26-09-2025,1.085,1.085,1.020,1.040,27.382.900,28.478.216.000,0.00%,0.00%,-5.99%,-4.15%,0.00%,7.37%,BSDE
42,25-09-2025,1.010,1.110,1.005,1.085,76.828.000,83.358.380.000,0.50%,10.45%,0.00%,7.96%,9.90%,10.36%,BSDE
43,24-09-2025,1.040,1.050,995,1.005,43.654.400,43.872.672.000,0.00%,0.96%,-4.33%,-3.37%,0.96%,4.29%,BSDE
44,23-09-2025,1.005,1.045,1.005,1.040,16.421.300,17.078.152.000,0.50%,4.50%,0.50%,4.00%,3.98%,4.78%,BSDE
45,22-09-2025,1.025,1.040,995,1.000,28.055.600,28.055.600.000,0.49%,1.96%,-2.45%,-1.96%,1.46%,3.85%,BSDE
46,19-09-2025,1.045,1.060,1.000,1.020,49.956.800,50.955.936.000,-1.42%,0.00%,-5.66%,-3.77%,1.44%,0.00%,BSDE
47,18-09-2025,1.115,1.120,1.060,1.060,32.628.600,34.586.316.000,0.00%,0.45%,-4.93%,-4.93%,0.45%,5.80%,BSDE
48,17-09-2025,1.110,1.130,1.055,1.115,75.745.600,84.456.344.000,-0.45%,1.35%,-5.38%,0.00%,1.80%,2.65%,BSDE
49,16-09-2025,1.140,1.140,1.100,1.115,22.679.500,25.287.642.500,0.88%,0.88%,-2.65%,-1.33%,0.00%,3.51%,BSDE
50,15-09-2025,1.100,1.140,1.100,1.130,25.928.600,29.299.318.000,0.46%,4.11%,0.46%,3.20%,3.64%,4.39%,BSDE
51,12-09-2025,1.110,1.115,1.090,1.095,15.515.500,16.989.472.500,0.91%,1.36%,-0.91%,-0.45%,0.45%,4.04%,BSDE
52,11-09-2025,1.070,1.125,1.070,1.100,23.221.000,25.543.100.000,0.00%,5.14%,0.00%,2.80%,5.14%,4.89%,BSDE
53,10-09-2025,1.090,1.110,1.070,1.070,16.742.900,17.914.903.000,0.46%,2.30%,-1.38%,-1.38%,1.83%,4.50%,BSDE
54,09-09-2025,1.080,1.130,1.060,1.085,33.322.800,36.155.238.000,-1.82%,2.73%,-3.64%,-1.36%,4.63%,4.42%,BSDE
55,08-09-2025,1.120,1.165,1.080,1.100,36.525.800,40.178.380.000,0.00%,4.02%,-3.57%,-1.79%,4.02%,5.15%,BSDE
56,04-09-2025,1.150,1.155,1.105,1.120,22.857.900,25.600.848.000,0.44%,0.87%,-3.49%,-2.18%,0.43%,1.73%,BSDE
57,03-09-2025,1.180,1.200,1.135,1.145,37.595.800,43.047.191.000,0.85%,2.56%,-2.99%,-2.14%,1.69%,12.50%,BSDE
58,02-09-2025,1.050,1.190,1.050,1.170,98.920.200,115.736.634.000,0.48%,13.88%,0.48%,11.96%,13.33%,18.07%,BSDE
59,01-09-2025,1.020,1.060,975,1.045,77.418.600,80.902.437.000,-5.99%,-2.30%,-10.14%,-3.69%,3.92%,0.47%,BSDE
60,29-08-2025,1.160,1.160,1.055,1.085,93.365.400,101.301.459.000,-0.85%,-0.85%,-9.83%,-7.26%,0.00%,4.74%,BSDE
61,28-08-2025,1.105,1.200,1.105,1.170,125.141.400,146.415.438.000,0.45%,9.09%,0.45%,6.36%,8.60%,17.92%,BSDE
62,27-08-2025,1.015,1.150,985,1.100,157.959.300,173.755.230.000,2.01%,15.58%,-1.01%,10.55%,13.30%,15.65%,BSDE
63,26-08-2025,970,1.015,970,995,77.990.700,77.600.746.500,1.04%,5.73%,1.04%,3.65%,4.64%,5.42%,BSDE
64,25-08-2025,980,985,960,960,19.560.500,18.778.080.000,4.26%,4.79%,2.13%,2.13%,0.51%,5.08%,BSDE
65,22-08-2025,950,960,935,940,17.622.500,16.565.150.000,0.00%,1.05%,-1.58%,-1.05%,1.05%,2.08%,BSDE
66,21-08-2025,995,1.000,940,950,40.744.600,38.707.370.000,0.51%,1.01%,-5.05%,-4.04%,0.50%,8.00%,BSDE
67,20-08-2025,925,995,920,990,77.620.300,76.844.097.000,1.09%,8.74%,0.55%,8.20%,7.57%,10.55%,BSDE
68,19-08-2025,890,925,890,915,34.076.000,31.179.540.000,0.00%,3.93%,0.00%,2.81%,3.93%,4.32%,BSDE
69,15-08-2025,900,900,885,890,14.788.100,13.161.409.000,0.00%,0.00%,-1.67%,-1.11%,0.00%,1.11%,BSDE
70,14-08-2025,910,915,890,900,24.339.800,21.905.820.000,1.68%,2.23%,-0.56%,0.56%,0.55%,4.92%,BSDE
71,13-08-2025,880,920,870,895,41.255.200,36.923.404.000,0.00%,4.55%,-1.14%,1.70%,4.55%,5.43%,BSDE
72,12-08-2025,885,890,870,880,23.291.500,20.496.520.000,0.57%,1.14%,-1.14%,0.00%,0.56%,6.18%,BSDE
73,11-08-2025,840,890,835,880,46.268.700,40.716.456.000,0.60%,6.59%,0.00%,5.39%,5.95%,8.99%,BSDE
74,08-08-2025,815,840,810,835,17.348.200,14.485.747.000,0.00%,3.07%,-0.61%,2.45%,3.07%,2.98%,BSDE
75,07-08-2025,815,825,815,815,6.138.100,5.002.551.500,0.00%,1.23%,0.00%,0.00%,1.23%,1.21%,BSDE
76,06-08-2025,830,835,815,815,10.974.800,8.944.462.000,0.61%,1.21%,-1.21%,-1.21%,0.60%,4.79%,BSDE
77,05-08-2025,800,825,795,825,36.510.700,30.121.327.500,0.63%,3.77%,0.00%,3.77%,3.13%,4.24%,BSDE
78,04-08-2025,800,805,790,795,9.127.400,7.256.283.000,0.63%,1.26%,-0.63%,0.00%,0.63%,1.86%,BSDE
79,01-08-2025,790,805,790,795,18.336.500,14.577.517.500,0.00%,1.90%,0.00%,0.63%,1.90%,2.48%,BSDE
80,31-07-2025,830,830,785,790,32.238.500,25.468.415.000,0.00%,0.00%,-5.42%,-4.82%,0.00%,1.20%,BSDE
81,30-07-2025,840,850,820,830,21.194.100,17.591.103.000,0.00%,1.19%,-2.38%,-1.19%,1.19%,1.76%,BSDE
82,29-07-2025,860,860,835,840,13.148.400,11.044.656.000,0.58%,0.58%,-2.34%,-1.75%,0.00%,2.33%,BSDE
83,28-07-2025,850,865,840,855,28.910.800,24.718.734.000,1.80%,3.59%,0.60%,2.40%,1.76%,6.36%,BSDE
84,25-07-2025,815,835,810,835,21.778.000,18.184.630.000,1.24%,3.73%,0.62%,3.73%,2.45%,3.59%,BSDE
85,24-07-2025,830,830,805,805,8.064.900,6.492.244.500,0.61%,0.61%,-2.42%,-2.42%,0.00%,4.22%,BSDE
86,23-07-2025,800,830,795,825,16.711.700,13.787.152.500,0.00%,3.75%,-0.63%,3.13%,3.75%,3.61%,BSDE
87,22-07-2025,805,820,800,800,14.187.800,11.350.240.000,0.63%,2.50%,0.00%,0.00%,1.86%,3.05%,BSDE
88,21-07-2025,805,805,795,800,6.910.400,5.528.320.000,0.63%,0.63%,-0.63%,0.00%,0.00%,0.62%,BSDE
89,18-07-2025,815,825,800,800,13.683.200,10.946.560.000,0.62%,1.85%,-1.23%,-1.23%,1.23%,2.42%,BSDE
90,17-07-2025,830,830,805,810,11.293.500,9.147.735.000,0.00%,0.00%,-3.01%,-2.41%,0.00%,1.20%,BSDE
91,16-07-2025,830,845,820,830,29.591.600,24.561.028.000,0.00%,1.81%,-1.20%,0.00%,1.81%,7.10%,BSDE
92,15-07-2025,790,830,785,830,18.160.600,15.073.298.000,0.00%,5.06%,-0.63%,5.06%,5.06%,5.42%,BSDE
93,14-07-2025,805,805,785,790,12.692.500,10.027.075.000,0.63%,0.63%,-1.88%,-1.25%,0.00%,1.24%,BSDE
94,11-07-2025,805,810,795,800,5.175.000,4.140.000.000,0.63%,1.25%,-0.63%,0.00%,0.62%,3.09%,BSDE
95,10-07-2025,790,810,785,800,9.209.600,7.367.680.000,0.00%,2.53%,-0.63%,1.27%,2.53%,4.94%,BSDE
96,09-07-2025,780,795,770,790,6.471.900,5.112.801.000,0.00%,1.92%,-1.28%,1.28%,1.92%,1.89%,BSDE
97,08-07-2025,800,800,780,780,7.293.000,5.688.540.000,0.63%,0.63%,-1.89%,-1.89%,0.00%,1.88%,BSDE
98,07-07-2025,795,800,785,795,5.445.300,4.329.013.500,0.00%,0.63%,-1.26%,0.00%,0.63%,1.88%,BSDE
99,04-07-2025,800,805,785,795,6.080.700,4.834.156.500,0.63%,1.26%,-1.26%,0.00%,0.63%,2.48%,BSDE
100,03-07-2025,790,805,785,795,7.866.600,6.253.947.000,-0.63%,1.26%,-1.26%,0.00%,1.90%,3.11%,BSDE
