col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BSIM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BSIM
1,21-11-2025,880,880,850,875,19.800,17.325.000,0.00%,0.00%,-3.41%,-0.57%,0.00%,1.14%,BSIM
2,20-11-2025,880,890,870,880,10.500,9.240.000,1.15%,2.30%,0.00%,1.15%,1.14%,3.37%,BSIM
3,19-11-2025,875,880,860,870,13.100,11.397.000,1.74%,2.33%,0.00%,1.16%,0.57%,2.27%,BSIM
4,18-11-2025,880,890,860,860,12.900,11.094.000,1.15%,2.30%,-1.15%,-1.15%,1.14%,3.37%,BSIM
5,17-11-2025,865,880,860,870,8.300,7.221.000,0.00%,1.73%,-0.58%,0.58%,1.73%,2.84%,BSIM
6,14-11-2025,860,880,855,865,9.100,7.871.500,-0.58%,1.73%,-1.16%,0.00%,2.33%,3.41%,BSIM
7,13-11-2025,890,890,850,865,24.600,21.279.000,1.14%,1.14%,-3.41%,-1.70%,0.00%,1.69%,BSIM
8,12-11-2025,880,880,875,880,18.000,15.840.000,0.57%,0.57%,0.00%,0.57%,0.00%,0.57%,BSIM
9,11-11-2025,885,885,875,875,7.000,6.125.000,0.00%,0.00%,-1.13%,-1.13%,0.00%,1.13%,BSIM
10,10-11-2025,880,890,875,885,24.700,21.859.500,0.00%,1.14%,-0.57%,0.57%,1.14%,1.69%,BSIM
11,07-11-2025,875,880,875,880,11.100,9.768.000,-0.57%,0.00%,-0.57%,0.00%,0.57%,0.57%,BSIM
12,06-11-2025,885,885,875,880,20.400,17.952.000,0.57%,0.57%,-0.57%,0.00%,0.00%,2.82%,BSIM
13,05-11-2025,880,905,860,880,32.900,28.952.000,0.00%,2.84%,-2.27%,0.00%,2.84%,3.31%,BSIM
14,04-11-2025,890,905,875,880,14.100,12.408.000,1.71%,3.43%,0.00%,0.57%,1.69%,3.87%,BSIM
15,03-11-2025,875,890,870,875,17.400,15.225.000,0.00%,1.71%,-0.57%,0.00%,1.71%,3.93%,BSIM
