col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BSSR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BSSR
1,21-11-2025,3.930,3.960,3.920,3.940,350.500,1.380.970.000,0.00%,0.76%,-0.25%,0.25%,0.76%,1.26%,BSSR
2,20-11-2025,3.930,3.940,3.910,3.930,272.000,1.068.960.000,0.26%,0.51%,-0.26%,0.26%,0.25%,0.51%,BSSR
3,19-11-2025,3.920,3.940,3.920,3.920,341.100,1.337.112.000,0.00%,0.51%,0.00%,0.00%,0.51%,0.76%,BSSR
4,18-11-2025,3.920,3.930,3.910,3.920,355.200,1.392.384.000,0.00%,0.26%,-0.26%,0.00%,0.26%,0.51%,BSSR
5,17-11-2025,3.920,3.940,3.910,3.920,646.400,2.533.888.000,0.00%,0.51%,-0.26%,0.00%,0.51%,0.51%,BSSR
6,14-11-2025,3.970,3.980,3.920,3.920,965.200,3.783.584.000,-0.25%,0.00%,-1.51%,-1.51%,0.25%,0.75%,BSSR
7,13-11-2025,3.990,4.000,3.950,3.980,2.992.400,11.909.752.000,-5.45%,-5.21%,-6.40%,-5.69%,0.25%,-4.75%,BSSR
8,12-11-2025,4.200,4.220,4.190,4.220,3.452.800,14.570.816.000,0.24%,0.72%,0.00%,0.72%,0.48%,1.66%,BSSR
9,11-11-2025,4.200,4.210,4.150,4.190,1.973.700,8.269.803.000,0.00%,0.24%,-1.19%,-0.24%,0.24%,0.48%,BSSR
10,10-11-2025,4.220,4.240,4.190,4.200,1.671.600,7.020.720.000,0.24%,0.71%,-0.48%,-0.24%,0.47%,1.42%,BSSR
11,07-11-2025,4.180,4.210,4.180,4.210,1.950.700,8.212.447.000,0.00%,0.72%,0.00%,0.72%,0.72%,1.19%,BSSR
12,06-11-2025,4.170,4.190,4.160,4.180,1.546.400,6.463.952.000,0.00%,0.48%,-0.24%,0.24%,0.48%,1.67%,BSSR
13,05-11-2025,4.130,4.190,4.120,4.170,3.035.800,12.659.286.000,0.73%,2.20%,0.49%,1.71%,1.45%,5.25%,BSSR
14,04-11-2025,3.970,4.150,3.970,4.100,3.800.800,15.583.280.000,0.00%,4.53%,0.00%,3.27%,4.53%,4.82%,BSSR
15,03-11-2025,3.970,3.990,3.950,3.970,727.400,2.887.778.000,0.00%,0.50%,-0.50%,0.00%,0.50%,1.50%,BSSR
16,31-10-2025,3.960,3.970,3.930,3.970,556.000,2.207.320.000,0.00%,0.25%,-0.76%,0.25%,0.25%,1.51%,BSSR
17,30-10-2025,4.010,4.060,3.910,3.960,3.234.200,12.807.432.000,0.00%,1.25%,-2.49%,-1.25%,1.25%,1.72%,BSSR
18,29-10-2025,4.000,4.020,3.990,4.010,638.500,2.560.385.000,0.00%,0.50%,-0.25%,0.25%,0.50%,1.00%,BSSR
19,28-10-2025,3.990,4.000,3.980,4.000,228.900,915.600.000,0.00%,0.25%,-0.25%,0.25%,0.25%,1.00%,BSSR
20,27-10-2025,3.990,4.000,3.960,3.990,747.600,2.982.924.000,0.00%,0.25%,-0.75%,0.00%,0.25%,0.50%,BSSR
21,24-10-2025,3.980,4.010,3.980,3.990,585.200,2.334.948.000,0.00%,0.75%,0.00%,0.25%,0.75%,2.24%,BSSR
22,23-10-2025,3.930,3.990,3.920,3.980,596.900,2.375.662.000,0.00%,1.53%,-0.25%,1.27%,1.53%,2.26%,BSSR
23,22-10-2025,3.910,3.930,3.900,3.930,329.600,1.295.328.000,0.00%,0.51%,-0.26%,0.51%,0.51%,1.27%,BSSR
24,21-10-2025,3.890,3.920,3.880,3.910,463.400,1.811.894.000,0.00%,0.77%,-0.26%,0.51%,0.77%,1.53%,BSSR
25,20-10-2025,3.870,3.900,3.860,3.890,223.500,869.415.000,0.00%,0.78%,-0.26%,0.52%,0.78%,1.03%,BSSR
26,17-10-2025,3.880,3.890,3.860,3.870,391.900,1.516.653.000,0.00%,0.26%,-0.52%,-0.26%,0.26%,0.77%,BSSR
27,16-10-2025,3.880,3.900,3.860,3.880,555.200,2.154.176.000,0.00%,0.52%,-0.52%,0.00%,0.52%,0.77%,BSSR
28,15-10-2025,3.880,3.890,3.870,3.880,414.400,1.607.872.000,0.00%,0.26%,-0.26%,0.00%,0.26%,0.26%,BSSR
29,14-10-2025,3.910,3.910,3.880,3.880,462.100,1.792.948.000,0.26%,0.26%,-0.51%,-0.51%,0.00%,1.02%,BSSR
30,13-10-2025,3.870,3.910,3.870,3.900,540.200,2.106.780.000,0.00%,1.03%,0.00%,0.78%,1.03%,1.02%,BSSR
31,10-10-2025,3.880,3.890,3.870,3.870,415.000,1.606.050.000,0.00%,0.26%,-0.26%,-0.26%,0.26%,0.51%,BSSR
32,09-10-2025,3.880,3.890,3.870,3.880,367.400,1.425.512.000,0.00%,0.26%,-0.26%,0.00%,0.26%,0.51%,BSSR
33,08-10-2025,3.890,3.890,3.870,3.880,348.200,1.351.016.000,0.00%,0.00%,-0.51%,-0.26%,0.00%,0.26%,BSSR
34,07-10-2025,3.900,3.910,3.880,3.890,407.400,1.584.786.000,0.00%,0.26%,-0.51%,-0.26%,0.26%,0.77%,BSSR
35,06-10-2025,3.890,3.900,3.880,3.900,526.000,2.051.400.000,0.00%,0.26%,-0.26%,0.26%,0.26%,0.51%,BSSR
36,03-10-2025,3.890,3.910,3.880,3.890,604.800,2.352.672.000,-0.51%,0.00%,-0.77%,-0.51%,0.51%,0.51%,BSSR
37,02-10-2025,3.910,3.910,3.890,3.910,393.200,1.537.412.000,0.00%,0.00%,-0.51%,0.00%,0.00%,0.26%,BSSR
38,01-10-2025,3.910,3.930,3.900,3.910,185.400,724.914.000,0.00%,0.51%,-0.26%,0.00%,0.51%,0.76%,BSSR
39,30-09-2025,3.910,3.930,3.900,3.910,205.700,804.287.000,0.00%,0.51%,-0.26%,0.00%,0.51%,0.76%,BSSR
40,29-09-2025,3.920,3.920,3.900,3.910,450.000,1.759.500.000,0.00%,0.00%,-0.51%,-0.26%,0.00%,0.77%,BSSR
41,26-09-2025,3.910,3.920,3.890,3.920,340.100,1.333.192.000,0.00%,0.26%,-0.51%,0.26%,0.26%,0.77%,BSSR
42,25-09-2025,3.920,3.920,3.890,3.910,368.500,1.440.835.000,0.26%,0.26%,-0.51%,0.00%,0.00%,0.51%,BSSR
43,24-09-2025,3.920,3.920,3.900,3.910,360.400,1.409.164.000,0.26%,0.26%,-0.26%,0.00%,0.00%,1.02%,BSSR
44,23-09-2025,3.910,3.930,3.880,3.910,954.700,3.732.877.000,0.00%,0.51%,-0.77%,0.00%,0.51%,0.76%,BSSR
45,22-09-2025,3.930,3.930,3.900,3.910,542.700,2.121.957.000,0.00%,0.00%,-0.76%,-0.51%,0.00%,0.51%,BSSR
46,19-09-2025,3.920,3.930,3.910,3.930,238.600,937.698.000,0.00%,0.26%,-0.26%,0.26%,0.26%,0.76%,BSSR
47,18-09-2025,3.950,3.950,3.900,3.920,223.900,877.688.000,0.00%,0.00%,-1.27%,-0.76%,0.00%,0.76%,BSSR
48,17-09-2025,3.950,3.950,3.920,3.950,249.800,986.710.000,0.00%,0.00%,-0.76%,0.00%,0.00%,0.51%,BSSR
49,16-09-2025,3.930,3.950,3.930,3.950,247.100,976.045.000,0.00%,0.51%,0.00%,0.51%,0.51%,0.76%,BSSR
50,15-09-2025,3.930,3.960,3.920,3.930,347.700,1.366.461.000,0.00%,0.76%,-0.25%,0.00%,0.76%,1.26%,BSSR
51,12-09-2025,3.910,3.940,3.910,3.930,253.600,996.648.000,-0.26%,0.51%,-0.26%,0.26%,0.77%,1.02%,BSSR
52,11-09-2025,3.920,3.930,3.900,3.920,499.100,1.956.472.000,0.00%,0.26%,-0.51%,0.00%,0.26%,0.76%,BSSR
53,10-09-2025,3.900,3.930,3.900,3.920,166.100,651.112.000,-0.26%,0.51%,-0.26%,0.26%,0.77%,1.02%,BSSR
54,09-09-2025,3.930,3.940,3.890,3.910,827.100,3.233.961.000,-0.25%,0.00%,-1.27%,-0.76%,0.25%,0.25%,BSSR
55,08-09-2025,3.970,3.970,3.930,3.940,532.900,2.099.626.000,0.00%,0.00%,-1.01%,-0.76%,0.00%,0.76%,BSSR
56,04-09-2025,3.960,3.980,3.940,3.970,323.400,1.283.898.000,0.00%,0.51%,-0.51%,0.25%,0.51%,0.75%,BSSR
57,03-09-2025,3.960,3.980,3.950,3.960,254.900,1.009.404.000,0.00%,0.51%,-0.25%,0.00%,0.51%,1.26%,BSSR
58,02-09-2025,3.930,3.980,3.930,3.960,366.200,1.450.152.000,0.00%,1.27%,0.00%,0.76%,1.27%,4.02%,BSSR
59,01-09-2025,3.900,3.960,3.820,3.930,1.075.700,4.227.501.000,-2.01%,-0.50%,-4.02%,-1.26%,1.54%,0.76%,BSSR
60,29-08-2025,4.010,4.020,3.930,3.980,1.410.100,5.612.198.000,0.00%,0.25%,-2.00%,-0.75%,0.25%,2.99%,BSSR
61,28-08-2025,3.900,4.040,3.900,4.010,1.665.900,6.680.259.000,-0.26%,3.32%,-0.26%,2.56%,3.59%,3.47%,BSSR
62,27-08-2025,3.920,3.930,3.900,3.910,367.200,1.435.752.000,0.00%,0.26%,-0.51%,-0.26%,0.26%,0.76%,BSSR
63,26-08-2025,3.910,3.920,3.900,3.920,343.800,1.347.696.000,0.26%,0.51%,0.00%,0.51%,0.26%,0.77%,BSSR
64,25-08-2025,3.910,3.930,3.890,3.900,534.600,2.084.940.000,0.00%,0.51%,-0.51%,-0.26%,0.51%,1.78%,BSSR
65,22-08-2025,3.920,3.920,3.860,3.910,559.500,2.187.645.000,0.26%,0.26%,-1.28%,0.00%,0.00%,0.51%,BSSR
66,21-08-2025,3.900,3.920,3.900,3.910,266.800,1.043.188.000,0.00%,0.51%,0.00%,0.26%,0.51%,0.77%,BSSR
67,20-08-2025,3.900,3.910,3.890,3.900,259.800,1.013.220.000,0.00%,0.26%,-0.26%,0.00%,0.26%,0.51%,BSSR
68,19-08-2025,3.900,3.910,3.890,3.900,391.000,1.524.900.000,0.26%,0.51%,0.00%,0.26%,0.26%,0.51%,BSSR
69,15-08-2025,3.910,3.920,3.890,3.890,471.600,1.834.524.000,0.00%,0.26%,-0.51%,-0.51%,0.26%,0.51%,BSSR
70,14-08-2025,3.910,3.920,3.900,3.910,468.000,1.829.880.000,0.26%,0.51%,0.00%,0.26%,0.26%,0.51%,BSSR
71,13-08-2025,3.910,3.920,3.900,3.900,535.700,2.089.230.000,0.26%,0.51%,0.00%,0.00%,0.26%,0.51%,BSSR
72,12-08-2025,3.900,3.920,3.900,3.900,478.500,1.866.150.000,0.00%,0.51%,0.00%,0.00%,0.51%,0.51%,BSSR
73,11-08-2025,3.910,3.930,3.900,3.900,464.200,1.810.380.000,0.26%,0.77%,0.00%,0.00%,0.51%,1.02%,BSSR
74,08-08-2025,3.900,3.930,3.890,3.900,237.600,926.640.000,0.00%,0.77%,-0.26%,0.00%,0.77%,0.76%,BSSR
75,07-08-2025,3.930,3.940,3.900,3.900,208.600,813.540.000,0.26%,0.51%,-0.51%,-0.51%,0.25%,1.27%,BSSR
76,06-08-2025,3.890,3.920,3.890,3.920,210.200,823.984.000,0.00%,0.77%,0.00%,0.77%,0.77%,0.77%,BSSR
77,05-08-2025,3.900,3.920,3.890,3.890,538.800,2.095.932.000,0.00%,0.51%,-0.26%,-0.26%,0.51%,0.51%,BSSR
78,04-08-2025,3.920,3.920,3.900,3.900,713.000,2.780.700.000,0.00%,0.00%,-0.51%,-0.51%,0.00%,0.51%,BSSR
79,01-08-2025,3.900,3.950,3.900,3.920,396.800,1.555.456.000,0.00%,1.28%,0.00%,0.51%,1.28%,1.27%,BSSR
80,31-07-2025,3.940,3.950,3.900,3.900,672.600,2.623.140.000,0.00%,0.25%,-1.02%,-1.02%,0.25%,0.25%,BSSR
81,30-07-2025,3.940,3.970,3.940,3.940,382.100,1.505.474.000,0.25%,1.02%,0.25%,0.25%,0.76%,1.01%,BSSR
82,29-07-2025,3.970,3.980,3.930,3.930,468.500,1.841.205.000,1.02%,1.27%,0.00%,0.00%,0.25%,1.26%,BSSR
83,28-07-2025,3.940,3.970,3.930,3.930,463.100,1.819.983.000,0.25%,1.02%,0.00%,0.00%,0.76%,1.01%,BSSR
84,25-07-2025,3.980,3.980,3.930,3.930,498.200,1.957.926.000,0.25%,0.25%,-1.01%,-1.01%,0.00%,1.01%,BSSR
85,24-07-2025,4.000,4.010,3.940,3.970,1.035.500,4.110.935.000,0.25%,0.50%,-1.25%,-0.50%,0.25%,2.00%,BSSR
86,23-07-2025,3.930,3.990,3.930,3.990,393.100,1.568.469.000,0.00%,1.53%,0.00%,1.53%,1.53%,1.50%,BSSR
87,22-07-2025,3.950,3.960,3.930,3.930,471.700,1.853.781.000,0.00%,0.25%,-0.51%,-0.51%,0.25%,1.01%,BSSR
88,21-07-2025,3.950,3.960,3.920,3.950,411.100,1.623.845.000,0.25%,0.51%,-0.51%,0.25%,0.25%,1.01%,BSSR
