col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BTON
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BTON
1,21-11-2025,388,390,374,386,30.900,11.927.400,0.00%,0.52%,-3.61%,-0.52%,0.52%,2.05%,BTON
2,20-11-2025,382,388,382,388,2.000,776.000,-1.55%,0.00%,-1.55%,0.00%,1.57%,2.06%,BTON
3,19-11-2025,388,388,380,388,1.400,543.200,0.00%,0.00%,-2.06%,0.00%,0.00%,2.06%,BTON
4,18-11-2025,388,388,380,388,9.900,3.841.200,0.00%,0.00%,-2.06%,0.00%,0.00%,2.06%,BTON
5,17-11-2025,388,388,380,388,6.800,2.638.400,0.00%,0.00%,-2.06%,0.00%,0.00%,1.03%,BTON
6,14-11-2025,394,396,384,388,28.200,10.941.600,0.00%,0.51%,-2.54%,-1.52%,0.51%,3.54%,BTON
7,13-11-2025,398,398,382,394,44.000,17.336.000,0.51%,0.51%,-3.54%,-0.51%,0.00%,4.52%,BTON
8,12-11-2025,394,396,380,396,37.200,14.731.200,-0.51%,0.00%,-4.04%,0.00%,0.51%,4.04%,BTON
9,11-11-2025,396,396,380,396,19.800,7.840.800,0.00%,0.00%,-4.04%,0.00%,0.00%,2.53%,BTON
10,10-11-2025,388,396,386,396,32.000,12.672.000,1.04%,3.13%,0.52%,3.13%,2.06%,3.03%,BTON
11,07-11-2025,390,390,384,384,5.300,2.035.200,0.00%,0.00%,-1.54%,-1.54%,0.00%,2.56%,BTON
12,06-11-2025,380,390,380,390,14.300,5.577.000,-2.06%,0.52%,-2.06%,0.52%,2.63%,0.51%,BTON
13,05-11-2025,388,388,388,388,1.600,620.800,0.00%,0.00%,0.00%,0.00%,0.00%,2.06%,BTON
14,04-11-2025,386,390,380,388,9.400,3.647.200,-0.52%,0.52%,-2.06%,0.00%,1.04%,1.54%,BTON
15,03-11-2025,384,388,384,388,13.400,5.199.200,-1.03%,0.00%,-1.03%,0.00%,1.04%,2.06%,BTON
16,31-10-2025,388,388,380,388,21.500,8.342.000,0.00%,0.00%,-2.06%,0.00%,0.00%,2.06%,BTON
17,30-10-2025,390,390,380,388,12.500,4.850.000,0.52%,0.52%,-2.06%,0.00%,0.00%,3.08%,BTON
18,29-10-2025,388,392,378,388,61.100,23.706.800,1.04%,2.08%,-1.56%,1.04%,1.03%,3.06%,BTON
19,28-10-2025,390,392,380,384,68.500,26.304.000,0.00%,0.51%,-2.56%,-1.54%,0.51%,2.04%,BTON
20,27-10-2025,398,398,384,390,14.600,5.694.000,1.53%,1.53%,-2.04%,-0.51%,0.00%,3.52%,BTON
21,24-10-2025,414,420,384,392,242.800,95.177.600,0.00%,1.45%,-7.25%,-5.31%,1.45%,9.05%,BTON
22,23-10-2025,420,422,382,414,79.800,33.037.200,0.48%,0.96%,-8.61%,-0.96%,0.48%,10.43%,BTON
23,22-10-2025,398,418,378,418,105.400,44.057.200,3.65%,8.85%,-1.56%,8.85%,5.03%,10.05%,BTON
24,21-10-2025,382,404,376,384,35.000,13.440.000,0.00%,5.76%,-1.57%,0.52%,5.76%,7.92%,BTON
25,20-10-2025,386,386,372,382,11.700,4.469.400,0.00%,0.00%,-3.63%,-1.04%,0.00%,4.15%,BTON
26,17-10-2025,410,412,370,386,26.200,10.113.200,5.67%,6.19%,-4.64%,-0.52%,0.49%,8.25%,BTON
27,16-10-2025,382,420,378,388,36.800,14.278.400,0.00%,9.95%,-1.05%,1.57%,9.95%,13.81%,BTON
28,15-10-2025,402,402,362,382,69.800,26.663.600,0.00%,0.00%,-9.95%,-4.98%,0.00%,0.50%,BTON
29,14-10-2025,422,422,400,402,30.000,12.060.000,0.00%,0.00%,-5.21%,-4.74%,0.00%,6.64%,BTON
30,13-10-2025,412,456,394,422,190.100,80.222.200,5.64%,16.92%,1.03%,8.21%,10.68%,16.67%,BTON
31,10-10-2025,382,430,380,390,147.400,57.486.000,0.00%,12.57%,-0.52%,2.09%,12.57%,11.63%,BTON
32,09-10-2025,408,408,380,382,54.400,20.780.800,2.00%,2.00%,-5.00%,-4.50%,0.00%,4.41%,BTON
33,08-10-2025,394,438,390,400,316.900,126.760.000,6.49%,18.38%,5.41%,8.11%,11.17%,15.53%,BTON
34,07-10-2025,374,402,370,370,114.400,42.328.000,0.00%,7.49%,-1.07%,-1.07%,7.49%,7.96%,BTON
35,06-10-2025,384,384,370,374,2.000,748.000,0.00%,0.00%,-3.65%,-2.60%,0.00%,5.73%,BTON
36,03-10-2025,392,400,362,384,87.400,33.561.600,1.03%,3.09%,-6.70%,-1.03%,2.04%,5.00%,BTON
37,02-10-2025,384,388,380,388,25.500,9.894.000,1.05%,2.11%,0.00%,2.11%,1.04%,6.70%,BTON
38,01-10-2025,366,382,362,380,22.900,8.702.000,-2.66%,1.60%,-3.72%,1.06%,4.37%,1.57%,BTON
39,30-09-2025,380,380,376,376,1.400,526.400,0.53%,0.53%,-0.53%,-0.53%,0.00%,1.05%,BTON
40,29-09-2025,376,378,376,378,3.300,1.247.400,0.00%,0.53%,0.00%,0.53%,0.53%,1.59%,BTON
41,26-09-2025,372,378,372,376,11.800,4.436.800,0.00%,1.61%,0.00%,1.08%,1.61%,2.12%,BTON
42,25-09-2025,374,384,370,372,19.500,7.254.000,0.00%,2.67%,-1.07%,-0.53%,2.67%,3.13%,BTON
43,24-09-2025,384,384,372,374,28.400,10.621.600,0.52%,0.52%,-2.62%,-2.09%,0.00%,2.60%,BTON
44,23-09-2025,374,384,374,382,13.000,4.966.000,0.54%,3.23%,0.54%,2.69%,2.67%,3.65%,BTON
45,22-09-2025,378,380,370,372,7.900,2.938.800,-0.53%,0.00%,-2.63%,-2.11%,0.53%,2.63%,BTON
46,19-09-2025,384,384,370,380,7.300,2.774.000,2.13%,2.13%,-1.60%,1.06%,0.00%,5.21%,BTON
47,18-09-2025,374,390,364,376,14.800,5.564.800,0.54%,4.84%,-2.15%,1.08%,4.28%,5.13%,BTON
48,17-09-2025,380,380,370,372,29.000,10.788.000,-1.04%,-1.04%,-3.65%,-3.13%,0.00%,2.63%,BTON
49,16-09-2025,378,390,370,384,20.200,7.756.800,-0.53%,2.63%,-2.63%,1.05%,3.17%,5.64%,BTON
50,15-09-2025,382,382,368,380,40.000,15.200.000,0.00%,0.00%,-3.66%,-0.52%,0.00%,3.14%,BTON
51,12-09-2025,378,384,370,382,37.500,14.325.000,1.61%,3.23%,-0.54%,2.69%,1.59%,3.13%,BTON
52,11-09-2025,382,382,372,372,2.600,967.200,0.53%,0.53%,-2.11%,-2.11%,0.00%,1.57%,BTON
53,10-09-2025,380,382,376,380,5.300,2.014.000,0.00%,0.53%,-1.05%,0.00%,0.53%,2.62%,BTON
