col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BUKK
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BUKK
1,21-11-2025,1.925,1.925,1.925,1.925,739.700,1.423.922.500,25.00%,25.00%,25.00%,25.00%,0.00%,21.82%,BUKK
2,20-11-2025,1.505,1.540,1.505,1.540,757.600,1.166.704.000,21.86%,24.70%,21.86%,24.70%,2.33%,35.39%,BUKK
3,19-11-2025,995,1.235,995,1.235,743.500,918.222.500,0.51%,24.75%,0.51%,24.75%,24.12%,21.46%,BUKK
4,18-11-2025,990,995,970,990,24.200,23.958.000,0.00%,0.51%,-2.02%,0.00%,0.51%,2.51%,BUKK
5,17-11-2025,985,990,970,990,81.300,80.487.000,0.00%,0.51%,-1.52%,0.51%,0.51%,2.53%,BUKK
6,14-11-2025,985,985,965,985,43.800,43.143.000,1.03%,1.03%,-1.03%,1.03%,0.00%,1.02%,BUKK
7,13-11-2025,975,990,975,975,21.700,21.157.500,0.00%,1.54%,0.00%,0.00%,1.54%,1.52%,BUKK
8,12-11-2025,990,990,975,975,22.500,21.937.500,0.00%,0.00%,-1.52%,-1.52%,0.00%,2.02%,BUKK
9,11-11-2025,990,990,970,990,27.600,27.324.000,0.00%,0.00%,-2.02%,0.00%,0.00%,1.52%,BUKK
10,10-11-2025,1.000,1.005,975,990,113.100,111.969.000,0.00%,0.50%,-2.50%,-1.00%,0.50%,2.49%,BUKK
11,07-11-2025,985,1.005,980,1.000,216.500,216.500.000,0.51%,2.55%,0.00%,2.04%,2.03%,2.49%,BUKK
12,06-11-2025,1.000,1.025,980,980,48.700,47.726.000,1.01%,3.54%,-1.01%,-1.01%,2.50%,6.83%,BUKK
13,05-11-2025,975,1.000,955,990,197.500,195.525.000,0.00%,2.56%,-2.05%,1.54%,2.56%,4.00%,BUKK
14,04-11-2025,980,1.000,960,975,93.900,91.552.500,0.00%,2.04%,-2.04%,-0.51%,2.04%,11.50%,BUKK
15,03-11-2025,885,1.015,885,980,225.400,220.892.000,-6.84%,6.84%,-6.84%,3.16%,14.69%,7.39%,BUKK
16,31-10-2025,960,965,940,950,32.700,31.065.000,0.00%,0.52%,-2.08%,-1.04%,0.52%,2.07%,BUKK
17,30-10-2025,965,975,945,960,84.500,81.120.000,0.00%,1.04%,-2.07%,-0.52%,1.04%,6.15%,BUKK
18,29-10-2025,915,980,915,965,246.400,237.776.000,0.00%,7.10%,0.00%,5.46%,7.10%,10.20%,BUKK
19,28-10-2025,920,920,880,915,56.600,51.789.000,0.00%,0.00%,-4.35%,-0.54%,0.00%,2.17%,BUKK
20,27-10-2025,920,920,900,920,16.000,14.720.000,0.00%,0.00%,-2.17%,0.00%,0.00%,0.54%,BUKK
21,24-10-2025,920,965,915,920,23.600,21.712.000,0.00%,4.89%,-0.54%,0.00%,4.89%,5.18%,BUKK
22,23-10-2025,920,935,915,920,28.800,26.496.000,0.00%,1.63%,-0.54%,0.00%,1.63%,5.35%,BUKK
23,22-10-2025,925,925,885,920,25.600,23.552.000,0.00%,0.00%,-4.32%,-0.54%,0.00%,3.78%,BUKK
24,21-10-2025,900,930,890,925,51.500,47.637.500,-3.23%,0.00%,-4.30%,-0.54%,3.33%,8.06%,BUKK
25,20-10-2025,900,935,855,930,54.100,50.313.000,0.00%,3.89%,-5.00%,3.33%,3.89%,3.74%,BUKK
26,17-10-2025,930,945,900,900,13.400,12.060.000,0.00%,1.61%,-3.23%,-3.23%,1.61%,5.29%,BUKK
27,16-10-2025,900,970,895,930,64.200,59.706.000,0.00%,7.78%,-0.56%,3.33%,7.78%,14.95%,BUKK
28,15-10-2025,930,930,825,900,237.400,213.660.000,0.00%,0.00%,-11.29%,-3.23%,0.00%,2.69%,BUKK
29,14-10-2025,955,970,905,930,28.000,26.040.000,0.00%,1.57%,-5.24%,-2.62%,1.57%,1.55%,BUKK
30,13-10-2025,980,1.000,955,955,198.400,189.472.000,0.00%,2.04%,-2.55%,-2.55%,2.04%,4.00%,BUKK
31,10-10-2025,980,995,960,980,46.600,45.668.000,0.00%,1.53%,-2.04%,0.00%,1.53%,3.52%,BUKK
32,09-10-2025,985,1.000,960,980,61.000,59.780.000,0.51%,2.04%,-2.04%,0.00%,1.52%,4.50%,BUKK
