col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BUMI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BUMI
1,21-11-2025,224,226,218,220,3.825.011.300,841.502.486.000,-0.88%,0.00%,-3.54%,-2.65%,0.89%,0.88%,BUMI
2,20-11-2025,230,234,224,226,5.842.229.700,1.320.343.912.200,0.88%,2.63%,-1.75%,-0.88%,1.74%,7.69%,BUMI
3,19-11-2025,220,238,216,228,14.168.826.000,3.230.492.328.000,2.80%,11.21%,0.93%,6.54%,8.18%,13.45%,BUMI
4,18-11-2025,222,224,206,214,7.344.771.600,1.571.781.122.400,0.00%,0.90%,-7.21%,-3.60%,0.90%,2.68%,BUMI
5,17-11-2025,222,232,218,222,8.428.653.200,1.871.161.010.400,0.91%,5.45%,-0.91%,0.91%,4.50%,6.90%,BUMI
6,14-11-2025,224,244,216,220,17.280.324.400,3.801.671.368.000,0.00%,8.93%,-3.57%,-1.79%,8.93%,22.54%,BUMI
7,13-11-2025,194,240,189,224,20.660.901.900,4.628.042.025.600,1.04%,25.00%,-1.56%,16.67%,23.71%,22.08%,BUMI
8,12-11-2025,197,206,187,192,18.408.147.500,3.534.364.320.000,-0.51%,4.04%,-5.56%,-3.03%,4.57%,27.18%,BUMI
9,11-11-2025,151,202,150,198,28.600.582.500,5.662.915.335.000,0.67%,34.67%,0.00%,32.00%,33.77%,30.20%,BUMI
10,10-11-2025,142,150,141,150,3.425.993.000,513.898.950.000,0.71%,6.38%,0.00%,6.38%,5.63%,6.67%,BUMI
11,07-11-2025,142,143,140,141,887.304.600,125.109.948.600,0.71%,1.42%,-0.71%,0.00%,0.70%,1.40%,BUMI
12,06-11-2025,142,145,141,141,1.067.529.600,150.521.673.600,0.00%,2.11%,-0.70%,-0.70%,2.11%,5.52%,BUMI
13,05-11-2025,138,143,137,142,835.782.800,118.681.157.600,-1.43%,2.14%,-2.14%,1.43%,3.62%,2.80%,BUMI
14,04-11-2025,141,146,139,140,2.482.810.900,347.593.526.000,0.00%,3.55%,-1.42%,-0.71%,3.55%,4.11%,BUMI
15,03-11-2025,143,144,140,141,1.007.456.200,142.051.324.200,0.70%,1.41%,-1.41%,-0.70%,0.70%,2.78%,BUMI
16,31-10-2025,141,145,140,142,1.634.337.100,232.075.868.200,0.00%,2.84%,-0.71%,0.71%,2.84%,4.83%,BUMI
17,30-10-2025,139,143,138,141,1.234.558.000,174.072.678.000,0.00%,2.88%,-0.72%,1.44%,2.88%,3.50%,BUMI
18,29-10-2025,143,145,138,139,2.230.281.600,310.009.142.400,1.42%,2.84%,-2.13%,-1.42%,1.40%,7.59%,BUMI
19,28-10-2025,135,141,134,141,2.729.257.600,384.825.321.600,2.27%,6.82%,1.52%,6.82%,4.44%,9.22%,BUMI
20,27-10-2025,135,137,128,132,1.246.959.300,164.598.627.600,0.75%,2.24%,-4.48%,-1.49%,1.48%,2.92%,BUMI
21,24-10-2025,133,138,133,134,1.021.352.700,136.861.261.800,0.00%,3.76%,0.00%,0.75%,3.76%,4.35%,BUMI
22,23-10-2025,136,137,132,133,1.010.560.900,134.404.599.700,0.00%,0.74%,-2.94%,-2.21%,0.74%,5.11%,BUMI
23,22-10-2025,132,137,130,136,1.300.117.300,176.815.952.800,0.00%,3.79%,-1.52%,3.03%,3.79%,4.38%,BUMI
24,21-10-2025,131,137,131,132,1.333.397.800,176.008.509.600,0.77%,5.38%,0.77%,1.54%,4.58%,6.57%,BUMI
25,20-10-2025,130,132,128,130,1.208.848.800,157.150.344.000,1.56%,3.13%,0.00%,1.56%,1.54%,4.55%,BUMI
26,17-10-2025,136,137,126,128,2.484.373.500,317.999.808.000,0.00%,0.74%,-7.35%,-5.88%,0.74%,1.46%,BUMI
27,16-10-2025,137,139,135,136,969.257.100,131.818.965.600,0.74%,2.21%,-0.74%,0.00%,1.46%,3.60%,BUMI
28,15-10-2025,139,141,134,136,2.141.100.100,291.189.613.600,1.46%,2.92%,-2.19%,-0.73%,1.44%,4.96%,BUMI
29,14-10-2025,145,150,134,137,5.092.600.800,697.686.309.600,2.11%,5.63%,-5.63%,-3.52%,3.45%,10.67%,BUMI
30,13-10-2025,135,145,134,142,3.787.180.900,537.779.687.800,-2.17%,5.07%,-2.90%,2.90%,7.41%,7.59%,BUMI
31,10-10-2025,143,145,134,138,4.756.769.400,656.434.177.200,0.70%,2.11%,-5.63%,-2.82%,1.40%,3.45%,BUMI
32,09-10-2025,151,153,140,142,4.506.268.000,639.890.056.000,6.34%,7.75%,-1.41%,0.00%,1.32%,9.80%,BUMI
33,08-10-2025,145,147,138,142,2.779.260.000,394.654.920.000,0.69%,2.08%,-4.17%,-1.39%,1.38%,2.72%,BUMI
34,07-10-2025,151,155,143,144,6.120.027.600,881.283.974.400,0.67%,3.33%,-4.67%,-4.00%,2.65%,3.87%,BUMI
35,06-10-2025,162,164,149,150,6.865.926.600,1.029.888.990.000,0.62%,1.86%,-7.45%,-6.83%,1.23%,2.44%,BUMI
36,03-10-2025,164,168,160,161,3.401.965.900,547.716.509.900,0.61%,3.07%,-1.84%,-1.23%,2.44%,7.14%,BUMI
37,02-10-2025,163,167,156,163,5.836.304.600,951.317.649.800,1.24%,3.73%,-3.11%,1.24%,2.45%,11.38%,BUMI
38,01-10-2025,149,164,148,161,8.086.835.900,1.301.980.579.900,0.00%,10.07%,-0.67%,8.05%,10.07%,9.76%,BUMI
39,30-09-2025,154,155,148,149,4.043.594.900,602.495.640.100,0.00%,0.65%,-3.90%,-3.25%,0.65%,3.87%,BUMI
40,29-09-2025,150,156,149,154,5.998.442.900,923.760.206.600,2.04%,6.12%,1.36%,4.76%,4.00%,9.62%,BUMI
41,26-09-2025,146,151,141,147,5.137.145.700,755.160.417.900,0.00%,3.42%,-3.42%,0.68%,3.42%,4.64%,BUMI
42,25-09-2025,148,159,144,146,10.286.229.600,1.501.789.521.600,-0.67%,6.71%,-3.36%,-2.01%,7.43%,13.84%,BUMI
43,24-09-2025,143,154,137,149,13.829.826.300,2.060.644.118.700,2.14%,10.00%,-2.14%,6.43%,7.69%,20.13%,BUMI
44,23-09-2025,123,145,123,140,16.351.388.500,2.289.194.390.000,1.65%,19.83%,1.65%,15.70%,17.89%,20.69%,BUMI
45,22-09-2025,116,122,115,121,4.324.772.300,523.297.448.300,1.75%,7.02%,0.88%,6.14%,5.17%,9.02%,BUMI
46,19-09-2025,113,114,111,114,2.767.238.100,315.465.143.400,0.00%,0.88%,-1.77%,0.88%,0.88%,2.63%,BUMI
47,18-09-2025,113,115,111,113,759.599.400,85.834.732.200,0.00%,1.77%,-1.77%,0.00%,1.77%,2.61%,BUMI
48,17-09-2025,115,116,112,113,958.816.700,108.346.287.100,0.00%,0.87%,-2.61%,-1.74%,0.87%,1.72%,BUMI
49,16-09-2025,115,123,114,115,5.043.290.100,579.978.361.500,0.88%,7.89%,0.00%,0.88%,6.96%,10.57%,BUMI
50,15-09-2025,111,115,110,114,1.455.709.200,165.950.848.800,0.91%,4.55%,0.00%,3.64%,3.60%,6.09%,BUMI
51,12-09-2025,109,111,108,110,535.937.100,58.953.081.000,0.93%,2.78%,0.00%,1.85%,1.83%,3.60%,BUMI
52,11-09-2025,110,110,107,108,641.352.900,69.266.113.200,0.92%,0.92%,-1.83%,-0.92%,0.00%,0.91%,BUMI
53,10-09-2025,111,111,109,109,420.750.300,45.861.782.700,0.91%,0.91%,-0.91%,-0.91%,0.00%,2.70%,BUMI
54,09-09-2025,110,112,108,110,818.905.800,90.079.638.000,1.85%,3.70%,0.00%,1.85%,1.82%,3.57%,BUMI
55,08-09-2025,112,114,108,108,1.582.535.200,170.913.801.600,0.00%,1.79%,-3.57%,-3.57%,1.79%,1.75%,BUMI
56,04-09-2025,113,120,112,112,4.498.155.400,503.793.404.800,0.00%,6.19%,-0.88%,-0.88%,6.19%,7.50%,BUMI
57,03-09-2025,113,115,111,113,1.028.266.600,116.194.125.800,1.80%,3.60%,0.00%,1.80%,1.77%,6.09%,BUMI
58,02-09-2025,109,114,108,111,1.368.151.000,151.864.761.000,1.87%,6.54%,0.93%,3.74%,4.59%,9.65%,BUMI
59,01-09-2025,107,109,103,107,856.336.000,91.627.952.000,-1.83%,0.00%,-5.50%,-1.83%,1.87%,1.83%,BUMI
60,29-08-2025,112,112,107,109,1.283.670.100,139.920.040.900,0.00%,0.00%,-4.46%,-2.68%,0.00%,0.89%,BUMI
61,28-08-2025,111,113,111,112,565.959.200,63.387.430.400,0.00%,1.80%,0.00%,0.90%,1.80%,1.77%,BUMI
62,27-08-2025,113,114,111,111,524.903.200,58.264.255.200,0.89%,1.79%,-0.89%,-0.89%,0.88%,2.63%,BUMI
63,26-08-2025,112,115,111,112,1.346.175.800,150.771.689.600,0.00%,2.68%,-0.89%,0.00%,2.68%,4.35%,BUMI
