col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BUVA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BUVA
1,21-11-2025,1.040,1.095,1.005,1.040,204.400.400,212.576.416.000,-2.80%,2.34%,-6.07%,-2.80%,5.29%,16.89%,BUVA
2,20-11-2025,910,1.130,910,1.070,725.795.700,776.601.399.000,0.55%,24.86%,0.55%,18.23%,24.18%,20.80%,BUVA
3,19-11-2025,910,935,895,905,90.759.700,82.137.528.500,1.68%,4.47%,0.00%,1.12%,2.75%,4.28%,BUVA
4,18-11-2025,945,945,895,895,140.469.700,125.720.381.500,0.00%,0.00%,-5.29%,-5.29%,0.00%,6.35%,BUVA
5,17-11-2025,890,985,885,945,345.526.400,326.522.448.000,1.14%,11.93%,0.57%,7.39%,10.67%,11.68%,BUVA
6,14-11-2025,930,945,870,880,124.718.300,109.752.104.000,0.00%,1.61%,-6.45%,-5.38%,1.61%,2.65%,BUVA
7,13-11-2025,965,1.005,920,930,224.390.000,208.682.700.000,1.05%,5.24%,-3.66%,-2.62%,4.15%,9.45%,BUVA
8,12-11-2025,910,995,910,955,245.086.500,234.057.607.500,0.55%,9.94%,0.55%,5.52%,9.34%,10.05%,BUVA
9,11-11-2025,925,935,895,905,105.910.700,95.849.183.500,0.00%,1.08%,-3.24%,-2.16%,1.08%,8.02%,BUVA
10,10-11-2025,900,925,860,925,163.863.500,151.573.737.500,1.69%,4.52%,-2.82%,4.52%,2.78%,17.30%,BUVA
11,07-11-2025,780,955,765,885,305.561.600,270.422.016.000,-1.89%,20.13%,-3.77%,11.32%,22.44%,21.99%,BUVA
12,06-11-2025,780,800,745,795,114.442.200,90.981.549.000,4.70%,7.38%,0.00%,6.71%,2.56%,10.63%,BUVA
13,05-11-2025,720,750,715,745,66.332.400,49.417.638.000,-4.00%,0.00%,-4.67%,-0.67%,4.17%,4.67%,BUVA
14,04-11-2025,785,815,715,750,229.953.900,172.465.425.000,-9.77%,-6.32%,-17.82%,-13.79%,3.82%,-0.61%,BUVA
15,03-11-2025,870,915,820,870,263.324.100,229.091.967.000,2.35%,7.65%,-3.53%,2.35%,5.17%,7.65%,BUVA
16,31-10-2025,850,935,845,850,350.354.700,297.801.495.000,0.00%,10.00%,-0.59%,0.00%,10.00%,14.44%,BUVA
