col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BWPT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BWPT
1,21-11-2025,149,157,148,149,368.457.100,54.900.107.900,1.36%,6.80%,0.68%,1.36%,5.37%,7.64%,BWPT
2,20-11-2025,146,155,145,147,270.712.900,39.794.796.300,1.39%,7.64%,0.69%,2.08%,6.16%,7.74%,BWPT
3,19-11-2025,145,146,143,144,52.268.900,7.526.721.600,0.69%,1.39%,-0.69%,0.00%,0.69%,2.74%,BWPT
4,18-11-2025,142,147,142,144,90.734.600,13.065.782.400,0.00%,3.52%,0.00%,1.41%,3.52%,3.40%,BWPT
5,17-11-2025,143,146,142,142,51.693.000,7.340.406.000,0.00%,2.10%,-0.70%,-0.70%,2.10%,2.74%,BWPT
6,14-11-2025,145,145,142,143,73.173.800,10.463.853.400,0.00%,0.00%,-2.07%,-1.38%,0.00%,1.38%,BWPT
7,13-11-2025,152,153,143,145,105.864.000,15.350.280.000,1.33%,2.00%,-4.67%,-3.33%,0.66%,3.27%,BWPT
8,12-11-2025,149,159,148,150,418.982.800,62.847.420.000,1.36%,8.16%,0.68%,2.04%,6.71%,11.32%,BWPT
9,11-11-2025,144,150,141,147,253.284.200,37.232.777.400,0.70%,4.90%,-1.40%,2.80%,4.17%,6.67%,BWPT
10,10-11-2025,142,145,140,143,57.908.500,8.280.915.500,0.71%,2.84%,-0.71%,1.42%,2.11%,4.14%,BWPT
11,07-11-2025,141,142,139,141,41.682.800,5.877.274.800,0.00%,0.71%,-1.42%,0.00%,0.71%,1.41%,BWPT
12,06-11-2025,141,147,140,141,74.076.200,10.444.744.200,0.00%,4.26%,-0.71%,0.00%,4.26%,6.12%,BWPT
13,05-11-2025,140,144,138,141,63.085.800,8.895.097.800,0.00%,2.86%,-1.43%,0.71%,2.86%,4.17%,BWPT
14,04-11-2025,144,146,138,140,184.576.300,25.840.682.000,0.00%,1.39%,-4.17%,-2.78%,1.39%,1.37%,BWPT
15,03-11-2025,153,155,144,144,155.787.300,22.433.371.200,0.66%,1.97%,-5.26%,-5.26%,1.31%,3.87%,BWPT
16,31-10-2025,152,159,149,152,323.898.500,49.232.572.000,0.66%,5.30%,-1.32%,0.66%,4.61%,11.95%,BWPT
17,30-10-2025,141,159,140,151,394.100.500,59.509.175.500,0.71%,13.57%,0.00%,7.86%,12.77%,12.58%,BWPT
18,29-10-2025,139,144,139,140,73.890.600,10.344.684.000,0.72%,4.35%,0.72%,1.45%,3.60%,4.86%,BWPT
19,28-10-2025,142,144,137,138,97.501.900,13.455.262.200,0.71%,2.13%,-2.84%,-2.13%,1.41%,4.86%,BWPT
20,27-10-2025,151,153,137,141,315.271.500,44.453.281.500,0.00%,1.32%,-9.27%,-6.62%,1.32%,2.61%,BWPT
21,24-10-2025,162,163,149,151,264.077.500,39.875.702.500,1.89%,2.52%,-6.29%,-5.03%,0.62%,7.36%,BWPT
22,23-10-2025,151,164,151,159,465.675.600,74.042.420.400,0.00%,8.61%,0.00%,5.30%,8.61%,9.76%,BWPT
23,22-10-2025,155,156,148,151,185.339.900,27.986.324.900,0.65%,1.30%,-3.90%,-1.95%,0.65%,1.92%,BWPT
24,21-10-2025,156,162,153,154,256.332.100,39.475.143.400,0.00%,3.85%,-1.92%,-1.28%,3.85%,9.88%,BWPT
25,20-10-2025,149,162,146,156,378.488.500,59.044.206.000,-1.32%,7.28%,-3.31%,3.31%,8.72%,6.79%,BWPT
26,17-10-2025,174,179,151,151,1.348.796.800,203.668.316.800,-1.69%,1.13%,-14.69%,-14.69%,2.87%,18.99%,BWPT
27,16-10-2025,147,178,145,177,1.783.841.700,315.739.980.900,0.68%,21.92%,-0.68%,21.23%,21.09%,20.22%,BWPT
28,15-10-2025,146,155,142,146,357.155.700,52.144.732.200,1.39%,7.64%,-1.39%,1.39%,6.16%,11.61%,BWPT
29,14-10-2025,163,168,137,144,865.580.100,124.643.534.400,1.88%,5.00%,-14.38%,-10.00%,3.07%,19.64%,BWPT
30,13-10-2025,136,172,135,160,2.127.141.500,340.342.640.000,-2.16%,23.74%,-2.88%,15.11%,26.47%,20.35%,BWPT
31,10-10-2025,145,146,137,139,156.954.400,21.816.661.600,2.84%,3.55%,-2.84%,-1.42%,0.69%,8.22%,BWPT
32,09-10-2025,136,145,134,141,273.587.600,38.575.851.600,2.26%,9.02%,0.75%,6.02%,6.62%,9.66%,BWPT
33,08-10-2025,138,140,131,133,117.031.700,15.565.216.100,2.22%,3.70%,-2.96%,-1.48%,1.45%,10.00%,BWPT
34,07-10-2025,133,142,126,135,341.905.200,46.157.202.000,0.00%,6.77%,-5.26%,1.50%,6.77%,7.04%,BWPT
35,06-10-2025,137,139,132,133,95.381.700,12.685.766.100,0.74%,2.21%,-2.94%,-2.21%,1.46%,3.60%,BWPT
36,03-10-2025,138,138,134,136,64.954.300,8.833.784.800,0.73%,0.73%,-2.19%,-0.73%,0.00%,3.62%,BWPT
37,02-10-2025,137,138,133,137,86.565.600,11.859.487.200,-0.72%,0.00%,-3.62%,-0.72%,0.73%,5.07%,BWPT
38,01-10-2025,135,146,131,138,448.483.700,61.890.750.600,-1.46%,6.57%,-4.38%,0.73%,8.15%,7.53%,BWPT
39,30-09-2025,144,144,135,137,201.775.800,27.643.284.600,0.70%,0.70%,-5.59%,-4.20%,0.00%,3.47%,BWPT
40,29-09-2025,150,151,139,143,286.010.200,40.899.458.600,0.67%,1.34%,-6.71%,-4.03%,0.67%,2.65%,BWPT
41,26-09-2025,153,156,147,149,160.724.500,23.947.950.500,1.32%,3.31%,-2.65%,-1.32%,1.96%,3.85%,BWPT
42,25-09-2025,154,161,150,151,205.395.500,31.014.720.500,1.32%,5.92%,-1.32%,-0.66%,4.55%,5.59%,BWPT
43,24-09-2025,157,165,152,152,439.189.400,66.756.788.800,0.64%,5.77%,-2.56%,-2.56%,5.10%,12.12%,BWPT
44,23-09-2025,151,158,145,156,337.702.400,52.681.574.400,1.34%,6.04%,-2.68%,4.70%,4.64%,7.59%,BWPT
45,22-09-2025,149,154,146,149,167.077.700,24.894.577.300,0.68%,4.05%,-1.35%,0.68%,3.36%,4.55%,BWPT
46,19-09-2025,153,156,147,148,221.145.800,32.729.578.400,-1.29%,0.65%,-5.16%,-4.52%,1.96%,4.49%,BWPT
47,18-09-2025,150,170,149,155,1.248.091.000,193.454.105.000,4.90%,18.88%,4.20%,8.39%,13.33%,15.88%,BWPT
48,17-09-2025,147,149,143,143,44.157.600,6.314.536.800,0.00%,1.36%,-2.72%,-2.72%,1.36%,1.34%,BWPT
49,16-09-2025,149,149,147,147,47.341.400,6.959.185.800,-1.97%,-1.97%,-3.29%,-3.29%,0.00%,-2.01%,BWPT
50,15-09-2025,152,152,152,152,61.746.500,9.385.468.000,3.40%,3.40%,3.40%,3.40%,0.00%,3.29%,BWPT
51,12-09-2025,150,150,147,147,30.399.400,4.468.711.800,4.17%,4.17%,2.08%,2.08%,0.00%,4.00%,BWPT
52,11-09-2025,160,160,144,144,90.690.100,13.059.374.400,1.27%,1.27%,-8.86%,-8.86%,0.00%,6.25%,BWPT
53,10-09-2025,150,158,150,158,165.789.700,26.194.772.600,4.17%,9.72%,4.17%,9.72%,5.33%,8.86%,BWPT
