col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),BYAN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,BYAN
1,21-11-2025,17.775,17.850,17.750,17.750,8.500,150.875.000,0.00%,0.42%,-0.14%,-0.14%,0.42%,0.98%,BYAN
2,20-11-2025,17.700,17.800,17.675,17.775,8.300,147.532.500,0.00%,0.56%,-0.14%,0.42%,0.56%,1.40%,BYAN
3,19-11-2025,17.600,17.800,17.550,17.700,13.500,238.950.000,0.00%,1.14%,-0.28%,0.57%,1.14%,1.69%,BYAN
4,18-11-2025,17.900,17.900,17.500,17.600,54.800,964.480.000,0.00%,0.00%,-2.23%,-1.68%,0.00%,0.98%,BYAN
5,17-11-2025,17.925,17.925,17.725,17.900,25.700,460.030.000,0.00%,0.00%,-1.12%,-0.14%,0.00%,0.98%,BYAN
6,14-11-2025,17.750,18.000,17.750,17.925,11.600,207.930.000,0.00%,1.41%,0.00%,0.99%,1.41%,1.39%,BYAN
7,13-11-2025,17.800,18.000,17.750,17.750,44.700,793.425.000,0.14%,1.27%,-0.14%,-0.14%,1.12%,1.25%,BYAN
8,12-11-2025,18.000,18.025,17.775,17.775,47.500,844.312.500,0.00%,0.14%,-1.25%,-1.25%,0.14%,0.69%,BYAN
9,11-11-2025,18.025,18.075,17.900,18.000,45.000,810.000.000,0.00%,0.28%,-0.69%,-0.14%,0.28%,1.11%,BYAN
10,10-11-2025,17.875,18.150,17.875,18.025,31.500,567.787.500,0.00%,1.54%,0.00%,0.84%,1.54%,1.52%,BYAN
11,07-11-2025,17.900,18.075,17.875,17.875,13.700,244.887.500,0.00%,0.98%,-0.14%,-0.14%,0.98%,0.97%,BYAN
12,06-11-2025,18.200,18.200,17.900,17.900,69.900,1.251.210.000,0.69%,0.69%,-0.97%,-0.97%,0.00%,1.79%,BYAN
13,05-11-2025,18.050,18.150,17.875,18.075,38.400,694.080.000,0.00%,0.55%,-0.97%,0.14%,0.55%,1.10%,BYAN
14,04-11-2025,18.150,18.150,17.950,18.050,16.100,290.605.000,0.00%,0.00%,-1.10%,-0.55%,0.00%,0.55%,BYAN
15,03-11-2025,18.175,18.175,18.050,18.150,22.000,399.300.000,0.14%,0.14%,-0.55%,0.00%,0.00%,0.96%,BYAN
16,31-10-2025,18.050,18.175,18.000,18.150,23.000,417.450.000,0.28%,0.97%,0.00%,0.83%,0.69%,0.96%,BYAN
17,30-10-2025,18.000,18.050,18.000,18.000,31.100,559.800.000,0.00%,0.28%,0.00%,0.00%,0.28%,1.94%,BYAN
18,29-10-2025,18.075,18.100,17.700,18.000,72.100,1.297.800.000,0.14%,0.28%,-1.94%,-0.28%,0.14%,0.69%,BYAN
19,28-10-2025,18.200,18.200,17.975,18.050,20.400,368.220.000,0.69%,0.69%,-0.55%,-0.14%,0.00%,1.10%,BYAN
20,27-10-2025,18.200,18.225,18.000,18.075,27.900,504.292.500,0.00%,0.14%,-1.10%,-0.69%,0.14%,0.96%,BYAN
21,24-10-2025,18.050,18.300,18.050,18.200,12.000,218.400.000,0.00%,1.39%,0.00%,0.83%,1.39%,1.37%,BYAN
22,23-10-2025,18.075,18.100,18.050,18.050,14.400,259.920.000,0.14%,0.28%,0.00%,0.00%,0.14%,0.28%,BYAN
23,22-10-2025,18.150,18.175,18.050,18.050,9.600,173.280.000,0.28%,0.41%,-0.28%,-0.28%,0.14%,1.51%,BYAN
24,21-10-2025,18.025,18.125,17.900,18.100,54.400,984.640.000,0.00%,0.55%,-0.69%,0.42%,0.55%,0.69%,BYAN
25,20-10-2025,18.150,18.300,18.000,18.025,27.500,495.687.500,0.00%,0.83%,-0.83%,-0.69%,0.83%,2.19%,BYAN
26,17-10-2025,18.000,18.200,17.900,18.150,21.600,392.040.000,-0.83%,0.28%,-1.38%,0.00%,1.11%,1.92%,BYAN
27,16-10-2025,18.050,18.200,17.850,18.150,51.400,932.910.000,0.00%,0.83%,-1.11%,0.55%,0.83%,1.65%,BYAN
28,15-10-2025,18.050,18.250,17.900,18.050,17.600,317.680.000,0.00%,1.11%,-0.83%,0.00%,1.11%,1.51%,BYAN
29,14-10-2025,18.175,18.250,17.975,18.050,55.400,999.970.000,0.00%,0.41%,-1.10%,-0.69%,0.41%,1.92%,BYAN
30,13-10-2025,18.300,18.300,17.900,18.175,44.400,806.970.000,0.00%,0.00%,-2.19%,-0.68%,0.00%,1.23%,BYAN
31,10-10-2025,18.200,18.300,18.075,18.300,13.000,237.900.000,0.00%,0.55%,-0.69%,0.55%,0.55%,1.64%,BYAN
32,09-10-2025,18.050,18.200,18.000,18.200,17.600,320.320.000,0.14%,0.97%,-0.14%,0.97%,0.83%,1.10%,BYAN
33,08-10-2025,18.200,18.200,18.000,18.025,19.500,351.487.500,0.00%,0.00%,-1.10%,-0.96%,0.00%,0.27%,BYAN
34,07-10-2025,18.300,18.300,18.150,18.200,13.300,242.060.000,0.00%,0.00%,-0.82%,-0.55%,0.00%,1.91%,BYAN
35,06-10-2025,18.300,18.300,17.950,18.300,74.200,1.357.860.000,0.00%,0.00%,-1.91%,0.00%,0.00%,0.55%,BYAN
36,03-10-2025,18.200,18.350,18.200,18.300,34.500,631.350.000,0.00%,0.82%,0.00%,0.55%,0.82%,1.77%,BYAN
37,02-10-2025,18.300,18.300,18.025,18.200,9.300,169.260.000,0.00%,0.00%,-1.50%,-0.55%,0.00%,1.09%,BYAN
38,01-10-2025,18.275,18.300,18.100,18.300,32.800,600.240.000,-0.14%,0.00%,-1.09%,0.00%,0.14%,0.82%,BYAN
39,30-09-2025,18.300,18.350,18.150,18.300,36.400,666.120.000,0.00%,0.27%,-0.82%,0.00%,0.27%,0.27%,BYAN
40,29-09-2025,18.325,18.350,18.300,18.300,24.700,452.010.000,0.14%,0.27%,0.00%,0.00%,0.14%,1.36%,BYAN
