col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CANI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CANI
1,21-11-2025,49,49,49,49,166.400,8.153.600,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CANI
2,20-11-2025,49,49,49,49,492.700,24.142.300,6.52%,6.52%,6.52%,6.52%,0.00%,8.16%,CANI
3,19-11-2025,45,46,45,46,51.500,2.369.000,0.00%,2.22%,0.00%,2.22%,2.22%,2.17%,CANI
4,18-11-2025,45,45,45,45,54.700,2.461.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CANI
5,17-11-2025,45,45,45,45,78.300,3.523.500,0.00%,0.00%,0.00%,0.00%,0.00%,2.22%,CANI
6,14-11-2025,44,45,44,45,165.000,7.425.000,-2.22%,0.00%,-2.22%,0.00%,2.27%,0.00%,CANI
7,13-11-2025,45,45,45,45,77.700,3.496.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CANI
8,12-11-2025,45,45,45,45,27.500,1.237.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CANI
9,11-11-2025,45,45,45,45,223.600,10.062.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CANI
10,10-11-2025,45,45,45,45,98.600,4.437.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CANI
11,07-11-2025,46,46,45,45,47.000,2.115.000,0.00%,0.00%,-2.17%,-2.17%,0.00%,0.00%,CANI
12,06-11-2025,46,46,46,46,344.800,15.860.800,9.52%,9.52%,9.52%,9.52%,0.00%,8.70%,CANI
13,05-11-2025,42,42,42,42,76.000,3.192.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CANI
14,04-11-2025,43,44,42,42,135.200,5.678.400,0.00%,2.33%,-2.33%,-2.33%,2.33%,4.55%,CANI
15,03-11-2025,42,43,42,43,234.000,10.062.000,-2.33%,0.00%,-2.33%,0.00%,2.38%,0.00%,CANI
16,31-10-2025,43,44,43,43,91.200,3.921.600,0.00%,2.33%,0.00%,0.00%,2.33%,4.55%,CANI
17,30-10-2025,42,43,42,43,247.100,10.625.300,-8.70%,-6.52%,-8.70%,-6.52%,2.38%,-6.98%,CANI
18,29-10-2025,46,46,46,46,184.600,8.491.600,2.22%,2.22%,2.22%,2.22%,0.00%,2.17%,CANI
19,28-10-2025,45,46,45,45,132.800,5.976.000,0.00%,2.22%,0.00%,0.00%,2.22%,2.17%,CANI
20,27-10-2025,50,50,45,45,62.500,2.812.500,0.00%,0.00%,-10.00%,-10.00%,0.00%,0.00%,CANI
21,24-10-2025,50,50,50,50,254.700,12.735.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CANI
22,23-10-2025,50,50,50,50,831.800,41.590.000,4.17%,4.17%,4.17%,4.17%,0.00%,4.00%,CANI
23,22-10-2025,48,48,48,48,563.600,27.052.800,6.67%,6.67%,6.67%,6.67%,0.00%,10.42%,CANI
24,21-10-2025,43,45,43,45,275.800,12.411.000,0.00%,4.65%,0.00%,4.65%,4.65%,6.67%,CANI
25,20-10-2025,43,43,42,43,1.112.600,47.841.800,0.00%,0.00%,-2.33%,0.00%,0.00%,0.00%,CANI
26,17-10-2025,43,43,43,43,86.600,3.723.800,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CANI
27,16-10-2025,43,43,43,43,108.100,4.648.300,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CANI
28,15-10-2025,43,43,43,43,977.900,42.049.700,-4.44%,-4.44%,-4.44%,-4.44%,0.00%,-4.65%,CANI
29,14-10-2025,49,49,45,45,343.000,15.435.000,0.00%,0.00%,-8.16%,-8.16%,0.00%,0.00%,CANI
30,13-10-2025,51,51,49,49,304.300,14.910.700,0.00%,0.00%,-3.92%,-3.92%,0.00%,0.00%,CANI
31,10-10-2025,51,51,51,51,518.800,26.458.800,0.00%,0.00%,0.00%,0.00%,0.00%,7.84%,CANI
32,09-10-2025,47,51,47,51,780.700,39.815.700,-7.84%,0.00%,-7.84%,0.00%,8.51%,0.00%,CANI
33,08-10-2025,56,56,51,51,588.900,30.033.900,0.00%,0.00%,-8.93%,-8.93%,0.00%,1.79%,CANI
34,07-10-2025,55,56,55,56,495.100,27.725.600,7.84%,9.80%,7.84%,9.80%,1.82%,14.29%,CANI
35,06-10-2025,48,51,48,51,374.100,19.079.100,2.13%,8.51%,2.13%,8.51%,6.25%,7.84%,CANI
36,03-10-2025,47,47,47,47,783.500,36.824.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CANI
37,02-10-2025,51,51,47,47,590.200,27.739.400,-1.92%,-1.92%,-9.62%,-9.62%,0.00%,-1.96%,CANI
38,01-10-2025,54,54,52,52,677.200,35.214.400,0.00%,0.00%,-3.70%,-3.70%,0.00%,0.00%,CANI
39,30-09-2025,58,58,54,54,784.800,42.379.200,0.00%,0.00%,-6.90%,-6.90%,0.00%,5.17%,CANI
40,29-09-2025,58,58,55,58,576.200,33.419.600,9.43%,9.43%,3.77%,9.43%,0.00%,10.34%,CANI
41,26-09-2025,54,54,52,53,589.000,31.217.000,-1.82%,-1.82%,-5.45%,-3.64%,0.00%,-1.85%,CANI
42,25-09-2025,60,60,55,55,867.300,47.701.500,0.00%,0.00%,-8.33%,-8.33%,0.00%,8.33%,CANI
43,24-09-2025,55,60,55,60,1.301.500,78.090.000,0.00%,9.09%,0.00%,9.09%,9.09%,16.67%,CANI
44,23-09-2025,50,55,50,55,1.927.300,106.001.500,0.00%,10.00%,0.00%,10.00%,10.00%,9.09%,CANI
45,22-09-2025,54,54,50,50,1.766.800,88.340.000,0.00%,0.00%,-7.41%,-7.41%,0.00%,0.00%,CANI
46,19-09-2025,55,55,54,54,1.748.300,94.408.200,5.77%,5.77%,3.85%,3.85%,0.00%,12.73%,CANI
47,18-09-2025,49,52,48,52,1.652.300,85.919.600,0.00%,6.12%,-2.04%,6.12%,6.12%,9.62%,CANI
