col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CARE
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CARE
1,21-11-2025,358,358,344,350,21.953.500,7.683.725.000,1.70%,1.70%,-2.27%,-0.57%,0.00%,1.68%,CARE
2,20-11-2025,358,364,352,352,25.499.900,8.975.964.800,0.00%,1.68%,-1.68%,-1.68%,1.68%,7.69%,CARE
3,19-11-2025,370,372,336,358,21.848.400,7.821.727.200,1.65%,2.20%,-7.69%,-1.65%,0.54%,12.90%,CARE
4,18-11-2025,326,372,324,364,28.354.900,10.321.183.600,0.00%,14.11%,-0.61%,11.66%,14.11%,15.05%,CARE
5,17-11-2025,320,330,316,326,28.760.200,9.375.825.200,0.63%,3.77%,-0.63%,2.52%,3.13%,6.67%,CARE
6,14-11-2025,312,338,308,318,18.367.000,5.840.706.000,0.00%,8.33%,-1.28%,1.92%,8.33%,10.06%,CARE
7,13-11-2025,310,316,304,312,22.307.700,6.960.002.400,0.00%,1.94%,-1.94%,0.65%,1.94%,8.23%,CARE
8,12-11-2025,318,318,290,310,28.915.900,8.963.929.000,0.00%,0.00%,-8.81%,-2.52%,0.00%,5.03%,CARE
9,11-11-2025,340,348,302,318,20.314.500,6.460.011.000,0.00%,2.35%,-11.18%,-6.47%,2.35%,7.47%,CARE
10,10-11-2025,328,340,322,340,30.962.800,10.527.352.000,0.00%,3.66%,-1.83%,3.66%,3.66%,5.29%,CARE
11,07-11-2025,328,330,322,328,20.912.300,6.859.234.400,0.00%,0.61%,-1.83%,0.00%,0.61%,3.03%,CARE
12,06-11-2025,324,332,320,328,23.656.600,7.759.364.800,-0.61%,1.84%,-1.84%,0.61%,2.47%,3.61%,CARE
13,05-11-2025,326,326,320,326,24.643.200,8.033.683.200,0.00%,0.00%,-1.84%,0.00%,0.00%,1.23%,CARE
14,04-11-2025,324,334,322,326,24.967.500,8.139.405.000,0.00%,3.09%,-0.62%,0.62%,3.09%,4.79%,CARE
15,03-11-2025,322,336,318,324,34.869.200,11.297.620.800,0.00%,4.35%,-1.24%,0.62%,4.35%,5.95%,CARE
16,31-10-2025,320,324,316,322,28.110.100,9.051.452.200,0.00%,1.25%,-1.25%,0.63%,1.25%,5.56%,CARE
17,30-10-2025,312,320,306,320,33.053.900,10.577.248.000,0.00%,2.56%,-1.92%,2.56%,2.56%,5.00%,CARE
18,29-10-2025,308,314,304,312,17.415.100,5.433.511.200,0.00%,1.95%,-1.30%,1.30%,1.95%,3.18%,CARE
19,28-10-2025,308,312,304,308,19.363.400,5.963.927.200,0.00%,1.30%,-1.30%,0.00%,1.30%,2.56%,CARE
20,27-10-2025,308,316,304,308,19.013.900,5.856.281.200,0.00%,2.60%,-1.30%,0.00%,2.60%,5.06%,CARE
21,24-10-2025,304,314,300,308,20.627.700,6.353.331.600,0.00%,3.29%,-1.32%,1.32%,3.29%,4.46%,CARE
22,23-10-2025,310,310,300,304,6.684.100,2.031.966.400,0.00%,0.00%,-3.23%,-1.94%,0.00%,1.29%,CARE
23,22-10-2025,312,316,306,310,19.919.800,6.175.138.000,0.00%,1.28%,-1.92%,-0.64%,1.28%,3.80%,CARE
24,21-10-2025,308,318,304,312,16.615.800,5.184.129.600,0.00%,3.25%,-1.30%,1.30%,3.25%,8.18%,CARE
25,20-10-2025,308,310,292,308,16.483.400,5.076.887.200,0.00%,0.65%,-5.19%,0.00%,0.65%,5.81%,CARE
26,17-10-2025,298,308,292,308,79.911.300,24.612.680.400,0.00%,3.36%,-2.01%,3.36%,3.36%,5.84%,CARE
27,16-10-2025,292,302,290,298,49.332.400,14.701.055.200,-2.01%,1.34%,-2.68%,0.00%,3.42%,3.97%,CARE
28,15-10-2025,308,308,290,298,22.251.500,6.630.947.000,0.00%,0.00%,-5.84%,-3.25%,0.00%,4.55%,CARE
29,14-10-2025,294,308,294,308,18.389.200,5.663.873.600,-2.00%,2.67%,-2.00%,2.67%,4.76%,5.19%,CARE
30,13-10-2025,294,300,292,300,24.289.400,7.286.820.000,-2.00%,0.00%,-2.67%,0.00%,2.04%,2.67%,CARE
31,10-10-2025,300,300,292,300,17.500.700,5.250.210.000,0.00%,0.00%,-2.67%,0.00%,0.00%,2.00%,CARE
32,09-10-2025,300,302,294,300,15.352.500,4.605.750.000,0.00%,0.67%,-2.00%,0.00%,0.67%,1.32%,CARE
33,08-10-2025,304,306,298,300,20.251.400,6.075.420.000,0.00%,0.66%,-1.97%,-1.32%,0.66%,3.92%,CARE
34,07-10-2025,296,310,294,304,40.928.000,12.442.112.000,0.00%,4.73%,-0.68%,2.70%,4.73%,6.45%,CARE
35,06-10-2025,300,300,290,296,10.608.600,3.140.145.600,0.00%,0.00%,-3.33%,-1.33%,0.00%,1.33%,CARE
36,03-10-2025,300,302,296,300,15.716.200,4.714.860.000,0.00%,0.67%,-1.33%,0.00%,0.67%,5.30%,CARE
37,02-10-2025,290,302,286,300,21.569.400,6.470.820.000,0.00%,4.14%,-1.38%,3.45%,4.14%,5.30%,CARE
38,01-10-2025,290,294,286,290,20.364.400,5.905.676.000,0.00%,1.38%,-1.38%,0.00%,1.38%,2.04%,CARE
39,30-09-2025,292,296,288,290,17.534.300,5.084.947.000,-0.68%,0.68%,-2.04%,-1.36%,1.37%,1.35%,CARE
40,29-09-2025,296,298,292,294,17.893.200,5.260.600.800,0.00%,0.68%,-1.35%,-0.68%,0.68%,8.05%,CARE
41,26-09-2025,294,296,274,296,17.935.800,5.308.996.800,0.00%,0.68%,-6.80%,0.68%,0.68%,2.03%,CARE
42,25-09-2025,294,300,290,294,20.598.400,6.055.929.600,0.00%,2.04%,-1.36%,0.00%,2.04%,3.33%,CARE
43,24-09-2025,302,306,290,294,12.399.600,3.645.482.400,0.00%,1.32%,-3.97%,-2.65%,1.32%,5.88%,CARE
44,23-09-2025,298,302,288,302,733.326.800,221.464.693.600,0.00%,1.34%,-3.36%,1.34%,1.34%,1.99%,CARE
45,22-09-2025,302,304,296,298,16.005.200,4.769.549.600,0.00%,0.66%,-1.99%,-1.32%,0.66%,2.63%,CARE
46,19-09-2025,300,302,296,302,17.187.800,5.190.715.600,0.00%,0.67%,-1.33%,0.67%,0.67%,1.99%,CARE
47,18-09-2025,302,302,296,300,166.171.500,49.851.450.000,0.00%,0.00%,-1.99%,-0.66%,0.00%,2.65%,CARE
48,17-09-2025,302,304,294,302,15.516.700,4.686.043.400,0.00%,0.66%,-2.65%,0.00%,0.66%,1.97%,CARE
49,16-09-2025,306,306,298,302,16.974.200,5.126.208.400,0.00%,0.00%,-2.61%,-1.31%,0.00%,3.92%,CARE
50,15-09-2025,310,310,294,306,18.074.000,5.530.644.000,0.00%,0.00%,-5.16%,-1.29%,0.00%,1.29%,CARE
51,12-09-2025,314,318,306,310,16.869.700,5.229.607.000,0.00%,1.27%,-2.55%,-1.27%,1.27%,1.89%,CARE
52,11-09-2025,314,320,312,314,17.062.600,5.357.656.400,0.00%,1.91%,-0.64%,0.00%,1.91%,6.25%,CARE
53,10-09-2025,300,314,300,314,21.442.800,6.733.039.200,0.00%,4.67%,0.00%,4.67%,4.67%,6.37%,CARE
54,09-09-2025,296,302,294,300,18.900.800,5.670.240.000,-1.33%,0.67%,-2.00%,0.00%,2.03%,2.65%,CARE
55,08-09-2025,300,302,294,300,17.611.900,5.283.570.000,0.00%,0.67%,-2.00%,0.00%,0.67%,3.31%,CARE
56,04-09-2025,300,300,292,300,20.143.900,6.043.170.000,0.00%,0.00%,-2.67%,0.00%,0.00%,2.67%,CARE
57,03-09-2025,296,302,292,300,19.912.200,5.973.660.000,0.00%,2.03%,-1.35%,1.35%,2.03%,10.60%,CARE
58,02-09-2025,270,298,270,296,19.249.700,5.697.911.200,-4.26%,5.67%,-4.26%,4.96%,10.37%,10.07%,CARE
59,01-09-2025,288,288,268,282,11.190.900,3.155.833.800,-2.04%,-2.04%,-8.84%,-4.08%,0.00%,-0.69%,CARE
60,29-08-2025,300,300,290,294,17.386.500,5.111.631.000,0.00%,0.00%,-3.33%,-2.00%,0.00%,4.00%,CARE
61,28-08-2025,292,300,288,300,16.747.000,5.024.100.000,0.00%,2.74%,-1.37%,2.74%,2.74%,4.67%,CARE
62,27-08-2025,292,294,286,292,17.752.900,5.183.846.800,0.00%,0.68%,-2.05%,0.00%,0.68%,3.40%,CARE
63,26-08-2025,292,294,284,292,17.567.400,5.129.680.800,0.00%,0.68%,-2.74%,0.00%,0.68%,2.04%,CARE
64,25-08-2025,300,300,288,292,18.007.200,5.258.102.400,0.00%,0.00%,-4.00%,-2.67%,0.00%,6.00%,CARE
65,22-08-2025,286,302,282,300,19.658.900,5.897.670.000,0.00%,5.59%,-1.40%,4.90%,5.59%,7.28%,CARE
66,21-08-2025,290,290,280,286,17.516.200,5.009.633.200,0.00%,0.00%,-3.45%,-1.38%,0.00%,3.45%,CARE
67,20-08-2025,290,290,280,290,15.668.500,4.543.865.000,0.00%,0.00%,-3.45%,0.00%,0.00%,1.38%,CARE
68,19-08-2025,292,302,286,290,19.354.100,5.612.689.000,0.00%,3.42%,-2.05%,-0.68%,3.42%,5.30%,CARE
69,15-08-2025,292,296,286,292,17.361.800,5.069.645.600,0.00%,1.37%,-2.05%,0.00%,1.37%,4.73%,CARE
70,14-08-2025,284,292,282,292,17.824.300,5.204.695.600,0.00%,2.82%,-0.70%,2.82%,2.82%,6.85%,CARE
71,13-08-2025,274,286,272,284,21.553.600,6.121.222.400,0.00%,4.38%,-0.73%,3.65%,4.38%,8.39%,CARE
72,12-08-2025,266,276,262,274,18.565.600,5.086.974.400,0.00%,3.76%,-1.50%,3.01%,3.76%,5.07%,CARE
73,11-08-2025,264,270,262,266,18.898.900,5.027.107.400,0.00%,2.27%,-0.76%,0.76%,2.27%,4.44%,CARE
74,08-08-2025,262,268,258,264,19.319.700,5.100.400.800,0.00%,2.29%,-1.53%,0.76%,2.29%,5.22%,CARE
75,07-08-2025,258,264,254,262,18.880.900,4.946.795.800,0.00%,2.33%,-1.55%,1.55%,2.33%,6.06%,CARE
76,06-08-2025,252,258,248,258,21.452.000,5.534.616.000,-0.79%,1.57%,-2.36%,1.57%,2.38%,9.30%,CARE
77,05-08-2025,254,256,234,254,17.436.300,4.428.820.200,0.00%,0.79%,-7.87%,0.00%,0.79%,8.59%,CARE
78,04-08-2025,238,262,234,254,23.188.700,5.889.929.800,0.00%,10.08%,-1.68%,6.72%,10.08%,10.69%,CARE
79,01-08-2025,238,240,234,238,16.232.400,3.863.311.200,0.00%,0.84%,-1.68%,0.00%,0.84%,2.50%,CARE
80,31-07-2025,240,240,234,238,15.780.500,3.755.759.000,0.00%,0.00%,-2.50%,-0.83%,0.00%,3.33%,CARE
81,30-07-2025,234,240,232,240,21.682.400,5.203.776.000,0.00%,2.56%,-0.85%,2.56%,2.56%,3.33%,CARE
82,29-07-2025,234,240,232,234,21.133.300,4.945.192.200,0.00%,2.56%,-0.85%,0.00%,2.56%,5.83%,CARE
83,28-07-2025,228,234,226,234,19.041.200,4.455.640.800,0.00%,2.63%,-0.88%,2.63%,2.63%,2.56%,CARE
84,25-07-2025,232,236,228,228,21.753.000,4.959.684.000,0.00%,1.72%,-1.72%,-1.72%,1.72%,5.08%,CARE
85,24-07-2025,226,234,224,232,22.647.000,5.254.104.000,0.00%,3.54%,-0.88%,2.65%,3.54%,5.13%,CARE
86,23-07-2025,226,230,222,226,22.579.100,5.102.876.600,0.00%,1.77%,-1.77%,0.00%,1.77%,4.35%,CARE
87,22-07-2025,224,232,220,226,22.824.100,5.158.246.600,0.00%,3.57%,-1.79%,0.89%,3.57%,6.03%,CARE
88,21-07-2025,224,226,218,224,17.939.900,4.018.537.600,0.00%,0.89%,-2.68%,0.00%,0.89%,1.77%,CARE
89,18-07-2025,224,228,222,224,12.732.400,2.852.057.600,0.00%,1.79%,-0.89%,0.00%,1.79%,2.63%,CARE
90,17-07-2025,224,230,222,224,19.356.700,4.335.900.800,0.00%,2.68%,-0.89%,0.00%,2.68%,3.48%,CARE
91,16-07-2025,226,230,222,224,20.033.100,4.487.414.400,0.89%,2.68%,-0.89%,0.00%,1.77%,4.35%,CARE
92,15-07-2025,224,230,220,224,22.416.900,5.021.385.600,0.00%,2.68%,-1.79%,0.00%,2.68%,2.61%,CARE
93,14-07-2025,234,234,224,224,13.315.800,2.982.739.200,0.00%,0.00%,-4.27%,-4.27%,0.00%,0.00%,CARE
94,11-07-2025,242,242,234,234,17.979.500,4.207.203.000,0.00%,0.00%,-3.31%,-3.31%,0.00%,3.31%,CARE
95,10-07-2025,238,242,234,242,19.384.400,4.691.024.800,0.85%,2.54%,-0.85%,2.54%,1.68%,4.13%,CARE
96,09-07-2025,238,238,232,236,115.349.600,27.222.505.600,0.85%,0.85%,-1.69%,0.00%,0.00%,4.20%,CARE
97,08-07-2025,232,240,228,236,21.572.300,5.091.062.800,0.00%,3.45%,-1.72%,1.72%,3.45%,5.00%,CARE
98,07-07-2025,228,234,228,232,20.854.600,4.838.267.200,0.00%,2.63%,0.00%,1.75%,2.63%,5.13%,CARE
99,04-07-2025,232,232,222,228,21.513.000,4.904.964.000,0.00%,0.00%,-4.31%,-1.72%,0.00%,1.72%,CARE
100,03-07-2025,228,234,228,232,18.711.100,4.340.975.200,-0.87%,1.74%,-0.87%,0.87%,2.63%,3.42%,CARE
101,02-07-2025,230,230,226,230,19.699.800,4.530.954.000,0.00%,0.00%,-1.74%,0.00%,0.00%,0.00%,CARE
102,01-07-2025,236,236,230,230,18.195.700,4.185.011.000,0.00%,0.00%,-2.54%,-2.54%,0.00%,3.39%,CARE
103,30-06-2025,228,238,228,236,21.898.300,5.167.998.800,0.00%,4.39%,0.00%,3.51%,4.39%,6.72%,CARE
104,26-06-2025,222,230,222,228,17.672.200,4.029.261.600,-0.89%,2.68%,-0.89%,1.79%,3.60%,3.48%,CARE
105,25-06-2025,230,230,222,224,3.882.100,869.590.400,0.00%,0.00%,-3.48%,-2.61%,0.00%,2.61%,CARE
106,24-06-2025,230,232,224,230,11.963.300,2.751.559.000,0.00%,0.87%,-2.61%,0.00%,0.87%,2.59%,CARE
107,23-06-2025,234,234,226,230,12.030.400,2.766.992.000,0.00%,0.00%,-3.42%,-1.71%,0.00%,1.71%,CARE
108,20-06-2025,232,236,230,234,22.151.400,5.183.427.600,-1.69%,0.00%,-2.54%,-0.85%,1.72%,0.85%,CARE
109,19-06-2025,240,240,234,236,21.638.400,5.106.662.400,0.84%,0.84%,-1.68%,-0.84%,0.00%,2.50%,CARE
110,18-06-2025,240,242,234,238,26.094.500,6.210.491.000,0.00%,0.83%,-2.50%,-0.83%,0.83%,1.65%,CARE
111,17-06-2025,240,246,238,240,20.113.600,4.827.264.000,0.00%,2.50%,-0.83%,0.00%,2.50%,4.88%,CARE
112,16-06-2025,240,242,234,240,20.263.100,4.863.144.000,0.00%,0.83%,-2.50%,0.00%,0.83%,2.48%,CARE
113,13-06-2025,250,250,236,240,17.403.600,4.176.864.000,0.00%,0.00%,-5.60%,-4.00%,0.00%,4.00%,CARE
114,12-06-2025,242,252,240,250,22.677.400,5.669.350.000,0.00%,4.13%,-0.83%,3.31%,4.13%,7.14%,CARE
115,11-06-2025,234,242,234,242,19.578.800,4.738.069.600,-1.68%,1.68%,-1.68%,1.68%,3.42%,2.48%,CARE
116,10-06-2025,238,242,236,238,18.395.500,4.378.129.000,0.00%,1.68%,-0.84%,0.00%,1.68%,6.61%,CARE
117,05-06-2025,230,238,226,238,23.949.300,5.699.933.400,0.00%,3.48%,-1.74%,3.48%,3.48%,7.56%,CARE
118,04-06-2025,230,236,220,230,12.151.000,2.794.730.000,0.00%,2.61%,-4.35%,0.00%,2.61%,3.39%,CARE
119,03-06-2025,236,236,228,230,16.625.700,3.823.911.000,0.00%,0.00%,-3.39%,-2.54%,0.00%,0.85%,CARE
120,02-06-2025,244,244,234,236,20.786.500,4.905.614.000,0.00%,0.00%,-4.10%,-3.28%,0.00%,2.46%,CARE
121,28-05-2025,242,246,238,244,19.250.900,4.697.219.600,0.00%,1.65%,-1.65%,0.83%,1.65%,3.25%,CARE
122,27-05-2025,240,246,238,242,20.290.000,4.910.180.000,0.00%,2.50%,-0.83%,0.83%,2.50%,4.07%,CARE
123,26-05-2025,242,244,236,240,20.776.500,4.986.360.000,0.00%,0.83%,-2.48%,-0.83%,0.83%,4.10%,CARE
124,23-05-2025,242,244,234,242,14.817.600,3.585.859.200,0.00%,0.83%,-3.31%,0.00%,0.83%,4.10%,CARE
125,22-05-2025,234,244,234,242,20.059.300,4.854.350.600,-1.68%,2.52%,-1.68%,1.68%,4.27%,4.10%,CARE
126,21-05-2025,238,240,234,238,19.925.300,4.742.221.400,0.00%,0.84%,-1.68%,0.00%,0.84%,2.50%,CARE
127,20-05-2025,238,242,234,238,23.160.200,5.512.127.600,0.00%,1.68%,-1.68%,0.00%,1.68%,4.13%,CARE
128,19-05-2025,234,246,232,238,20.629.100,4.909.725.800,-0.85%,4.24%,-1.69%,0.85%,5.13%,7.32%,CARE
129,16-05-2025,230,238,228,236,25.294.500,5.969.502.000,0.00%,3.48%,-0.87%,2.61%,3.48%,6.72%,CARE
130,15-05-2025,230,232,222,230,10.010.800,2.302.484.000,0.00%,0.87%,-3.48%,0.00%,0.87%,6.03%,CARE
131,14-05-2025,220,232,218,230,22.544.700,5.185.281.000,0.00%,5.45%,-0.91%,4.55%,5.45%,5.17%,CARE
132,09-05-2025,222,232,220,220,20.262.300,4.457.706.000,0.91%,5.45%,0.00%,0.00%,4.50%,10.34%,CARE
133,08-05-2025,212,220,208,220,23.767.100,5.228.762.000,0.00%,3.77%,-1.89%,3.77%,3.77%,8.18%,CARE
134,07-05-2025,204,212,202,212,24.373.400,5.167.160.800,0.00%,3.92%,-0.98%,3.92%,3.92%,4.72%,CARE
135,06-05-2025,212,214,202,204,20.804.400,4.244.097.600,0.00%,0.94%,-4.72%,-3.77%,0.94%,3.74%,CARE
136,05-05-2025,208,212,206,212,21.427.300,4.542.587.600,0.00%,1.92%,-0.96%,1.92%,1.92%,2.83%,CARE
137,02-05-2025,208,212,206,208,23.149.200,4.815.033.600,0.00%,1.92%,-0.96%,0.00%,1.92%,3.77%,CARE
138,30-04-2025,206,214,204,208,23.705.500,4.930.744.000,0.00%,3.88%,-0.97%,0.97%,3.88%,5.61%,CARE
139,29-04-2025,202,208,202,206,21.121.800,4.351.090.800,0.00%,2.97%,0.00%,1.98%,2.97%,3.85%,CARE
140,28-04-2025,204,206,200,202,24.999.400,5.049.878.800,0.99%,1.98%,-0.99%,0.00%,0.98%,2.91%,CARE
141,25-04-2025,202,206,200,202,14.771.300,2.983.802.600,0.00%,1.98%,-0.99%,0.00%,1.98%,2.91%,CARE
142,24-04-2025,202,204,200,202,19.005.400,3.839.090.800,0.00%,0.99%,-0.99%,0.00%,0.99%,1.96%,CARE
143,23-04-2025,202,206,200,202,13.767.700,2.781.075.400,0.00%,1.98%,-0.99%,0.00%,1.98%,5.83%,CARE
144,22-04-2025,195,202,194,202,28.599.100,5.777.018.200,0.00%,3.59%,-0.51%,3.59%,3.59%,4.95%,CARE
145,21-04-2025,195,196,192,195,10.206.100,1.990.189.500,0.00%,0.51%,-1.54%,0.00%,0.51%,1.02%,CARE
146,17-04-2025,196,197,194,195,19.811.400,3.863.223.000,0.00%,0.51%,-1.02%,-0.51%,0.51%,1.02%,CARE
147,16-04-2025,198,199,195,196,18.152.700,3.557.929.200,0.51%,1.02%,-1.02%,-0.51%,0.51%,4.02%,CARE
148,15-04-2025,197,199,191,197,10.207.600,2.010.897.200,0.00%,1.02%,-3.05%,0.00%,1.02%,2.51%,CARE
149,14-04-2025,194,198,194,197,26.831.300,5.285.766.100,0.00%,2.06%,0.00%,1.55%,2.06%,3.54%,CARE
150,11-04-2025,194,194,191,194,26.383.000,5.118.302.000,0.00%,0.00%,-1.55%,0.00%,0.00%,1.03%,CARE
151,10-04-2025,192,197,192,194,29.485.400,5.720.167.600,0.52%,3.14%,0.52%,1.57%,2.60%,3.05%,CARE
152,09-04-2025,202,202,191,191,12.427.700,2.373.690.700,-0.98%,-0.98%,-6.37%,-6.37%,0.00%,7.92%,CARE
153,08-04-2025,206,206,186,204,1.686.400,344.025.600,-2.83%,-2.83%,-12.26%,-3.77%,0.00%,-0.97%,CARE
154,27-03-2025,210,216,208,212,13.865.100,2.939.401.200,0.00%,2.86%,-0.95%,0.95%,2.86%,5.56%,CARE
155,26-03-2025,206,212,204,210,23.565.500,4.948.755.000,0.00%,2.91%,-0.97%,1.94%,2.91%,4.72%,CARE
156,25-03-2025,206,208,202,206,16.088.500,3.314.231.000,0.00%,0.97%,-1.94%,0.00%,0.97%,3.85%,CARE
157,24-03-2025,206,206,200,206,19.334.000,3.982.804.000,-0.96%,-0.96%,-3.85%,-0.96%,0.00%,1.94%,CARE
158,21-03-2025,208,208,202,208,13.438.300,2.795.166.400,0.00%,0.00%,-2.88%,0.00%,0.00%,1.92%,CARE
159,20-03-2025,210,210,204,208,14.094.300,2.931.614.400,0.96%,0.96%,-1.92%,0.00%,0.00%,2.86%,CARE
160,19-03-2025,208,210,204,208,13.555.000,2.819.440.000,0.00%,0.96%,-1.92%,0.00%,0.96%,2.86%,CARE
161,18-03-2025,212,212,204,208,15.548.600,3.234.108.800,0.00%,0.00%,-3.77%,-1.89%,0.00%,1.89%,CARE
162,17-03-2025,218,218,208,212,25.425.000,5.390.100.000,0.93%,0.93%,-3.70%,-1.85%,0.00%,11.93%,CARE
163,14-03-2025,216,220,192,216,33.038.300,7.136.272.800,0.00%,1.85%,-11.11%,0.00%,1.85%,2.73%,CARE
164,13-03-2025,216,220,214,216,23.705.300,5.120.344.800,0.00%,1.85%,-0.93%,0.00%,1.85%,2.73%,CARE
165,12-03-2025,216,218,214,216,23.369.400,5.047.790.400,0.00%,0.93%,-0.93%,0.00%,0.93%,2.75%,CARE
166,11-03-2025,218,220,212,216,26.477.500,5.719.140.000,0.93%,1.85%,-1.85%,0.00%,0.92%,3.64%,CARE
167,10-03-2025,218,218,212,216,33.098.600,7.149.297.600,0.93%,0.93%,-1.85%,0.00%,0.00%,0.92%,CARE
168,07-03-2025,224,226,216,216,20.691.800,4.469.428.800,0.00%,0.89%,-3.57%,-3.57%,0.89%,3.54%,CARE
169,06-03-2025,226,226,218,224,25.689.800,5.754.515.200,0.89%,0.89%,-2.68%,0.00%,0.00%,6.19%,CARE
170,05-03-2025,212,230,212,224,25.654.100,5.746.518.400,-3.64%,4.55%,-3.64%,1.82%,8.49%,11.30%,CARE
171,04-03-2025,212,220,204,220,33.461.500,7.361.530.000,0.00%,3.77%,-3.77%,3.77%,3.77%,6.36%,CARE
172,03-03-2025,212,214,206,212,15.116.700,3.204.740.400,0.00%,0.94%,-2.83%,0.00%,0.94%,1.87%,CARE
