col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CARS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CARS
1,21-11-2025,129,129,123,124,21.137.600,2.621.062.400,1.57%,1.57%,-3.15%,-2.36%,0.00%,1.55%,CARS
2,20-11-2025,128,130,127,127,4.862.900,617.588.300,0.00%,1.56%,-0.78%,-0.78%,1.56%,2.31%,CARS
3,19-11-2025,129,134,127,128,23.297.500,2.982.080.000,0.78%,4.69%,-0.78%,0.00%,3.88%,5.97%,CARS
4,18-11-2025,129,129,126,128,30.233.500,3.869.888.000,0.78%,0.78%,-1.56%,0.00%,0.00%,4.65%,CARS
5,17-11-2025,125,130,123,128,40.454.700,5.178.201.600,0.00%,4.00%,-1.60%,2.40%,4.00%,3.85%,CARS
6,14-11-2025,127,128,125,125,9.164.700,1.145.587.500,-0.78%,0.00%,-2.34%,-2.34%,0.79%,3.13%,CARS
7,13-11-2025,134,134,124,128,33.938.700,4.344.153.600,2.29%,2.29%,-5.34%,-2.29%,0.00%,2.99%,CARS
8,12-11-2025,134,135,130,131,6.081.600,796.689.600,1.52%,2.27%,-1.52%,-0.76%,0.75%,4.44%,CARS
9,11-11-2025,131,134,129,132,14.452.100,1.907.677.200,0.00%,2.29%,-1.53%,0.76%,2.29%,5.97%,CARS
10,10-11-2025,131,132,126,131,39.619.700,5.190.180.700,0.00%,0.76%,-3.82%,0.00%,0.76%,2.27%,CARS
11,07-11-2025,131,132,129,131,27.071.900,3.546.418.900,0.77%,1.54%,-0.77%,0.77%,0.76%,4.55%,CARS
12,06-11-2025,130,131,126,130,12.381.100,1.609.543.000,1.56%,2.34%,-1.56%,1.56%,0.77%,2.29%,CARS
13,05-11-2025,131,131,128,128,12.144.600,1.554.508.800,-1.50%,-1.50%,-3.76%,-3.76%,0.00%,-0.76%,CARS
14,04-11-2025,136,137,132,133,7.474.500,994.108.500,0.74%,1.48%,-2.22%,-1.48%,0.74%,4.38%,CARS
15,03-11-2025,131,137,131,135,22.530.000,3.041.550.000,0.00%,4.58%,0.00%,3.05%,4.58%,9.49%,CARS
16,31-10-2025,129,132,124,131,26.958.400,3.531.550.400,0.78%,3.13%,-3.13%,2.34%,2.33%,3.79%,CARS
17,30-10-2025,132,133,127,128,16.923.900,2.166.259.200,0.76%,1.53%,-3.05%,-2.29%,0.76%,2.26%,CARS
18,29-10-2025,133,133,130,131,16.947.000,2.220.057.000,1.53%,1.53%,-0.76%,0.00%,0.00%,3.76%,CARS
19,28-10-2025,130,132,128,131,28.783.200,3.770.599.200,0.00%,1.54%,-1.54%,0.77%,1.54%,4.55%,CARS
20,27-10-2025,133,133,126,130,80.401.200,10.452.156.000,0.76%,0.76%,-4.55%,-1.52%,0.00%,3.01%,CARS
21,24-10-2025,134,134,129,132,21.942.900,2.896.462.800,1.52%,1.52%,-2.27%,0.00%,0.00%,5.97%,CARS
22,23-10-2025,126,136,126,132,26.478.300,3.495.135.600,-2.33%,5.43%,-2.33%,2.33%,7.94%,7.35%,CARS
23,22-10-2025,128,131,126,129,11.674.000,1.505.946.000,-0.78%,1.55%,-2.33%,0.00%,2.34%,2.29%,CARS
24,21-10-2025,132,134,128,129,11.394.800,1.469.929.200,0.00%,1.52%,-3.03%,-2.27%,1.52%,10.45%,CARS
25,20-10-2025,124,135,120,132,43.238.800,5.707.521.600,0.81%,9.76%,-2.44%,7.32%,8.87%,9.63%,CARS
26,17-10-2025,136,136,122,123,63.405.800,7.798.913.400,1.49%,1.49%,-8.96%,-8.21%,0.00%,2.94%,CARS
27,16-10-2025,134,137,132,134,27.490.000,3.683.660.000,0.00%,2.24%,-1.49%,0.00%,2.24%,2.19%,CARS
28,15-10-2025,135,139,134,134,41.106.900,5.508.324.600,-2.17%,0.72%,-2.90%,-2.90%,2.96%,2.16%,CARS
29,14-10-2025,147,149,136,138,99.727.300,13.762.367.400,0.68%,2.05%,-6.85%,-5.48%,1.36%,3.36%,CARS
30,13-10-2025,145,148,144,146,45.178.000,6.595.988.000,-2.03%,0.00%,-2.70%,-1.35%,2.07%,2.03%,CARS
31,10-10-2025,147,151,145,148,58.485.900,8.655.913.200,0.68%,3.42%,-0.68%,1.37%,2.72%,5.96%,CARS
32,09-10-2025,154,155,142,146,198.178.200,28.934.017.200,0.65%,1.31%,-7.19%,-4.58%,0.65%,8.39%,CARS
33,08-10-2025,145,156,142,153,269.206.700,41.188.625.100,0.69%,8.33%,-1.39%,6.25%,7.59%,8.97%,CARS
34,07-10-2025,145,147,142,144,83.584.400,12.036.153.600,2.84%,4.26%,0.71%,2.13%,1.38%,5.44%,CARS
35,06-10-2025,145,145,139,141,58.829.100,8.294.903.100,2.84%,2.84%,-1.42%,0.00%,0.00%,3.45%,CARS
36,03-10-2025,142,146,140,141,87.028.100,12.270.962.100,0.00%,2.82%,-1.41%,-0.70%,2.82%,6.85%,CARS
37,02-10-2025,140,144,136,142,68.497.600,9.726.659.200,0.00%,2.86%,-2.86%,1.43%,2.86%,3.47%,CARS
38,01-10-2025,143,143,139,140,39.825.900,5.575.626.000,1.42%,1.42%,-1.42%,-0.71%,0.00%,2.10%,CARS
39,30-09-2025,145,145,140,141,63.113.500,8.899.003.500,1.40%,1.40%,-2.10%,-1.40%,0.00%,4.83%,CARS
40,29-09-2025,144,147,138,143,100.003.100,14.300.443.300,0.00%,2.08%,-4.17%,-0.69%,2.08%,2.72%,CARS
41,26-09-2025,149,149,143,144,56.138.400,8.083.929.600,0.68%,0.68%,-3.38%,-2.70%,0.00%,6.04%,CARS
42,25-09-2025,143,149,140,148,132.959.000,19.677.932.000,0.00%,4.20%,-2.10%,3.50%,4.20%,6.71%,CARS
43,24-09-2025,152,156,139,143,225.816.800,32.291.802.400,0.00%,2.63%,-8.55%,-5.92%,2.63%,13.46%,CARS
44,23-09-2025,138,152,135,152,325.376.500,49.457.228.000,1.47%,11.76%,-0.74%,11.76%,10.14%,13.16%,CARS
45,22-09-2025,139,141,132,136,194.853.200,26.500.035.200,0.00%,1.44%,-5.04%,-2.16%,1.44%,11.35%,CARS
46,19-09-2025,126,140,125,139,283.307.100,39.379.686.900,0.00%,11.11%,-0.79%,10.32%,11.11%,12.86%,CARS
47,18-09-2025,126,127,122,126,59.061.800,7.441.786.800,1.61%,2.42%,-1.61%,1.61%,0.79%,10.24%,CARS
48,17-09-2025,132,132,114,124,211.962.600,26.283.362.400,1.54%,1.54%,-12.31%,-4.62%,0.00%,3.03%,CARS
49,16-09-2025,132,133,128,130,29.121.600,3.785.808.000,-0.75%,0.00%,-3.76%,-2.26%,0.76%,1.50%,CARS
50,15-09-2025,134,135,131,133,44.996.100,5.984.481.300,0.00%,0.75%,-2.24%,-0.75%,0.75%,2.22%,CARS
51,12-09-2025,139,139,132,134,74.108.800,9.930.579.200,2.21%,2.21%,-2.94%,-1.47%,0.00%,5.04%,CARS
52,11-09-2025,135,149,132,136,300.084.900,40.811.546.400,-1.46%,8.76%,-3.65%,-0.73%,10.37%,12.08%,CARS
53,10-09-2025,137,138,131,137,33.506.300,4.590.363.100,0.74%,1.47%,-3.68%,0.74%,0.73%,8.70%,CARS
54,09-09-2025,130,138,126,136,86.158.400,11.717.542.400,0.00%,6.15%,-3.08%,4.62%,6.15%,7.25%,CARS
55,08-09-2025,138,142,128,130,100.545.900,13.070.967.000,2.22%,5.19%,-5.19%,-3.70%,2.90%,4.93%,CARS
56,04-09-2025,138,147,135,135,191.437.200,25.844.022.000,0.00%,6.52%,-2.17%,-2.17%,6.52%,9.52%,CARS
57,03-09-2025,140,142,133,138,78.359.500,10.813.611.000,0.00%,1.43%,-5.00%,-1.43%,1.43%,3.52%,CARS
58,02-09-2025,140,145,137,140,76.492.500,10.708.950.000,0.72%,4.32%,-1.44%,0.72%,3.57%,15.17%,CARS
59,01-09-2025,130,146,123,139,238.821.800,33.196.230.200,-7.80%,3.55%,-12.77%,-1.42%,12.31%,11.64%,CARS
60,29-08-2025,136,146,129,141,296.373.200,41.788.621.200,-3.55%,3.55%,-8.51%,0.00%,7.35%,10.27%,CARS
61,28-08-2025,139,146,131,141,452.495.100,63.801.809.100,-0.71%,4.29%,-6.43%,0.71%,5.04%,18.49%,CARS
62,27-08-2025,120,159,119,140,1.427.193.200,199.807.048.000,0.84%,33.61%,0.00%,17.65%,32.50%,25.79%,CARS
63,26-08-2025,126,127,118,119,135.279.200,16.098.224.800,2.44%,3.25%,-4.07%,-3.25%,0.79%,4.72%,CARS
64,25-08-2025,126,135,121,123,376.214.500,46.274.383.500,2.44%,9.76%,-1.63%,0.00%,7.14%,16.30%,CARS
65,22-08-2025,115,130,113,123,299.745.100,36.868.647.300,-0.86%,12.07%,-2.59%,6.03%,13.04%,12.31%,CARS
66,21-08-2025,123,126,114,116,109.884.000,12.746.544.000,3.36%,5.88%,-4.20%,-2.52%,2.44%,15.87%,CARS
67,20-08-2025,108,122,106,119,260.691.900,31.022.336.100,0.93%,14.02%,-0.93%,11.21%,12.96%,13.11%,CARS
68,19-08-2025,108,111,106,107,19.856.300,2.124.624.100,0.93%,3.74%,-0.93%,0.00%,2.78%,6.31%,CARS
69,15-08-2025,107,112,104,107,30.008.500,3.210.909.500,0.00%,4.67%,-2.80%,0.00%,4.67%,7.14%,CARS
70,14-08-2025,106,108,104,107,25.631.000,2.742.517.000,0.95%,2.86%,-0.95%,1.90%,1.89%,4.63%,CARS
71,13-08-2025,106,109,103,105,21.694.500,2.277.922.500,0.95%,3.81%,-1.90%,0.00%,2.83%,5.50%,CARS
