col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CASA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CASA
1,21-11-2025,1.080,1.090,1.065,1.080,4.752.700,5.132.916.000,0.00%,0.93%,-1.39%,0.00%,0.93%,1.83%,CASA
2,20-11-2025,1.075,1.090,1.070,1.080,4.313.800,4.658.904.000,-0.46%,0.93%,-0.93%,0.00%,1.40%,1.83%,CASA
3,19-11-2025,1.090,1.095,1.070,1.080,2.825.200,3.051.216.000,0.00%,0.46%,-1.83%,-0.92%,0.46%,1.37%,CASA
4,18-11-2025,1.090,1.100,1.080,1.090,4.380.200,4.774.418.000,0.00%,0.92%,-0.92%,0.00%,0.92%,2.27%,CASA
5,17-11-2025,1.080,1.100,1.075,1.090,3.939.800,4.294.382.000,0.00%,1.85%,-0.46%,0.93%,1.85%,2.27%,CASA
6,14-11-2025,1.115,1.120,1.075,1.080,3.102.500,3.350.700.000,0.00%,0.45%,-3.59%,-3.14%,0.45%,4.91%,CASA
7,13-11-2025,1.075,1.115,1.065,1.115,4.401.700,4.907.895.500,-0.46%,3.24%,-1.39%,3.24%,3.72%,4.93%,CASA
8,12-11-2025,1.080,1.080,1.060,1.080,3.116.100,3.365.388.000,0.00%,0.00%,-1.85%,0.00%,0.00%,3.24%,CASA
9,11-11-2025,1.100,1.100,1.045,1.080,1.944.700,2.100.276.000,0.00%,0.00%,-5.00%,-1.82%,0.00%,1.36%,CASA
10,10-11-2025,1.100,1.105,1.085,1.100,4.358.400,4.794.240.000,0.00%,0.45%,-1.36%,0.00%,0.45%,1.36%,CASA
11,07-11-2025,1.100,1.105,1.090,1.100,4.263.000,4.689.300.000,0.00%,0.45%,-0.91%,0.00%,0.45%,1.81%,CASA
