col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CASS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CASS
1,21-11-2025,2.890,3.000,2.800,2.850,86.100,245.385.000,3.21%,7.14%,0.00%,1.79%,3.81%,7.67%,CASS
2,20-11-2025,2.800,2.940,2.770,2.800,47.800,133.840.000,0.36%,5.38%,-0.72%,0.36%,5.00%,5.10%,CASS
3,19-11-2025,2.790,2.840,2.790,2.790,30.000,83.700.000,0.00%,1.79%,0.00%,0.00%,1.79%,2.46%,CASS
4,18-11-2025,2.770,2.800,2.770,2.790,109.100,304.389.000,-0.72%,0.36%,-0.72%,0.00%,1.08%,3.57%,CASS
5,17-11-2025,2.790,2.820,2.700,2.790,96.600,269.514.000,0.00%,1.08%,-3.23%,0.00%,1.08%,3.19%,CASS
6,14-11-2025,2.750,2.890,2.730,2.790,232.800,649.512.000,-1.79%,3.21%,-2.50%,-0.36%,5.09%,5.88%,CASS
7,13-11-2025,2.740,2.840,2.720,2.800,45.900,128.520.000,-0.36%,3.27%,-1.09%,1.82%,3.65%,3.17%,CASS
8,12-11-2025,2.790,2.890,2.750,2.750,45.200,124.300.000,0.00%,3.58%,-1.43%,-1.43%,3.58%,3.46%,CASS
9,11-11-2025,2.890,2.890,2.790,2.790,66.400,185.256.000,0.00%,0.00%,-3.46%,-3.46%,0.00%,3.46%,CASS
10,10-11-2025,2.830,2.890,2.790,2.890,483.200,1.396.448.000,0.00%,2.12%,-1.41%,2.12%,2.12%,9.69%,CASS
11,07-11-2025,2.750,3.170,2.610,2.830,150.500,425.915.000,0.00%,15.27%,-5.09%,2.91%,15.27%,16.09%,CASS
12,06-11-2025,2.820,2.830,2.660,2.750,123.400,339.350.000,-0.35%,0.00%,-6.01%,-2.83%,0.35%,1.77%,CASS
13,05-11-2025,2.830,2.830,2.780,2.830,31.800,89.994.000,0.00%,0.00%,-1.77%,0.00%,0.00%,3.18%,CASS
14,04-11-2025,2.820,2.840,2.740,2.830,150.100,424.783.000,0.00%,0.71%,-2.84%,0.35%,0.71%,3.52%,CASS
15,03-11-2025,2.760,2.840,2.740,2.820,137.300,387.186.000,0.36%,3.27%,-0.36%,2.55%,2.90%,6.69%,CASS
16,31-10-2025,2.790,2.840,2.650,2.750,127.600,350.900.000,0.00%,1.79%,-5.02%,-1.43%,1.79%,4.93%,CASS
17,30-10-2025,2.800,2.810,2.700,2.790,221.200,617.148.000,0.36%,0.72%,-3.23%,0.00%,0.36%,1.78%,CASS
18,29-10-2025,2.980,3.000,2.760,2.790,699.400,1.951.326.000,0.00%,0.67%,-7.38%,-6.38%,0.67%,14.67%,CASS
19,28-10-2025,2.760,3.100,2.560,2.980,1.531.000,4.562.380.000,11.29%,25.00%,3.23%,20.16%,12.32%,21.61%,CASS
20,27-10-2025,2.450,2.550,2.430,2.480,54.000,133.920.000,0.82%,4.94%,0.00%,2.06%,4.08%,7.84%,CASS
21,24-10-2025,2.350,2.490,2.350,2.430,158.700,385.641.000,0.43%,6.41%,0.43%,3.85%,5.96%,6.83%,CASS
22,23-10-2025,2.380,2.400,2.320,2.340,143.900,336.726.000,1.71%,2.56%,-0.85%,0.00%,0.84%,2.92%,CASS
23,22-10-2025,2.330,2.410,2.330,2.340,69.300,162.162.000,0.00%,3.43%,0.00%,0.43%,3.43%,4.56%,CASS
24,21-10-2025,2.360,2.400,2.300,2.330,17.700,41.241.000,4.42%,6.19%,1.77%,3.10%,1.69%,7.92%,CASS
25,20-10-2025,2.250,2.400,2.210,2.260,142.400,321.824.000,0.00%,6.67%,-1.78%,0.44%,6.67%,7.92%,CASS
26,17-10-2025,2.350,2.400,2.210,2.250,261.600,588.600.000,-1.26%,0.84%,-7.14%,-5.46%,2.13%,3.33%,CASS
27,16-10-2025,2.330,2.430,2.320,2.380,13.000,30.940.000,-4.12%,0.00%,-4.53%,-2.06%,4.29%,5.35%,CASS
28,15-10-2025,2.450,2.540,2.300,2.430,28.800,69.984.000,0.41%,4.10%,-5.74%,-0.41%,3.67%,9.84%,CASS
29,14-10-2025,2.330,2.500,2.290,2.440,130.200,317.688.000,0.00%,7.30%,-1.72%,4.72%,7.30%,8.80%,CASS
30,13-10-2025,2.410,2.410,2.280,2.330,62.200,144.926.000,0.00%,0.00%,-5.39%,-3.32%,0.00%,6.22%,CASS
31,10-10-2025,2.400,2.420,2.260,2.410,119.100,287.031.000,0.00%,0.83%,-5.83%,0.42%,0.83%,1.65%,CASS
32,09-10-2025,2.430,2.430,2.380,2.400,65.200,156.480.000,1.25%,1.25%,-0.83%,0.00%,0.00%,2.06%,CASS
33,08-10-2025,2.440,2.440,2.380,2.400,29.500,70.800.000,0.41%,0.41%,-2.06%,-1.23%,0.00%,0.41%,CASS
34,07-10-2025,2.480,2.500,2.430,2.430,38.200,92.826.000,-0.40%,0.40%,-2.41%,-2.41%,0.81%,4.00%,CASS
35,06-10-2025,2.500,2.540,2.400,2.490,22.300,55.527.000,-0.40%,1.20%,-4.38%,-0.80%,1.60%,1.57%,CASS
36,03-10-2025,2.560,2.630,2.500,2.510,39.000,97.890.000,-1.16%,1.54%,-3.47%,-3.09%,2.73%,3.04%,CASS
37,02-10-2025,2.600,2.600,2.550,2.590,15.600,40.404.000,0.00%,0.00%,-1.92%,-0.38%,0.00%,1.54%,CASS
38,01-10-2025,2.600,2.690,2.560,2.600,26.400,68.640.000,0.39%,3.86%,-1.16%,0.39%,3.46%,7.06%,CASS
39,30-09-2025,2.500,2.970,2.500,2.590,286.200,741.258.000,-1.19%,17.39%,-1.19%,2.37%,18.80%,15.49%,CASS
40,29-09-2025,2.560,2.560,2.510,2.530,78.800,199.364.000,0.00%,0.00%,-1.95%,-1.17%,0.00%,2.73%,CASS
41,26-09-2025,2.550,2.580,2.490,2.560,72.900,186.624.000,0.00%,1.18%,-2.35%,0.39%,1.18%,3.49%,CASS
42,25-09-2025,2.580,2.650,2.490,2.550,81.800,208.590.000,0.00%,2.71%,-3.49%,-1.16%,2.71%,5.66%,CASS
43,24-09-2025,2.610,2.610,2.500,2.580,32.800,84.624.000,0.38%,0.38%,-3.85%,-0.77%,0.00%,1.15%,CASS
44,23-09-2025,2.670,2.670,2.580,2.600,13.700,35.620.000,0.75%,0.75%,-2.64%,-1.89%,0.00%,3.75%,CASS
45,22-09-2025,2.670,2.670,2.570,2.650,26.600,70.490.000,0.00%,0.00%,-3.75%,-0.75%,0.00%,2.25%,CASS
46,19-09-2025,2.620,2.700,2.610,2.670,7.100,18.957.000,0.00%,3.05%,-0.38%,1.91%,3.05%,5.19%,CASS
47,18-09-2025,2.590,2.880,2.560,2.620,44.400,116.328.000,-0.38%,10.77%,-1.54%,0.77%,11.20%,10.42%,CASS
48,17-09-2025,2.640,2.640,2.580,2.600,12.600,32.760.000,0.00%,0.00%,-2.27%,-1.52%,0.00%,0.38%,CASS
49,16-09-2025,2.640,2.660,2.630,2.640,16.500,43.560.000,0.00%,0.76%,-0.38%,0.00%,0.76%,0.75%,CASS
50,15-09-2025,2.650,2.700,2.640,2.640,15.400,40.656.000,-0.38%,1.50%,-0.75%,-0.75%,1.89%,4.81%,CASS
51,12-09-2025,2.570,2.670,2.570,2.660,106.300,282.758.000,0.00%,3.89%,0.00%,3.50%,3.89%,3.75%,CASS
52,11-09-2025,2.600,2.600,2.570,2.570,20.500,52.685.000,1.17%,1.17%,0.00%,0.00%,0.00%,4.23%,CASS
53,10-09-2025,2.490,2.610,2.490,2.570,57.100,146.747.000,0.00%,4.82%,0.00%,3.21%,4.82%,4.98%,CASS
54,09-09-2025,2.490,2.580,2.480,2.490,279.400,695.706.000,-2.73%,0.78%,-3.13%,-2.73%,3.61%,0.78%,CASS
55,08-09-2025,2.580,2.620,2.560,2.560,69.400,177.664.000,0.00%,1.55%,-0.78%,-0.78%,1.55%,1.91%,CASS
56,04-09-2025,2.650,2.690,2.570,2.580,116.600,300.828.000,0.00%,1.51%,-3.02%,-2.64%,1.51%,3.35%,CASS
57,03-09-2025,2.620,2.720,2.600,2.650,122.300,324.095.000,0.38%,4.21%,-0.38%,1.53%,3.82%,4.41%,CASS
58,02-09-2025,2.600,2.700,2.600,2.610,39.600,103.356.000,0.00%,3.85%,0.00%,0.38%,3.85%,7.78%,CASS
59,01-09-2025,2.650,2.660,2.490,2.600,121.800,316.680.000,-1.49%,-1.12%,-7.43%,-3.35%,0.38%,4.89%,CASS
60,29-08-2025,2.630,2.740,2.530,2.690,46.500,125.085.000,-2.23%,1.86%,-5.95%,0.00%,4.18%,4.38%,CASS
61,28-08-2025,2.750,2.750,2.620,2.690,75.100,202.019.000,1.10%,1.10%,-3.68%,-1.10%,0.00%,4.73%,CASS
62,27-08-2025,2.660,2.750,2.620,2.720,133.700,363.664.000,-1.12%,2.23%,-2.60%,1.12%,3.38%,4.00%,CASS
63,26-08-2025,2.640,2.700,2.640,2.690,125.900,338.671.000,0.00%,2.27%,0.00%,1.89%,2.27%,10.00%,CASS
64,25-08-2025,2.600,3.000,2.430,2.640,115.200,304.128.000,-2.26%,12.78%,-8.65%,-0.75%,15.38%,25.33%,CASS
65,22-08-2025,2.290,2.840,2.240,2.660,427.100,1.136.086.000,0.44%,24.56%,-1.75%,16.67%,24.02%,20.42%,CASS
66,21-08-2025,2.290,2.390,2.260,2.280,16.800,38.304.000,0.00%,4.37%,-1.31%,-0.44%,4.37%,5.86%,CASS
67,20-08-2025,2.320,2.320,2.250,2.290,28.600,65.494.000,4.98%,4.98%,1.81%,3.62%,0.00%,5.17%,CASS
68,19-08-2025,2.300,2.310,2.200,2.210,338.500,748.085.000,0.00%,0.43%,-4.35%,-3.91%,0.43%,0.43%,CASS
69,15-08-2025,2.350,2.400,2.300,2.300,386.000,887.800.000,1.29%,3.45%,-0.86%,-0.86%,2.13%,3.33%,CASS
70,14-08-2025,2.380,2.430,2.320,2.320,321.700,746.344.000,2.15%,4.29%,-0.43%,-0.43%,2.10%,7.41%,CASS
