col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CBRE
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CBRE
1,21-11-2025,1.095,1.105,1.065,1.085,16.286.400,17.670.744.000,0.46%,1.38%,-2.29%,-0.46%,0.91%,3.62%,CBRE
2,20-11-2025,1.080,1.120,1.065,1.090,23.773.200,25.912.788.000,0.00%,3.70%,-1.39%,0.93%,3.70%,4.02%,CBRE
3,19-11-2025,1.075,1.120,1.075,1.080,22.491.400,24.290.712.000,0.00%,4.19%,0.00%,0.47%,4.19%,4.02%,CBRE
4,18-11-2025,1.145,1.145,1.075,1.075,32.776.600,35.234.845.000,0.00%,0.00%,-6.11%,-6.11%,0.00%,7.42%,CBRE
5,17-11-2025,1.120,1.210,1.060,1.145,103.352.600,118.338.727.000,0.00%,8.04%,-5.36%,2.23%,8.04%,7.85%,CBRE
6,14-11-2025,1.155,1.155,1.115,1.120,37.554.600,42.061.152.000,0.00%,0.00%,-3.46%,-3.03%,0.00%,0.87%,CBRE
7,13-11-2025,1.185,1.200,1.145,1.155,35.043.300,40.475.011.500,0.42%,1.69%,-2.97%,-2.12%,1.27%,4.17%,CBRE
8,12-11-2025,1.180,1.230,1.150,1.180,43.736.100,51.608.598.000,0.00%,4.24%,-2.54%,0.00%,4.24%,5.69%,CBRE
9,11-11-2025,1.220,1.230,1.160,1.180,63.170.900,74.541.662.000,0.00%,0.82%,-4.92%,-3.28%,0.82%,4.07%,CBRE
10,10-11-2025,1.250,1.250,1.180,1.220,66.294.100,80.878.802.000,-1.19%,-1.19%,-6.72%,-3.56%,0.00%,4.00%,CBRE
11,07-11-2025,1.300,1.380,1.200,1.265,109.456.700,138.462.725.500,0.78%,6.98%,-6.98%,-1.94%,6.15%,14.13%,CBRE
12,06-11-2025,1.210,1.420,1.185,1.290,254.589.200,328.420.068.000,3.42%,21.37%,1.28%,10.26%,17.36%,21.83%,CBRE
13,05-11-2025,1.165,1.235,1.110,1.170,80.401.200,94.069.404.000,-0.43%,5.56%,-5.13%,0.00%,6.01%,10.12%,CBRE
14,04-11-2025,1.260,1.265,1.110,1.170,134.899.400,157.832.298.000,0.00%,0.40%,-11.90%,-7.14%,0.40%,2.77%,CBRE
15,03-11-2025,1.320,1.355,1.230,1.260,68.804.400,86.693.544.000,0.38%,3.04%,-6.46%,-4.18%,2.65%,3.32%,CBRE
16,31-10-2025,1.350,1.370,1.310,1.315,31.921.300,41.976.509.500,0.00%,1.48%,-2.96%,-2.59%,1.48%,3.28%,CBRE
17,30-10-2025,1.350,1.435,1.325,1.350,75.809.300,102.342.555.000,2.66%,9.13%,0.76%,2.66%,6.30%,12.89%,CBRE
18,29-10-2025,1.250,1.400,1.250,1.315,59.790.400,78.624.376.000,-9.09%,1.82%,-9.09%,-4.36%,12.00%,6.79%,CBRE
19,28-10-2025,1.510,1.510,1.305,1.375,89.146.100,122.575.887.500,-0.98%,-0.98%,-14.43%,-9.84%,0.00%,5.96%,CBRE
20,27-10-2025,1.660,1.730,1.420,1.525,200.462.100,305.704.702.500,5.73%,10.19%,-9.55%,-2.87%,4.22%,19.94%,CBRE
21,24-10-2025,1.450,1.640,1.385,1.570,402.295.300,631.603.621.000,9.43%,23.77%,4.53%,18.49%,13.10%,20.73%,CBRE
22,23-10-2025,1.350,1.385,1.300,1.325,42.152.000,55.851.400.000,0.00%,2.59%,-3.70%,-1.85%,2.59%,6.50%,CBRE
23,22-10-2025,1.405,1.440,1.295,1.350,73.438.200,99.141.570.000,0.00%,2.49%,-7.83%,-3.91%,2.49%,5.90%,CBRE
24,21-10-2025,1.500,1.510,1.355,1.405,84.124.600,118.195.063.000,1.35%,2.03%,-8.45%,-5.07%,0.67%,20.20%,CBRE
25,20-10-2025,1.440,1.560,1.205,1.480,317.253.900,469.535.772.000,1.77%,10.25%,-14.84%,4.59%,8.33%,9.29%,CBRE
26,17-10-2025,1.465,1.800,1.415,1.415,347.315.300,491.451.149.500,-11.75%,8.43%,-14.76%,-14.76%,22.87%,13.89%,CBRE
27,16-10-2025,1.630,1.660,1.550,1.660,285.580.800,474.064.128.000,22.56%,24.81%,16.54%,24.81%,1.84%,45.18%,CBRE
28,15-10-2025,910,1.330,910,1.330,459.360.700,610.949.731.000,-14.55%,24.88%,-14.55%,24.88%,46.15%,19.92%,CBRE
29,14-10-2025,1.065,1.065,1.065,1.065,11.101.400,11.822.991.000,-14.80%,-14.80%,-14.80%,-14.80%,0.00%,-17.37%,CBRE
30,13-10-2025,1.250,1.300,1.250,1.250,57.538.200,71.922.750.000,-14.68%,-11.26%,-14.68%,-14.68%,4.00%,-12.69%,CBRE
31,10-10-2025,1.740,1.740,1.465,1.465,192.053.700,281.358.670.500,1.16%,1.16%,-14.83%,-14.83%,0.00%,9.48%,CBRE
32,09-10-2025,1.830,2.000,1.575,1.720,250.452.900,430.778.988.000,1.67%,11.11%,-12.50%,-4.44%,9.29%,32.50%,CBRE
33,08-10-2025,1.875,1.955,1.350,1.800,642.025.800,1.155.646.440.000,19.81%,24.92%,-13.74%,15.02%,4.27%,23.02%,CBRE
34,07-10-2025,1.565,1.565,1.505,1.565,72.517.500,113.489.887.500,24.70%,24.70%,19.92%,24.70%,0.00%,27.16%,CBRE
35,06-10-2025,1.145,1.255,1.140,1.255,106.775.200,134.002.876.000,13.93%,24.88%,13.43%,24.88%,9.61%,35.86%,CBRE
