col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CCSI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CCSI
1,21-11-2025,350,350,336,344,433.900,149.261.600,0.00%,0.00%,-4.00%,-1.71%,0.00%,1.71%,CCSI
2,20-11-2025,348,350,344,350,413.800,144.830.000,0.00%,0.57%,-1.15%,0.57%,0.57%,1.14%,CCSI
3,19-11-2025,350,352,346,348,519.700,180.855.600,0.57%,1.15%,-0.57%,0.00%,0.57%,2.27%,CCSI
4,18-11-2025,356,356,344,348,182.300,63.440.400,1.71%,1.71%,-1.71%,-0.57%,0.00%,4.49%,CCSI
5,17-11-2025,354,354,340,350,344.600,120.610.000,1.14%,1.14%,-2.86%,0.00%,0.00%,2.26%,CCSI
6,14-11-2025,348,356,346,350,586.200,205.170.000,0.00%,2.30%,-0.57%,0.57%,2.30%,2.81%,CCSI
7,13-11-2025,350,350,346,348,512.000,178.176.000,0.57%,0.57%,-0.57%,0.00%,0.00%,2.86%,CCSI
8,12-11-2025,350,350,340,348,930.900,323.953.200,0.00%,0.00%,-2.86%,-0.57%,0.00%,1.71%,CCSI
9,11-11-2025,354,360,344,350,245.600,85.960.000,1.14%,2.86%,-1.71%,0.00%,1.69%,3.89%,CCSI
10,10-11-2025,350,350,346,350,259.300,90.755.000,0.57%,0.57%,-0.57%,0.57%,0.00%,1.71%,CCSI
11,07-11-2025,356,356,344,348,111.800,38.906.400,1.71%,1.71%,-1.71%,-0.57%,0.00%,3.93%,CCSI
12,06-11-2025,348,358,342,350,509.900,178.465.000,0.00%,2.87%,-1.72%,0.57%,2.87%,4.47%,CCSI
13,05-11-2025,354,360,342,348,175.100,60.934.800,0.00%,1.69%,-3.39%,-1.69%,1.69%,4.44%,CCSI
14,04-11-2025,360,360,344,354,426.500,150.981.000,0.56%,0.56%,-3.91%,-1.12%,0.00%,5.00%,CCSI
15,03-11-2025,358,364,342,358,301.500,107.937.000,0.00%,1.68%,-4.47%,0.00%,1.68%,3.85%,CCSI
16,31-10-2025,356,360,350,358,277.400,99.309.200,-1.11%,0.00%,-2.78%,-0.56%,1.12%,3.33%,CCSI
17,30-10-2025,362,362,348,360,622.200,223.992.000,0.00%,0.00%,-3.87%,-0.55%,0.00%,3.31%,CCSI
18,29-10-2025,360,366,350,362,285.800,103.459.600,0.00%,1.67%,-2.78%,0.56%,1.67%,6.01%,CCSI
19,28-10-2025,350,364,344,360,557.700,200.772.000,0.00%,4.00%,-1.71%,2.86%,4.00%,6.04%,CCSI
20,27-10-2025,366,368,342,350,498.100,174.335.000,0.55%,1.10%,-6.04%,-3.85%,0.55%,3.26%,CCSI
21,24-10-2025,364,368,356,364,551.400,200.709.600,0.00%,1.10%,-2.20%,0.00%,1.10%,4.35%,CCSI
22,23-10-2025,362,364,352,364,206.900,75.311.600,0.00%,0.55%,-2.76%,0.55%,0.55%,6.59%,CCSI
23,22-10-2025,356,368,340,362,345.400,125.034.800,-1.66%,1.66%,-6.08%,0.00%,3.37%,4.89%,CCSI
24,21-10-2025,350,380,350,362,152.300,55.132.600,-1.69%,6.74%,-1.69%,1.69%,8.57%,8.95%,CCSI
25,20-10-2025,346,380,346,356,740.600,263.653.600,0.00%,9.83%,0.00%,2.89%,9.83%,10.53%,CCSI
26,17-10-2025,364,364,340,346,325.300,112.553.800,3.41%,3.41%,-3.41%,-1.70%,0.00%,3.30%,CCSI
27,16-10-2025,364,368,352,352,923.400,325.036.800,2.82%,3.95%,-0.56%,-0.56%,1.10%,5.98%,CCSI
28,15-10-2025,356,382,346,354,884.900,313.254.600,-1.66%,5.52%,-4.42%,-2.21%,7.30%,8.90%,CCSI
29,14-10-2025,364,370,348,362,337.800,122.283.600,0.55%,2.21%,-3.87%,0.00%,1.65%,5.41%,CCSI
30,13-10-2025,372,372,350,362,464.100,168.004.200,0.00%,0.00%,-5.91%,-2.69%,0.00%,3.23%,CCSI
31,10-10-2025,364,384,360,372,1.078.200,401.090.400,0.00%,5.49%,-1.10%,2.20%,5.49%,9.90%,CCSI
32,09-10-2025,364,368,346,364,411.600,149.822.400,0.00%,1.10%,-4.95%,0.00%,1.10%,5.98%,CCSI
33,08-10-2025,366,366,346,364,1.033.600,376.230.400,0.00%,0.00%,-5.46%,-0.55%,0.00%,5.46%,CCSI
34,07-10-2025,366,370,346,366,632.400,231.458.400,0.55%,1.65%,-4.95%,0.55%,1.09%,7.03%,CCSI
35,06-10-2025,352,366,344,364,1.292.100,470.324.400,0.00%,3.98%,-2.27%,3.41%,3.98%,10.38%,CCSI
36,03-10-2025,344,358,328,352,787.700,277.270.400,0.00%,4.07%,-4.65%,2.33%,4.07%,7.82%,CCSI
37,02-10-2025,348,354,330,344,384.800,132.371.200,0.00%,1.72%,-5.17%,-1.15%,1.72%,4.52%,CCSI
38,01-10-2025,364,364,338,348,894.800,311.390.400,0.55%,0.55%,-6.63%,-3.87%,0.00%,3.85%,CCSI
39,30-09-2025,360,364,350,362,519.400,188.022.800,0.00%,1.11%,-2.78%,0.56%,1.11%,3.85%,CCSI
40,29-09-2025,352,370,350,360,539.100,194.076.000,2.92%,8.19%,2.34%,5.26%,5.11%,8.11%,CCSI
41,26-09-2025,350,354,340,342,427.700,146.273.400,-1.13%,0.00%,-3.95%,-3.39%,1.14%,3.95%,CCSI
42,25-09-2025,354,358,340,354,536.800,190.027.200,0.00%,1.13%,-3.95%,0.00%,1.13%,2.23%,CCSI
43,24-09-2025,368,370,350,354,361.900,128.112.600,0.00%,0.54%,-4.89%,-3.80%,0.54%,5.41%,CCSI
44,23-09-2025,354,372,350,368,294.300,108.302.400,-1.12%,3.91%,-2.23%,2.79%,5.08%,4.84%,CCSI
45,22-09-2025,360,386,354,358,896.300,320.875.400,0.00%,7.22%,-1.67%,-0.56%,7.22%,11.92%,CCSI
46,19-09-2025,350,360,340,360,655.800,236.088.000,-2.23%,0.56%,-5.03%,0.56%,2.86%,3.33%,CCSI
47,18-09-2025,356,370,348,358,434.400,155.515.200,-0.56%,3.35%,-2.79%,0.00%,3.93%,3.78%,CCSI
48,17-09-2025,376,378,356,358,540.800,193.606.400,0.00%,0.53%,-5.32%,-4.79%,0.53%,3.70%,CCSI
49,16-09-2025,376,384,364,376,845.600,317.945.600,0.00%,2.13%,-3.19%,0.00%,2.13%,2.60%,CCSI
50,15-09-2025,378,388,374,376,415.900,156.378.400,0.00%,2.65%,-1.06%,-0.53%,2.65%,4.12%,CCSI
51,12-09-2025,406,406,372,378,1.558.100,588.961.800,0.00%,0.00%,-8.37%,-6.90%,0.00%,3.45%,CCSI
52,11-09-2025,408,416,392,406,1.299.300,527.515.800,0.49%,2.46%,-3.45%,0.00%,1.96%,11.06%,CCSI
53,10-09-2025,370,450,370,406,5.175.500,2.101.253.000,0.00%,21.62%,0.00%,9.73%,21.62%,18.22%,CCSI
54,09-09-2025,378,386,368,370,990.200,366.374.000,0.53%,2.66%,-2.13%,-1.60%,2.12%,4.15%,CCSI
55,08-09-2025,382,388,370,376,1.383.000,520.008.000,0.53%,2.11%,-2.63%,-1.05%,1.57%,5.15%,CCSI
56,04-09-2025,376,384,368,380,945.100,359.138.000,1.62%,3.78%,-0.54%,2.70%,2.13%,3.65%,CCSI
57,03-09-2025,378,390,370,370,1.535.800,568.246.000,1.07%,4.28%,-1.07%,-1.07%,3.17%,6.15%,CCSI
58,02-09-2025,388,388,366,374,1.192.400,445.957.600,2.65%,2.65%,-3.17%,-1.06%,0.00%,17.01%,CCSI
59,01-09-2025,322,400,322,378,1.733.500,655.263.000,-12.02%,9.29%,-12.02%,3.28%,24.22%,14.50%,CCSI
60,29-08-2025,380,384,342,366,2.725.800,997.642.800,1.60%,2.67%,-8.56%,-2.14%,1.05%,13.54%,CCSI
61,28-08-2025,340,420,332,374,7.049.100,2.636.363.400,1.19%,25.00%,-1.19%,11.31%,23.53%,21.90%,CCSI
62,27-08-2025,336,380,328,336,4.195.200,1.409.587.200,1.82%,15.15%,-0.61%,1.82%,13.10%,14.21%,CCSI
63,26-08-2025,334,336,326,330,283.400,93.522.000,1.83%,2.44%,-0.61%,0.61%,0.60%,3.57%,CCSI
64,25-08-2025,342,342,324,328,1.059.700,347.581.600,1.79%,1.79%,-3.57%,-2.38%,0.00%,4.68%,CCSI
65,22-08-2025,332,340,326,336,338.400,113.702.400,0.00%,2.41%,-1.81%,1.20%,2.41%,4.71%,CCSI
66,21-08-2025,326,342,324,332,1.055.600,350.459.200,0.00%,4.91%,-0.61%,1.84%,4.91%,6.43%,CCSI
67,20-08-2025,336,336,320,326,461.600,150.481.600,2.44%,2.44%,-2.44%,-0.61%,0.00%,3.57%,CCSI
68,19-08-2025,328,342,324,328,430.700,141.269.600,1.23%,5.56%,0.00%,1.23%,4.27%,6.43%,CCSI
69,15-08-2025,322,330,320,324,162.400,52.617.600,0.00%,2.48%,-0.62%,0.62%,2.48%,3.64%,CCSI
70,14-08-2025,318,338,318,322,376.300,121.168.600,-1.24%,4.97%,-1.24%,0.00%,6.29%,5.92%,CCSI
71,13-08-2025,322,324,318,322,569.800,183.475.600,0.00%,0.62%,-1.24%,0.00%,0.62%,2.47%,CCSI
72,12-08-2025,322,326,316,322,565.700,182.155.400,0.00%,1.24%,-1.86%,0.00%,1.24%,5.52%,CCSI
73,11-08-2025,320,322,308,322,562.600,181.157.200,0.00%,0.63%,-3.75%,0.63%,0.63%,6.21%,CCSI
