col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CEKA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CEKA
1,21-11-2025,2.520,2.520,2.500,2.500,11.600,29.000.000,0.80%,0.80%,0.00%,0.00%,0.00%,0.79%,CEKA
2,20-11-2025,2.540,2.540,2.500,2.500,29.300,73.250.000,1.20%,1.20%,-0.40%,-0.40%,0.00%,1.57%,CEKA
3,19-11-2025,2.520,2.540,2.500,2.510,22.800,57.228.000,0.80%,1.60%,0.00%,0.40%,0.79%,1.57%,CEKA
4,18-11-2025,2.510,2.510,2.500,2.500,46.000,115.000.000,0.40%,0.40%,0.00%,0.00%,0.00%,0.40%,CEKA
5,17-11-2025,2.510,2.520,2.500,2.500,12.500,31.250.000,0.00%,0.40%,-0.40%,-0.40%,0.40%,0.79%,CEKA
6,14-11-2025,2.500,2.520,2.500,2.510,39.700,99.647.000,0.00%,0.80%,0.00%,0.40%,0.80%,0.79%,CEKA
7,13-11-2025,2.510,2.520,2.500,2.500,14.100,35.250.000,0.40%,0.80%,0.00%,0.00%,0.40%,1.59%,CEKA
8,12-11-2025,2.530,2.530,2.480,2.500,14.300,35.750.000,1.61%,1.61%,-0.40%,0.40%,0.00%,1.98%,CEKA
9,11-11-2025,2.480,2.490,2.480,2.490,3.600,8.964.000,0.40%,0.81%,0.40%,0.81%,0.40%,0.80%,CEKA
10,10-11-2025,2.500,2.500,2.470,2.470,20.800,51.376.000,0.00%,0.00%,-1.20%,-1.20%,0.00%,2.00%,CEKA
11,07-11-2025,2.560,2.680,2.450,2.500,210.200,525.500.000,0.00%,4.69%,-4.30%,-2.34%,4.69%,7.84%,CEKA
12,06-11-2025,2.490,2.890,2.470,2.560,125.500,321.280.000,0.00%,16.06%,-0.80%,2.81%,16.06%,14.19%,CEKA
13,05-11-2025,2.500,2.500,2.480,2.490,20.200,50.298.000,-0.40%,-0.40%,-1.20%,-0.80%,0.00%,0.00%,CEKA
14,04-11-2025,2.500,2.510,2.500,2.510,7.300,18.323.000,-0.79%,-0.40%,-0.79%,-0.40%,0.40%,0.40%,CEKA
15,03-11-2025,2.510,2.520,2.500,2.520,20.000,50.400.000,0.00%,0.40%,-0.40%,0.40%,0.40%,1.59%,CEKA
16,31-10-2025,2.480,2.510,2.480,2.510,55.400,139.054.000,0.00%,1.21%,0.00%,1.21%,1.21%,1.20%,CEKA
17,30-10-2025,2.490,2.520,2.480,2.480,30.500,75.640.000,0.00%,1.20%,-0.40%,-0.40%,1.20%,1.19%,CEKA
18,29-10-2025,2.530,2.530,2.490,2.490,32.100,79.929.000,0.00%,0.00%,-1.58%,-1.58%,0.00%,2.37%,CEKA
19,28-10-2025,2.510,2.530,2.470,2.530,129.700,328.141.000,0.00%,0.80%,-1.59%,0.80%,0.80%,1.19%,CEKA
20,27-10-2025,2.560,2.560,2.500,2.510,15.500,38.905.000,0.00%,0.00%,-2.34%,-1.95%,0.00%,3.13%,CEKA
21,24-10-2025,2.570,2.570,2.480,2.560,11.800,30.208.000,0.00%,0.00%,-3.50%,-0.39%,0.00%,0.78%,CEKA
22,23-10-2025,2.560,2.590,2.550,2.570,28.800,74.016.000,0.39%,1.57%,0.00%,0.78%,1.17%,3.09%,CEKA
23,22-10-2025,2.550,2.550,2.510,2.550,5.900,15.045.000,-0.39%,-0.39%,-1.95%,-0.39%,0.00%,1.96%,CEKA
24,21-10-2025,2.550,2.570,2.500,2.560,46.000,117.760.000,0.00%,0.78%,-1.96%,0.39%,0.78%,2.72%,CEKA
25,20-10-2025,2.500,2.600,2.500,2.550,15.300,39.015.000,0.00%,4.00%,0.00%,2.00%,4.00%,3.85%,CEKA
26,17-10-2025,2.510,2.510,2.500,2.500,10.000,25.000.000,0.40%,0.40%,0.00%,0.00%,0.00%,0.40%,CEKA
27,16-10-2025,2.500,2.500,2.500,2.500,800,2.000.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.80%,CEKA
28,15-10-2025,2.540,2.540,2.480,2.500,13.200,33.000.000,0.79%,0.79%,-1.59%,-0.79%,0.00%,1.18%,CEKA
29,14-10-2025,2.550,2.580,2.510,2.520,22.900,57.708.000,0.00%,1.18%,-1.57%,-1.18%,1.18%,3.10%,CEKA
30,13-10-2025,2.570,2.590,2.500,2.550,52.700,134.385.000,0.00%,0.78%,-2.72%,-0.78%,0.78%,2.32%,CEKA
31,10-10-2025,2.530,2.600,2.530,2.570,14.700,37.779.000,0.00%,2.77%,0.00%,1.58%,2.77%,3.85%,CEKA
32,09-10-2025,2.500,2.600,2.500,2.530,4.900,12.397.000,0.00%,4.00%,0.00%,1.20%,4.00%,3.85%,CEKA
33,08-10-2025,2.600,2.600,2.500,2.500,30.800,77.000.000,3.59%,3.59%,-0.40%,-0.40%,0.00%,3.85%,CEKA
34,07-10-2025,2.510,2.610,2.500,2.510,12.300,30.873.000,-1.18%,2.76%,-1.57%,-1.18%,3.98%,8.05%,CEKA
35,06-10-2025,2.600,2.600,2.400,2.540,81.900,208.026.000,-0.38%,-0.38%,-8.05%,-2.68%,0.00%,0.00%,CEKA
36,03-10-2025,2.620,2.620,2.600,2.610,12.300,32.103.000,0.38%,0.38%,-0.38%,0.00%,0.00%,0.38%,CEKA
37,02-10-2025,2.630,2.650,2.610,2.610,8.300,21.663.000,0.77%,1.53%,0.00%,0.00%,0.76%,1.51%,CEKA
38,01-10-2025,2.670,2.690,2.610,2.610,19.300,50.373.000,0.75%,1.51%,-1.51%,-1.51%,0.75%,2.97%,CEKA
39,30-09-2025,2.650,2.660,2.610,2.650,41.900,111.035.000,1.53%,1.92%,0.00%,1.53%,0.38%,2.26%,CEKA
40,29-09-2025,2.650,2.650,2.600,2.610,28.600,74.646.000,0.00%,0.00%,-1.89%,-1.51%,0.00%,0.75%,CEKA
41,26-09-2025,2.650,2.650,2.630,2.650,12.100,32.065.000,0.00%,0.00%,-0.75%,0.00%,0.00%,1.89%,CEKA
42,25-09-2025,2.670,2.670,2.600,2.650,28.300,74.995.000,1.14%,1.14%,-1.52%,0.38%,0.00%,1.87%,CEKA
43,24-09-2025,2.650,2.670,2.620,2.640,41.300,109.032.000,0.76%,1.52%,-0.38%,0.38%,0.75%,2.25%,CEKA
44,23-09-2025,2.660,2.660,2.610,2.630,7.400,19.462.000,2.31%,2.31%,0.38%,1.15%,0.00%,2.26%,CEKA
45,22-09-2025,2.640,2.670,2.600,2.600,41.200,107.120.000,1.15%,2.30%,-0.38%,-0.38%,1.14%,2.62%,CEKA
46,19-09-2025,2.610,2.690,2.600,2.610,35.800,93.438.000,0.00%,3.07%,-0.38%,0.00%,3.07%,2.97%,CEKA
47,18-09-2025,2.660,2.670,2.610,2.610,5.300,13.833.000,0.00%,0.38%,-1.88%,-1.88%,0.38%,0.37%,CEKA
48,17-09-2025,2.660,2.690,2.660,2.660,24.200,64.372.000,-0.37%,0.75%,-0.37%,-0.37%,1.13%,1.12%,CEKA
49,16-09-2025,2.660,2.730,2.660,2.670,57.500,153.525.000,0.00%,2.63%,0.00%,0.38%,2.63%,2.56%,CEKA
