col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CENT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CENT
1,21-11-2025,134,138,133,135,12.623.900,1.704.226.500,1.52%,4.55%,0.76%,2.27%,2.99%,4.35%,CENT
2,20-11-2025,138,140,132,132,28.724.300,3.791.607.600,0.00%,1.45%,-4.35%,-4.35%,1.45%,2.86%,CENT
3,19-11-2025,136,142,136,138,11.937.000,1.647.306.000,0.00%,4.41%,0.00%,1.47%,4.41%,4.23%,CENT
4,18-11-2025,139,139,136,136,12.445.900,1.692.642.400,0.00%,0.00%,-2.16%,-2.16%,0.00%,2.16%,CENT
5,17-11-2025,145,153,136,139,45.448.500,6.317.341.500,0.69%,6.25%,-5.56%,-3.47%,5.52%,7.19%,CENT
6,14-11-2025,148,165,142,144,156.520.500,22.538.952.000,1.37%,13.01%,-2.74%,-1.37%,11.49%,17.58%,CENT
7,13-11-2025,137,151,136,146,54.788.800,7.999.164.800,0.00%,10.22%,-0.73%,6.57%,10.22%,9.93%,CENT
8,12-11-2025,136,139,136,137,6.512.600,892.226.200,0.00%,2.21%,0.00%,0.74%,2.21%,2.16%,CENT
9,11-11-2025,139,140,136,136,10.584.300,1.439.464.800,0.72%,1.45%,-1.45%,-1.45%,0.72%,2.86%,CENT
10,10-11-2025,136,142,136,138,14.943.300,2.062.175.400,-2.16%,2.16%,-2.16%,-0.72%,4.41%,4.23%,CENT
11,07-11-2025,141,142,136,139,10.871.000,1.511.069.000,0.00%,0.71%,-3.55%,-1.42%,0.71%,5.63%,CENT
12,06-11-2025,137,149,134,141,49.729.300,7.011.831.300,2.24%,11.19%,0.00%,5.22%,8.76%,11.41%,CENT
13,05-11-2025,134,136,132,134,7.194.600,964.076.400,0.75%,2.26%,-0.75%,0.75%,1.49%,2.21%,CENT
14,04-11-2025,135,138,133,133,9.904.300,1.317.271.900,0.00%,2.22%,-1.48%,-1.48%,2.22%,3.62%,CENT
15,03-11-2025,136,137,133,135,10.321.900,1.393.456.500,0.00%,0.74%,-2.21%,-0.74%,0.74%,0.73%,CENT
16,31-10-2025,137,145,136,136,24.005.600,3.264.761.600,0.74%,6.62%,0.00%,0.00%,5.84%,7.59%,CENT
17,30-10-2025,135,139,134,136,14.197.400,1.930.846.400,-2.88%,0.00%,-3.60%,-2.16%,2.96%,2.16%,CENT
18,29-10-2025,139,141,136,139,13.351.300,1.855.830.700,0.00%,1.44%,-2.16%,0.00%,1.44%,5.67%,CENT
