col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CGAS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CGAS
1,21-11-2025,170,172,165,167,6.398.800,1.068.599.600,0.59%,1.78%,-2.37%,-1.18%,1.18%,1.74%,CGAS
2,20-11-2025,172,173,169,169,7.001.300,1.183.219.700,1.78%,2.37%,0.00%,0.00%,0.58%,2.89%,CGAS
3,19-11-2025,171,173,168,169,7.270.100,1.228.646.900,-0.58%,0.58%,-2.33%,-1.74%,1.17%,2.31%,CGAS
4,18-11-2025,174,177,169,172,18.600.900,3.199.354.800,0.00%,1.72%,-2.87%,-1.15%,1.72%,7.91%,CGAS
5,17-11-2025,165,180,163,174,52.383.700,9.114.763.800,1.85%,11.11%,0.62%,7.41%,9.09%,12.78%,CGAS
6,14-11-2025,161,179,157,162,56.618.500,9.172.197.000,0.63%,11.88%,-1.88%,1.25%,11.18%,11.73%,CGAS
7,13-11-2025,159,162,158,160,6.752.800,1.080.448.000,0.00%,1.89%,-0.63%,0.63%,1.89%,3.70%,CGAS
8,12-11-2025,161,162,156,159,9.756.400,1.551.267.600,0.63%,1.25%,-2.50%,-0.63%,0.62%,4.32%,CGAS
9,11-11-2025,159,162,155,160,14.412.300,2.305.968.000,0.00%,1.89%,-2.52%,0.63%,1.89%,7.41%,CGAS
10,10-11-2025,150,164,150,159,77.096.500,12.258.343.500,0.00%,9.33%,0.00%,6.00%,9.33%,10.37%,CGAS
11,07-11-2025,148,152,147,150,3.792.200,568.830.000,0.00%,2.70%,-0.68%,1.35%,2.70%,5.92%,CGAS
12,06-11-2025,147,150,143,148,4.433.000,656.084.000,0.68%,2.74%,-2.05%,1.37%,2.04%,2.67%,CGAS
13,05-11-2025,150,152,146,146,6.672.700,974.214.200,0.67%,2.01%,-2.01%,-2.01%,1.33%,5.92%,CGAS
14,04-11-2025,144,155,143,149,22.504.800,3.353.215.200,0.00%,7.64%,-0.69%,3.47%,7.64%,9.03%,CGAS
15,03-11-2025,147,147,141,144,6.327.600,911.174.400,2.80%,2.80%,-1.40%,0.70%,0.00%,2.72%,CGAS
16,31-10-2025,150,150,143,143,7.074.700,1.011.682.100,1.35%,1.35%,-3.38%,-3.38%,0.00%,2.00%,CGAS
17,30-10-2025,148,153,147,148,18.836.900,2.787.861.200,0.00%,3.38%,-0.68%,0.00%,3.38%,5.88%,CGAS
