col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CINT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CINT
1,21-11-2025,191,236,191,226,34.516.900,7.800.819.400,1.60%,25.53%,1.60%,20.21%,23.56%,23.31%,CINT
2,20-11-2025,185,206,181,188,2.773.300,521.380.400,0.54%,11.96%,-1.63%,2.17%,11.35%,11.65%,CINT
3,19-11-2025,185,186,182,184,228.800,42.099.200,-0.54%,0.00%,-2.15%,-1.08%,0.54%,2.15%,CINT
4,18-11-2025,185,186,182,186,435.000,80.910.000,0.00%,0.54%,-1.62%,0.54%,0.54%,1.61%,CINT
5,17-11-2025,187,188,183,185,317.000,58.645.000,1.08%,1.62%,-1.08%,0.00%,0.53%,3.72%,CINT
6,14-11-2025,193,193,181,185,1.079.500,199.707.500,1.58%,1.58%,-4.74%,-2.63%,0.00%,5.18%,CINT
7,13-11-2025,185,218,183,190,8.969.900,1.704.281.000,0.00%,17.84%,-1.08%,2.70%,17.84%,16.51%,CINT
8,12-11-2025,189,195,182,185,1.382.200,255.707.000,0.53%,3.72%,-3.19%,-1.60%,3.17%,3.59%,CINT
9,11-11-2025,202,212,188,188,3.419.400,642.847.200,0.00%,4.95%,-6.93%,-6.93%,4.95%,18.40%,CINT
10,10-11-2025,177,234,173,202,24.707.300,4.990.874.600,0.57%,32.95%,-1.70%,14.77%,32.20%,25.21%,CINT
11,07-11-2025,180,188,175,176,1.317.100,231.809.600,0.00%,4.44%,-2.78%,-2.22%,4.44%,6.38%,CINT
12,06-11-2025,189,196,176,180,5.052.100,909.378.000,-0.53%,3.16%,-7.37%,-5.26%,3.70%,5.10%,CINT
13,05-11-2025,210,254,186,190,24.247.000,4.606.930.000,1.94%,23.30%,-9.71%,-7.77%,20.95%,38.98%,CINT
14,04-11-2025,155,206,155,206,22.190.400,4.571.222.400,0.65%,33.77%,0.65%,33.77%,32.90%,26.21%,CINT
15,03-11-2025,157,157,152,154,260.000,40.040.000,3.29%,3.29%,0.00%,1.32%,0.00%,3.82%,CINT
16,31-10-2025,152,163,151,152,2.420.600,367.931.200,1.33%,8.67%,0.67%,1.33%,7.24%,7.98%,CINT
17,30-10-2025,153,153,150,150,152.200,22.830.000,0.66%,0.66%,-1.32%,-1.32%,0.00%,2.61%,CINT
18,29-10-2025,153,154,149,152,234.400,35.628.800,0.00%,0.65%,-2.61%,-0.65%,0.65%,1.95%,CINT
19,28-10-2025,152,154,151,153,123.300,18.864.900,0.00%,1.32%,-0.66%,0.66%,1.32%,2.60%,CINT
20,27-10-2025,153,166,150,152,1.116.700,169.738.400,-0.65%,7.79%,-2.60%,-1.30%,8.50%,8.43%,CINT
21,24-10-2025,155,155,152,154,17.200,2.648.800,1.31%,1.31%,-0.65%,0.65%,0.00%,1.94%,CINT
22,23-10-2025,153,155,152,153,97.500,14.917.500,0.66%,1.97%,0.00%,0.66%,1.31%,1.94%,CINT
23,22-10-2025,155,155,152,152,44.100,6.703.200,0.65%,0.65%,-1.30%,-1.30%,0.00%,0.65%,CINT
24,21-10-2025,154,154,154,154,37.500,5.775.000,0.00%,0.00%,0.00%,0.00%,0.00%,3.25%,CINT
25,20-10-2025,151,154,149,154,155.700,23.977.800,0.67%,2.67%,-0.67%,2.67%,1.99%,2.60%,CINT
26,17-10-2025,154,155,150,150,51.800,7.770.000,0.00%,0.65%,-2.60%,-2.60%,0.65%,1.94%,CINT
27,16-10-2025,154,155,152,154,43.000,6.622.000,0.65%,1.31%,-0.65%,0.65%,0.65%,2.58%,CINT
28,15-10-2025,152,155,151,153,39.800,6.089.400,0.00%,1.97%,-0.66%,0.66%,1.97%,1.94%,CINT
29,14-10-2025,155,156,152,152,156.600,23.803.200,-0.64%,0.00%,-2.56%,-2.56%,0.65%,2.56%,CINT
30,13-10-2025,157,158,152,156,285.700,44.569.200,0.64%,1.28%,-2.56%,0.00%,0.64%,1.90%,CINT
31,10-10-2025,158,159,155,156,145.400,22.682.400,1.28%,1.92%,-0.64%,0.00%,0.63%,1.89%,CINT
32,09-10-2025,159,159,156,156,145.400,22.682.400,1.27%,1.27%,-0.64%,-0.64%,0.00%,1.26%,CINT
33,08-10-2025,159,160,157,157,67.600,10.613.200,0.00%,0.63%,-1.26%,-1.26%,0.63%,1.25%,CINT
34,07-10-2025,159,160,158,159,13.600,2.162.400,0.00%,0.63%,-0.63%,0.00%,0.63%,3.13%,CINT
35,06-10-2025,159,164,155,159,196.400,31.227.600,0.00%,3.14%,-2.52%,0.00%,3.14%,3.66%,CINT
36,03-10-2025,161,161,158,159,50.400,8.013.600,1.26%,1.26%,-0.63%,0.00%,0.00%,2.48%,CINT
37,02-10-2025,162,168,157,159,439.700,69.912.300,1.25%,5.00%,-1.88%,-0.63%,3.70%,5.95%,CINT
38,01-10-2025,165,165,158,160,172.900,27.664.000,3.13%,3.13%,-1.25%,0.00%,0.00%,4.24%,CINT
39,30-09-2025,158,172,158,160,1.839.000,294.240.000,0.00%,8.86%,0.00%,1.27%,8.86%,8.72%,CINT
40,29-09-2025,160,161,157,158,274.000,43.292.000,0.63%,1.26%,-1.26%,-0.63%,0.63%,1.86%,CINT
41,26-09-2025,160,160,158,159,49.400,7.854.600,0.00%,0.00%,-1.25%,-0.63%,0.00%,2.50%,CINT
