col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CITA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CITA
1,21-11-2025,4.220,4.230,4.140,4.180,198.800,830.984.000,0.00%,0.24%,-1.90%,-0.95%,0.24%,1.65%,CITA
2,20-11-2025,4.270,4.290,4.160,4.220,308.900,1.303.558.000,0.47%,0.94%,-2.12%,-0.71%,0.47%,1.63%,CITA
3,19-11-2025,4.260,4.300,4.220,4.250,211.500,898.875.000,0.24%,1.18%,-0.71%,0.00%,0.94%,1.16%,CITA
4,18-11-2025,4.420,4.420,4.250,4.250,447.500,1.901.875.000,0.00%,0.00%,-3.85%,-3.85%,0.00%,2.71%,CITA
5,17-11-2025,4.350,4.510,4.300,4.420,367.100,1.622.582.000,-0.23%,3.44%,-1.38%,1.38%,3.68%,3.77%,CITA
6,14-11-2025,4.470,4.480,4.340,4.360,368.300,1.605.788.000,0.00%,0.22%,-2.91%,-2.46%,0.22%,0.89%,CITA
7,13-11-2025,4.480,4.520,4.440,4.470,189.200,845.724.000,0.22%,1.12%,-0.67%,0.00%,0.89%,1.33%,CITA
8,12-11-2025,4.620,4.640,4.460,4.470,639.300,2.857.671.000,0.00%,0.43%,-3.46%,-3.25%,0.43%,2.37%,CITA
9,11-11-2025,4.650,4.660,4.530,4.620,501.100,2.315.082.000,0.22%,0.43%,-2.37%,-0.43%,0.22%,0.86%,CITA
10,10-11-2025,4.670,4.690,4.620,4.640,243.400,1.129.376.000,0.43%,0.86%,-0.65%,-0.22%,0.43%,1.49%,CITA
11,07-11-2025,4.700,4.700,4.620,4.650,101.100,470.115.000,0.21%,0.21%,-1.49%,-0.85%,0.00%,2.13%,CITA
12,06-11-2025,4.710,4.740,4.600,4.690,371.700,1.743.273.000,-0.21%,0.42%,-2.54%,-0.64%,0.64%,1.48%,CITA
13,05-11-2025,4.790,4.800,4.670,4.720,149.600,706.112.000,-0.21%,0.00%,-2.71%,-1.67%,0.21%,2.08%,CITA
14,04-11-2025,4.790,4.880,4.700,4.800,361.300,1.734.240.000,0.00%,1.88%,-1.88%,0.21%,1.88%,2.87%,CITA
15,03-11-2025,4.930,5.100,4.740,4.790,749.100,3.588.189.000,0.00%,3.45%,-3.85%,-2.84%,3.45%,5.88%,CITA
16,31-10-2025,5.325,5.400,4.800,4.930,1.635.800,8.064.494.000,0.00%,1.41%,-9.86%,-7.42%,1.41%,3.70%,CITA
17,30-10-2025,5.400,5.400,5.200,5.325,712.900,3.796.192.500,2.37%,2.37%,-1.42%,0.95%,0.00%,5.56%,CITA
18,29-10-2025,5.175,5.400,5.100,5.275,827.100,4.362.952.500,0.00%,4.35%,-1.45%,1.93%,4.35%,7.59%,CITA
19,28-10-2025,5.050,5.450,4.990,5.175,1.072.700,5.551.222.500,1.00%,9.00%,-0.20%,3.50%,7.92%,11.93%,CITA
20,27-10-2025,4.870,5.300,4.800,5.000,1.235.500,6.177.500.000,0.00%,8.83%,-1.44%,2.67%,8.83%,8.68%,CITA
21,24-10-2025,4.950,4.950,4.840,4.870,98.900,481.643.000,3.13%,3.13%,0.83%,1.46%,0.00%,3.84%,CITA
22,23-10-2025,4.760,5.000,4.760,4.800,485.600,2.330.880.000,0.21%,5.26%,0.21%,1.05%,5.04%,5.40%,CITA
23,22-10-2025,4.820,4.880,4.730,4.750,187.200,889.200.000,0.00%,1.24%,-1.87%,-1.45%,1.24%,3.69%,CITA
24,21-10-2025,4.700,4.820,4.700,4.820,265.600,1.280.192.000,0.00%,2.55%,0.00%,2.55%,2.55%,4.56%,CITA
25,20-10-2025,4.700,4.770,4.600,4.700,262.600,1.234.220.000,0.00%,1.49%,-2.13%,0.00%,1.49%,4.40%,CITA
26,17-10-2025,4.810,4.810,4.560,4.700,215.500,1.012.850.000,0.42%,0.42%,-4.80%,-1.88%,0.00%,2.29%,CITA
27,16-10-2025,4.730,4.830,4.700,4.790,147.800,707.962.000,0.00%,2.11%,-0.63%,1.27%,2.11%,5.59%,CITA
28,15-10-2025,4.950,5.025,4.560,4.730,850.700,4.023.811.000,-1.00%,0.50%,-8.80%,-5.40%,1.52%,3.48%,CITA
29,14-10-2025,5.200,5.400,4.850,5.000,666.500,3.332.500.000,0.48%,4.35%,-6.28%,-3.38%,3.85%,9.07%,CITA
30,13-10-2025,5.125,5.500,4.910,5.175,874.900,4.527.607.500,-5.96%,0.92%,-9.91%,-5.05%,7.32%,8.64%,CITA
