col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CLEO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CLEO
1,21-11-2025,515,520,510,520,2.557.200,1.329.744.000,0.00%,0.97%,-0.97%,0.97%,0.97%,1.92%,CLEO
2,20-11-2025,510,520,510,515,5.024.900,2.587.823.500,0.00%,1.96%,0.00%,0.98%,1.96%,1.92%,CLEO
3,19-11-2025,520,520,510,510,4.647.500,2.370.225.000,0.00%,0.00%,-1.92%,-1.92%,0.00%,1.92%,CLEO
4,18-11-2025,520,520,510,520,4.438.400,2.307.968.000,0.00%,0.00%,-1.92%,0.00%,0.00%,0.96%,CLEO
5,17-11-2025,520,520,515,520,2.861.800,1.488.136.000,0.00%,0.00%,-0.96%,0.00%,0.00%,0.96%,CLEO
6,14-11-2025,525,530,515,520,3.954.900,2.056.548.000,0.00%,0.95%,-1.90%,-0.95%,0.95%,1.89%,CLEO
7,13-11-2025,535,540,520,525,5.916.600,3.106.215.000,0.00%,0.93%,-2.80%,-1.87%,0.93%,5.56%,CLEO
8,12-11-2025,510,535,510,535,9.813.400,5.250.169.000,0.00%,4.90%,0.00%,4.90%,4.90%,4.67%,CLEO
9,11-11-2025,525,525,510,510,6.337.600,3.232.176.000,0.00%,0.00%,-2.86%,-2.86%,0.00%,0.95%,CLEO
10,10-11-2025,525,525,520,525,1.466.400,769.860.000,0.00%,0.00%,-0.95%,0.00%,0.00%,1.90%,CLEO
11,07-11-2025,520,525,515,525,3.838.600,2.015.265.000,0.00%,0.96%,-0.96%,0.96%,0.96%,1.90%,CLEO
12,06-11-2025,520,525,515,520,3.361.000,1.747.720.000,0.00%,0.96%,-0.96%,0.00%,0.96%,2.86%,CLEO
13,05-11-2025,515,525,510,520,4.251.200,2.210.624.000,0.00%,1.94%,-0.97%,0.97%,1.94%,1.90%,CLEO
14,04-11-2025,530,535,515,515,8.299.000,4.273.985.000,0.00%,0.94%,-2.83%,-2.83%,0.94%,0.93%,CLEO
15,03-11-2025,540,540,530,530,3.358.100,1.779.793.000,0.00%,0.00%,-1.85%,-1.85%,0.00%,2.78%,CLEO
16,31-10-2025,535,540,525,540,4.169.600,2.251.584.000,0.00%,0.93%,-1.87%,0.93%,0.93%,1.85%,CLEO
17,30-10-2025,530,540,530,535,8.301.600,4.441.356.000,0.00%,1.89%,0.00%,0.94%,1.89%,1.85%,CLEO
18,29-10-2025,535,535,530,530,6.057.400,3.210.422.000,0.00%,0.00%,-0.93%,-0.93%,0.00%,2.80%,CLEO
19,28-10-2025,530,535,520,535,8.531.500,4.564.352.500,0.95%,1.90%,-0.95%,1.90%,0.94%,3.74%,CLEO
20,27-10-2025,545,550,515,525,11.017.600,5.784.240.000,0.93%,1.85%,-4.63%,-2.78%,0.92%,3.64%,CLEO
21,24-10-2025,535,550,530,540,15.344.900,8.286.246.000,0.94%,3.77%,0.00%,1.89%,2.80%,3.64%,CLEO
22,23-10-2025,535,545,530,530,11.576.500,6.135.545.000,0.00%,1.87%,-0.93%,-0.93%,1.87%,3.67%,CLEO
23,22-10-2025,545,550,525,535,14.703.600,7.866.426.000,0.00%,0.92%,-3.67%,-1.83%,0.92%,6.36%,CLEO
24,21-10-2025,515,550,515,545,20.676.400,11.268.638.000,0.00%,6.80%,0.00%,5.83%,6.80%,9.09%,CLEO
25,20-10-2025,505,520,500,515,10.517.700,5.416.615.500,1.00%,4.00%,0.00%,3.00%,2.97%,3.85%,CLEO
26,17-10-2025,510,510,500,500,8.509.200,4.254.600.000,0.00%,0.00%,-1.96%,-1.96%,0.00%,0.98%,CLEO
27,16-10-2025,505,510,505,510,6.795.000,3.465.450.000,0.00%,0.99%,0.00%,0.99%,0.99%,1.96%,CLEO
28,15-10-2025,500,510,500,505,9.435.000,4.764.675.000,-0.99%,0.99%,-0.99%,0.00%,2.00%,1.96%,CLEO
29,14-10-2025,515,515,500,505,10.245.900,5.174.179.500,0.00%,0.00%,-2.91%,-1.94%,0.00%,2.91%,CLEO
30,13-10-2025,515,515,500,515,11.031.100,5.681.016.500,-0.96%,-0.96%,-3.85%,-0.96%,0.00%,0.97%,CLEO
31,10-10-2025,520,520,510,520,13.014.900,6.767.748.000,0.97%,0.97%,-0.97%,0.97%,0.00%,0.96%,CLEO
32,09-10-2025,515,525,515,515,8.461.200,4.357.518.000,0.00%,1.94%,0.00%,0.00%,1.94%,1.90%,CLEO
33,08-10-2025,530,535,515,515,11.531.100,5.938.516.500,0.00%,0.94%,-2.83%,-2.83%,0.94%,3.74%,CLEO
34,07-10-2025,525,535,515,530,15.527.200,8.229.416.000,0.96%,2.88%,-0.96%,1.92%,1.90%,2.80%,CLEO
35,06-10-2025,525,530,520,520,8.610.300,4.477.356.000,0.00%,0.95%,-0.95%,-0.95%,0.95%,2.83%,CLEO
36,03-10-2025,525,525,515,525,8.797.700,4.618.792.500,0.00%,0.00%,-1.90%,0.00%,0.00%,0.95%,CLEO
37,02-10-2025,520,530,520,525,8.573.500,4.501.087.500,0.00%,1.92%,0.00%,0.96%,1.92%,2.83%,CLEO
38,01-10-2025,540,545,515,520,11.486.300,5.972.876.000,0.00%,0.93%,-4.63%,-3.70%,0.93%,1.83%,CLEO
39,30-09-2025,545,565,535,540,19.440.000,10.497.600.000,1.87%,5.61%,0.00%,0.93%,3.67%,7.08%,CLEO
40,29-09-2025,525,545,525,535,13.051.100,6.982.338.500,0.00%,3.81%,0.00%,1.90%,3.81%,5.50%,CLEO
