col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CLPI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CLPI
1,21-11-2025,1.620,1.620,1.530,1.570,84.400,132.508.000,3.51%,3.51%,-2.24%,0.32%,0.00%,5.56%,CLPI
2,20-11-2025,1.580,1.580,1.530,1.565,55.200,86.388.000,0.96%,0.96%,-2.24%,0.00%,0.00%,2.22%,CLPI
3,19-11-2025,1.550,1.585,1.545,1.565,95.300,149.144.500,0.00%,2.26%,-0.32%,0.97%,2.26%,4.73%,CLPI
4,18-11-2025,1.580,1.600,1.510,1.550,181.200,280.860.000,0.00%,1.27%,-4.43%,-1.90%,1.27%,6.25%,CLPI
5,17-11-2025,1.500,1.595,1.500,1.580,400.100,632.158.000,0.00%,6.33%,0.00%,5.33%,6.33%,8.46%,CLPI
6,14-11-2025,1.460,1.500,1.460,1.500,421.900,632.850.000,0.34%,3.09%,0.34%,3.09%,2.74%,3.33%,CLPI
7,13-11-2025,1.465,1.475,1.450,1.455,228.800,332.904.000,1.03%,1.72%,0.00%,0.34%,0.68%,2.71%,CLPI
8,12-11-2025,1.455,1.470,1.435,1.450,225.300,326.685.000,0.00%,1.03%,-1.37%,-0.34%,1.03%,2.72%,CLPI
9,11-11-2025,1.430,1.455,1.430,1.455,54.500,79.297.500,0.00%,1.75%,0.00%,1.75%,1.75%,3.09%,CLPI
10,10-11-2025,1.450,1.450,1.410,1.430,97.900,139.997.000,0.69%,0.69%,-2.08%,-0.69%,0.00%,1.03%,CLPI
11,07-11-2025,1.450,1.455,1.435,1.440,32.400,46.656.000,0.00%,0.34%,-1.03%,-0.69%,0.34%,1.72%,CLPI
12,06-11-2025,1.440,1.455,1.430,1.450,128.300,186.035.000,-0.69%,0.34%,-1.38%,0.00%,1.04%,1.37%,CLPI
13,05-11-2025,1.440,1.495,1.435,1.450,159.600,231.420.000,0.00%,3.82%,-0.35%,0.69%,3.82%,4.01%,CLPI
