col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CMNP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CMNP
1,21-11-2025,1.380,1.380,1.355,1.355,198.200,268.561.000,0.73%,0.73%,-1.09%,-1.09%,0.00%,2.17%,CMNP
2,20-11-2025,1.360,1.380,1.350,1.370,313.300,429.221.000,1.12%,2.60%,0.37%,1.86%,1.47%,2.90%,CMNP
3,19-11-2025,1.360,1.370,1.340,1.345,189.400,254.743.000,0.00%,0.74%,-1.47%,-1.10%,0.74%,1.46%,CMNP
4,18-11-2025,1.375,1.385,1.350,1.360,315.700,429.352.000,0.36%,1.09%,-1.46%,-0.73%,0.73%,1.08%,CMNP
5,17-11-2025,1.400,1.410,1.370,1.370,489.000,669.930.000,-1.41%,-0.70%,-3.52%,-3.52%,0.71%,5.67%,CMNP
6,14-11-2025,1.355,1.450,1.330,1.420,977.600,1.388.192.000,0.37%,7.41%,-1.48%,5.19%,7.01%,8.62%,CMNP
7,13-11-2025,1.365,1.380,1.325,1.350,690.700,932.445.000,0.00%,1.10%,-2.93%,-1.10%,1.10%,2.54%,CMNP
8,12-11-2025,1.360,1.380,1.345,1.365,351.300,479.524.500,1.12%,2.60%,0.00%,1.49%,1.47%,3.26%,CMNP
9,11-11-2025,1.365,1.370,1.335,1.345,358.900,482.720.500,0.00%,0.37%,-2.20%,-1.47%,0.37%,0.36%,CMNP
10,10-11-2025,1.390,1.400,1.365,1.365,343.200,468.468.000,0.00%,0.72%,-1.80%,-1.80%,0.72%,2.86%,CMNP
11,07-11-2025,1.415,1.420,1.360,1.390,878.800,1.221.532.000,1.43%,1.79%,-2.51%,-0.36%,0.35%,4.58%,CMNP
12,06-11-2025,1.380,1.430,1.355,1.395,427.000,595.665.000,-0.36%,3.25%,-2.17%,0.72%,3.62%,3.15%,CMNP
13,05-11-2025,1.415,1.415,1.385,1.385,502.500,695.962.500,0.00%,0.00%,-2.12%,-2.12%,0.00%,2.47%,CMNP
14,04-11-2025,1.430,1.460,1.380,1.415,1.334.600,1.888.459.000,0.35%,2.46%,-3.16%,-0.70%,2.10%,10.27%,CMNP
15,03-11-2025,1.310,1.550,1.310,1.425,4.457.900,6.352.507.500,1.16%,19.69%,1.16%,10.04%,18.32%,17.42%,CMNP
16,31-10-2025,1.305,1.305,1.280,1.295,183.900,238.150.500,0.77%,0.77%,-1.16%,0.00%,0.00%,1.53%,CMNP
17,30-10-2025,1.295,1.295,1.285,1.295,158.600,205.387.000,0.00%,0.00%,-0.77%,0.00%,0.00%,0.77%,CMNP
18,29-10-2025,1.295,1.305,1.285,1.295,180.600,233.877.000,0.00%,0.77%,-0.77%,0.00%,0.77%,1.15%,CMNP
19,28-10-2025,1.305,1.325,1.290,1.295,117.200,151.774.000,0.00%,1.53%,-1.15%,-0.77%,1.53%,2.26%,CMNP
20,27-10-2025,1.330,1.335,1.295,1.305,120.700,157.513.500,0.00%,0.38%,-2.63%,-1.88%,0.38%,2.62%,CMNP
21,24-10-2025,1.305,1.345,1.300,1.330,255.700,340.081.000,0.00%,3.07%,-0.38%,1.92%,3.07%,5.95%,CMNP
22,23-10-2025,1.295,1.345,1.265,1.305,178.800,233.334.000,0.00%,3.86%,-2.32%,0.77%,3.86%,7.43%,CMNP
23,22-10-2025,1.285,1.350,1.245,1.295,302.500,391.737.500,0.00%,5.06%,-3.11%,0.78%,5.06%,6.67%,CMNP
24,21-10-2025,1.275,1.285,1.260,1.285,146.500,188.252.500,0.39%,1.18%,-0.79%,1.18%,0.78%,3.50%,CMNP
25,20-10-2025,1.240,1.275,1.240,1.270,87.500,111.125.000,0.00%,2.82%,0.00%,2.42%,2.82%,4.31%,CMNP
26,17-10-2025,1.275,1.275,1.220,1.240,342.800,425.072.000,0.39%,0.39%,-3.94%,-2.36%,0.00%,1.18%,CMNP
27,16-10-2025,1.260,1.275,1.260,1.270,67.300,85.471.000,-0.79%,0.39%,-0.79%,0.00%,1.19%,1.57%,CMNP
28,15-10-2025,1.265,1.275,1.255,1.270,98.900,125.603.000,0.00%,0.79%,-0.79%,0.40%,0.79%,1.18%,CMNP
29,14-10-2025,1.275,1.280,1.260,1.265,269.100,340.411.500,0.00%,0.39%,-1.18%,-0.78%,0.39%,1.17%,CMNP
30,13-10-2025,1.280,1.290,1.265,1.275,305.500,389.512.500,0.00%,0.78%,-1.17%,-0.39%,0.78%,0.78%,CMNP
31,10-10-2025,1.295,1.300,1.280,1.280,45.500,58.240.000,0.00%,0.39%,-1.16%,-1.16%,0.39%,1.92%,CMNP
32,09-10-2025,1.300,1.315,1.275,1.295,275.300,356.513.500,1.56%,2.73%,-0.39%,1.17%,1.15%,2.66%,CMNP
