col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CMPP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CMPP
1,21-11-2025,94,94,93,94,54.800,5.151.200,0.00%,0.00%,-1.06%,0.00%,0.00%,1.06%,CMPP
2,20-11-2025,93,94,93,94,11.400,1.071.600,0.00%,1.08%,0.00%,1.08%,1.08%,2.13%,CMPP
3,19-11-2025,94,94,92,93,42.600,3.961.800,0.00%,0.00%,-2.13%,-1.06%,0.00%,0.00%,CMPP
4,18-11-2025,97,97,94,94,115.600,10.866.400,0.00%,0.00%,-3.09%,-3.09%,0.00%,0.00%,CMPP
5,17-11-2025,100,100,97,97,163.300,15.840.100,9.89%,9.89%,6.59%,6.59%,0.00%,10.00%,CMPP
6,14-11-2025,90,91,90,91,289.500,26.344.500,0.00%,1.11%,0.00%,1.11%,1.11%,1.10%,CMPP
7,13-11-2025,92,92,90,90,438.100,39.429.000,0.00%,0.00%,-2.17%,-2.17%,0.00%,0.00%,CMPP
8,12-11-2025,92,92,92,92,486.000,44.712.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CMPP
9,11-11-2025,92,92,92,92,688.700,63.360.400,-1.08%,-1.08%,-1.08%,-1.08%,0.00%,-1.09%,CMPP
10,10-11-2025,93,93,93,93,109.100,10.146.300,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CMPP
11,07-11-2025,95,95,93,93,49.400,4.594.200,0.00%,0.00%,-2.11%,-2.11%,0.00%,0.00%,CMPP
12,06-11-2025,95,95,95,95,46.500,4.417.500,0.00%,0.00%,0.00%,0.00%,0.00%,9.47%,CMPP
13,05-11-2025,95,97,86,95,314.600,29.887.000,0.00%,2.11%,-9.47%,0.00%,2.11%,2.06%,CMPP
14,04-11-2025,97,97,95,95,124.100,11.789.500,1.04%,1.04%,-1.04%,-1.04%,0.00%,2.06%,CMPP
15,03-11-2025,96,96,95,96,64.500,6.192.000,0.00%,0.00%,-1.04%,0.00%,0.00%,12.50%,CMPP
16,31-10-2025,93,96,84,96,660.000,63.360.000,0.00%,3.23%,-9.68%,3.23%,3.23%,6.25%,CMPP
17,30-10-2025,96,96,90,93,364.600,33.907.800,0.00%,0.00%,-6.25%,-3.13%,0.00%,0.00%,CMPP
18,29-10-2025,98,98,96,96,75.000,7.200.000,0.00%,0.00%,-2.04%,-2.04%,0.00%,0.00%,CMPP
19,28-10-2025,98,98,98,98,98.400,9.643.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CMPP
20,27-10-2025,107,107,98,98,338.500,33.173.000,9.18%,9.18%,0.00%,0.00%,0.00%,8.41%,CMPP
21,24-10-2025,102,102,98,98,137.700,13.494.600,0.00%,0.00%,-3.92%,-3.92%,0.00%,3.92%,CMPP
22,23-10-2025,107,107,98,102,463.500,47.277.000,0.00%,0.00%,-8.41%,-4.67%,0.00%,0.00%,CMPP
23,22-10-2025,108,108,107,107,79.900,8.549.300,0.00%,0.00%,-0.93%,-0.93%,0.00%,0.00%,CMPP
24,21-10-2025,108,108,108,108,9.400,1.015.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CMPP
25,20-10-2025,108,108,108,108,542.400,58.579.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CMPP
26,17-10-2025,119,119,108,108,72.900,7.873.200,0.00%,0.00%,-9.24%,-9.24%,0.00%,10.08%,CMPP
27,16-10-2025,109,119,107,119,187.700,22.336.300,0.00%,9.17%,-1.83%,9.17%,9.17%,15.13%,CMPP
28,15-10-2025,110,110,101,109,92.000,10.028.000,-1.79%,-1.79%,-9.82%,-2.68%,0.00%,3.64%,CMPP
29,14-10-2025,128,128,106,112,930.100,104.171.200,9.40%,9.40%,-9.40%,-4.27%,0.00%,8.59%,CMPP
30,13-10-2025,117,117,117,117,780.100,91.271.700,9.35%,9.35%,9.35%,9.35%,0.00%,14.53%,CMPP
31,10-10-2025,100,107,100,107,349.500,37.396.500,1.01%,8.08%,1.01%,8.08%,7.00%,7.48%,CMPP
32,09-10-2025,99,99,99,99,86.800,8.593.200,0.00%,0.00%,0.00%,0.00%,0.00%,3.03%,CMPP
33,08-10-2025,96,99,96,99,704.800,69.775.200,0.00%,3.13%,0.00%,3.13%,3.13%,3.03%,CMPP
34,07-10-2025,98,98,96,96,49.100,4.713.600,0.00%,0.00%,-2.04%,-2.04%,0.00%,4.08%,CMPP
35,06-10-2025,99,99,94,98,124.000,12.152.000,0.00%,0.00%,-5.05%,-1.01%,0.00%,2.02%,CMPP
36,03-10-2025,97,100,97,99,208.300,20.621.700,0.00%,3.09%,0.00%,2.06%,3.09%,3.00%,CMPP
37,02-10-2025,98,98,97,97,234.400,22.736.800,-1.01%,-1.01%,-2.02%,-2.02%,0.00%,-1.02%,CMPP
38,01-10-2025,99,99,99,99,215.600,21.344.400,2.06%,2.06%,2.06%,2.06%,0.00%,2.02%,CMPP
39,30-09-2025,97,97,97,97,472.600,45.842.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CMPP
40,29-09-2025,97,97,97,97,157.800,15.306.600,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CMPP
41,26-09-2025,98,98,97,97,52.500,5.092.500,5.38%,5.38%,4.30%,4.30%,0.00%,6.12%,CMPP
42,25-09-2025,92,93,92,93,149.000,13.857.000,1.10%,2.20%,1.10%,2.20%,1.09%,2.15%,CMPP
43,24-09-2025,99,99,91,91,153.700,13.986.700,0.00%,0.00%,-8.08%,-8.08%,0.00%,0.00%,CMPP
44,23-09-2025,99,99,99,99,84.900,8.405.100,0.00%,0.00%,0.00%,0.00%,0.00%,4.04%,CMPP
45,22-09-2025,95,100,95,99,160.900,15.929.100,0.00%,5.26%,0.00%,4.21%,5.26%,5.00%,CMPP
46,19-09-2025,95,95,95,95,222.400,21.128.000,0.00%,0.00%,0.00%,0.00%,0.00%,3.16%,CMPP
47,18-09-2025,92,95,92,95,267.000,25.365.000,0.00%,3.26%,0.00%,3.26%,3.26%,5.26%,CMPP
48,17-09-2025,90,93,90,92,36.100,3.321.200,0.00%,3.33%,0.00%,2.22%,3.33%,3.23%,CMPP
49,16-09-2025,90,90,90,90,58.200,5.238.000,0.00%,0.00%,0.00%,0.00%,0.00%,3.33%,CMPP
50,15-09-2025,87,90,87,90,25.700,2.313.000,0.00%,3.45%,0.00%,3.45%,3.45%,3.33%,CMPP
51,12-09-2025,89,89,87,87,172.700,15.024.900,0.00%,0.00%,-2.25%,-2.25%,0.00%,4.49%,CMPP
52,11-09-2025,85,89,85,89,148.800,13.243.200,-8.60%,-4.30%,-8.60%,-4.30%,4.71%,-4.49%,CMPP
53,10-09-2025,93,93,93,93,79.000,7.347.000,0.00%,0.00%,0.00%,0.00%,0.00%,2.15%,CMPP
54,09-09-2025,91,93,91,93,104.500,9.718.500,-2.15%,0.00%,-2.15%,0.00%,2.20%,3.23%,CMPP
55,08-09-2025,90,93,90,93,126.800,11.792.400,-3.23%,0.00%,-3.23%,0.00%,3.33%,0.00%,CMPP
56,04-09-2025,93,93,93,93,37.100,3.450.300,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CMPP
57,03-09-2025,95,99,93,93,447.300,41.598.900,2.15%,6.45%,0.00%,0.00%,4.21%,8.08%,CMPP
58,02-09-2025,91,93,91,93,305.500,28.411.500,1.11%,3.33%,1.11%,3.33%,2.20%,3.23%,CMPP
59,01-09-2025,92,92,90,90,328.500,29.565.000,-3.16%,-3.16%,-5.26%,-5.26%,0.00%,-3.26%,CMPP
60,29-08-2025,95,95,95,95,144.400,13.718.000,0.00%,0.00%,0.00%,0.00%,0.00%,4.21%,CMPP
61,28-08-2025,91,95,91,95,378.000,35.910.000,-9.90%,-5.94%,-9.90%,-5.94%,4.40%,-5.26%,CMPP
62,27-08-2025,100,101,100,101,920.700,92.990.700,0.00%,1.00%,0.00%,1.00%,1.00%,0.99%,CMPP
63,26-08-2025,101,101,100,100,569.900,56.990.000,9.78%,9.78%,8.70%,8.70%,0.00%,11.88%,CMPP
64,25-08-2025,89,92,89,92,253.200,23.294.400,2.30%,5.75%,2.30%,5.75%,3.37%,5.43%,CMPP
65,22-08-2025,87,87,87,87,208.800,18.165.600,2.35%,2.35%,2.35%,2.35%,0.00%,4.60%,CMPP
66,21-08-2025,83,85,83,85,391.300,33.260.500,0.00%,2.41%,0.00%,2.41%,2.41%,5.88%,CMPP
67,20-08-2025,80,83,80,83,158.100,13.122.300,0.00%,3.75%,0.00%,3.75%,3.75%,6.02%,CMPP
68,19-08-2025,78,80,78,80,212.300,16.984.000,0.00%,2.56%,0.00%,2.56%,2.56%,3.75%,CMPP
69,15-08-2025,77,78,77,78,104.600,8.158.800,1.32%,2.63%,1.32%,2.63%,1.30%,3.85%,CMPP
70,14-08-2025,75,76,75,76,19.200,1.459.200,0.00%,1.33%,0.00%,1.33%,1.33%,2.63%,CMPP
71,13-08-2025,75,75,74,75,190.700,14.302.500,0.00%,0.00%,-1.33%,0.00%,0.00%,4.00%,CMPP
72,12-08-2025,72,75,72,75,27.700,2.077.500,0.00%,4.17%,0.00%,4.17%,4.17%,4.00%,CMPP
73,11-08-2025,73,73,72,72,235.200,16.934.400,0.00%,0.00%,-1.37%,-1.37%,0.00%,1.37%,CMPP
74,08-08-2025,72,73,72,73,109.800,8.015.400,0.00%,1.39%,0.00%,1.39%,1.39%,1.37%,CMPP
75,07-08-2025,72,72,72,72,187.000,13.464.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CMPP
76,06-08-2025,72,72,72,72,46.900,3.376.800,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CMPP
77,05-08-2025,72,72,72,72,91.200,6.566.400,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,CMPP
