col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CMRY
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CMRY
1,21-11-2025,6.225,6.225,5.875,5.900,3.773.800,22.265.420.000,0.00%,0.00%,-5.62%,-5.22%,0.00%,2.01%,CMRY
2,20-11-2025,6.125,6.250,6.100,6.225,2.363.400,14.712.165.000,0.00%,2.04%,-0.41%,1.63%,2.04%,4.80%,CMRY
3,19-11-2025,6.150,6.225,5.950,6.125,2.242.500,13.735.312.500,-0.40%,0.81%,-3.64%,-0.81%,1.22%,1.61%,CMRY
4,18-11-2025,6.400,6.400,6.125,6.175,2.566.200,15.846.285.000,1.59%,1.59%,-2.78%,-1.98%,0.00%,6.25%,CMRY
5,17-11-2025,6.100,6.450,6.000,6.300,3.272.200,20.614.860.000,0.00%,5.74%,-1.64%,3.28%,5.74%,6.20%,CMRY
6,14-11-2025,6.225,6.275,6.050,6.100,1.174.600,7.165.060.000,0.00%,0.80%,-2.81%,-2.01%,0.80%,5.58%,CMRY
7,13-11-2025,6.100,6.275,5.925,6.225,5.680.400,35.360.490.000,1.24%,4.15%,-1.66%,3.32%,2.87%,5.98%,CMRY
8,12-11-2025,6.050,6.175,5.900,6.025,3.554.300,21.414.657.500,0.83%,2.92%,-1.67%,0.42%,2.07%,5.67%,CMRY
9,11-11-2025,5.975,6.075,5.825,6.000,2.783.500,16.701.000.000,0.00%,1.67%,-2.51%,0.42%,1.67%,4.12%,CMRY
10,10-11-2025,6.050,6.200,5.825,5.975,5.043.100,30.132.522.500,-0.41%,2.06%,-4.12%,-1.65%,2.48%,4.44%,CMRY
11,07-11-2025,5.950,6.150,5.925,6.075,3.876.700,23.550.952.500,0.00%,3.36%,-0.42%,2.10%,3.36%,4.47%,CMRY
12,06-11-2025,6.000,6.150,5.875,5.950,3.990.100,23.741.095.000,0.00%,2.50%,-2.08%,-0.83%,2.50%,9.76%,CMRY
13,05-11-2025,5.550,6.125,5.550,6.000,10.382.800,62.296.800.000,0.45%,10.86%,0.45%,8.60%,10.36%,11.84%,CMRY
14,04-11-2025,5.500,5.700,5.400,5.525,11.455.600,63.292.190.000,0.00%,3.64%,-1.82%,0.45%,3.64%,4.82%,CMRY
15,03-11-2025,5.700,5.725,5.425,5.500,4.181.000,22.995.500.000,0.44%,0.88%,-4.41%,-3.08%,0.44%,6.55%,CMRY
16,31-10-2025,5.500,5.800,5.350,5.675,13.738.500,77.965.987.500,1.85%,7.41%,-0.93%,5.09%,5.45%,8.19%,CMRY
17,30-10-2025,5.350,5.550,5.325,5.400,11.461.800,61.893.720.000,1.42%,5.21%,0.95%,2.37%,3.74%,6.31%,CMRY
18,29-10-2025,5.250,5.375,5.200,5.275,2.208.300,11.648.782.500,0.96%,3.37%,0.00%,1.44%,2.38%,4.19%,CMRY
19,28-10-2025,5.150,5.350,5.150,5.200,3.975.100,20.670.520.000,0.49%,4.39%,0.49%,1.46%,3.88%,6.07%,CMRY
20,27-10-2025,5.150,5.175,5.025,5.125,1.337.500,6.854.687.500,0.00%,0.49%,-2.43%,-0.49%,0.49%,3.38%,CMRY
21,24-10-2025,5.200,5.200,5.000,5.150,2.013.500,10.369.525.000,0.97%,0.97%,-2.91%,0.00%,0.00%,2.88%,CMRY
22,23-10-2025,5.050,5.200,5.050,5.150,2.149.300,11.068.895.000,1.00%,4.00%,1.00%,3.00%,2.97%,4.04%,CMRY
23,22-10-2025,5.000,5.125,4.990,5.000,1.742.100,8.710.500.000,0.00%,2.50%,-0.20%,0.00%,2.50%,3.80%,CMRY
24,21-10-2025,5.025,5.025,4.930,5.000,3.090.300,15.451.500.000,-0.50%,-0.50%,-2.38%,-0.99%,0.00%,2.49%,CMRY
25,20-10-2025,4.950,5.050,4.900,5.050,2.491.500,12.582.075.000,-1.00%,1.00%,-2.00%,1.00%,2.02%,2.57%,CMRY
26,17-10-2025,5.075,5.150,4.920,5.000,3.283.000,16.415.000.000,0.00%,1.48%,-3.05%,-1.48%,1.48%,6.60%,CMRY
27,16-10-2025,5.000,5.150,4.810,5.075,8.282.400,42.033.180.000,0.00%,3.00%,-3.80%,1.50%,3.00%,12.62%,CMRY
28,15-10-2025,4.600,5.000,4.500,5.000,7.089.300,35.446.500.000,1.10%,9.89%,-1.10%,9.89%,8.70%,9.60%,CMRY
29,14-10-2025,4.700,4.720,4.520,4.550,1.455.700,6.623.435.000,0.00%,0.43%,-3.83%,-3.19%,0.43%,2.33%,CMRY
30,13-10-2025,4.650,4.760,4.610,4.700,1.568.400,7.371.480.000,0.00%,2.37%,-0.86%,1.08%,2.37%,2.73%,CMRY
31,10-10-2025,4.770,4.770,4.630,4.650,920.600,4.280.790.000,0.00%,0.00%,-2.94%,-2.52%,0.00%,2.73%,CMRY
32,09-10-2025,4.680,4.770,4.640,4.770,1.085.300,5.176.881.000,0.00%,1.92%,-0.85%,1.92%,1.92%,2.10%,CMRY
33,08-10-2025,4.730,4.740,4.670,4.680,436.200,2.041.416.000,0.00%,0.21%,-1.27%,-1.06%,0.21%,4.22%,CMRY
34,07-10-2025,4.680,4.740,4.540,4.730,1.158.600,5.480.178.000,0.00%,1.28%,-2.99%,1.07%,1.28%,3.38%,CMRY
