col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CNKO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CNKO
1,21-11-2025,53,53,51,51,42.837.400,2.184.707.400,-1.85%,-1.85%,-5.56%,-5.56%,0.00%,-1.89%,CNKO
2,20-11-2025,56,56,54,54,32.085.300,1.732.606.200,-1.75%,-1.75%,-5.26%,-5.26%,0.00%,-1.79%,CNKO
3,19-11-2025,57,57,57,57,14.802.200,843.725.400,1.79%,1.79%,1.79%,1.79%,0.00%,5.26%,CNKO
4,18-11-2025,56,56,54,56,32.914.100,1.843.189.600,-3.45%,-3.45%,-6.90%,-3.45%,0.00%,0.00%,CNKO
5,17-11-2025,56,58,56,58,28.511.600,1.653.672.800,0.00%,3.57%,0.00%,3.57%,3.57%,5.17%,CNKO
6,14-11-2025,55,57,55,56,59.775.600,3.347.433.600,-9.84%,-6.56%,-9.84%,-8.20%,3.64%,-7.02%,CNKO
7,13-11-2025,63,63,61,61,26.171.200,1.596.443.200,3.28%,3.28%,0.00%,0.00%,0.00%,3.17%,CNKO
8,12-11-2025,66,66,61,61,80.735.200,4.924.847.200,10.00%,10.00%,1.67%,1.67%,0.00%,10.61%,CNKO
9,11-11-2025,59,61,59,60,25.345.700,1.520.742.000,0.00%,3.39%,0.00%,1.69%,3.39%,3.28%,CNKO
10,10-11-2025,64,64,59,59,41.497.200,2.448.334.800,3.23%,3.23%,-4.84%,-4.84%,0.00%,6.25%,CNKO
11,07-11-2025,60,62,60,62,38.127.600,2.363.911.200,3.45%,6.90%,3.45%,6.90%,3.33%,6.45%,CNKO
12,06-11-2025,62,62,58,58,110.625.500,6.416.279.000,-3.13%,-3.13%,-9.38%,-9.38%,0.00%,-3.23%,CNKO
13,05-11-2025,70,70,64,64,29.744.400,1.903.641.600,2.94%,2.94%,-5.88%,-5.88%,0.00%,2.86%,CNKO
14,04-11-2025,79,79,68,68,33.085.400,2.249.807.200,5.33%,5.33%,-9.33%,-9.33%,0.00%,8.86%,CNKO
15,03-11-2025,72,75,72,75,57.837.000,4.337.775.000,1.41%,5.63%,1.41%,5.63%,4.17%,14.67%,CNKO
16,31-10-2025,64,71,64,71,101.645.700,7.216.844.700,-8.57%,1.43%,-8.57%,1.43%,10.94%,1.41%,CNKO
17,30-10-2025,70,70,70,70,31.618.300,2.213.281.000,-9.09%,-9.09%,-9.09%,-9.09%,0.00%,-10.00%,CNKO
18,29-10-2025,77,77,77,77,34.935.700,2.690.048.900,-9.41%,-9.41%,-9.41%,-9.41%,0.00%,-3.90%,CNKO
19,28-10-2025,80,85,80,85,58.353.400,4.960.039.000,0.00%,6.25%,0.00%,6.25%,6.25%,5.88%,CNKO
20,27-10-2025,90,90,80,80,69.734.500,5.578.760.000,3.45%,3.45%,-8.05%,-8.05%,0.00%,3.33%,CNKO
21,24-10-2025,87,87,87,87,18.498.800,1.609.395.600,3.57%,3.57%,3.57%,3.57%,0.00%,4.60%,CNKO
22,23-10-2025,84,84,83,84,27.224.700,2.286.874.800,5.00%,5.00%,3.75%,5.00%,0.00%,10.71%,CNKO
23,22-10-2025,75,80,75,80,29.439.300,2.355.144.000,-6.25%,0.00%,-6.25%,0.00%,6.67%,0.00%,CNKO
24,21-10-2025,83,83,80,80,39.477.300,3.158.184.000,3.75%,3.75%,0.00%,0.00%,0.00%,20.48%,CNKO
25,20-10-2025,66,80,66,80,102.585.200,8.206.816.000,-9.59%,9.59%,-9.59%,9.59%,21.21%,8.75%,CNKO
26,17-10-2025,73,73,73,73,51.617.400,3.768.070.200,-9.88%,-9.88%,-9.88%,-9.88%,0.00%,-10.96%,CNKO
27,16-10-2025,91,91,81,81,91.190.000,7.386.390.000,1.11%,1.11%,-10.00%,-10.00%,0.00%,1.10%,CNKO
28,15-10-2025,93,93,90,90,24.377.900,2.194.011.000,0.00%,0.00%,-3.23%,-3.23%,0.00%,3.23%,CNKO
29,14-10-2025,99,99,90,93,62.511.900,5.813.606.700,0.00%,0.00%,-9.09%,-6.06%,0.00%,0.00%,CNKO
30,13-10-2025,102,102,99,99,30.151.200,2.984.968.800,0.00%,0.00%,-2.94%,-2.94%,0.00%,0.00%,CNKO
31,10-10-2025,104,104,102,102,36.463.500,3.719.277.000,4.00%,4.00%,2.00%,2.00%,0.00%,3.85%,CNKO
32,09-10-2025,103,103,100,100,25.504.100,2.550.410.000,3.00%,3.00%,0.00%,0.00%,0.00%,2.91%,CNKO
33,08-10-2025,104,104,100,100,28.206.800,2.820.680.000,0.00%,0.00%,-3.85%,-3.85%,0.00%,0.00%,CNKO
34,07-10-2025,108,108,104,104,36.484.300,3.794.367.200,0.00%,0.00%,-3.70%,-3.70%,0.00%,8.33%,CNKO
35,06-10-2025,99,108,99,108,136.003.600,14.688.388.800,0.00%,9.09%,0.00%,9.09%,9.09%,9.26%,CNKO
36,03-10-2025,99,100,98,99,26.666.800,2.640.013.200,2.06%,3.09%,1.03%,2.06%,1.01%,4.00%,CNKO
37,02-10-2025,96,97,96,97,25.539.100,2.477.292.700,0.00%,1.04%,0.00%,1.04%,1.04%,1.03%,CNKO
38,01-10-2025,96,97,96,96,24.200.900,2.323.286.400,-2.04%,-1.02%,-2.04%,-2.04%,1.04%,0.00%,CNKO
39,30-09-2025,97,100,97,98,27.596.700,2.704.476.600,0.00%,3.09%,0.00%,1.03%,3.09%,5.00%,CNKO
40,29-09-2025,95,97,95,97,32.595.200,3.161.734.400,-3.06%,-1.02%,-3.06%,-1.02%,2.11%,1.03%,CNKO
41,26-09-2025,96,98,96,98,17.552.700,1.720.164.600,-2.04%,0.00%,-2.04%,0.00%,2.08%,4.08%,CNKO
42,25-09-2025,98,98,94,98,53.163.500,5.210.023.000,0.00%,0.00%,-4.08%,0.00%,0.00%,0.00%,CNKO
43,24-09-2025,116,116,98,98,149.352.500,14.636.545.000,9.43%,9.43%,-7.55%,-7.55%,0.00%,12.93%,CNKO
44,23-09-2025,101,106,101,106,123.288.000,13.068.528.000,4.12%,9.28%,4.12%,9.28%,4.95%,11.32%,CNKO
45,22-09-2025,95,97,94,97,81.570.000,7.912.290.000,1.06%,3.19%,0.00%,3.19%,2.11%,3.09%,CNKO
46,19-09-2025,95,95,94,94,30.354.200,2.853.294.800,-1.04%,-1.04%,-2.08%,-2.08%,0.00%,-1.05%,CNKO
47,18-09-2025,97,97,96,96,31.607.800,3.034.348.800,1.04%,1.04%,0.00%,0.00%,0.00%,1.03%,CNKO
48,17-09-2025,97,97,96,96,22.709.300,2.180.092.800,0.00%,0.00%,-1.03%,-1.03%,0.00%,0.00%,CNKO
49,16-09-2025,100,100,97,97,22.212.600,2.154.622.200,0.00%,0.00%,-3.00%,-3.00%,0.00%,2.00%,CNKO
50,15-09-2025,98,100,98,100,26.939.700,2.693.970.000,2.08%,4.17%,2.08%,4.17%,2.04%,4.00%,CNKO
51,12-09-2025,100,100,96,96,32.027.500,3.074.640.000,5.26%,5.26%,1.05%,1.05%,0.00%,6.00%,CNKO
52,11-09-2025,100,100,94,95,40.420.800,3.839.976.000,0.00%,0.00%,-6.00%,-5.00%,0.00%,2.00%,CNKO
53,10-09-2025,101,101,98,100,33.680.800,3.368.080.000,3.06%,3.06%,0.00%,2.04%,0.00%,8.91%,CNKO
54,09-09-2025,92,98,92,98,40.100.800,3.929.878.400,-7.07%,-1.01%,-7.07%,-1.01%,6.52%,-1.02%,CNKO
55,08-09-2025,105,105,99,99,92.091.300,9.117.038.700,-2.78%,-2.78%,-8.33%,-8.33%,0.00%,5.71%,CNKO
56,04-09-2025,99,110,99,108,134.081.400,14.480.791.200,-1.00%,10.00%,-1.00%,8.00%,11.11%,13.64%,CNKO
57,03-09-2025,99,100,95,100,28.658.100,2.865.810.000,4.21%,5.26%,0.00%,5.26%,1.01%,5.00%,CNKO
58,02-09-2025,100,100,95,95,49.535.300,4.705.853.500,2.04%,2.04%,-3.06%,-3.06%,0.00%,9.00%,CNKO
59,01-09-2025,91,98,91,98,95.945.200,9.402.629.600,-9.90%,-2.97%,-9.90%,-2.97%,7.69%,-3.06%,CNKO
60,29-08-2025,101,101,101,101,70.967.500,7.167.717.500,-9.82%,-9.82%,-9.82%,-9.82%,0.00%,-10.89%,CNKO
61,28-08-2025,115,115,112,112,88.918.800,9.958.905.600,9.52%,9.52%,6.67%,6.67%,0.00%,15.65%,CNKO
62,27-08-2025,97,105,97,105,64.519.400,6.774.537.000,0.00%,8.25%,0.00%,8.25%,8.25%,11.43%,CNKO
63,26-08-2025,93,97,93,97,64.087.100,6.216.448.700,-6.06%,-2.02%,-6.06%,-2.02%,4.30%,5.15%,CNKO
64,25-08-2025,92,99,92,99,145.460.000,14.400.540.000,2.22%,10.00%,2.22%,10.00%,7.61%,9.09%,CNKO
65,22-08-2025,95,95,90,90,157.799.100,14.201.919.000,-5.00%,-5.00%,-10.00%,-10.00%,0.00%,-5.26%,CNKO
66,21-08-2025,105,105,100,100,162.879.700,16.287.970.000,-2.78%,-2.78%,-7.41%,-7.41%,0.00%,0.00%,CNKO
67,20-08-2025,127,127,105,108,441.213.700,47.651.079.600,9.48%,9.48%,-9.48%,-6.90%,0.00%,8.66%,CNKO
68,19-08-2025,116,116,116,116,56.482.800,6.552.004.800,9.43%,9.43%,9.43%,9.43%,0.00%,8.62%,CNKO
69,15-08-2025,106,106,106,106,29.802.100,3.159.022.600,9.28%,9.28%,9.28%,9.28%,0.00%,9.43%,CNKO
70,14-08-2025,96,97,96,97,221.267.000,21.462.899.000,7.87%,8.99%,7.87%,8.99%,1.04%,8.25%,CNKO
71,13-08-2025,89,89,89,89,21.196.000,1.886.444.000,9.88%,9.88%,9.88%,9.88%,0.00%,8.99%,CNKO
72,12-08-2025,81,81,81,81,41.327.600,3.347.535.600,9.46%,9.46%,9.46%,9.46%,0.00%,8.64%,CNKO
73,11-08-2025,74,74,74,74,29.378.900,2.174.038.600,8.82%,8.82%,8.82%,8.82%,0.00%,8.11%,CNKO
74,08-08-2025,68,68,68,68,22.556.300,1.533.828.400,9.68%,9.68%,9.68%,9.68%,0.00%,8.82%,CNKO
75,07-08-2025,62,62,62,62,15.431.500,956.753.000,8.77%,8.77%,8.77%,8.77%,0.00%,8.06%,CNKO
76,06-08-2025,57,57,57,57,14.969.900,853.284.300,9.62%,9.62%,9.62%,9.62%,0.00%,8.77%,CNKO
77,05-08-2025,52,52,52,52,15.567.200,809.494.400,8.33%,8.33%,8.33%,8.33%,0.00%,7.69%,CNKO
78,04-08-2025,48,48,48,48,11.078.700,531.777.600,9.09%,9.09%,9.09%,9.09%,0.00%,8.33%,CNKO
79,01-08-2025,44,44,44,44,18.306.200,805.472.800,10.00%,10.00%,10.00%,10.00%,0.00%,9.09%,CNKO
80,31-07-2025,40,40,40,40,10.160.100,406.404.000,8.11%,8.11%,8.11%,8.11%,0.00%,7.50%,CNKO
81,30-07-2025,37,37,37,37,16.206.200,599.629.400,8.82%,8.82%,8.82%,8.82%,0.00%,8.11%,CNKO
82,29-07-2025,34,34,34,34,12.946.400,440.177.600,9.68%,9.68%,9.68%,9.68%,0.00%,14.71%,CNKO
83,28-07-2025,29,31,29,31,17.467.600,541.495.600,0.00%,6.90%,0.00%,6.90%,6.90%,6.45%,CNKO
84,25-07-2025,29,29,29,29,8.503.000,246.587.000,-3.33%,-3.33%,-3.33%,-3.33%,0.00%,0.00%,CNKO
85,24-07-2025,30,30,29,30,3.585.900,107.577.000,0.00%,0.00%,-3.33%,0.00%,0.00%,3.33%,CNKO
86,23-07-2025,30,30,29,30,4.733.700,142.011.000,0.00%,0.00%,-3.33%,0.00%,0.00%,0.00%,CNKO
