col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),COCO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,COCO
1,21-11-2025,418,420,404,406,56.700.700,23.020.484.200,0.48%,0.96%,-2.88%,-2.40%,0.48%,1.90%,COCO
2,20-11-2025,418,434,412,416,72.793.400,30.282.054.400,0.48%,4.33%,-0.96%,0.00%,3.83%,4.61%,COCO
3,19-11-2025,424,424,414,416,33.366.000,13.880.256.000,0.95%,0.95%,-1.43%,-0.95%,0.00%,2.36%,COCO
4,18-11-2025,428,434,414,420,61.195.600,25.702.152.000,0.94%,2.36%,-2.36%,-0.94%,1.40%,5.07%,COCO
5,17-11-2025,418,470,412,424,394.816.800,167.402.323.200,0.00%,12.44%,-1.44%,1.44%,12.44%,13.19%,COCO
6,14-11-2025,414,440,408,418,131.323.600,54.893.264.800,0.00%,6.28%,-1.45%,0.97%,6.28%,100.00%,COCO
7,12-11-2025,420,428,412,416,39.107.200,16.268.595.200,0.48%,2.39%,-1.44%,-0.48%,1.90%,3.74%,COCO
8,11-11-2025,434,436,412,418,113.431.200,47.414.241.600,0.46%,0.93%,-4.63%,-3.24%,0.46%,1.83%,COCO
9,10-11-2025,430,456,428,432,114.603.500,49.508.712.000,0.00%,6.05%,-0.47%,0.47%,6.05%,8.33%,COCO
10,07-11-2025,428,440,418,430,105.820.000,45.502.600.000,0.47%,3.29%,-1.88%,0.94%,2.80%,6.82%,COCO
11,06-11-2025,414,434,410,426,137.591.800,58.614.106.800,0.98%,5.85%,0.00%,3.90%,4.83%,9.22%,COCO
12,05-11-2025,398,418,394,410,81.226.600,33.302.906.000,-1.97%,2.96%,-2.96%,0.99%,5.03%,4.78%,COCO
13,04-11-2025,414,428,398,406,123.832.800,50.276.116.800,0.98%,4.39%,-2.93%,-0.98%,3.38%,7.94%,COCO
14,03-11-2025,414,438,394,410,200.349.200,82.143.172.000,0.98%,6.83%,-3.90%,0.00%,5.80%,7.76%,COCO
15,31-10-2025,440,454,404,410,174.405.300,71.506.173.000,2.33%,5.58%,-6.05%,-4.65%,3.18%,8.37%,COCO
16,30-10-2025,418,468,416,430,375.957.600,161.661.768.000,-0.48%,11.43%,-0.95%,2.38%,11.96%,11.54%,COCO
17,29-10-2025,416,520,414,420,1.312.773.000,551.364.660.000,-6.31%,17.12%,-6.76%,-5.41%,25.00%,34.62%,COCO
18,28-10-2025,384,444,340,444,759.824.000,337.361.856.000,7.87%,24.72%,-4.49%,24.72%,15.63%,25.23%,COCO
19,27-10-2025,400,440,332,356,298.790.200,106.369.311.200,8.11%,18.92%,-10.27%,-3.78%,10.00%,25.00%,COCO
20,24-10-2025,338,382,330,370,365.113.900,135.092.143.000,-12.89%,-1.55%,-14.95%,-4.64%,13.02%,1.57%,COCO
21,23-10-2025,422,456,376,388,737.744.500,286.244.866.000,10.47%,19.37%,-1.57%,1.57%,8.06%,27.63%,COCO
22,22-10-2025,350,382,330,382,572.780.300,218.802.074.600,14.38%,24.84%,7.84%,24.84%,9.14%,34.03%,COCO
23,21-10-2025,256,306,252,306,348.767.300,106.722.793.800,4.07%,24.39%,2.44%,24.39%,19.53%,26.14%,COCO
24,20-10-2025,258,286,226,246,168.339.900,41.411.615.400,-1.53%,9.16%,-13.74%,-6.11%,10.85%,8.39%,COCO
25,17-10-2025,262,298,262,262,198.162.500,51.918.575.000,-14.38%,-2.61%,-14.38%,-14.38%,13.74%,29.53%,COCO
26,16-10-2025,210,306,210,306,533.616.500,163.286.649.000,-14.63%,24.39%,-14.63%,24.39%,45.71%,19.61%,COCO
