col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CPIN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CPIN
1,21-11-2025,4.740,4.780,4.680,4.740,8.411.100,39.868.614.000,0.21%,1.06%,-1.06%,0.21%,0.84%,1.05%,CPIN
2,20-11-2025,4.780,4.810,4.730,4.730,9.608.100,45.446.313.000,0.63%,1.26%,-0.42%,-0.42%,0.63%,2.08%,CPIN
3,19-11-2025,4.710,4.750,4.710,4.750,8.553.700,40.630.075.000,0.21%,1.06%,0.21%,1.06%,0.85%,2.74%,CPIN
4,18-11-2025,4.620,4.720,4.620,4.700,11.054.200,51.954.740.000,0.22%,2.39%,0.22%,1.95%,2.16%,2.33%,CPIN
5,17-11-2025,4.820,4.860,4.610,4.610,18.350.500,84.595.805.000,0.21%,1.04%,-4.16%,-4.16%,0.83%,2.06%,CPIN
6,14-11-2025,4.760,4.810,4.760,4.810,5.209.100,25.055.771.000,0.00%,1.05%,0.00%,1.05%,1.05%,100.00%,CPIN
7,12-11-2025,4.720,4.780,4.710,4.740,11.038.700,52.323.438.000,0.43%,1.70%,0.21%,0.85%,1.27%,2.09%,CPIN
8,11-11-2025,4.700,4.750,4.680,4.700,8.813.600,41.423.920.000,0.64%,1.71%,0.21%,0.64%,1.06%,2.95%,CPIN
9,10-11-2025,4.620,4.700,4.610,4.670,6.903.400,32.238.878.000,0.00%,1.73%,-0.22%,1.08%,1.73%,2.34%,CPIN
10,07-11-2025,4.770,4.790,4.590,4.620,18.917.200,87.397.464.000,0.21%,0.63%,-3.57%,-2.94%,0.42%,0.84%,CPIN
11,06-11-2025,4.810,4.850,4.750,4.760,7.605.600,36.202.656.000,0.00%,0.83%,-1.25%,-1.04%,0.83%,2.68%,CPIN
12,05-11-2025,4.730,4.810,4.720,4.810,7.049.600,33.908.576.000,0.00%,1.69%,-0.21%,1.69%,1.69%,1.87%,CPIN
13,04-11-2025,4.780,4.820,4.720,4.730,9.822.600,46.460.898.000,0.21%,1.05%,-1.05%,-0.84%,0.84%,3.11%,CPIN
14,03-11-2025,4.670,4.810,4.670,4.770,10.188.700,48.600.099.000,0.00%,3.00%,0.00%,2.14%,3.00%,2.91%,CPIN
15,31-10-2025,4.790,4.840,4.670,4.670,16.147.700,75.409.759.000,0.00%,1.04%,-2.51%,-2.51%,1.04%,1.86%,CPIN
16,30-10-2025,5.050,5.150,4.750,4.790,20.118.700,96.368.573.000,0.00%,1.98%,-5.94%,-5.15%,1.98%,3.11%,CPIN
17,29-10-2025,5.050,5.125,4.990,5.050,5.793.000,29.254.650.000,-0.49%,0.99%,-1.67%,-0.49%,1.49%,2.44%,CPIN
18,28-10-2025,5.125,5.225,5.000,5.075,8.730.200,44.305.765.000,0.00%,1.95%,-2.44%,-0.98%,1.95%,3.83%,CPIN
19,27-10-2025,5.250,5.250,5.025,5.125,6.289.200,32.232.150.000,1.94%,1.94%,-2.43%,-0.49%,0.00%,2.86%,CPIN
20,24-10-2025,5.225,5.275,5.100,5.150,3.638.500,18.738.275.000,0.00%,0.96%,-2.39%,-1.44%,0.96%,1.90%,CPIN
21,23-10-2025,5.225,5.375,5.175,5.225,11.022.300,57.591.517.500,0.97%,3.86%,0.00%,0.97%,2.87%,10.33%,CPIN
22,22-10-2025,4.900,5.225,4.820,5.175,15.199.500,78.657.412.500,0.20%,6.85%,-1.43%,5.83%,6.63%,7.18%,CPIN
23,21-10-2025,4.970,4.990,4.850,4.890,4.330.400,21.175.656.000,0.61%,1.01%,-1.82%,-1.01%,0.40%,2.20%,CPIN
24,20-10-2025,5.000,5.075,4.880,4.940,6.008.900,29.683.966.000,0.60%,2.11%,-1.81%,-0.60%,1.50%,3.84%,CPIN
25,17-10-2025,4.890,5.000,4.880,4.970,8.683.700,43.157.989.000,0.62%,2.88%,0.41%,2.26%,2.25%,6.00%,CPIN
26,16-10-2025,4.700,4.900,4.700,4.860,4.627.800,22.491.108.000,1.29%,5.60%,1.29%,4.74%,4.26%,5.31%,CPIN
27,15-10-2025,4.700,4.860,4.640,4.640,9.998.000,46.390.720.000,0.86%,4.29%,-0.43%,-0.43%,3.40%,4.12%,CPIN
28,14-10-2025,4.750,4.810,4.660,4.660,3.374.800,15.726.568.000,1.06%,2.34%,-0.85%,-0.85%,1.26%,2.70%,CPIN
29,13-10-2025,4.710,4.810,4.680,4.700,2.700.200,12.690.940.000,-0.42%,1.69%,-1.06%,-0.63%,2.12%,1.66%,CPIN
30,10-10-2025,4.820,4.890,4.730,4.730,2.840.600,13.436.038.000,-0.82%,0.62%,-2.67%,-2.67%,1.45%,3.07%,CPIN
31,09-10-2025,4.750,4.860,4.740,4.860,3.293.200,16.004.952.000,0.42%,2.75%,0.21%,2.75%,2.32%,2.88%,CPIN
32,08-10-2025,4.820,4.820,4.720,4.730,1.466.500,6.936.545.000,1.47%,1.47%,-0.63%,-0.42%,0.00%,1.45%,CPIN
