col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CSIS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CSIS
1,21-11-2025,482,482,430,456,39.792.500,18.145.380.000,1.69%,1.69%,-9.28%,-3.80%,0.00%,5.81%,CSIS
2,20-11-2025,498,510,454,474,84.235.600,39.927.674.400,-1.39%,0.99%,-10.10%,-6.14%,2.41%,0.98%,CSIS
3,19-11-2025,505,505,505,505,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,16.83%,CSIS
4,18-11-2025,420,515,420,505,144.673.700,73.060.218.500,0.48%,23.21%,0.48%,20.81%,22.62%,28.16%,CSIS
5,17-11-2025,390,422,370,418,88.703.000,37.077.854.000,-5.34%,2.43%,-10.19%,1.46%,8.21%,21.33%,CSIS
6,14-11-2025,372,412,332,412,193.573.000,79.752.076.000,12.73%,24.85%,0.61%,24.85%,10.75%,31.07%,CSIS
7,13-11-2025,296,330,284,330,80.295.700,26.497.581.000,12.12%,25.00%,7.58%,25.00%,11.49%,35.76%,CSIS
8,12-11-2025,224,264,212,264,64.892.100,17.131.514.400,5.66%,24.53%,0.00%,24.53%,17.86%,23.48%,CSIS
9,11-11-2025,230,238,202,212,14.384.700,3.049.556.400,0.00%,3.48%,-12.17%,-7.83%,3.48%,5.04%,CSIS
10,10-11-2025,236,240,226,230,2.445.400,562.442.000,0.00%,1.69%,-4.24%,-2.54%,1.69%,4.17%,CSIS
11,07-11-2025,232,240,230,236,1.661.700,392.161.200,-1.69%,1.69%,-2.54%,0.00%,3.45%,4.17%,CSIS
12,06-11-2025,244,246,230,236,1.885.200,444.907.200,1.67%,2.50%,-4.17%,-1.67%,0.82%,10.57%,CSIS
13,05-11-2025,238,242,220,240,4.579.100,1.098.984.000,-1.65%,0.00%,-9.09%,-0.83%,1.68%,1.65%,CSIS
14,04-11-2025,244,252,238,242,8.479.800,2.052.111.600,0.83%,4.13%,-1.65%,0.00%,3.28%,7.94%,CSIS
15,03-11-2025,252,264,232,242,22.402.900,5.421.501.800,11.50%,16.81%,2.65%,7.08%,4.76%,14.39%,CSIS
16,31-10-2025,230,234,226,226,1.977.900,447.005.400,0.00%,1.74%,-1.74%,-1.74%,1.74%,4.27%,CSIS
17,30-10-2025,234,240,224,230,3.370.000,775.100.000,3.54%,6.19%,-0.88%,1.77%,2.56%,9.17%,CSIS
18,29-10-2025,228,230,218,226,1.926.500,435.389.000,1.79%,2.68%,-2.68%,0.89%,0.88%,6.96%,CSIS
19,28-10-2025,216,230,214,224,2.287.900,512.489.600,0.00%,6.48%,-0.93%,3.70%,6.48%,6.96%,CSIS
20,27-10-2025,226,226,214,216,2.553.900,551.642.400,0.89%,0.89%,-4.46%,-3.57%,0.00%,7.96%,CSIS
21,24-10-2025,230,234,208,224,4.300.500,963.312.000,0.88%,2.63%,-8.77%,-1.75%,1.74%,9.40%,CSIS
22,23-10-2025,234,234,212,228,7.795.300,1.777.328.400,10.38%,10.38%,0.00%,7.55%,0.00%,23.08%,CSIS
23,22-10-2025,190,214,180,212,5.706.500,1.209.778.000,0.53%,13.23%,-4.76%,12.17%,12.63%,11.68%,CSIS
24,21-10-2025,192,195,189,189,1.089.300,205.877.700,-0.52%,1.04%,-2.07%,-2.07%,1.56%,7.69%,CSIS
25,20-10-2025,198,198,180,193,2.314.100,446.621.300,0.00%,0.00%,-9.09%,-2.53%,0.00%,1.01%,CSIS
26,17-10-2025,200,208,196,198,1.324.600,262.270.800,0.00%,4.00%,-2.00%,-1.00%,4.00%,6.73%,CSIS
27,16-10-2025,200,208,194,200,3.414.600,682.920.000,0.50%,4.52%,-2.51%,0.50%,4.00%,4.33%,CSIS
28,15-10-2025,208,210,199,199,1.882.700,374.657.300,0.00%,0.96%,-4.33%,-4.33%,0.96%,4.76%,CSIS
29,14-10-2025,208,216,200,208,1.978.100,411.444.800,1.96%,5.88%,-1.96%,1.96%,3.85%,8.80%,CSIS
30,13-10-2025,199,214,197,204,3.623.700,739.234.800,-2.45%,4.90%,-3.43%,0.00%,7.54%,5.61%,CSIS
31,10-10-2025,206,208,202,204,3.036.100,619.364.400,0.00%,0.97%,-1.94%,-0.97%,0.97%,2.88%,CSIS
32,09-10-2025,206,218,202,206,3.890.000,801.340.000,0.00%,5.83%,-1.94%,0.00%,5.83%,8.26%,CSIS
33,08-10-2025,222,242,200,206,19.822.900,4.083.517.400,0.00%,9.01%,-9.91%,-7.21%,9.01%,12.40%,CSIS
34,07-10-2025,220,224,212,222,4.039.600,896.791.200,0.00%,1.82%,-3.64%,0.91%,1.82%,11.61%,CSIS
35,06-10-2025,220,224,198,220,7.157.500,1.574.650.000,0.00%,1.82%,-10.00%,0.00%,1.82%,5.36%,CSIS
36,03-10-2025,216,232,212,220,6.890.400,1.515.888.000,1.89%,9.43%,0.00%,3.77%,7.41%,8.62%,CSIS
37,02-10-2025,232,240,212,212,8.847.600,1.875.691.200,-3.33%,0.00%,-11.67%,-11.67%,3.45%,6.67%,CSIS
38,01-10-2025,240,250,224,240,9.333.500,2.240.040.000,0.84%,5.04%,-5.88%,0.84%,4.17%,8.00%,CSIS
39,30-09-2025,234,272,230,238,50.961.700,12.128.884.600,0.86%,17.24%,-0.86%,2.59%,16.24%,16.18%,CSIS
