col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CTRA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CTRA
1,21-11-2025,865,870,855,860,7.996.400,6.876.904.000,0.00%,0.58%,-1.16%,-0.58%,0.58%,1.72%,CTRA
2,20-11-2025,860,875,855,865,14.773.100,12.778.731.500,0.00%,1.74%,-0.58%,0.58%,1.74%,1.71%,CTRA
3,19-11-2025,890,890,860,860,14.614.400,12.568.384.000,0.56%,0.56%,-2.82%,-2.82%,0.00%,1.69%,CTRA
4,18-11-2025,880,900,875,885,25.656.500,22.706.002.500,0.00%,2.27%,-0.57%,0.57%,2.27%,3.89%,CTRA
5,17-11-2025,865,885,865,880,14.929.000,13.137.520.000,0.00%,2.31%,0.00%,1.73%,2.31%,3.39%,CTRA
6,14-11-2025,870,870,855,865,12.158.000,10.516.670.000,0.00%,0.00%,-1.72%,-0.57%,0.00%,1.15%,CTRA
7,13-11-2025,860,870,860,870,16.580.500,14.425.035.000,0.00%,1.16%,0.00%,1.16%,1.16%,2.30%,CTRA
8,12-11-2025,880,885,850,860,61.674.400,53.039.984.000,0.00%,0.57%,-3.41%,-2.27%,0.57%,1.13%,CTRA
9,11-11-2025,895,895,875,880,34.296.700,30.181.096.000,0.56%,0.56%,-1.69%,-1.12%,0.00%,1.12%,CTRA
10,10-11-2025,895,900,885,890,16.784.900,14.938.561.000,0.00%,0.56%,-1.12%,-0.56%,0.56%,1.67%,CTRA
11,07-11-2025,895,900,885,895,20.333.400,18.198.393.000,0.00%,0.56%,-1.12%,0.00%,0.56%,1.11%,CTRA
12,06-11-2025,900,905,890,895,9.241.600,8.271.232.000,0.00%,0.56%,-1.11%,-0.56%,0.56%,2.21%,CTRA
13,05-11-2025,890,900,885,900,15.428.800,13.885.920.000,0.00%,1.12%,-0.56%,1.12%,1.12%,1.11%,CTRA
14,04-11-2025,895,905,890,890,16.822.800,14.972.292.000,0.00%,1.12%,-0.56%,-0.56%,1.12%,1.10%,CTRA
15,03-11-2025,895,910,895,895,25.509.000,22.830.555.000,1.13%,2.82%,1.13%,1.13%,1.68%,2.75%,CTRA
16,31-10-2025,910,915,885,885,43.607.200,38.592.372.000,0.00%,0.55%,-2.75%,-2.75%,0.55%,2.19%,CTRA
17,30-10-2025,900,915,895,910,39.976.100,36.378.251.000,0.00%,1.67%,-0.56%,1.11%,1.67%,3.83%,CTRA
18,29-10-2025,895,905,880,900,28.162.600,25.346.340.000,0.00%,1.12%,-1.68%,0.56%,1.12%,1.66%,CTRA
19,28-10-2025,900,910,890,895,17.114.700,15.317.656.500,0.00%,1.11%,-1.11%,-0.56%,1.11%,2.75%,CTRA
20,27-10-2025,895,910,885,900,16.917.500,15.225.750.000,0.56%,2.25%,-0.56%,1.12%,1.68%,2.20%,CTRA
21,24-10-2025,905,910,890,890,26.065.200,23.198.028.000,0.00%,0.55%,-1.66%,-1.66%,0.55%,1.65%,CTRA
22,23-10-2025,900,910,895,905,15.765.300,14.267.596.500,-0.55%,0.55%,-1.10%,0.00%,1.11%,0.55%,CTRA
23,22-10-2025,925,945,905,905,66.437.100,60.125.575.500,1.09%,3.28%,-1.09%,-1.09%,2.16%,5.29%,CTRA
24,21-10-2025,910,920,895,915,23.114.000,21.149.310.000,0.55%,1.66%,-1.10%,1.10%,1.10%,4.35%,CTRA
25,20-10-2025,885,910,880,905,14.703.500,13.306.667.500,0.00%,2.82%,-0.56%,2.26%,2.82%,3.85%,CTRA
26,17-10-2025,895,900,875,885,19.537.400,17.290.599.000,0.00%,0.56%,-2.23%,-1.12%,0.56%,1.11%,CTRA
27,16-10-2025,905,910,890,895,11.101.900,9.936.200.500,0.00%,0.55%,-1.66%,-1.10%,0.55%,2.20%,CTRA
28,15-10-2025,905,910,890,905,30.171.900,27.305.569.500,0.00%,0.55%,-1.66%,0.00%,0.55%,1.65%,CTRA
29,14-10-2025,905,915,895,905,39.614.900,35.851.484.500,0.00%,1.10%,-1.10%,0.00%,1.10%,3.28%,CTRA
30,13-10-2025,885,910,885,905,30.237.000,27.364.485.000,-1.12%,1.68%,-1.12%,1.12%,2.82%,1.65%,CTRA
31,10-10-2025,925,930,895,895,40.909.900,36.614.360.500,0.54%,1.09%,-2.72%,-2.72%,0.54%,3.76%,CTRA
32,09-10-2025,900,930,895,920,29.289.600,26.946.432.000,-1.10%,2.20%,-1.65%,1.10%,3.33%,3.76%,CTRA
33,08-10-2025,905,920,895,910,25.207.200,22.938.552.000,0.00%,1.66%,-1.10%,0.55%,1.66%,3.26%,CTRA
34,07-10-2025,905,915,890,905,14.564.000,13.180.420.000,0.00%,1.10%,-1.66%,0.00%,1.10%,5.46%,CTRA
35,06-10-2025,885,920,865,905,34.348.500,31.085.392.500,0.00%,3.95%,-2.26%,2.26%,3.95%,4.35%,CTRA
36,03-10-2025,900,905,880,885,27.128.100,24.008.368.500,1.12%,1.69%,-1.12%,-0.56%,0.56%,1.66%,CTRA
37,02-10-2025,910,925,890,890,32.345.300,28.787.317.000,0.55%,2.21%,-1.66%,-1.66%,1.65%,3.24%,CTRA
38,01-10-2025,925,930,895,905,37.934.800,34.330.994.000,-0.54%,0.00%,-3.76%,-2.69%,0.54%,1.08%,CTRA
39,30-09-2025,935,935,920,930,23.111.300,21.493.509.000,0.54%,0.54%,-1.08%,0.00%,0.00%,1.07%,CTRA
40,29-09-2025,940,945,925,930,19.182.100,17.839.353.000,0.53%,1.07%,-1.07%,-0.53%,0.53%,2.12%,CTRA
41,26-09-2025,945,945,925,935,8.947.100,8.365.538.500,0.00%,0.00%,-2.12%,-1.06%,0.00%,2.65%,CTRA
42,25-09-2025,940,965,920,945,43.693.000,41.289.885.000,0.53%,3.21%,-1.60%,1.07%,2.66%,4.15%,CTRA
43,24-09-2025,955,960,925,935,15.420.900,14.418.541.500,0.53%,1.05%,-2.63%,-1.58%,0.52%,4.69%,CTRA
44,23-09-2025,925,955,915,950,24.504.100,23.278.895.000,0.54%,3.80%,-0.54%,3.26%,3.24%,4.19%,CTRA
45,22-09-2025,935,950,915,920,27.922.800,25.688.976.000,0.00%,1.60%,-2.14%,-1.60%,1.60%,2.11%,CTRA
46,19-09-2025,965,965,930,935,31.593.800,29.540.203.000,0.52%,0.52%,-3.13%,-2.60%,0.00%,1.55%,CTRA
47,18-09-2025,995,995,950,960,38.323.300,36.790.368.000,1.02%,1.02%,-3.55%,-2.54%,0.00%,3.02%,CTRA
48,17-09-2025,975,1.015,965,985,42.947.100,42.302.893.500,0.00%,4.10%,-1.03%,1.03%,4.10%,4.93%,CTRA
49,16-09-2025,985,990,965,975,18.696.900,18.229.477.500,0.51%,1.02%,-1.53%,-0.51%,0.51%,4.04%,CTRA
50,15-09-2025,955,985,950,980,25.584.500,25.072.810.000,1.06%,4.23%,0.53%,3.70%,3.14%,4.06%,CTRA
51,12-09-2025,970,970,945,945,39.469.400,37.298.583.000,1.04%,1.04%,-1.56%,-1.56%,0.00%,2.06%,CTRA
52,11-09-2025,950,980,950,960,40.286.200,38.674.752.000,1.06%,4.26%,1.06%,2.13%,3.16%,5.10%,CTRA
53,10-09-2025,945,955,930,940,18.123.400,17.035.996.000,0.00%,1.06%,-1.59%,-0.53%,1.06%,3.14%,CTRA
