col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CUAN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CUAN
1,21-11-2025,2.230,2.300,2.190,2.260,86.158.700,194.718.662.000,0.00%,3.14%,-1.79%,1.35%,3.14%,5.22%,CUAN
2,20-11-2025,2.200,2.320,2.180,2.230,186.043.200,414.876.336.000,1.85%,7.41%,0.93%,3.24%,5.45%,11.64%,CUAN
3,19-11-2025,2.100,2.160,2.050,2.160,52.180.200,112.709.232.000,0.00%,2.86%,-2.38%,2.86%,2.86%,3.70%,CUAN
4,18-11-2025,2.200,2.220,2.080,2.100,72.952.600,153.200.460.000,0.00%,0.91%,-5.45%,-4.55%,0.91%,3.60%,CUAN
5,17-11-2025,2.150,2.270,2.140,2.200,90.469.300,199.032.460.000,0.00%,5.58%,-0.47%,2.33%,5.58%,5.29%,CUAN
6,14-11-2025,2.180,2.220,2.150,2.150,38.337.800,82.426.270.000,0.00%,1.83%,-1.38%,-1.38%,1.83%,2.25%,CUAN
7,13-11-2025,2.220,2.240,2.170,2.180,49.507.900,107.927.222.000,1.37%,2.28%,-0.91%,-0.46%,0.90%,3.57%,CUAN
8,12-11-2025,2.200,2.250,2.160,2.190,70.221.800,153.785.742.000,0.00%,2.27%,-1.82%,-0.45%,2.27%,3.11%,CUAN
9,11-11-2025,2.280,2.290,2.180,2.200,110.626.300,243.377.860.000,0.00%,0.44%,-4.39%,-3.51%,0.44%,1.75%,CUAN
10,10-11-2025,2.350,2.350,2.250,2.280,182.257.700,415.547.556.000,2.62%,2.62%,-1.75%,-0.44%,0.00%,8.94%,CUAN
11,07-11-2025,2.150,2.300,2.140,2.290,233.503.600,534.723.244.000,1.42%,8.49%,0.94%,8.02%,6.98%,9.57%,CUAN
12,06-11-2025,2.130,2.160,2.080,2.120,100.801.500,213.699.180.000,2.40%,3.85%,0.00%,1.92%,1.41%,8.10%,CUAN
13,05-11-2025,2.000,2.090,1.985,2.080,65.119.400,135.448.352.000,-2.44%,1.95%,-3.17%,1.46%,4.50%,4.31%,CUAN
14,04-11-2025,2.100,2.160,2.000,2.050,142.416.900,291.954.645.000,0.48%,3.35%,-4.31%,-1.91%,2.86%,7.87%,CUAN
15,03-11-2025,1.995,2.120,1.990,2.090,139.239.600,291.010.764.000,-0.75%,5.47%,-1.00%,3.98%,6.27%,6.60%,CUAN
16,31-10-2025,2.010,2.070,1.980,2.010,70.827.100,142.362.471.000,0.50%,3.50%,-1.00%,0.50%,2.99%,5.07%,CUAN
17,30-10-2025,2.010,2.030,1.965,2.000,52.525.200,105.050.400.000,0.00%,1.00%,-2.24%,-0.50%,1.00%,3.20%,CUAN
