col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),CYBR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,CYBR
1,21-11-2025,1.515,1.515,1.450,1.460,11.918.700,17.401.302.000,1.34%,1.34%,-3.01%,-2.34%,0.00%,5.94%,CYBR
2,20-11-2025,1.440,1.555,1.425,1.495,20.770.700,31.052.196.500,1.77%,9.89%,0.71%,5.65%,7.99%,10.29%,CYBR
3,19-11-2025,1.420,1.445,1.395,1.415,14.472.500,20.478.587.500,1.79%,3.58%,0.00%,1.43%,1.76%,5.19%,CYBR
4,18-11-2025,1.390,1.435,1.370,1.395,16.481.000,22.990.995.000,0.72%,3.99%,-0.72%,1.09%,3.24%,6.62%,CYBR
5,17-11-2025,1.370,1.450,1.340,1.380,20.567.000,28.382.460.000,1.48%,7.41%,-0.74%,2.22%,5.84%,7.93%,CYBR
6,14-11-2025,1.385,1.385,1.335,1.350,9.339.900,12.608.865.000,1.84%,1.84%,-1.84%,-0.74%,0.00%,1.81%,CYBR
7,13-11-2025,1.360,1.400,1.360,1.360,11.916.600,16.206.576.000,0.00%,2.94%,0.00%,0.00%,2.94%,5.00%,CYBR
8,12-11-2025,1.370,1.370,1.330,1.360,15.022.600,20.430.736.000,-0.36%,-0.36%,-3.27%,-1.09%,0.00%,1.46%,CYBR
9,11-11-2025,1.410,1.415,1.350,1.375,14.110.100,19.401.387.500,4.83%,5.20%,0.37%,2.23%,0.35%,7.07%,CYBR
10,10-11-2025,1.340,1.350,1.315,1.345,11.230.400,15.104.888.000,0.00%,0.75%,-1.87%,0.37%,0.75%,2.59%,CYBR
11,07-11-2025,1.330,1.345,1.315,1.340,12.892.700,17.276.218.000,1.14%,2.28%,0.00%,1.90%,1.13%,5.20%,CYBR
12,06-11-2025,1.350,1.375,1.275,1.315,19.230.100,25.287.581.500,1.12%,3.00%,-4.49%,-1.50%,1.85%,2.91%,CYBR
13,05-11-2025,1.435,1.435,1.335,1.335,16.877.800,22.531.863.000,1.06%,1.06%,-5.99%,-5.99%,0.00%,4.18%,CYBR
14,04-11-2025,1.380,1.430,1.375,1.420,14.629.000,20.773.180.000,0.00%,3.62%,-0.36%,2.90%,3.62%,4.55%,CYBR
15,03-11-2025,1.410,1.425,1.365,1.380,10.435.600,14.401.128.000,-0.35%,0.71%,-3.53%,-2.47%,1.06%,1.75%,CYBR
16,31-10-2025,1.420,1.445,1.400,1.415,18.419.900,26.064.158.500,-1.05%,0.70%,-2.44%,-1.39%,1.76%,5.88%,CYBR
17,30-10-2025,1.365,1.490,1.360,1.435,21.557.100,30.934.438.500,0.00%,9.16%,-0.37%,5.13%,9.16%,13.09%,CYBR
18,29-10-2025,1.330,1.375,1.295,1.365,17.980.900,24.543.928.500,0.00%,3.38%,-2.63%,2.63%,3.38%,5.82%,CYBR
19,28-10-2025,1.315,1.335,1.295,1.330,12.981.900,17.265.927.000,0.00%,1.52%,-1.52%,1.14%,1.52%,3.00%,CYBR
20,27-10-2025,1.305,1.340,1.295,1.315,15.138.800,19.907.522.000,0.00%,2.68%,-0.77%,0.77%,2.68%,2.99%,CYBR
21,24-10-2025,1.315,1.320,1.300,1.305,13.700.800,17.879.544.000,-0.38%,0.00%,-1.52%,-1.14%,0.38%,1.14%,CYBR
22,23-10-2025,1.325,1.345,1.305,1.320,14.398.900,19.006.548.000,0.00%,1.51%,-1.51%,-0.38%,1.51%,7.81%,CYBR
23,22-10-2025,1.260,1.325,1.240,1.325,21.934.500,29.063.212.500,-0.79%,4.33%,-2.36%,4.33%,5.16%,4.53%,CYBR
24,21-10-2025,1.280,1.330,1.265,1.270,17.562.500,22.304.375.000,0.79%,4.72%,-0.39%,0.00%,3.91%,6.77%,CYBR
25,20-10-2025,1.260,1.280,1.240,1.270,17.293.800,21.963.126.000,0.00%,1.59%,-1.59%,0.79%,1.59%,5.47%,CYBR
26,17-10-2025,1.245,1.275,1.210,1.260,15.844.100,19.963.566.000,0.40%,2.82%,-2.42%,1.61%,2.41%,6.67%,CYBR
27,16-10-2025,1.290,1.290,1.190,1.240,16.757.500,20.779.300.000,-0.77%,-0.77%,-8.46%,-4.62%,0.00%,11.24%,CYBR
28,15-10-2025,1.275,1.340,1.145,1.300,28.770.300,37.401.390.000,0.39%,5.51%,-9.84%,2.36%,5.10%,12.69%,CYBR
29,14-10-2025,1.200,1.280,1.170,1.270,30.464.000,38.689.280.000,1.27%,8.02%,-1.27%,7.17%,6.67%,10.16%,CYBR
30,13-10-2025,1.160,1.220,1.150,1.185,36.209.600,42.908.376.000,0.00%,5.17%,-0.86%,2.16%,5.17%,6.15%,CYBR
31,10-10-2025,1.145,1.190,1.145,1.160,17.421.500,20.208.940.000,0.44%,4.39%,0.44%,1.75%,3.93%,4.20%,CYBR
32,09-10-2025,1.190,1.190,1.140,1.140,13.632.700,15.541.278.000,2.15%,2.15%,-2.15%,-2.15%,0.00%,2.52%,CYBR
33,08-10-2025,1.190,1.230,1.160,1.165,21.873.200,25.482.278.000,1.28%,4.68%,-1.28%,-0.85%,3.36%,7.72%,CYBR
34,07-10-2025,1.135,1.200,1.135,1.175,23.934.000,28.122.450.000,-0.44%,5.26%,-0.44%,3.07%,5.73%,5.83%,CYBR
35,06-10-2025,1.205,1.215,1.130,1.140,16.566.900,18.886.266.000,0.42%,1.25%,-5.83%,-5.00%,0.83%,3.70%,CYBR
36,03-10-2025,1.180,1.250,1.170,1.200,20.477.700,24.573.240.000,0.85%,6.84%,0.00%,2.56%,5.93%,8.00%,CYBR
37,02-10-2025,1.170,1.195,1.150,1.170,17.474.200,20.444.814.000,0.43%,2.58%,-1.29%,0.43%,2.14%,9.62%,CYBR
38,01-10-2025,1.080,1.235,1.080,1.165,29.811.400,34.730.281.000,0.47%,14.88%,0.47%,8.37%,14.35%,14.17%,CYBR
39,30-09-2025,1.100,1.115,1.060,1.075,22.140.200,23.800.715.000,2.80%,4.21%,-0.93%,0.47%,1.36%,10.31%,CYBR
40,29-09-2025,1.015,1.100,1.000,1.070,23.105.900,24.723.313.000,0.00%,8.37%,-1.48%,5.42%,8.37%,10.45%,CYBR
41,26-09-2025,995,1.020,985,1.015,19.393.100,19.683.996.500,0.00%,2.51%,-1.01%,2.01%,2.51%,3.43%,CYBR
42,25-09-2025,1.005,1.005,985,995,14.061.800,13.991.491.000,0.50%,0.50%,-1.50%,-0.50%,0.00%,2.49%,CYBR
43,24-09-2025,990,1.005,980,1.000,20.476.300,20.476.300.000,0.00%,1.52%,-1.01%,1.01%,1.52%,2.49%,CYBR
44,23-09-2025,1.000,1.000,980,990,14.829.500,14.681.205.000,0.00%,0.00%,-2.00%,-1.00%,0.00%,1.00%,CYBR
45,22-09-2025,1.025,1.040,990,1.000,17.606.500,17.606.500.000,-1.91%,-0.48%,-5.26%,-4.31%,1.46%,7.69%,CYBR
46,19-09-2025,980,1.045,960,1.045,17.457.000,18.242.565.000,0.51%,7.18%,-1.54%,7.18%,6.63%,7.66%,CYBR
47,18-09-2025,985,1.000,965,975,16.215.400,15.810.015.000,0.00%,1.52%,-2.03%,-1.02%,1.52%,1.50%,CYBR
48,17-09-2025,985,1.025,985,985,16.218.300,15.975.025.500,0.00%,4.06%,0.00%,0.00%,4.06%,4.39%,CYBR
49,16-09-2025,1.000,1.005,980,985,17.073.100,16.817.003.500,0.00%,0.50%,-2.00%,-1.50%,0.50%,1.00%,CYBR
50,15-09-2025,1.040,1.050,995,1.000,18.664.100,18.664.100.000,0.00%,0.96%,-4.33%,-3.85%,0.96%,1.43%,CYBR
51,12-09-2025,1.040,1.060,1.035,1.040,22.773.400,23.684.336.000,0.48%,2.42%,0.00%,0.48%,1.92%,7.08%,CYBR
52,11-09-2025,990,1.040,985,1.035,19.089.500,19.757.632.500,0.51%,5.58%,0.00%,5.08%,5.05%,8.17%,CYBR
53,10-09-2025,995,1.000,955,985,17.061.700,16.805.774.500,0.51%,1.01%,-3.54%,-0.51%,0.50%,4.50%,CYBR
54,09-09-2025,955,1.000,955,990,26.278.100,26.015.319.000,0.00%,4.71%,0.00%,3.66%,4.71%,4.50%,CYBR
55,08-09-2025,980,990,955,955,13.786.700,13.166.298.500,1.55%,2.59%,-1.04%,-1.04%,1.02%,5.05%,CYBR
56,04-09-2025,955,985,940,965,17.960.700,17.332.075.500,0.53%,3.68%,-1.05%,1.58%,3.14%,4.06%,CYBR
57,03-09-2025,975,985,945,950,18.991.100,18.041.545.000,0.52%,1.55%,-2.58%,-2.06%,1.03%,4.57%,CYBR
58,02-09-2025,950,995,940,970,15.457.400,14.993.678.000,0.00%,4.74%,-1.05%,2.11%,4.74%,6.03%,CYBR
59,01-09-2025,1.000,1.000,935,950,15.247.300,14.484.935.000,4.71%,4.71%,-2.09%,-0.52%,0.00%,8.00%,CYBR
60,29-08-2025,950,975,920,955,21.742.200,20.763.801.000,-2.56%,0.00%,-5.64%,-2.05%,2.63%,0.51%,CYBR
61,28-08-2025,975,1.000,970,975,21.268.300,20.736.592.500,0.52%,3.09%,0.00%,0.52%,2.56%,4.00%,CYBR
62,27-08-2025,1.005,1.005,960,970,15.301.200,14.842.164.000,0.00%,0.00%,-4.48%,-3.48%,0.00%,1.99%,CYBR
63,26-08-2025,1.020,1.020,985,1.005,24.440.000,24.562.200.000,2.51%,2.51%,-1.01%,1.01%,0.00%,5.39%,CYBR
64,25-08-2025,985,1.010,965,995,19.550.700,19.452.946.500,0.00%,2.54%,-2.03%,1.02%,2.54%,3.47%,CYBR
65,22-08-2025,1.020,1.030,975,985,18.426.600,18.150.201.000,1.49%,2.49%,-2.99%,-1.99%,0.98%,2.43%,CYBR
66,21-08-2025,1.035,1.050,1.005,1.005,17.650.300,17.738.551.500,0.49%,1.94%,-2.43%,-2.43%,1.45%,2.86%,CYBR
67,20-08-2025,1.025,1.050,1.020,1.030,19.501.800,20.086.854.000,0.99%,3.45%,0.49%,1.48%,2.44%,3.33%,CYBR
68,19-08-2025,1.015,1.050,1.015,1.015,15.383.300,15.614.049.500,2.53%,6.06%,2.53%,2.53%,3.45%,5.71%,CYBR
69,15-08-2025,1.050,1.050,990,990,18.822.100,18.633.879.000,-0.47%,-0.47%,-6.16%,-6.16%,0.00%,3.33%,CYBR
70,14-08-2025,1.050,1.120,1.015,1.055,26.537.000,27.996.535.000,0.00%,6.67%,-3.33%,0.48%,6.67%,14.29%,CYBR
71,13-08-2025,1.000,1.060,960,1.050,27.462.200,28.835.310.000,0.00%,6.00%,-4.00%,5.00%,6.00%,13.68%,CYBR
72,12-08-2025,940,1.060,915,1.000,28.894.100,28.894.100.000,0.53%,13.37%,-2.14%,6.95%,12.77%,17.92%,CYBR
73,11-08-2025,900,950,870,935,25.398.100,23.747.223.500,0.00%,5.56%,-3.33%,3.89%,5.56%,7.37%,CYBR
74,08-08-2025,905,915,880,900,10.591.000,9.531.900.000,0.00%,1.10%,-2.76%,-0.55%,1.10%,2.19%,CYBR
75,07-08-2025,915,930,895,905,15.763.300,14.265.786.500,0.55%,2.20%,-1.65%,-0.55%,1.64%,3.23%,CYBR
76,06-08-2025,930,935,900,910,15.247.400,13.875.134.000,-0.53%,0.00%,-3.74%,-2.67%,0.54%,4.28%,CYBR
77,05-08-2025,935,945,895,935,10.931.100,10.220.578.500,0.00%,1.07%,-4.28%,0.00%,1.07%,1.06%,CYBR
78,04-08-2025,960,965,935,935,14.071.600,13.156.946.000,-0.52%,0.00%,-3.11%,-3.11%,0.52%,3.11%,CYBR
79,01-08-2025,975,975,935,965,9.701.500,9.361.947.500,1.04%,1.04%,-3.11%,0.00%,0.00%,5.64%,CYBR
80,31-07-2025,930,990,920,965,16.751.700,16.165.390.500,-0.53%,5.88%,-1.60%,3.21%,6.45%,9.60%,CYBR
81,30-07-2025,945,950,895,935,14.115.000,13.197.525.000,0.53%,1.06%,-4.79%,-0.53%,0.53%,3.68%,CYBR
82,29-07-2025,920,950,915,940,11.269.500,10.593.330.000,0.00%,3.26%,-0.54%,2.17%,3.26%,5.26%,CYBR
83,28-07-2025,915,930,900,920,7.607.000,6.998.440.000,1.10%,2.76%,-0.55%,1.66%,1.64%,4.30%,CYBR
84,25-07-2025,930,935,890,905,5.542.600,5.016.053.000,0.00%,0.54%,-4.30%,-2.69%,0.54%,0.53%,CYBR
85,24-07-2025,950,960,930,930,10.824.800,10.067.064.000,0.00%,1.05%,-2.11%,-2.11%,1.05%,6.25%,CYBR
86,23-07-2025,925,960,900,950,13.978.500,13.279.575.000,1.09%,4.92%,-1.64%,3.83%,3.78%,7.29%,CYBR
87,22-07-2025,935,940,890,915,8.457.000,7.738.155.000,3.89%,4.44%,-1.11%,1.67%,0.53%,8.51%,CYBR
88,21-07-2025,945,945,860,900,12.276.500,11.048.850.000,0.00%,0.00%,-8.99%,-4.76%,0.00%,1.59%,CYBR
89,18-07-2025,940,955,930,945,14.603.100,13.799.929.500,0.00%,1.60%,-1.06%,0.53%,1.60%,2.62%,CYBR
90,17-07-2025,940,950,930,940,14.629.900,13.752.106.000,0.53%,1.60%,-0.53%,0.53%,1.06%,2.63%,CYBR
91,16-07-2025,930,950,925,935,15.607.300,14.592.825.500,1.09%,3.26%,0.54%,1.63%,2.15%,3.16%,CYBR
92,15-07-2025,975,975,920,920,14.341.900,13.194.548.000,0.52%,0.52%,-5.15%,-5.15%,0.00%,4.10%,CYBR
93,14-07-2025,940,975,935,970,14.891.000,14.444.270.000,0.00%,3.72%,-0.53%,3.19%,3.72%,4.62%,CYBR
94,11-07-2025,940,970,930,940,13.928.100,13.092.414.000,0.00%,3.19%,-1.06%,0.00%,3.19%,3.61%,CYBR
95,10-07-2025,965,980,935,940,15.787.300,14.840.062.000,1.05%,2.62%,-2.09%,-1.57%,1.55%,5.10%,CYBR
96,09-07-2025,940,960,930,955,13.706.100,13.089.325.500,1.08%,3.23%,0.00%,2.69%,2.13%,3.13%,CYBR
97,08-07-2025,960,975,930,930,15.650.600,14.555.058.000,0.00%,1.56%,-3.13%,-3.13%,1.56%,16.92%,CYBR
98,07-07-2025,885,985,810,960,14.514.200,13.933.632.000,-4.84%,5.91%,-12.90%,3.23%,11.30%,6.09%,CYBR
99,04-07-2025,940,955,925,930,13.368.900,12.433.077.000,0.53%,2.14%,-1.07%,-0.53%,1.60%,2.09%,CYBR
