col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DART
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DART
1,21-11-2025,184,188,183,185,155.800,28.823.000,0.00%,2.17%,-0.54%,0.54%,2.17%,2.66%,DART
2,20-11-2025,187,189,183,184,345.200,63.516.800,1.08%,2.16%,-1.08%,-0.54%,1.07%,2.12%,DART
3,19-11-2025,190,191,185,185,218.000,40.330.000,2.70%,3.24%,0.00%,0.00%,0.53%,4.19%,DART
4,18-11-2025,187,190,183,185,172.300,31.875.500,0.54%,2.15%,-1.61%,-0.54%,1.60%,3.68%,DART
5,17-11-2025,185,192,183,186,1.028.800,191.356.800,0.54%,4.35%,-0.54%,1.09%,3.78%,5.73%,DART
6,14-11-2025,190,191,181,184,869.900,160.061.600,-0.52%,0.00%,-5.24%,-3.66%,0.53%,5.76%,DART
7,13-11-2025,189,196,180,191,5.106.000,975.246.000,0.00%,3.70%,-4.76%,1.06%,3.70%,4.59%,DART
8,12-11-2025,230,240,187,189,17.072.400,3.226.683.600,4.55%,9.09%,-15.00%,-14.09%,4.35%,32.50%,DART
9,11-11-2025,162,220,162,220,29.316.000,6.449.520.000,-0.61%,34.97%,-0.61%,34.97%,35.80%,25.91%,DART
10,10-11-2025,168,168,163,163,84.200,13.724.600,2.44%,2.44%,-0.61%,-0.61%,0.00%,2.38%,DART
11,07-11-2025,167,167,164,164,51.200,8.396.800,1.21%,1.21%,-0.61%,-0.61%,0.00%,2.40%,DART
12,06-11-2025,166,167,163,165,14.800,2.442.000,1.22%,1.83%,-0.61%,0.61%,0.60%,2.99%,DART
13,05-11-2025,163,167,162,164,18.200,2.984.800,-1.21%,1.21%,-1.82%,-0.61%,2.45%,2.40%,DART
14,04-11-2025,166,167,163,165,77.400,12.771.000,0.00%,0.60%,-1.81%,-0.60%,0.60%,4.19%,DART
15,03-11-2025,165,166,160,166,235.300,39.059.800,0.00%,0.61%,-3.03%,0.61%,0.61%,3.01%,DART
16,31-10-2025,162,165,161,165,202.400,33.396.000,-1.22%,0.61%,-1.83%,0.61%,1.85%,1.82%,DART
17,30-10-2025,165,165,162,164,20.800,3.411.200,1.23%,1.23%,-0.61%,0.61%,0.00%,4.85%,DART
18,29-10-2025,165,165,157,163,138.900,22.640.700,0.61%,0.61%,-4.27%,-0.61%,0.00%,5.45%,DART
19,28-10-2025,156,167,156,164,478.000,78.392.000,-1.89%,5.03%,-1.89%,3.14%,7.05%,7.78%,DART
20,27-10-2025,158,160,154,159,54.300,8.633.700,1.94%,3.23%,-0.65%,2.58%,1.27%,4.38%,DART
21,24-10-2025,156,160,153,155,20.900,3.239.500,0.65%,3.23%,-1.29%,0.00%,2.56%,3.75%,DART
22,23-10-2025,159,159,154,155,34.100,5.285.500,3.25%,3.25%,0.00%,0.65%,0.00%,3.77%,DART
23,22-10-2025,158,158,153,154,56.500,8.701.000,0.64%,0.64%,-2.55%,-1.91%,0.00%,5.06%,DART
24,21-10-2025,156,170,150,157,198.800,31.211.600,0.00%,8.97%,-3.85%,0.64%,8.97%,10.59%,DART
25,20-10-2025,156,156,152,156,58.600,9.141.600,1.96%,1.96%,-0.65%,1.96%,0.00%,1.92%,DART
26,17-10-2025,157,159,153,153,123.800,18.941.400,0.64%,1.92%,-1.92%,-1.92%,1.27%,3.14%,DART
27,16-10-2025,159,159,154,156,267.000,41.652.000,0.00%,0.00%,-3.14%,-1.89%,0.00%,1.89%,DART
28,15-10-2025,164,164,156,159,117.700,18.714.300,2.50%,2.50%,-2.50%,-0.63%,0.00%,2.44%,DART
29,14-10-2025,162,165,160,160,63.800,10.208.000,-1.22%,0.61%,-2.44%,-2.44%,1.85%,1.82%,DART
30,13-10-2025,165,165,162,164,45.300,7.429.200,0.00%,0.00%,-1.82%,-0.61%,0.00%,3.03%,DART
31,10-10-2025,166,166,160,165,62.100,10.246.500,1.22%,1.22%,-2.44%,0.61%,0.00%,1.81%,DART
32,09-10-2025,164,166,163,164,61.100,10.020.400,0.61%,1.84%,0.00%,0.61%,1.22%,3.01%,DART
33,08-10-2025,170,170,161,163,129.700,21.141.100,3.03%,3.03%,-2.42%,-1.21%,0.00%,4.12%,DART
34,07-10-2025,166,166,163,165,20.800,3.432.000,0.61%,0.61%,-1.21%,0.00%,0.00%,2.41%,DART
35,06-10-2025,165,167,162,165,155.100,25.591.500,-1.79%,-0.60%,-3.57%,-1.79%,1.21%,1.20%,DART
36,03-10-2025,170,170,165,168,265.400,44.587.200,0.00%,0.00%,-2.94%,-1.18%,0.00%,1.18%,DART
37,02-10-2025,175,175,168,170,226.100,38.437.000,0.00%,0.00%,-4.00%,-2.86%,0.00%,2.86%,DART
38,01-10-2025,172,176,170,175,407.900,71.382.500,-0.58%,1.73%,-1.73%,1.16%,2.33%,4.55%,DART
39,30-09-2025,171,184,168,173,2.721.200,470.767.600,-1.72%,5.75%,-3.45%,-0.57%,7.60%,7.07%,DART
40,29-09-2025,175,177,171,174,188.800,32.851.200,0.00%,1.14%,-2.29%,-0.57%,1.14%,3.95%,DART
41,26-09-2025,175,182,170,175,651.100,113.942.500,0.57%,4.60%,-2.30%,0.57%,4.00%,10.99%,DART
42,25-09-2025,165,179,162,174,2.196.900,382.260.600,0.00%,8.48%,-1.82%,5.45%,8.48%,7.82%,DART
43,24-09-2025,170,171,165,165,425.300,70.174.500,1.19%,1.79%,-1.79%,-1.79%,0.59%,3.51%,DART
44,23-09-2025,171,194,165,168,8.170.200,1.372.593.600,0.00%,13.45%,-3.51%,-1.75%,13.45%,17.53%,DART
45,22-09-2025,160,171,160,171,1.040.300,177.891.300,-3.03%,3.64%,-3.03%,3.64%,6.88%,3.51%,DART
46,19-09-2025,166,177,165,165,1.184.400,195.426.000,0.00%,6.63%,-0.60%,-0.60%,6.63%,7.34%,DART
47,18-09-2025,168,168,164,166,168.800,28.020.800,2.44%,2.44%,0.00%,1.22%,0.00%,6.55%,DART
48,17-09-2025,162,169,157,164,1.757.100,288.164.400,1.89%,6.29%,-1.26%,3.14%,4.32%,7.69%,DART
49,16-09-2025,157,173,156,159,4.185.200,665.446.800,0.00%,10.19%,-0.64%,1.27%,10.19%,10.98%,DART
50,15-09-2025,158,158,154,157,235.900,37.036.300,1.28%,1.28%,-1.28%,0.64%,0.00%,2.53%,DART
51,12-09-2025,157,159,154,156,155.900,24.320.400,0.00%,1.27%,-1.91%,-0.64%,1.27%,3.77%,DART
52,11-09-2025,155,162,153,157,228.600,35.890.200,-1.27%,3.18%,-2.55%,0.00%,4.52%,6.17%,DART
53,10-09-2025,154,173,152,157,2.348.100,368.651.700,0.00%,12.34%,-1.30%,1.95%,12.34%,10.98%,DART
54,09-09-2025,163,163,154,154,174.900,26.934.600,2.52%,2.52%,-3.14%,-3.14%,0.00%,2.45%,DART
