col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DAYA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DAYA
1,21-11-2025,1.570,1.570,1.450,1.495,48.200,72.059.000,0.64%,0.64%,-7.05%,-4.17%,0.00%,9.55%,DAYA
2,20-11-2025,1.465,1.615,1.420,1.560,34.000,53.040.000,-0.34%,9.86%,-3.40%,6.12%,10.24%,14.24%,DAYA
3,19-11-2025,1.465,1.480,1.385,1.470,87.900,129.213.000,0.00%,1.02%,-5.46%,0.34%,1.02%,4.05%,DAYA
4,18-11-2025,1.530,1.535,1.420,1.465,45.100,66.071.500,-0.33%,0.00%,-7.49%,-4.56%,0.33%,3.58%,DAYA
5,17-11-2025,1.490,1.550,1.480,1.535,24.100,36.993.500,0.00%,4.03%,-0.67%,3.02%,4.03%,6.13%,DAYA
6,14-11-2025,1.520,1.575,1.455,1.490,59.700,88.953.000,0.00%,3.62%,-4.28%,-1.97%,3.62%,9.52%,DAYA
7,13-11-2025,1.490,1.575,1.425,1.520,68.200,103.664.000,-1.00%,4.65%,-5.32%,1.00%,5.70%,11.75%,DAYA
8,12-11-2025,1.600,1.600,1.390,1.505,106.300,159.981.500,8.84%,8.84%,-5.44%,2.38%,0.00%,13.75%,DAYA
9,11-11-2025,1.450,1.590,1.380,1.470,214.500,315.315.000,3.57%,13.57%,-1.43%,5.00%,9.66%,20.44%,DAYA
10,10-11-2025,1.400,1.400,1.265,1.400,87.000,121.800.000,3.70%,3.70%,-6.30%,3.70%,0.00%,13.57%,DAYA
11,07-11-2025,1.255,1.500,1.210,1.350,279.100,376.785.000,-0.40%,19.05%,-3.97%,7.14%,19.52%,21.67%,DAYA
