col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DEWA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DEWA
1,21-11-2025,410,420,404,416,612.443.800,254.776.620.800,-0.49%,1.94%,-1.94%,0.97%,2.44%,2.38%,DEWA
2,20-11-2025,430,432,410,412,756.349.300,311.615.911.600,0.94%,1.41%,-3.76%,-3.29%,0.47%,3.24%,DEWA
3,19-11-2025,428,440,418,426,1.848.365.600,787.403.745.600,4.39%,7.32%,1.95%,3.90%,2.80%,9.55%,DEWA
4,18-11-2025,408,424,398,410,990.921.200,406.277.692.000,0.00%,3.92%,-2.45%,0.49%,3.92%,4.72%,DEWA
5,17-11-2025,410,428,404,408,769.205.700,313.835.925.600,0.00%,4.39%,-1.46%,-0.49%,4.39%,5.14%,DEWA
6,14-11-2025,432,436,406,410,1.153.394.200,472.891.622.000,0.47%,1.40%,-5.58%,-4.65%,0.93%,3.67%,DEWA
7,13-11-2025,424,448,420,430,1.399.137.700,601.629.211.000,1.44%,7.18%,0.48%,2.87%,5.66%,8.04%,DEWA
8,12-11-2025,436,448,412,418,1.832.959.300,766.176.987.400,-2.24%,0.45%,-7.62%,-6.28%,2.75%,10.27%,DEWA
9,11-11-2025,402,488,402,446,5.426.419.900,2.420.183.275.400,1.01%,22.61%,1.01%,12.06%,21.39%,27.87%,DEWA
10,10-11-2025,352,400,352,398,1.615.161.300,642.834.197.400,1.15%,14.94%,1.15%,14.37%,13.64%,15.00%,DEWA
11,07-11-2025,342,354,340,348,307.839.300,107.128.076.400,0.00%,3.51%,-0.58%,1.75%,3.51%,3.39%,DEWA
12,06-11-2025,360,370,342,342,777.790.500,266.004.351.000,1.12%,3.93%,-3.93%,-3.93%,2.78%,13.51%,DEWA
13,05-11-2025,328,356,320,356,862.968.300,307.216.714.800,-1.80%,6.59%,-4.19%,6.59%,8.54%,10.11%,DEWA
14,04-11-2025,336,340,320,334,359.227.000,119.981.818.000,0.00%,1.19%,-4.76%,-0.60%,1.19%,2.35%,DEWA
15,03-11-2025,340,346,332,336,478.019.400,160.614.518.400,1.80%,3.59%,-0.60%,0.60%,1.76%,8.09%,DEWA
16,31-10-2025,324,346,318,334,745.191.900,248.894.094.600,0.00%,6.79%,-1.85%,3.09%,6.79%,10.98%,DEWA
17,30-10-2025,312,326,308,324,487.818.300,158.053.129.200,1.30%,5.84%,0.00%,5.19%,4.49%,6.75%,DEWA
18,29-10-2025,310,316,304,308,215.079.000,66.244.332.000,0.65%,2.60%,-1.30%,0.00%,1.94%,8.23%,DEWA
19,28-10-2025,296,318,290,308,371.583.600,114.447.748.800,0.00%,7.43%,-2.03%,4.05%,7.43%,10.06%,DEWA
20,27-10-2025,316,320,286,296,841.894.200,249.200.683.200,0.00%,1.27%,-9.49%,-6.33%,1.27%,2.50%,DEWA
21,24-10-2025,322,326,312,316,296.097.200,93.566.715.200,0.63%,1.88%,-2.50%,-1.25%,1.24%,1.84%,DEWA
22,23-10-2025,320,340,320,320,544.770.900,174.326.688.000,0.00%,6.25%,0.00%,0.00%,6.25%,8.24%,DEWA
23,22-10-2025,322,326,312,320,313.375.200,100.280.064.000,0.00%,1.24%,-3.11%,-0.62%,1.24%,2.45%,DEWA
24,21-10-2025,320,332,318,322,455.399.900,146.638.767.800,1.27%,5.06%,0.63%,1.90%,3.75%,10.24%,DEWA
25,20-10-2025,306,326,298,316,549.602.400,173.674.358.400,2.00%,8.67%,-0.67%,5.33%,6.54%,10.43%,DEWA
26,17-10-2025,330,334,292,300,870.629.700,261.188.910.000,1.23%,2.45%,-10.43%,-7.98%,1.21%,4.79%,DEWA
27,16-10-2025,324,334,318,326,470.465.200,153.371.655.200,1.89%,5.03%,0.00%,2.52%,3.09%,10.18%,DEWA
28,15-10-2025,334,348,300,318,1.548.998.300,492.581.459.400,0.00%,4.19%,-10.18%,-4.79%,4.19%,5.75%,DEWA
29,14-10-2025,366,400,328,334,2.167.681.900,724.005.754.600,1.10%,10.50%,-9.39%,-7.73%,9.29%,15.00%,DEWA
30,13-10-2025,350,368,340,362,492.341.100,178.227.478.200,-1.69%,3.37%,-4.49%,1.69%,5.14%,4.89%,DEWA
31,10-10-2025,356,368,350,356,271.655.900,96.709.500.400,0.56%,3.95%,-1.13%,0.56%,3.37%,5.98%,DEWA
32,09-10-2025,362,382,346,354,836.163.300,296.001.808.200,1.69%,7.30%,-2.81%,-0.56%,5.52%,10.99%,DEWA
33,08-10-2025,358,364,340,356,614.798.700,218.868.337.200,1.13%,2.82%,-3.95%,0.56%,1.68%,12.64%,DEWA
34,07-10-2025,326,386,318,354,1.426.838.700,505.100.899.800,0.00%,18.40%,-2.45%,8.59%,18.40%,16.58%,DEWA
35,06-10-2025,338,352,322,326,630.562.400,205.563.342.400,0.60%,4.76%,-4.17%,-2.98%,4.14%,5.68%,DEWA
36,03-10-2025,336,354,332,336,1.035.475.900,347.919.902.400,0.60%,5.99%,-0.60%,0.60%,5.36%,18.64%,DEWA
37,02-10-2025,298,340,288,334,1.508.918.500,503.978.779.000,1.36%,15.65%,-2.04%,13.61%,14.09%,20.59%,DEWA
38,01-10-2025,272,302,270,294,1.416.319.700,416.397.991.800,0.00%,11.03%,-0.74%,8.09%,11.03%,10.60%,DEWA
39,30-09-2025,290,290,270,272,810.527.100,220.463.371.200,0.00%,0.00%,-6.90%,-6.21%,0.00%,8.28%,DEWA
40,29-09-2025,278,292,266,290,765.277.300,221.930.417.000,0.00%,5.04%,-4.32%,4.32%,5.04%,6.85%,DEWA
41,26-09-2025,282,286,272,278,440.012.600,122.323.502.800,0.71%,2.14%,-2.86%,-0.71%,1.42%,8.39%,DEWA
42,25-09-2025,262,282,262,280,1.043.519.600,292.185.488.000,-0.76%,6.82%,-0.76%,6.06%,7.63%,9.22%,DEWA
43,24-09-2025,276,280,256,264,979.935.200,258.702.892.800,2.22%,3.70%,-5.19%,-2.22%,1.45%,11.43%,DEWA
44,23-09-2025,248,270,248,270,1.881.689.700,508.056.219.000,4.20%,13.45%,4.20%,13.45%,8.87%,19.26%,DEWA
45,22-09-2025,220,242,218,238,1.315.700.000,313.136.600.000,2.80%,13.08%,1.87%,11.21%,10.00%,11.57%,DEWA
46,19-09-2025,216,220,214,214,141.667.200,30.316.780.800,0.00%,1.85%,-0.93%,-0.93%,1.85%,2.73%,DEWA
47,18-09-2025,224,224,214,216,256.139.200,55.326.067.200,0.90%,0.90%,-3.60%,-2.70%,0.00%,1.79%,DEWA
48,17-09-2025,224,226,220,222,139.886.500,31.054.803.000,0.00%,0.89%,-1.79%,-0.89%,0.89%,1.77%,DEWA
49,16-09-2025,226,232,222,224,386.368.400,86.546.521.600,0.00%,2.65%,-1.77%,-0.88%,2.65%,6.90%,DEWA
50,15-09-2025,222,226,216,226,282.187.800,63.774.442.800,0.91%,2.73%,-1.82%,2.73%,1.80%,5.31%,DEWA
51,12-09-2025,216,222,214,220,165.148.800,36.332.736.000,0.93%,3.74%,0.00%,2.80%,2.78%,3.60%,DEWA
52,11-09-2025,218,222,214,214,182.750.300,39.108.564.200,0.00%,1.83%,-1.83%,-1.83%,1.83%,3.60%,DEWA
