col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DGIK
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DGIK
1,21-11-2025,116,118,113,114,4.681.700,533.713.800,0.87%,2.61%,-1.74%,-0.87%,1.72%,4.24%,DGIK
2,20-11-2025,118,118,113,115,8.340.000,959.100.000,2.61%,2.61%,-1.74%,0.00%,0.00%,6.78%,DGIK
3,19-11-2025,111,115,110,115,7.618.500,876.127.500,-0.89%,2.68%,-1.79%,2.68%,3.60%,5.22%,DGIK
4,18-11-2025,112,120,109,112,18.353.500,2.055.592.000,0.90%,8.11%,-1.80%,0.90%,7.14%,10.00%,DGIK
5,17-11-2025,111,112,108,111,6.939.800,770.317.800,0.91%,1.82%,-1.82%,0.91%,0.90%,5.36%,DGIK
6,14-11-2025,111,113,106,110,6.697.700,736.747.000,0.00%,1.80%,-4.50%,-0.90%,1.80%,4.42%,DGIK
7,13-11-2025,112,117,108,111,25.829.800,2.867.107.800,0.00%,4.46%,-3.57%,-0.89%,4.46%,18.80%,DGIK
8,12-11-2025,97,118,95,112,56.873.000,6.369.776.000,0.00%,21.65%,-2.06%,15.46%,21.65%,19.49%,DGIK
9,11-11-2025,97,98,95,97,2.523.400,244.769.800,0.00%,1.03%,-2.06%,0.00%,1.03%,5.10%,DGIK
10,10-11-2025,96,97,93,97,3.564.400,345.746.800,1.05%,2.11%,-2.11%,2.11%,1.04%,4.12%,DGIK
11,07-11-2025,94,98,93,95,4.775.100,453.634.500,0.00%,4.26%,-1.06%,1.06%,4.26%,5.10%,DGIK
12,06-11-2025,95,95,93,94,2.377.100,223.447.400,0.00%,0.00%,-2.11%,-1.05%,0.00%,4.21%,DGIK
13,05-11-2025,95,96,91,95,5.366.800,509.846.000,-1.04%,0.00%,-5.21%,-1.04%,1.05%,1.04%,DGIK
14,04-11-2025,97,98,95,96,3.214.500,308.592.000,0.00%,1.03%,-2.06%,-1.03%,1.03%,2.04%,DGIK
15,03-11-2025,98,98,96,97,2.859.500,277.371.500,0.00%,0.00%,-2.04%,-1.02%,0.00%,3.06%,DGIK
16,31-10-2025,100,100,95,98,5.826.400,570.987.200,0.00%,0.00%,-5.00%,-2.00%,0.00%,3.00%,DGIK
17,30-10-2025,100,102,97,100,3.228.600,322.860.000,0.00%,2.00%,-3.00%,0.00%,2.00%,4.90%,DGIK
18,29-10-2025,98,102,97,100,2.568.000,256.800.000,0.00%,4.08%,-1.02%,2.04%,4.08%,4.90%,DGIK
19,28-10-2025,101,103,97,98,8.413.900,824.562.200,1.00%,3.00%,-3.00%,-2.00%,1.98%,7.77%,DGIK
20,27-10-2025,99,102,95,100,11.068.100,1.106.810.000,3.13%,6.25%,-1.04%,4.17%,3.03%,5.88%,DGIK
21,24-10-2025,97,98,96,96,3.160.300,303.388.800,0.00%,1.03%,-1.03%,-1.03%,1.03%,3.06%,DGIK
22,23-10-2025,96,98,95,97,3.567.800,346.076.600,0.00%,2.08%,-1.04%,1.04%,2.08%,5.10%,DGIK
23,22-10-2025,94,97,93,96,4.224.200,405.523.200,0.00%,3.19%,-1.06%,2.13%,3.19%,4.12%,DGIK
24,21-10-2025,95,96,93,94,4.043.200,380.060.800,0.00%,1.05%,-2.11%,-1.05%,1.05%,3.13%,DGIK
25,20-10-2025,94,96,93,95,4.473.600,424.992.000,-1.05%,1.05%,-2.11%,0.00%,2.13%,3.13%,DGIK
26,17-10-2025,99,99,93,95,4.497.100,427.224.500,1.02%,1.02%,-5.10%,-3.06%,0.00%,4.04%,DGIK
27,16-10-2025,98,100,95,98,5.952.400,583.335.200,2.08%,4.17%,-1.04%,2.08%,2.04%,5.00%,DGIK
28,15-10-2025,100,103,95,96,8.465.900,812.726.400,2.04%,5.10%,-3.06%,-2.04%,3.00%,10.68%,DGIK
29,14-10-2025,92,107,92,98,39.629.400,3.883.681.200,0.00%,16.30%,0.00%,6.52%,16.30%,15.89%,DGIK
30,13-10-2025,91,93,90,92,4.194.700,385.912.400,-1.09%,1.09%,-2.17%,0.00%,2.20%,2.15%,DGIK
31,10-10-2025,92,92,91,92,3.986.800,366.785.600,0.00%,0.00%,-1.09%,0.00%,0.00%,1.09%,DGIK
32,09-10-2025,92,93,91,92,2.595.500,238.786.000,0.00%,1.09%,-1.09%,0.00%,1.09%,1.08%,DGIK
33,08-10-2025,94,94,92,92,2.966.900,272.954.800,0.00%,0.00%,-2.13%,-2.13%,0.00%,2.13%,DGIK
34,07-10-2025,95,96,92,94,4.742.500,445.795.000,0.00%,1.05%,-3.16%,-1.05%,1.05%,3.13%,DGIK
