col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DGNS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DGNS
1,21-11-2025,144,148,141,145,405.500,58.797.500,-0.69%,2.07%,-2.76%,0.00%,2.78%,4.05%,DGNS
2,20-11-2025,145,148,142,145,810.400,117.508.000,0.00%,2.07%,-2.07%,0.00%,2.07%,4.05%,DGNS
3,19-11-2025,143,146,142,145,23.149.100,3.356.619.500,0.70%,2.82%,0.00%,2.11%,2.10%,3.42%,DGNS
4,18-11-2025,143,144,141,142,400.900,56.927.800,0.00%,0.70%,-1.40%,-0.70%,0.70%,2.78%,DGNS
5,17-11-2025,142,144,140,143,697.700,99.771.100,0.00%,1.41%,-1.41%,0.70%,1.41%,1.39%,DGNS
6,14-11-2025,145,146,142,142,262.700,37.303.400,0.69%,1.39%,-1.39%,-1.39%,0.69%,4.11%,DGNS
7,13-11-2025,142,146,140,144,1.678.300,241.675.200,-0.70%,2.10%,-2.10%,0.70%,2.82%,2.05%,DGNS
8,12-11-2025,147,147,143,143,207.500,29.672.500,1.38%,1.38%,-1.38%,-1.38%,0.00%,3.40%,DGNS
9,11-11-2025,145,145,142,145,3.048.700,442.061.500,0.69%,0.69%,-1.39%,0.69%,0.00%,0.69%,DGNS
10,10-11-2025,145,146,144,144,392.500,56.520.000,0.00%,0.69%,-0.69%,-0.69%,0.69%,2.05%,DGNS
11,07-11-2025,144,147,143,145,7.958.200,1.153.939.000,0.00%,2.08%,-0.69%,0.69%,2.08%,4.08%,DGNS
12,06-11-2025,144,150,141,144,966.100,139.118.400,1.41%,5.63%,-0.70%,1.41%,4.17%,5.33%,DGNS
13,05-11-2025,143,143,142,142,354.400,50.324.800,0.00%,0.00%,-0.70%,-0.70%,0.00%,0.70%,DGNS
14,04-11-2025,147,147,142,143,576.500,82.439.500,1.38%,1.38%,-2.07%,-1.38%,0.00%,3.40%,DGNS
15,03-11-2025,142,148,142,145,28.443.400,4.124.293.000,-1.39%,2.78%,-1.39%,0.69%,4.23%,2.70%,DGNS
16,31-10-2025,145,148,144,144,702.100,101.102.400,-2.03%,0.00%,-2.70%,-2.70%,2.07%,2.03%,DGNS
17,30-10-2025,148,149,145,148,363.900,53.857.200,0.00%,0.68%,-2.03%,0.00%,0.68%,4.03%,DGNS
18,29-10-2025,149,149,143,148,839.000,124.172.000,0.00%,0.00%,-4.03%,-0.67%,0.00%,1.34%,DGNS
19,28-10-2025,152,155,147,149,27.084.400,4.035.575.600,1.33%,3.33%,-2.00%,-0.67%,1.97%,5.16%,DGNS
20,27-10-2025,150,151,147,150,1.865.400,279.810.000,1.35%,2.03%,-0.68%,1.35%,0.67%,5.96%,DGNS
21,24-10-2025,147,148,142,148,661.400,97.887.200,0.00%,0.68%,-3.40%,0.68%,0.68%,1.35%,DGNS
22,23-10-2025,146,149,146,147,1.432.900,210.636.300,0.00%,2.05%,0.00%,0.68%,2.05%,5.37%,DGNS
23,22-10-2025,143,150,141,146,29.305.000,4.278.530.000,0.70%,5.63%,-0.70%,2.82%,4.90%,6.67%,DGNS
24,21-10-2025,144,144,140,142,211.600,30.047.200,1.41%,1.41%,-1.41%,0.00%,0.00%,2.78%,DGNS
25,20-10-2025,144,144,140,142,756.900,107.479.800,1.41%,1.41%,-1.41%,0.00%,0.00%,2.78%,DGNS
26,17-10-2025,144,154,140,142,4.538.200,644.424.400,0.70%,7.69%,-2.10%,-0.70%,6.94%,9.09%,DGNS
27,16-10-2025,142,145,140,143,29.003.200,4.147.457.600,0.00%,2.11%,-1.41%,0.70%,2.11%,3.45%,DGNS
28,15-10-2025,141,143,140,142,755.100,107.224.200,0.00%,1.42%,-0.71%,0.71%,1.42%,2.10%,DGNS
29,14-10-2025,140,145,140,141,708.500,99.898.500,-0.71%,2.84%,-0.71%,0.00%,3.57%,3.45%,DGNS
30,13-10-2025,142,143,140,141,477.300,67.299.300,0.71%,1.42%,-0.71%,0.00%,0.70%,4.90%,DGNS
31,10-10-2025,141,144,136,141,30.541.200,4.306.309.200,0.00%,2.13%,-3.55%,0.00%,2.13%,4.86%,DGNS
32,09-10-2025,140,142,137,141,996.700,140.534.700,0.00%,1.43%,-2.14%,0.71%,1.43%,2.11%,DGNS
33,08-10-2025,143,143,139,140,1.614.400,226.016.000,2.14%,2.14%,-0.71%,0.00%,0.00%,2.10%,DGNS
34,07-10-2025,144,145,140,140,964.400,135.016.000,0.70%,1.40%,-2.10%,-2.10%,0.69%,3.45%,DGNS
35,06-10-2025,142,145,140,143,28.924.500,4.136.203.500,0.00%,2.11%,-1.41%,0.70%,2.11%,4.83%,DGNS
36,03-10-2025,142,142,138,142,2.559.700,363.477.400,0.00%,0.00%,-2.82%,0.00%,0.00%,1.41%,DGNS
37,02-10-2025,143,143,140,142,727.900,103.361.800,0.70%,0.70%,-1.41%,0.00%,0.00%,2.10%,DGNS
38,01-10-2025,144,146,140,142,2.520.900,357.967.800,-0.69%,0.69%,-3.45%,-2.07%,1.39%,4.11%,DGNS
39,30-09-2025,143,148,140,145,28.159.200,4.083.084.000,0.00%,3.50%,-2.10%,1.40%,3.50%,4.73%,DGNS
40,29-09-2025,141,145,141,143,348.700,49.864.100,0.71%,3.57%,0.71%,2.14%,2.84%,3.45%,DGNS
41,26-09-2025,143,143,140,140,451.200,63.168.000,0.70%,0.70%,-1.41%,-1.41%,0.00%,3.50%,DGNS
42,25-09-2025,143,144,138,142,674.100,95.722.200,0.70%,1.41%,-2.82%,0.00%,0.70%,2.78%,DGNS
43,24-09-2025,143,144,140,142,27.550.100,3.912.114.200,-0.69%,0.00%,-2.78%,-1.39%,0.70%,1.39%,DGNS
44,23-09-2025,144,144,142,144,258.200,37.180.800,0.70%,0.70%,-0.70%,0.70%,0.00%,2.78%,DGNS
45,22-09-2025,141,144,140,143,1.266.600,181.123.800,-0.70%,1.41%,-1.41%,0.70%,2.13%,2.78%,DGNS
46,19-09-2025,141,145,140,142,2.041.100,289.836.200,0.00%,2.84%,-0.71%,0.71%,2.84%,3.45%,DGNS
47,18-09-2025,142,145,140,141,26.764.900,3.773.850.900,0.00%,2.11%,-1.41%,-0.70%,2.11%,2.76%,DGNS
48,17-09-2025,144,145,141,142,614.900,87.315.800,0.00%,0.69%,-2.08%,-1.39%,0.69%,2.07%,DGNS
49,16-09-2025,146,147,142,144,303.200,43.660.800,1.39%,2.08%,-1.39%,0.00%,0.68%,2.72%,DGNS
50,15-09-2025,147,149,143,144,1.068.200,153.820.800,1.38%,2.76%,-1.38%,-0.69%,1.36%,6.04%,DGNS
51,12-09-2025,140,149,140,145,27.304.400,3.959.138.000,-2.10%,4.20%,-2.10%,1.40%,6.43%,5.37%,DGNS
52,11-09-2025,143,150,141,143,896.600,128.213.800,0.00%,4.90%,-1.40%,0.00%,4.90%,6.67%,DGNS
53,10-09-2025,140,144,140,143,315.200,45.073.600,-1.41%,1.41%,-1.41%,0.70%,2.86%,2.78%,DGNS
54,09-09-2025,144,145,140,142,2.535.200,359.998.400,0.00%,0.69%,-2.78%,-1.39%,0.69%,0.69%,DGNS
55,08-09-2025,148,154,144,144,29.033.400,4.180.809.600,0.00%,4.05%,-2.70%,-2.70%,4.05%,5.19%,DGNS
56,04-09-2025,148,149,146,148,335.600,49.668.800,1.37%,2.05%,0.00%,1.37%,0.68%,2.68%,DGNS
57,03-09-2025,145,149,145,146,938.800,137.064.800,0.00%,2.76%,0.00%,0.69%,2.76%,3.36%,DGNS
58,02-09-2025,145,148,144,145,1.719.300,249.298.500,-0.68%,1.37%,-1.37%,-0.68%,2.07%,6.08%,DGNS
59,01-09-2025,140,168,139,146,39.837.100,5.816.216.600,-1.41%,18.31%,-2.11%,2.82%,20.00%,16.67%,DGNS
60,29-08-2025,144,144,140,142,1.104.400,156.824.800,0.00%,0.00%,-2.78%,-1.39%,0.00%,0.69%,DGNS
61,28-08-2025,146,150,143,144,771.800,111.139.200,-0.68%,2.04%,-2.72%,-2.04%,2.74%,3.33%,DGNS
62,27-08-2025,148,151,145,147,494.400,72.676.800,-0.67%,1.34%,-2.68%,-1.34%,2.03%,4.64%,DGNS
63,26-08-2025,146,154,144,149,27.846.200,4.149.083.800,1.39%,6.94%,0.00%,3.47%,5.48%,7.79%,DGNS
64,25-08-2025,149,149,142,144,1.713.400,246.729.600,0.68%,0.68%,-4.05%,-2.70%,0.00%,2.68%,DGNS
65,22-08-2025,150,152,145,148,1.974.400,292.211.200,0.67%,2.01%,-2.68%,-0.67%,1.33%,1.97%,DGNS
66,21-08-2025,150,154,149,149,777.700,115.877.300,-1.32%,1.32%,-1.97%,-1.97%,2.67%,3.25%,DGNS
67,20-08-2025,152,157,149,152,26.796.600,4.073.083.200,2.70%,6.08%,0.68%,2.70%,3.29%,6.37%,DGNS
68,19-08-2025,150,150,147,148,392.200,58.045.600,0.00%,0.00%,-2.00%,-1.33%,0.00%,1.33%,DGNS
69,15-08-2025,151,152,148,150,547.600,82.140.000,-0.66%,0.00%,-2.63%,-1.32%,0.66%,1.32%,DGNS
70,14-08-2025,152,153,150,152,314.200,47.758.400,0.00%,0.66%,-1.32%,0.00%,0.66%,1.96%,DGNS
71,13-08-2025,152,153,150,152,25.227.500,3.834.580.000,0.66%,1.32%,-0.66%,0.66%,0.66%,1.96%,DGNS
72,12-08-2025,153,153,150,151,735.400,111.045.400,0.66%,0.66%,-1.32%,-0.66%,0.00%,1.96%,DGNS
73,11-08-2025,153,153,150,152,747.900,113.680.800,0.66%,0.66%,-1.32%,0.00%,0.00%,2.61%,DGNS
74,08-08-2025,151,154,149,152,607.900,92.400.800,0.00%,1.99%,-1.32%,0.66%,1.99%,3.25%,DGNS
75,07-08-2025,152,152,149,151,21.508.200,3.247.738.200,0.00%,0.00%,-1.97%,-0.66%,0.00%,1.32%,DGNS
76,06-08-2025,154,154,150,152,686.400,104.332.800,1.32%,1.32%,-1.32%,0.00%,0.00%,2.60%,DGNS
77,05-08-2025,152,153,150,152,745.700,113.346.400,0.00%,0.66%,-1.32%,0.00%,0.66%,1.96%,DGNS
78,04-08-2025,152,154,150,152,486.100,73.887.200,0.00%,1.32%,-1.32%,0.00%,1.32%,1.95%,DGNS
79,01-08-2025,153,155,151,152,21.242.900,3.228.920.800,0.00%,1.31%,-1.31%,-0.65%,1.31%,1.94%,DGNS
80,31-07-2025,154,156,152,153,881.000,134.793.000,0.65%,1.96%,-0.65%,0.00%,1.30%,1.92%,DGNS
81,30-07-2025,155,158,153,153,295.800,45.257.400,-1.27%,0.64%,-2.55%,-2.55%,1.94%,1.27%,DGNS
