col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DIVA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DIVA
1,21-11-2025,190,191,187,189,271.900,51.389.100,0.00%,0.53%,-1.58%,-0.53%,0.53%,2.09%,DIVA
2,20-11-2025,193,197,187,190,687.700,130.663.000,2.12%,4.23%,-1.06%,0.53%,2.07%,5.58%,DIVA
3,19-11-2025,191,194,186,189,574.900,108.656.100,0.00%,1.57%,-2.62%,-1.05%,1.57%,4.12%,DIVA
4,18-11-2025,186,197,186,191,779.000,148.789.000,-2.62%,3.14%,-2.62%,0.00%,5.91%,4.57%,DIVA
5,17-11-2025,192,196,188,191,842.700,160.955.700,0.00%,2.08%,-2.08%,-0.52%,2.08%,3.06%,DIVA
6,14-11-2025,198,198,190,192,902.900,173.356.800,1.02%,1.02%,-3.06%,-2.04%,0.00%,3.03%,DIVA
7,13-11-2025,197,198,192,196,1.609.300,315.422.800,0.00%,0.51%,-2.54%,-0.51%,0.51%,5.56%,DIVA
8,12-11-2025,187,212,187,197,7.112.400,1.401.142.800,0.54%,13.98%,0.54%,5.91%,13.37%,12.74%,DIVA
9,11-11-2025,190,190,185,186,1.184.900,220.391.400,0.53%,0.53%,-2.12%,-1.59%,0.00%,1.05%,DIVA
10,10-11-2025,194,197,188,189,1.328.200,251.029.800,0.52%,2.07%,-2.59%,-2.07%,1.55%,3.55%,DIVA
11,07-11-2025,204,204,190,193,1.799.700,347.342.100,2.51%,2.51%,-4.52%,-3.02%,0.00%,8.82%,DIVA
12,06-11-2025,190,204,186,199,4.911.200,977.328.800,-0.52%,6.81%,-2.62%,4.19%,7.37%,11.76%,DIVA
13,05-11-2025,194,194,180,191,2.858.000,545.878.000,1.04%,1.04%,-6.25%,-0.52%,0.00%,2.58%,DIVA
14,04-11-2025,204,208,189,192,6.188.400,1.188.172.800,0.00%,1.96%,-7.35%,-5.88%,1.96%,2.88%,DIVA
15,03-11-2025,206,212,202,204,2.238.300,456.613.200,0.98%,3.92%,-0.98%,0.00%,2.91%,7.08%,DIVA
16,31-10-2025,200,212,197,204,2.667.200,544.108.800,0.00%,6.00%,-1.50%,2.00%,6.00%,7.08%,DIVA
17,30-10-2025,197,212,197,200,3.399.000,679.800.000,-1.01%,6.53%,-1.01%,0.50%,7.61%,7.08%,DIVA
18,29-10-2025,222,222,197,199,6.069.300,1.207.790.700,1.83%,1.83%,-9.63%,-8.72%,0.00%,4.50%,DIVA
19,28-10-2025,220,226,212,218,2.535.400,552.717.200,0.00%,2.73%,-3.64%,-0.91%,2.73%,7.08%,DIVA
20,27-10-2025,228,228,210,220,6.575.300,1.446.566.000,0.00%,0.00%,-7.89%,-3.51%,0.00%,4.39%,DIVA
21,24-10-2025,218,246,218,228,18.080.300,4.122.308.400,0.93%,13.89%,0.93%,5.56%,12.84%,16.26%,DIVA
22,23-10-2025,208,240,206,216,12.180.900,2.631.074.400,0.97%,16.50%,0.00%,4.85%,15.38%,17.50%,DIVA
23,22-10-2025,206,210,198,206,3.244.200,668.305.200,1.98%,3.96%,-1.98%,1.98%,1.94%,5.71%,DIVA
24,21-10-2025,202,212,198,202,3.328.600,672.377.200,1.00%,6.00%,-1.00%,1.00%,4.95%,16.51%,DIVA
25,20-10-2025,202,216,177,200,6.276.900,1.255.380.000,1.00%,8.00%,-11.50%,0.00%,6.93%,7.87%,DIVA
26,17-10-2025,218,218,199,200,7.081.200,1.416.240.000,4.81%,4.81%,-4.33%,-3.85%,0.00%,10.55%,DIVA
27,16-10-2025,200,224,195,208,17.781.900,3.698.635.200,2.56%,14.87%,0.00%,6.67%,12.00%,14.73%,DIVA
28,15-10-2025,200,200,191,195,9.019.100,1.758.724.500,2.56%,2.56%,-2.05%,0.00%,0.00%,6.00%,DIVA
29,14-10-2025,199,200,188,195,9.497.900,1.852.090.500,0.00%,0.50%,-5.53%,-2.01%,0.50%,8.00%,DIVA
30,13-10-2025,186,218,184,199,38.499.800,7.661.460.200,0.54%,17.84%,-0.54%,7.57%,17.20%,22.02%,DIVA
31,10-10-2025,197,197,170,185,13.051.000,2.414.435.000,0.00%,0.00%,-13.71%,-6.09%,0.00%,10.66%,DIVA
32,09-10-2025,176,214,176,197,97.810.800,19.268.727.600,3.53%,25.88%,3.53%,15.88%,21.59%,26.17%,DIVA
33,08-10-2025,158,173,158,170,15.889.700,2.701.249.000,1.28%,10.90%,1.28%,8.97%,9.49%,11.56%,DIVA
34,07-10-2025,156,167,153,156,7.571.400,1.181.138.400,0.00%,7.05%,-1.92%,0.00%,7.05%,11.38%,DIVA
35,06-10-2025,158,162,148,156,10.953.800,1.708.792.800,0.00%,2.53%,-6.33%,-1.27%,2.53%,2.47%,DIVA
36,03-10-2025,194,200,158,158,42.050.000,6.643.900.000,5.43%,8.70%,-14.13%,-14.13%,3.09%,31.00%,DIVA
37,02-10-2025,138,184,138,184,87.754.100,16.146.754.400,0.73%,34.31%,0.73%,34.31%,33.33%,30.43%,DIVA
38,01-10-2025,130,159,128,137,9.349.000,1.280.813.000,0.00%,22.31%,-1.54%,5.38%,22.31%,20.13%,DIVA
39,30-09-2025,127,132,127,130,1.316.800,171.184.000,0.00%,3.94%,0.00%,2.36%,3.94%,6.82%,DIVA
