col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DKFT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DKFT
1,21-11-2025,725,725,700,705,32.261.100,22.744.075.500,0.00%,0.00%,-3.45%,-2.76%,0.00%,0.00%,DKFT
2,20-11-2025,725,745,725,725,13.317.000,9.654.825.000,0.00%,2.76%,0.00%,0.00%,2.76%,3.36%,DKFT
3,19-11-2025,755,755,720,725,30.159.400,21.865.565.000,0.00%,0.00%,-4.64%,-3.97%,0.00%,1.99%,DKFT
4,18-11-2025,760,775,740,755,23.230.100,17.538.725.500,0.66%,2.65%,-1.99%,0.00%,1.97%,5.16%,DKFT
5,17-11-2025,860,880,735,755,114.251.900,86.260.184.500,0.00%,2.33%,-14.53%,-12.21%,2.33%,3.41%,DKFT
6,14-11-2025,860,870,850,860,20.325.500,17.479.930.000,-1.15%,0.00%,-2.30%,-1.15%,1.16%,2.30%,DKFT
7,13-11-2025,850,890,850,870,49.213.600,42.815.832.000,0.59%,5.33%,0.59%,2.96%,4.71%,9.55%,DKFT
8,12-11-2025,850,855,805,845,56.733.500,47.939.807.500,0.00%,0.59%,-5.29%,-0.59%,0.59%,9.94%,DKFT
9,11-11-2025,770,860,770,850,111.057.700,94.399.045.000,0.00%,11.69%,0.00%,10.39%,11.69%,14.53%,DKFT
10,10-11-2025,740,780,735,770,29.819.000,22.960.630.000,1.37%,6.85%,0.68%,5.48%,5.41%,8.33%,DKFT
11,07-11-2025,730,735,715,730,6.559.600,4.788.508.000,0.00%,0.68%,-2.05%,0.00%,0.68%,2.72%,DKFT
12,06-11-2025,730,735,715,730,10.701.700,7.812.241.000,0.69%,1.38%,-1.38%,0.69%,0.68%,4.08%,DKFT
13,05-11-2025,740,740,705,725,20.332.400,14.740.990.000,0.68%,0.68%,-4.08%,-1.36%,0.00%,2.03%,DKFT
14,04-11-2025,740,745,725,735,11.190.800,8.225.238.000,-0.67%,0.00%,-2.68%,-1.34%,0.68%,2.68%,DKFT
15,03-11-2025,740,755,725,745,15.397.500,11.471.137.500,-0.67%,1.34%,-2.68%,0.00%,2.03%,2.65%,DKFT
16,31-10-2025,750,760,735,745,20.236.900,15.076.490.500,-0.66%,0.66%,-2.65%,-1.32%,1.33%,1.32%,DKFT
17,30-10-2025,790,795,750,755,21.599.800,16.307.849.000,0.64%,1.27%,-4.46%,-3.82%,0.63%,5.66%,DKFT
18,29-10-2025,755,795,750,785,35.520.900,27.883.906.500,0.00%,5.30%,-0.66%,3.97%,5.30%,6.92%,DKFT
