col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DMMX
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DMMX
1,21-11-2025,378,386,378,386,2.345.400,905.324.400,0.00%,2.12%,0.00%,2.12%,2.12%,3.63%,DMMX
2,20-11-2025,372,380,372,378,1.463.800,553.316.400,0.00%,2.15%,0.00%,1.61%,2.15%,3.68%,DMMX
3,19-11-2025,368,374,366,372,1.196.200,444.986.400,0.55%,2.19%,0.00%,1.64%,1.63%,3.21%,DMMX
4,18-11-2025,368,368,362,366,1.225.600,448.569.600,0.55%,0.55%,-1.09%,0.00%,0.00%,4.89%,DMMX
5,17-11-2025,360,366,350,366,1.530.500,560.163.000,0.00%,1.67%,-2.78%,1.67%,1.67%,2.73%,DMMX
6,14-11-2025,368,368,356,360,2.602.700,936.972.000,0.00%,0.00%,-3.26%,-2.17%,0.00%,2.17%,DMMX
7,13-11-2025,366,370,360,368,4.133.700,1.521.201.600,-1.08%,0.00%,-2.70%,-0.54%,1.09%,0.54%,DMMX
8,12-11-2025,374,378,368,370,3.445.600,1.274.872.000,0.54%,1.61%,-1.08%,-0.54%,1.07%,2.12%,DMMX
9,11-11-2025,376,380,370,372,4.479.100,1.666.225.200,0.00%,1.06%,-1.60%,-1.06%,1.06%,2.11%,DMMX
10,10-11-2025,380,386,372,376,618.900,232.706.400,0.00%,1.58%,-2.11%,-1.05%,1.58%,3.11%,DMMX
11,07-11-2025,386,386,374,380,594.400,225.872.000,1.58%,1.58%,-1.58%,0.00%,0.00%,5.70%,DMMX
12,06-11-2025,376,382,364,380,4.875.300,1.852.614.000,0.00%,1.60%,-3.19%,1.06%,1.60%,1.57%,DMMX
13,05-11-2025,384,392,376,376,1.293.000,486.168.000,-1.03%,1.03%,-3.09%,-3.09%,2.08%,4.08%,DMMX
14,04-11-2025,390,398,376,388,5.005.600,1.942.172.800,-1.02%,1.02%,-4.57%,-1.52%,2.05%,2.51%,DMMX
15,03-11-2025,402,402,388,394,590.000,232.460.000,-0.99%,-0.99%,-4.43%,-2.96%,0.00%,4.98%,DMMX
16,31-10-2025,400,406,382,406,3.445.000,1.398.670.000,-0.99%,0.50%,-5.45%,0.50%,1.50%,5.91%,DMMX
17,30-10-2025,400,412,382,404,3.138.200,1.267.832.800,0.50%,3.52%,-4.02%,1.51%,3.00%,5.83%,DMMX
18,29-10-2025,390,398,388,398,916.400,364.727.200,0.52%,2.58%,0.00%,2.58%,2.05%,4.02%,DMMX
19,28-10-2025,392,396,382,388,733.400,284.559.200,0.51%,1.54%,-2.05%,-0.51%,1.02%,4.55%,DMMX
20,27-10-2025,398,400,378,390,3.118.200,1.216.098.000,0.00%,0.50%,-5.03%,-2.01%,0.50%,3.50%,DMMX
21,24-10-2025,390,404,386,398,4.612.200,1.835.655.600,0.52%,4.12%,-0.52%,2.58%,3.59%,5.45%,DMMX
22,23-10-2025,390,394,382,388,1.391.700,539.979.600,0.00%,1.03%,-2.05%,-0.51%,1.03%,1.52%,DMMX
23,22-10-2025,394,396,388,390,1.288.100,502.359.000,1.03%,1.54%,-0.51%,0.00%,0.51%,4.55%,DMMX
24,21-10-2025,378,392,378,390,1.005.500,392.145.000,0.00%,3.70%,0.00%,3.17%,3.70%,8.16%,DMMX
