col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DNET
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DNET
1,21-11-2025,8.950,8.950,8.925,8.950,11.200,100.240.000,0.00%,0.00%,-0.28%,0.00%,0.00%,0.00%,DNET
2,20-11-2025,8.975,9.025,8.950,8.950,2.300,20.585.000,0.00%,0.56%,-0.28%,-0.28%,0.56%,0.83%,DNET
3,19-11-2025,8.975,8.975,8.950,8.975,500,4.487.500,-0.28%,-0.28%,-0.56%,-0.28%,0.00%,0.28%,DNET
4,18-11-2025,8.950,9.000,8.950,9.000,1.000,9.000.000,0.00%,0.56%,0.00%,0.56%,0.56%,1.94%,DNET
5,17-11-2025,9.050,9.050,8.825,8.950,3.800,34.010.000,1.40%,1.40%,-1.12%,0.28%,0.00%,2.49%,DNET
6,14-11-2025,8.950,8.950,8.825,8.925,4.700,41.947.500,0.00%,0.00%,-1.40%,-0.28%,0.00%,0.00%,DNET
7,13-11-2025,8.950,9.000,8.950,8.950,4.900,43.855.000,-0.28%,0.28%,-0.28%,-0.28%,0.56%,0.28%,DNET
8,12-11-2025,8.975,9.000,8.975,8.975,4.800,43.080.000,0.00%,0.28%,0.00%,0.00%,0.28%,0.28%,DNET
9,11-11-2025,8.975,9.050,8.975,8.975,2.600,23.335.000,-0.28%,0.56%,-0.28%,-0.28%,0.84%,0.83%,DNET
10,10-11-2025,8.975,9.025,8.975,9.000,6.500,58.500.000,0.00%,0.56%,0.00%,0.28%,0.56%,0.83%,DNET
11,07-11-2025,9.000,9.075,8.950,8.975,6.900,61.927.500,0.28%,1.11%,-0.28%,0.00%,0.83%,1.10%,DNET
12,06-11-2025,9.075,9.075,8.975,8.975,1.800,16.155.000,1.40%,1.40%,0.28%,0.28%,0.00%,1.93%,DNET
13,05-11-2025,9.025,9.075,8.900,8.950,6.300,56.385.000,0.28%,0.83%,-1.11%,-0.56%,0.55%,2.48%,DNET
14,04-11-2025,8.850,9.000,8.850,9.000,13.700,123.300.000,-1.67%,0.00%,-1.67%,0.00%,1.69%,2.22%,DNET
15,03-11-2025,9.100,9.100,8.800,9.000,35.300,317.700.000,0.00%,0.00%,-3.30%,-1.10%,0.00%,0.82%,DNET
16,31-10-2025,9.150,9.150,9.025,9.100,3.200,29.120.000,0.00%,0.00%,-1.37%,-0.55%,0.00%,1.09%,DNET
17,30-10-2025,9.075,9.175,9.050,9.150,6.400,58.560.000,0.00%,1.10%,-0.28%,0.83%,1.10%,5.18%,DNET
18,29-10-2025,9.175,9.175,8.700,9.075,27.300,247.747.500,0.00%,0.00%,-5.18%,-1.09%,0.00%,1.36%,DNET
19,28-10-2025,9.050,9.200,9.050,9.175,2.300,21.102.500,0.00%,1.66%,0.00%,1.38%,1.66%,2.17%,DNET
20,27-10-2025,9.150,9.275,9.000,9.050,17.100,154.755.000,-1.35%,0.00%,-2.96%,-2.43%,1.37%,1.89%,DNET
21,24-10-2025,9.300,9.300,9.100,9.275,3.300,30.607.500,0.00%,0.00%,-2.15%,-0.27%,0.00%,0.54%,DNET
22,23-10-2025,9.325,9.325,9.250,9.300,5.000,46.500.000,0.81%,0.81%,0.00%,0.54%,0.00%,1.88%,DNET
23,22-10-2025,9.150,9.375,9.150,9.250,6.200,57.350.000,0.00%,2.46%,0.00%,1.09%,2.46%,3.73%,DNET
24,21-10-2025,9.175,9.200,9.025,9.150,9.200,84.180.000,0.82%,1.10%,-0.82%,0.55%,0.27%,1.09%,DNET
25,20-10-2025,9.175,9.475,9.100,9.100,8.800,80.080.000,0.27%,3.55%,-0.55%,-0.55%,3.27%,3.43%,DNET
26,17-10-2025,9.400,9.400,9.150,9.150,5.400,49.410.000,0.53%,0.53%,-2.14%,-2.14%,0.00%,3.46%,DNET
27,16-10-2025,9.075,9.475,9.075,9.350,11.100,103.785.000,0.00%,4.41%,0.00%,3.03%,4.41%,4.22%,DNET
28,15-10-2025,9.100,9.475,9.075,9.075,23.700,215.077.500,0.00%,4.12%,-0.27%,-0.27%,4.12%,5.01%,DNET
29,14-10-2025,9.100,9.925,9.000,9.100,49.700,452.270.000,1.39%,10.58%,0.28%,1.39%,9.07%,9.57%,DNET
30,13-10-2025,9.000,9.075,8.975,8.975,10.600,95.135.000,-1.37%,-0.55%,-1.64%,-1.64%,0.83%,1.10%,DNET
