col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DOID
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DOID
1,21-11-2025,332,336,320,326,7.233.100,2.357.990.600,0.61%,1.82%,-3.03%,-1.21%,1.20%,1.79%,DOID
2,20-11-2025,330,334,330,330,1.078.100,355.773.000,0.00%,1.21%,0.00%,0.00%,1.21%,1.80%,DOID
3,19-11-2025,328,336,328,330,3.157.200,1.041.876.000,-0.61%,1.82%,-0.61%,0.00%,2.44%,2.38%,DOID
4,18-11-2025,336,336,328,330,3.423.000,1.129.590.000,0.00%,0.00%,-2.38%,-1.79%,0.00%,0.60%,DOID
5,17-11-2025,340,340,334,336,3.566.200,1.198.243.200,0.59%,0.59%,-1.18%,-0.59%,0.00%,1.76%,DOID
6,14-11-2025,334,338,334,338,1.443.100,487.767.800,0.00%,1.20%,0.00%,1.20%,1.20%,1.18%,DOID
7,13-11-2025,340,342,334,334,5.920.000,1.977.280.000,0.00%,0.59%,-1.76%,-1.76%,0.59%,1.17%,DOID
8,12-11-2025,342,342,338,340,3.837.100,1.304.614.000,0.00%,0.00%,-1.17%,-0.58%,0.00%,1.75%,DOID
9,11-11-2025,344,344,336,342,6.629.200,2.267.186.400,0.00%,0.00%,-2.33%,-0.58%,0.00%,3.49%,DOID
10,10-11-2025,334,346,332,344,7.939.600,2.731.222.400,1.21%,4.85%,0.61%,4.24%,3.59%,5.20%,DOID
11,07-11-2025,330,334,328,330,2.756.300,909.579.000,0.00%,1.21%,-0.61%,0.00%,1.21%,2.40%,DOID
12,06-11-2025,328,332,326,330,2.441.100,805.563.000,0.61%,1.84%,0.00%,1.23%,1.22%,1.81%,DOID
13,05-11-2025,334,334,326,326,6.131.000,1.998.706.000,-0.60%,-0.60%,-2.98%,-2.98%,0.00%,0.00%,DOID
14,04-11-2025,342,342,334,336,3.130.600,1.051.881.600,0.59%,0.59%,-1.76%,-1.18%,0.00%,1.17%,DOID
15,03-11-2025,342,344,338,340,3.436.800,1.168.512.000,0.00%,0.58%,-1.17%,-0.58%,0.58%,1.16%,DOID
16,31-10-2025,344,346,340,342,3.913.200,1.338.314.400,0.58%,1.17%,-0.58%,0.00%,0.58%,2.89%,DOID
17,30-10-2025,336,344,336,342,8.692.600,2.972.869.200,0.00%,2.38%,0.00%,1.79%,2.38%,4.65%,DOID
18,29-10-2025,328,340,328,336,5.928.800,1.992.076.800,0.00%,3.66%,0.00%,2.44%,3.66%,3.53%,DOID
19,28-10-2025,330,336,328,328,3.005.800,985.902.400,0.00%,1.82%,-0.61%,-0.61%,1.82%,2.98%,DOID
20,27-10-2025,332,342,326,330,6.927.300,2.286.009.000,0.00%,3.01%,-1.81%,-0.60%,3.01%,3.51%,DOID
21,24-10-2025,338,338,330,332,3.074.700,1.020.800.400,0.60%,0.60%,-1.79%,-1.19%,0.00%,1.18%,DOID
22,23-10-2025,338,340,334,336,2.832.300,951.652.800,0.00%,0.59%,-1.18%,-0.59%,0.59%,1.76%,DOID
