col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DPUM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DPUM
1,21-11-2025,76,77,74,76,2.486.500,188.974.000,0.00%,1.32%,-2.63%,0.00%,1.32%,2.60%,DPUM
2,20-11-2025,76,78,75,76,10.956.600,832.701.600,0.00%,2.63%,-1.32%,0.00%,2.63%,8.97%,DPUM
3,19-11-2025,73,79,71,76,32.651.400,2.481.506.400,0.00%,8.22%,-2.74%,4.11%,8.22%,11.39%,DPUM
4,18-11-2025,75,75,70,73,19.403.500,1.416.455.500,0.00%,0.00%,-6.67%,-2.67%,0.00%,5.33%,DPUM
5,17-11-2025,75,79,71,75,44.901.000,3.367.575.000,-2.60%,2.60%,-7.79%,-2.60%,5.33%,6.33%,DPUM
6,14-11-2025,82,89,74,77,362.318.900,27.898.555.300,20.59%,30.88%,8.82%,13.24%,8.54%,29.21%,DPUM
7,13-11-2025,65,71,63,68,21.224.800,1.443.286.400,1.56%,10.94%,-1.56%,6.25%,9.23%,11.27%,DPUM
8,12-11-2025,64,67,63,64,2.346.300,150.163.200,-3.03%,1.52%,-4.55%,-3.03%,4.69%,4.48%,DPUM
9,11-11-2025,66,66,64,66,2.170.700,143.266.200,0.00%,0.00%,-3.03%,0.00%,0.00%,4.55%,DPUM
10,10-11-2025,66,68,63,66,3.638.800,240.160.800,0.00%,3.03%,-4.55%,0.00%,3.03%,7.35%,DPUM
11,07-11-2025,65,69,63,66,12.342.200,814.585.200,0.00%,6.15%,-3.08%,1.54%,6.15%,10.14%,DPUM
12,06-11-2025,65,70,62,65,34.383.500,2.234.927.500,0.00%,7.69%,-4.62%,0.00%,7.69%,14.29%,DPUM
13,05-11-2025,61,77,60,65,107.322.600,6.975.969.000,1.67%,28.33%,0.00%,8.33%,26.23%,24.68%,DPUM
14,04-11-2025,61,64,58,60,3.719.000,223.140.000,0.00%,4.92%,-4.92%,-1.64%,4.92%,7.81%,DPUM
15,03-11-2025,60,61,59,61,759.900,46.353.900,0.00%,1.67%,-1.67%,1.67%,1.67%,4.92%,DPUM
16,31-10-2025,61,62,58,60,644.500,38.670.000,0.00%,1.64%,-4.92%,-1.64%,1.64%,9.68%,DPUM
17,30-10-2025,56,62,56,61,1.506.400,91.890.400,-5.08%,5.08%,-5.08%,3.39%,10.71%,11.29%,DPUM
18,29-10-2025,61,62,55,59,1.034.400,61.029.600,3.39%,5.08%,-6.78%,0.00%,1.64%,12.90%,DPUM
19,28-10-2025,63,64,54,59,10.304.400,607.959.600,0.00%,1.59%,-14.29%,-6.35%,1.59%,3.13%,DPUM
20,27-10-2025,64,65,62,63,840.400,52.945.200,1.59%,3.17%,-1.59%,0.00%,1.56%,4.62%,DPUM
21,24-10-2025,63,65,62,63,2.781.000,175.203.000,1.61%,4.84%,0.00%,1.61%,3.17%,6.15%,DPUM
22,23-10-2025,64,65,61,62,6.609.800,409.807.600,1.59%,3.17%,-3.17%,-1.59%,1.56%,6.15%,DPUM
23,22-10-2025,63,65,61,63,3.626.100,228.444.300,0.00%,3.17%,-3.17%,0.00%,3.17%,7.69%,DPUM
24,21-10-2025,62,65,60,63,2.158.700,135.998.100,0.00%,4.84%,-3.23%,1.61%,4.84%,9.23%,DPUM
25,20-10-2025,62,63,59,62,1.969.300,122.096.600,0.00%,1.61%,-4.84%,0.00%,1.61%,3.17%,DPUM
26,17-10-2025,63,64,61,62,2.422.400,150.188.800,-1.56%,0.00%,-4.69%,-3.13%,1.59%,3.13%,DPUM
27,16-10-2025,63,65,62,64,1.406.600,90.022.400,1.61%,4.84%,0.00%,3.23%,3.17%,4.62%,DPUM
28,15-10-2025,65,65,62,62,2.547.100,157.920.200,0.00%,0.00%,-4.62%,-4.62%,0.00%,4.62%,DPUM
29,14-10-2025,64,67,62,65,1.812.900,117.838.500,0.00%,4.69%,-3.13%,1.56%,4.69%,4.48%,DPUM
30,13-10-2025,66,69,64,64,7.335.600,469.478.400,0.00%,4.55%,-3.03%,-3.03%,4.55%,5.80%,DPUM
31,10-10-2025,65,67,65,66,501.900,33.125.400,-1.52%,1.52%,-1.52%,0.00%,3.08%,5.97%,DPUM
32,09-10-2025,64,67,63,66,2.282.100,150.618.600,0.00%,4.69%,-1.56%,3.13%,4.69%,5.97%,DPUM
33,08-10-2025,64,67,63,64,2.735.600,175.078.400,-1.54%,3.08%,-3.08%,-1.54%,4.69%,5.97%,DPUM
34,07-10-2025,66,68,63,65,1.607.000,104.455.000,1.54%,4.62%,-3.08%,0.00%,3.03%,4.41%,DPUM
35,06-10-2025,68,68,65,65,1.463.900,95.153.500,1.49%,1.49%,-2.99%,-2.99%,0.00%,2.94%,DPUM
36,03-10-2025,68,68,66,67,857.200,57.432.400,0.00%,0.00%,-2.94%,-1.47%,0.00%,2.94%,DPUM
37,02-10-2025,69,69,66,68,1.045.500,71.094.000,0.00%,0.00%,-4.35%,-1.45%,0.00%,2.90%,DPUM
38,01-10-2025,68,69,67,69,675.500,46.609.500,1.49%,2.99%,0.00%,2.99%,1.47%,2.90%,DPUM
39,30-09-2025,67,71,67,67,5.981.200,400.740.400,0.00%,5.97%,0.00%,0.00%,5.97%,8.45%,DPUM
40,29-09-2025,65,70,65,67,6.419.900,430.133.300,-1.52%,6.06%,-1.52%,1.52%,7.69%,7.14%,DPUM
41,26-09-2025,67,68,65,66,3.605.400,237.956.400,0.00%,1.49%,-2.99%,-1.49%,1.49%,2.94%,DPUM
42,25-09-2025,69,69,66,67,1.529.700,102.489.900,1.47%,1.47%,-2.94%,-1.47%,0.00%,4.35%,DPUM
43,24-09-2025,68,69,66,68,3.853.400,262.031.200,1.49%,2.99%,-1.49%,1.49%,1.47%,4.35%,DPUM
44,23-09-2025,68,70,66,67,2.406.700,161.248.900,0.00%,2.94%,-2.94%,-1.47%,2.94%,7.14%,DPUM
45,22-09-2025,70,70,65,68,5.104.300,347.092.400,1.45%,1.45%,-5.80%,-1.45%,0.00%,2.86%,DPUM
46,19-09-2025,69,71,68,69,3.254.700,224.574.300,0.00%,2.90%,-1.45%,0.00%,2.90%,4.23%,DPUM
47,18-09-2025,70,71,68,69,5.664.900,390.878.100,0.00%,1.43%,-2.86%,-1.43%,1.43%,4.23%,DPUM
