col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DSNG
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DSNG
1,21-11-2025,1.680,1.710,1.670,1.695,18.884.700,32.009.566.500,0.60%,2.40%,0.00%,1.50%,1.79%,3.22%,DSNG
2,20-11-2025,1.680,1.755,1.655,1.670,28.017.600,46.789.392.000,0.30%,4.78%,-1.19%,-0.30%,4.46%,6.84%,DSNG
3,19-11-2025,1.640,1.680,1.635,1.675,22.324.900,37.394.207.500,0.61%,3.07%,0.31%,2.76%,2.44%,5.95%,DSNG
4,18-11-2025,1.595,1.645,1.580,1.630,31.809.100,51.848.833.000,-0.62%,2.49%,-1.56%,1.56%,3.13%,3.34%,DSNG
5,17-11-2025,1.605,1.615,1.590,1.605,17.713.000,28.429.365.000,0.00%,0.62%,-0.93%,0.00%,0.62%,1.55%,DSNG
6,14-11-2025,1.650,1.650,1.590,1.605,16.478.400,26.447.832.000,1.23%,1.23%,-2.45%,-1.53%,0.00%,1.52%,DSNG
7,13-11-2025,1.660,1.670,1.625,1.630,20.402.200,33.255.586.000,-0.60%,0.00%,-2.69%,-2.40%,0.60%,0.90%,DSNG
8,12-11-2025,1.680,1.695,1.655,1.670,20.352.100,33.988.007.000,0.00%,0.89%,-1.49%,-0.60%,0.89%,2.65%,DSNG
9,11-11-2025,1.700,1.705,1.650,1.680,25.343.400,42.576.912.000,0.59%,0.89%,-2.37%,-0.59%,0.29%,2.05%,DSNG
10,10-11-2025,1.760,1.760,1.670,1.690,26.887.900,45.440.551.000,0.00%,0.00%,-5.11%,-3.98%,0.00%,1.14%,DSNG
11,07-11-2025,1.820,1.825,1.740,1.760,24.499.700,43.119.472.000,0.28%,0.55%,-4.13%,-3.03%,0.27%,1.37%,DSNG
12,06-11-2025,1.895,1.950,1.800,1.815,38.498.600,69.874.959.000,4.70%,7.73%,-0.55%,0.28%,2.90%,13.59%,DSNG
13,05-11-2025,1.770,1.815,1.685,1.810,45.097.900,81.627.199.000,0.00%,2.54%,-4.80%,2.26%,2.54%,5.79%,DSNG
14,04-11-2025,1.785,1.835,1.710,1.770,30.516.700,54.014.559.000,0.28%,3.09%,-3.93%,-0.56%,2.80%,3.00%,DSNG
15,03-11-2025,1.885,1.895,1.780,1.780,25.847.400,46.008.372.000,0.00%,0.53%,-5.57%,-5.57%,0.53%,5.01%,DSNG
16,31-10-2025,1.845,1.910,1.800,1.885,30.174.700,56.879.309.500,0.27%,3.80%,-2.17%,2.45%,3.52%,9.42%,DSNG
17,30-10-2025,1.750,1.875,1.730,1.840,38.403.500,70.662.440.000,0.00%,7.14%,-1.14%,5.14%,7.14%,12.53%,DSNG
18,29-10-2025,1.640,1.750,1.640,1.750,35.689.300,62.456.275.000,0.00%,6.71%,0.00%,6.71%,6.71%,7.71%,DSNG
19,28-10-2025,1.685,1.695,1.615,1.640,32.235.400,52.866.056.000,2.12%,2.73%,-2.12%,-0.61%,0.59%,7.67%,DSNG
20,27-10-2025,1.725,1.740,1.565,1.650,31.334.700,51.702.255.000,0.00%,0.87%,-9.28%,-4.35%,0.87%,2.01%,DSNG
21,24-10-2025,1.850,1.875,1.705,1.725,48.882.900,84.323.002.500,-2.63%,-1.32%,-10.26%,-9.21%,1.35%,-0.27%,DSNG
22,23-10-2025,1.950,2.050,1.880,1.900,41.144.200,78.173.980.000,0.00%,5.13%,-3.59%,-2.56%,5.13%,12.20%,DSNG
23,22-10-2025,1.800,1.970,1.800,1.950,30.081.200,58.658.340.000,-2.96%,6.20%,-2.96%,5.12%,9.44%,9.64%,DSNG
24,21-10-2025,1.950,1.950,1.780,1.855,34.232.800,63.501.844.000,4.84%,4.84%,-4.30%,-0.27%,0.00%,9.23%,DSNG
