col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),DUTI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,DUTI
1,21-11-2025,4.350,4.350,4.300,4.300,500,2.150.000,-0.68%,-0.68%,-1.83%,-1.83%,0.00%,-0.69%,DUTI
2,20-11-2025,4.380,4.380,4.380,4.380,100,438.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,DUTI
3,19-11-2025,4.390,4.390,4.380,4.380,300,1.314.000,0.00%,0.00%,-0.23%,-0.23%,0.00%,0.00%,DUTI
4,18-11-2025,4.390,4.390,4.390,4.390,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,1.37%,DUTI
5,17-11-2025,4.330,4.390,4.330,4.390,1.900,8.341.000,0.00%,1.39%,0.00%,1.39%,1.39%,1.59%,DUTI
6,14-11-2025,4.330,4.330,4.320,4.330,2.200,9.526.000,0.00%,0.00%,-0.23%,0.00%,0.00%,0.00%,DUTI
7,13-11-2025,4.330,4.330,4.330,4.330,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,DUTI
8,12-11-2025,4.330,4.330,4.330,4.330,100,433.000,-1.59%,-1.59%,-1.59%,-1.59%,0.00%,0.92%,DUTI
9,11-11-2025,4.290,4.400,4.290,4.400,4.300,18.920.000,0.00%,2.56%,0.00%,2.56%,2.56%,2.50%,DUTI
10,10-11-2025,4.290,4.290,4.290,4.290,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,DUTI
11,07-11-2025,4.300,4.300,4.290,4.290,200,858.000,0.00%,0.00%,-0.23%,-0.23%,0.00%,2.33%,DUTI
12,06-11-2025,4.280,4.300,4.200,4.300,2.600,11.180.000,0.00%,0.47%,-1.87%,0.47%,0.47%,0.47%,DUTI
13,05-11-2025,4.350,4.350,4.280,4.280,1.400,5.992.000,0.93%,0.93%,-0.70%,-0.70%,0.00%,0.92%,DUTI
14,04-11-2025,4.310,4.310,4.310,4.310,100,431.000,-0.23%,-0.23%,-0.23%,-0.23%,0.00%,4.41%,DUTI
15,03-11-2025,4.360,4.360,4.120,4.320,2.800,12.096.000,0.00%,0.00%,-5.50%,-0.92%,0.00%,0.23%,DUTI
16,31-10-2025,4.350,4.360,4.350,4.360,14.000,61.040.000,0.46%,0.69%,0.46%,0.69%,0.23%,2.52%,DUTI
17,30-10-2025,4.320,4.330,4.250,4.330,700,3.031.000,-0.23%,0.00%,-1.85%,0.00%,0.23%,2.31%,DUTI
18,29-10-2025,4.230,4.330,4.230,4.330,6.600,28.578.000,-0.24%,2.12%,-0.24%,2.12%,2.36%,2.08%,DUTI
19,28-10-2025,4.320,4.320,4.240,4.240,800,3.392.000,1.89%,1.89%,0.00%,0.00%,0.00%,1.85%,DUTI
20,27-10-2025,4.250,4.340,4.240,4.240,13.700,58.088.000,0.24%,2.36%,0.00%,0.00%,2.12%,4.38%,DUTI
21,24-10-2025,4.150,4.300,4.150,4.240,5.200,22.048.000,-1.89%,1.65%,-1.89%,0.24%,3.61%,3.72%,DUTI
