col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),EPMT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,EPMT
1,21-11-2025,2.350,2.350,2.320,2.340,13.600,31.824.000,0.43%,0.43%,-0.85%,0.00%,0.00%,0.85%,EPMT
2,20-11-2025,2.340,2.350,2.330,2.340,5.500,12.870.000,-0.43%,0.00%,-0.85%,-0.43%,0.43%,0.43%,EPMT
3,19-11-2025,2.340,2.350,2.340,2.350,9.100,21.385.000,-0.43%,0.00%,-0.43%,0.00%,0.43%,0.43%,EPMT
4,18-11-2025,2.340,2.350,2.340,2.350,400,940.000,-0.43%,0.00%,-0.43%,0.00%,0.43%,0.85%,EPMT
5,17-11-2025,2.340,2.350,2.330,2.350,40.100,94.235.000,-0.43%,0.00%,-0.85%,0.00%,0.43%,0.85%,EPMT
6,14-11-2025,2.330,2.350,2.330,2.350,5.700,13.395.000,-0.43%,0.43%,-0.43%,0.43%,0.86%,0.85%,EPMT
7,13-11-2025,2.350,2.350,2.330,2.340,8.900,20.826.000,0.43%,0.43%,-0.43%,0.00%,0.00%,0.85%,EPMT
8,12-11-2025,2.340,2.350,2.330,2.340,4.200,9.828.000,0.00%,0.43%,-0.43%,0.00%,0.43%,0.85%,EPMT
9,11-11-2025,2.340,2.350,2.330,2.340,5.700,13.338.000,-0.43%,0.00%,-0.85%,-0.43%,0.43%,0.43%,EPMT
10,10-11-2025,2.350,2.350,2.340,2.350,12.000,28.200.000,0.00%,0.00%,-0.43%,0.00%,0.00%,0.00%,EPMT
11,07-11-2025,2.370,2.390,2.350,2.350,6.100,14.335.000,0.00%,0.84%,-0.84%,-0.84%,0.84%,2.09%,EPMT
12,06-11-2025,2.340,2.380,2.340,2.370,6.300,14.931.000,0.00%,1.71%,0.00%,1.28%,1.71%,3.36%,EPMT
13,05-11-2025,2.350,2.350,2.300,2.340,55.400,129.636.000,0.00%,0.00%,-2.13%,-0.43%,0.00%,0.85%,EPMT
14,04-11-2025,2.350,2.350,2.330,2.350,26.300,61.805.000,0.43%,0.43%,-0.43%,0.43%,0.00%,1.28%,EPMT
15,03-11-2025,2.320,2.350,2.320,2.340,45.300,106.002.000,0.00%,1.29%,0.00%,0.86%,1.29%,1.70%,EPMT
16,31-10-2025,2.340,2.340,2.310,2.320,36.200,83.984.000,0.43%,0.43%,-0.86%,-0.43%,0.00%,0.85%,EPMT
17,30-10-2025,2.340,2.340,2.320,2.330,26.100,60.813.000,0.86%,0.86%,0.00%,0.43%,0.00%,1.71%,EPMT
18,29-10-2025,2.320,2.350,2.300,2.320,95.100,220.632.000,0.00%,1.29%,-0.86%,0.00%,1.29%,2.13%,EPMT
19,28-10-2025,2.300,2.320,2.300,2.320,45.500,105.560.000,0.44%,1.31%,0.44%,1.31%,0.87%,1.29%,EPMT
20,27-10-2025,2.310,2.310,2.290,2.290,32.700,74.883.000,1.32%,1.32%,0.44%,0.44%,0.00%,1.30%,EPMT
21,24-10-2025,2.300,2.310,2.280,2.280,15.600,35.568.000,0.44%,0.87%,-0.44%,-0.44%,0.43%,2.16%,EPMT
22,23-10-2025,2.270,2.300,2.260,2.290,17.400,39.846.000,-0.87%,0.44%,-1.31%,0.00%,1.32%,1.30%,EPMT
23,22-10-2025,2.300,2.300,2.270,2.290,1.200,2.748.000,1.32%,1.32%,0.00%,0.88%,0.00%,1.30%,EPMT
24,21-10-2025,2.290,2.290,2.270,2.270,6.200,14.074.000,1.33%,1.33%,0.44%,0.44%,0.00%,2.18%,EPMT
25,20-10-2025,2.240,2.300,2.240,2.260,27.200,61.472.000,-0.88%,1.77%,-0.88%,0.00%,2.68%,2.17%,EPMT
