col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ERTX
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ERTX
1,21-11-2025,171,175,171,173,604.000,104.492.000,0.59%,2.94%,0.59%,1.76%,2.34%,2.86%,ERTX
2,20-11-2025,172,174,170,170,353.600,60.112.000,-0.58%,0.58%,-1.73%,-1.73%,1.16%,3.45%,ERTX
3,19-11-2025,173,174,168,173,708.800,122.622.400,0.00%,0.58%,-2.89%,0.00%,0.58%,1.72%,ERTX
4,18-11-2025,174,174,171,173,450.100,77.867.300,0.58%,0.58%,-1.16%,0.00%,0.00%,0.57%,ERTX
5,17-11-2025,173,177,173,173,231.800,40.101.400,-0.57%,1.72%,-0.57%,-0.57%,2.31%,2.26%,ERTX
6,14-11-2025,179,183,173,174,549.600,95.630.400,1.13%,3.39%,-2.26%,-1.69%,2.23%,5.46%,ERTX
7,13-11-2025,174,187,173,177,3.261.700,577.320.900,1.16%,8.72%,0.58%,2.91%,7.47%,8.02%,ERTX
8,12-11-2025,173,175,172,172,425.100,73.117.200,0.00%,1.16%,-0.58%,-0.58%,1.16%,1.14%,ERTX
9,11-11-2025,176,176,173,173,845.900,146.340.700,0.00%,0.00%,-1.70%,-1.70%,0.00%,1.14%,ERTX
10,10-11-2025,178,179,174,176,761.800,134.076.800,0.00%,0.56%,-2.25%,-1.12%,0.56%,1.12%,ERTX
11,07-11-2025,179,184,177,178,1.805.900,321.450.200,1.70%,4.55%,0.57%,1.14%,2.79%,5.98%,ERTX
12,06-11-2025,174,181,173,176,1.982.100,348.849.600,1.16%,5.23%,0.58%,2.33%,4.02%,6.08%,ERTX
13,05-11-2025,170,193,170,172,9.728.500,1.673.302.000,0.59%,14.20%,0.59%,1.78%,13.53%,13.47%,ERTX
14,04-11-2025,171,173,167,169,658.000,111.202.000,0.00%,1.17%,-2.34%,-1.17%,1.17%,3.47%,ERTX
15,03-11-2025,170,187,167,171,4.006.600,685.128.600,1.19%,11.31%,-0.60%,1.79%,10.00%,13.90%,ERTX
16,31-10-2025,173,175,161,168,1.858.900,312.295.200,0.00%,1.16%,-6.94%,-2.89%,1.16%,2.86%,ERTX
17,30-10-2025,172,175,170,173,400.000,69.200.000,-0.58%,1.16%,-1.73%,0.00%,1.74%,3.43%,ERTX
18,29-10-2025,174,178,169,173,957.200,165.595.600,1.16%,3.49%,-1.74%,0.58%,2.30%,3.93%,ERTX
19,28-10-2025,172,194,171,172,4.794.400,824.636.800,1.18%,14.12%,0.59%,1.18%,12.79%,14.43%,ERTX
20,27-10-2025,179,184,166,170,2.649.000,450.330.000,0.56%,3.37%,-6.74%,-4.49%,2.79%,3.26%,ERTX
21,24-10-2025,184,185,178,178,1.912.000,340.336.000,0.00%,0.54%,-3.26%,-3.26%,0.54%,3.24%,ERTX
22,23-10-2025,183,192,179,184,2.362.500,434.700.000,3.39%,8.47%,1.13%,3.95%,4.92%,7.81%,ERTX
23,22-10-2025,184,184,177,177,987.800,174.840.600,0.55%,0.55%,-3.28%,-3.28%,0.00%,2.17%,ERTX
24,21-10-2025,185,187,180,183,1.518.300,277.848.900,0.00%,1.08%,-2.70%,-1.08%,1.08%,4.28%,ERTX
25,20-10-2025,184,194,179,185,2.708.900,501.146.500,0.00%,5.43%,-2.72%,0.54%,5.43%,7.73%,ERTX
26,17-10-2025,183,195,179,184,4.209.700,774.584.800,-2.66%,3.72%,-4.79%,-2.13%,6.56%,4.10%,ERTX
27,16-10-2025,187,218,187,188,15.662.400,2.944.531.200,0.54%,17.20%,0.54%,1.08%,16.58%,16.97%,ERTX
28,15-10-2025,191,195,181,186,4.796.400,892.130.400,0.00%,2.09%,-5.24%,-2.62%,2.09%,9.74%,ERTX
29,14-10-2025,194,194,176,191,3.561.600,680.265.600,0.00%,0.00%,-9.28%,-1.55%,0.00%,12.37%,ERTX
30,13-10-2025,198,199,170,194,6.415.700,1.244.645.800,3.13%,3.65%,-11.46%,1.04%,0.51%,5.53%,ERTX
31,10-10-2025,226,246,188,192,49.028.200,9.413.414.400,15.90%,26.15%,-3.59%,-1.54%,8.85%,41.06%,ERTX
32,09-10-2025,145,195,145,195,61.968.900,12.083.935.500,0.00%,34.48%,0.00%,34.48%,34.48%,25.64%,ERTX
33,08-10-2025,153,154,145,145,1.512.400,219.298.000,0.00%,0.65%,-5.23%,-5.23%,0.65%,3.25%,ERTX
34,07-10-2025,152,158,149,153,2.276.300,348.273.900,0.00%,3.95%,-1.97%,0.66%,3.95%,8.86%,ERTX
35,06-10-2025,154,154,144,152,2.661.500,404.548.000,0.00%,0.00%,-6.49%,-1.30%,0.00%,2.60%,ERTX
36,03-10-2025,158,161,150,154,2.140.200,329.590.800,0.00%,1.90%,-5.06%,-2.53%,1.90%,6.21%,ERTX
37,02-10-2025,168,184,151,158,11.800.300,1.864.447.400,-0.59%,8.88%,-10.65%,-6.51%,9.52%,12.50%,ERTX
38,01-10-2025,230,230,161,169,53.995.700,9.125.273.300,34.50%,34.50%,-5.85%,-1.17%,0.00%,45.65%,ERTX
39,30-09-2025,127,171,125,171,61.732.100,10.556.189.100,0.00%,34.65%,-1.57%,34.65%,34.65%,28.65%,ERTX
