col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ESSA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ESSA
1,21-11-2025,645,645,615,630,41.142.200,25.919.586.000,-0.77%,-0.77%,-5.38%,-3.08%,0.00%,0.78%,ESSA
2,20-11-2025,675,680,640,650,60.543.300,39.353.145.000,0.75%,1.49%,-4.48%,-2.99%,0.74%,3.68%,ESSA
3,19-11-2025,665,675,655,670,33.069.000,22.156.230.000,0.00%,1.50%,-1.50%,0.75%,1.50%,2.22%,ESSA
4,18-11-2025,690,690,660,665,37.894.600,25.199.909.000,-0.72%,-0.72%,-5.04%,-4.32%,0.00%,1.45%,ESSA
5,17-11-2025,690,710,680,695,61.239.600,42.561.522.000,1.47%,4.41%,0.00%,2.21%,2.90%,7.75%,ESSA
6,14-11-2025,655,710,655,680,123.988.600,84.312.248.000,0.00%,8.40%,0.00%,3.82%,8.40%,7.75%,ESSA
7,13-11-2025,660,670,655,655,24.976.800,16.359.804.000,-0.75%,0.75%,-1.50%,-1.50%,1.52%,1.49%,ESSA
8,12-11-2025,680,685,660,665,31.589.400,21.006.951.000,1.49%,2.24%,-1.49%,-0.75%,0.74%,3.65%,ESSA
9,11-11-2025,675,690,660,670,54.563.400,36.557.478.000,1.50%,3.76%,-0.75%,0.75%,2.22%,4.35%,ESSA
10,10-11-2025,665,680,660,665,67.998.900,45.219.268.500,1.53%,3.82%,0.76%,1.53%,2.26%,7.35%,ESSA
11,07-11-2025,630,670,630,655,119.524.200,78.288.351.000,0.80%,7.20%,0.80%,4.80%,6.35%,8.21%,ESSA
12,06-11-2025,615,640,615,625,48.452.000,30.282.500.000,0.00%,4.07%,0.00%,1.63%,4.07%,5.47%,ESSA
13,05-11-2025,620,630,605,615,14.435.600,8.877.894.000,0.81%,2.44%,-1.63%,0.00%,1.61%,2.38%,ESSA
14,04-11-2025,635,640,615,615,23.638.000,14.537.370.000,0.79%,1.59%,-2.38%,-2.38%,0.79%,3.91%,ESSA
15,03-11-2025,615,635,615,630,25.860.100,16.291.863.000,0.00%,3.25%,0.00%,2.44%,3.25%,3.94%,ESSA
16,31-10-2025,630,635,610,615,20.869.300,12.834.619.500,0.00%,0.79%,-3.17%,-2.38%,0.79%,4.72%,ESSA
17,30-10-2025,610,635,605,630,53.914.400,33.966.072.000,0.00%,4.10%,-0.82%,3.28%,4.10%,7.09%,ESSA
18,29-10-2025,595,615,590,610,34.479.200,21.032.312.000,0.85%,4.24%,0.00%,3.39%,3.36%,4.88%,ESSA
19,28-10-2025,590,605,585,590,25.430.200,15.003.818.000,0.00%,2.54%,-0.85%,0.00%,2.54%,4.13%,ESSA
20,27-10-2025,610,615,580,590,50.112.700,29.566.493.000,0.00%,0.82%,-4.92%,-3.28%,0.82%,1.63%,ESSA
21,24-10-2025,605,620,605,610,18.532.000,11.304.520.000,0.00%,2.48%,0.00%,0.83%,2.48%,4.03%,ESSA
22,23-10-2025,600,620,595,605,25.992.900,15.725.704.500,-0.83%,2.48%,-1.65%,0.00%,3.33%,2.42%,ESSA
23,22-10-2025,625,630,605,605,24.015.600,14.529.438.000,1.63%,2.44%,-1.63%,-1.63%,0.80%,4.76%,ESSA
24,21-10-2025,605,625,600,615,44.523.600,27.382.014.000,0.83%,4.17%,0.00%,2.50%,3.31%,5.60%,ESSA
25,20-10-2025,595,605,590,600,33.899.000,20.339.400.000,0.85%,2.54%,0.00%,1.69%,1.68%,3.31%,ESSA
26,17-10-2025,605,610,585,590,40.294.600,23.773.814.000,0.00%,0.83%,-3.31%,-2.48%,0.83%,1.64%,ESSA
27,16-10-2025,600,620,600,605,25.275.000,15.291.375.000,-0.83%,2.48%,-0.83%,0.00%,3.33%,3.23%,ESSA
28,15-10-2025,625,630,600,605,55.825.900,33.774.669.500,0.00%,0.80%,-4.00%,-3.20%,0.80%,1.59%,ESSA
29,14-10-2025,665,675,620,625,104.043.500,65.027.187.500,0.76%,2.27%,-6.06%,-5.30%,1.50%,3.70%,ESSA
30,13-10-2025,680,685,650,660,91.735.100,60.545.166.000,-1.45%,-0.72%,-5.80%,-4.35%,0.74%,0.00%,ESSA
31,10-10-2025,705,715,685,690,34.097.500,23.527.275.000,0.71%,2.14%,-2.14%,-1.43%,1.42%,2.80%,ESSA
32,09-10-2025,745,745,695,700,70.247.200,49.173.040.000,3.47%,3.47%,-3.47%,-2.78%,0.00%,10.07%,ESSA
33,08-10-2025,695,720,670,720,80.170.800,57.722.976.000,0.00%,3.60%,-3.60%,3.60%,3.60%,4.17%,ESSA
34,07-10-2025,720,725,690,695,58.486.500,40.648.117.500,0.00%,0.69%,-4.17%,-3.47%,0.69%,3.45%,ESSA
35,06-10-2025,715,730,700,720,50.910.400,36.655.488.000,0.00%,2.10%,-2.10%,0.70%,2.10%,3.42%,ESSA
36,03-10-2025,725,740,705,715,49.188.000,35.169.420.000,0.69%,2.78%,-2.08%,-0.69%,2.07%,3.38%,ESSA
37,02-10-2025,745,750,715,720,63.340.800,45.605.376.000,0.00%,0.67%,-4.03%,-3.36%,0.67%,10.67%,ESSA
38,01-10-2025,700,765,670,745,182.298.500,135.812.382.500,0.00%,9.29%,-4.29%,6.43%,9.29%,9.80%,ESSA
39,30-09-2025,705,765,690,700,251.594.600,176.116.220.000,0.00%,8.51%,-2.13%,-0.71%,8.51%,14.38%,ESSA
40,29-09-2025,660,710,655,705,124.514.700,87.782.863.500,1.54%,9.23%,0.77%,8.46%,7.58%,9.15%,ESSA
41,26-09-2025,670,675,645,650,38.240.800,24.856.520.000,0.00%,0.75%,-3.73%,-2.99%,0.75%,8.15%,ESSA
42,25-09-2025,625,685,620,670,131.150.800,87.871.036.000,0.81%,10.48%,0.00%,8.06%,9.60%,10.22%,ESSA
43,24-09-2025,640,640,615,620,34.831.400,21.595.468.000,0.79%,0.79%,-3.15%,-2.36%,0.00%,3.13%,ESSA
44,23-09-2025,630,640,620,635,38.735.300,24.596.915.500,0.00%,1.59%,-1.59%,0.79%,1.59%,2.34%,ESSA
45,22-09-2025,640,650,625,630,35.618.000,22.439.340.000,0.79%,2.36%,-1.57%,-0.79%,1.56%,4.62%,ESSA
46,19-09-2025,635,645,620,635,62.637.100,39.774.558.500,0.00%,1.57%,-2.36%,0.00%,1.57%,1.55%,ESSA
47,18-09-2025,665,670,635,635,41.644.900,26.444.511.500,0.76%,1.52%,-3.79%,-3.79%,0.75%,2.99%,ESSA
48,17-09-2025,660,685,650,660,56.621.500,37.370.190.000,0.76%,4.58%,-0.76%,0.76%,3.79%,5.84%,ESSA
49,16-09-2025,660,680,645,655,66.526.600,43.574.923.000,0.00%,3.03%,-2.27%,-0.76%,3.03%,3.68%,ESSA
50,15-09-2025,690,690,655,660,66.123.500,43.641.510.000,1.47%,1.47%,-3.68%,-2.94%,0.00%,5.07%,ESSA
51,12-09-2025,685,690,655,680,106.700.300,72.556.204.000,0.00%,0.73%,-4.38%,-0.73%,0.73%,9.42%,ESSA
52,11-09-2025,640,685,625,685,271.358.900,185.880.846.500,4.92%,12.30%,2.46%,12.30%,7.03%,11.68%,ESSA
53,10-09-2025,625,630,605,610,22.529.500,13.742.995.000,0.00%,0.80%,-3.20%,-2.40%,0.80%,5.56%,ESSA
54,09-09-2025,605,630,595,625,71.167.300,44.479.562.500,0.00%,4.13%,-1.65%,3.31%,4.13%,3.97%,ESSA
55,08-09-2025,610,650,605,605,163.516.300,98.927.361.500,0.83%,7.44%,0.00%,0.00%,6.56%,10.00%,ESSA
56,04-09-2025,595,625,585,605,106.629.600,64.510.908.000,0.85%,5.93%,-0.85%,2.54%,5.04%,8.00%,ESSA
57,03-09-2025,575,600,575,590,35.664.700,21.042.173.000,0.00%,4.35%,0.00%,2.61%,4.35%,6.67%,ESSA
58,02-09-2025,560,580,560,575,21.653.500,12.450.762.500,0.00%,3.57%,0.00%,2.68%,3.57%,9.48%,ESSA
59,01-09-2025,545,565,525,560,23.558.500,13.192.760.000,-3.54%,0.00%,-7.08%,-0.88%,3.67%,2.65%,ESSA
60,29-08-2025,575,580,550,565,56.838.400,32.113.696.000,-0.86%,0.00%,-5.17%,-2.59%,0.87%,0.86%,ESSA
61,28-08-2025,590,595,575,580,23.220.200,13.467.716.000,0.00%,0.85%,-2.54%,-1.69%,0.85%,3.36%,ESSA
62,27-08-2025,575,600,575,590,31.395.200,18.523.168.000,0.00%,4.35%,0.00%,2.61%,4.35%,5.00%,ESSA
63,26-08-2025,580,585,570,575,26.093.400,15.003.705.000,0.87%,1.74%,-0.87%,0.00%,0.86%,1.71%,ESSA
64,25-08-2025,585,590,575,575,33.015.600,18.983.970.000,0.00%,0.85%,-1.71%,-1.71%,0.85%,1.69%,ESSA
65,22-08-2025,585,590,580,585,13.223.700,7.735.864.500,0.00%,0.85%,-0.85%,0.00%,0.85%,1.69%,ESSA
66,21-08-2025,595,595,580,585,22.810.200,13.343.967.000,0.85%,0.85%,-1.69%,-0.85%,0.00%,2.52%,ESSA
67,20-08-2025,585,590,580,590,20.721.500,12.225.685.000,0.00%,0.85%,-0.85%,0.85%,0.85%,2.54%,ESSA
68,19-08-2025,575,585,575,585,24.558.600,14.366.781.000,0.00%,1.74%,0.00%,1.74%,1.74%,2.56%,ESSA
69,15-08-2025,590,595,570,575,27.211.300,15.646.497.500,0.85%,1.71%,-2.56%,-1.71%,0.85%,2.52%,ESSA
70,14-08-2025,590,595,580,585,17.156.400,10.036.494.000,0.85%,1.71%,-0.85%,0.00%,0.85%,2.52%,ESSA
71,13-08-2025,595,610,580,585,38.535.500,22.543.267.500,0.85%,3.39%,-1.69%,-0.85%,2.52%,3.28%,ESSA
72,12-08-2025,595,605,590,590,21.189.500,12.501.805.000,0.00%,1.68%,-0.84%,-0.84%,1.68%,2.48%,ESSA
73,11-08-2025,600,605,590,595,18.614.700,11.075.746.500,0.00%,0.83%,-1.67%,-0.83%,0.83%,0.83%,ESSA
74,08-08-2025,620,620,600,600,25.854.600,15.512.760.000,0.00%,0.00%,-3.23%,-3.23%,0.00%,3.23%,ESSA
75,07-08-2025,630,635,600,620,59.712.500,37.021.750.000,0.00%,0.79%,-4.76%,-1.59%,0.79%,1.57%,ESSA
76,06-08-2025,650,650,625,630,28.874.600,18.190.998.000,1.56%,1.56%,-2.34%,-1.56%,0.00%,4.62%,ESSA
77,05-08-2025,640,660,620,640,84.743.500,54.235.840.000,0.00%,3.13%,-3.13%,0.00%,3.13%,6.06%,ESSA
78,04-08-2025,635,660,620,640,106.297.200,68.030.208.000,0.00%,3.94%,-2.36%,0.79%,3.94%,6.06%,ESSA
79,01-08-2025,635,640,620,635,39.847.800,25.303.353.000,0.79%,1.59%,-1.59%,0.79%,0.79%,3.91%,ESSA
80,31-07-2025,635,640,615,630,42.335.200,26.671.176.000,0.00%,0.79%,-3.15%,-0.79%,0.79%,2.34%,ESSA
81,30-07-2025,630,655,625,635,97.197.100,61.720.158.500,0.80%,4.80%,0.00%,1.60%,3.97%,6.87%,ESSA
82,29-07-2025,620,630,610,625,33.667.700,21.042.312.500,0.00%,1.61%,-1.61%,0.81%,1.61%,3.97%,ESSA
83,28-07-2025,610,640,605,620,106.341.600,65.931.792.000,-3.94%,0.79%,-4.72%,-2.36%,4.92%,2.34%,ESSA
84,25-07-2025,625,660,625,635,180.849.600,114.839.496.000,0.81%,6.45%,0.81%,2.42%,5.60%,12.88%,ESSA
85,24-07-2025,575,640,575,620,260.484.400,161.500.328.000,0.88%,12.28%,0.88%,8.77%,11.30%,11.72%,ESSA
86,23-07-2025,580,585,565,570,33.147.700,18.894.189.000,0.87%,1.74%,-1.74%,-0.87%,0.86%,3.42%,ESSA
87,22-07-2025,575,585,565,575,43.863.600,25.221.570.000,0.00%,1.74%,-1.74%,0.00%,1.74%,2.56%,ESSA
88,21-07-2025,590,590,570,575,38.164.000,21.944.300.000,0.85%,0.85%,-2.56%,-1.71%,0.00%,1.69%,ESSA
89,18-07-2025,585,590,580,585,25.260.400,14.777.334.000,0.00%,0.85%,-0.85%,0.00%,0.85%,2.54%,ESSA
90,17-07-2025,585,590,575,585,19.525.800,11.422.593.000,0.00%,0.85%,-1.71%,0.00%,0.85%,2.54%,ESSA
91,16-07-2025,590,595,575,585,20.921.900,12.239.311.500,0.85%,1.71%,-1.71%,0.00%,0.85%,3.36%,ESSA
