col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),EURO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,EURO
1,21-11-2025,300,316,294,314,1.103.600,346.530.400,2.04%,7.48%,0.00%,6.80%,5.33%,6.96%,EURO
2,20-11-2025,294,304,294,294,459.000,134.946.000,0.00%,3.40%,0.00%,0.00%,3.40%,3.95%,EURO
3,19-11-2025,298,304,292,294,251.600,73.970.400,-0.67%,1.33%,-2.67%,-2.00%,2.01%,4.61%,EURO
4,18-11-2025,310,310,290,300,646.800,194.040.000,5.44%,5.44%,-1.36%,2.04%,0.00%,6.45%,EURO
5,17-11-2025,310,314,290,294,3.318.000,975.492.000,6.90%,8.28%,0.00%,1.38%,1.29%,10.83%,EURO
6,14-11-2025,282,310,280,290,5.643.200,1.636.528.000,0.00%,9.93%,-0.71%,2.84%,9.93%,14.19%,EURO
7,13-11-2025,280,298,266,282,10.292.100,2.902.372.200,1.45%,7.97%,-3.62%,2.17%,6.43%,8.05%,EURO
8,12-11-2025,290,310,274,276,771.300,212.878.800,-3.97%,2.65%,-9.27%,-8.61%,6.90%,3.23%,EURO
9,11-11-2025,314,314,300,302,382.300,115.454.600,1.29%,1.29%,-3.23%,-2.58%,0.00%,3.82%,EURO
10,10-11-2025,318,320,302,310,330.600,102.486.000,0.00%,0.63%,-5.03%,-2.52%,0.63%,3.13%,EURO
11,07-11-2025,324,332,310,318,249.000,79.182.000,0.00%,2.47%,-4.32%,-1.85%,2.47%,2.41%,EURO
12,06-11-2025,360,382,324,324,817.600,264.902.400,0.56%,6.70%,-9.50%,-9.50%,6.11%,8.38%,EURO
13,05-11-2025,358,364,350,358,75.100,26.885.800,0.00%,1.68%,-2.23%,0.00%,1.68%,6.59%,EURO
14,04-11-2025,340,362,340,358,55.400,19.833.200,-3.95%,2.26%,-3.95%,1.13%,6.47%,3.31%,EURO
15,03-11-2025,358,366,350,354,62.200,22.018.800,-0.56%,1.67%,-2.78%,-1.67%,2.23%,2.19%,EURO
16,31-10-2025,360,386,358,360,213.800,76.968.000,0.00%,7.22%,-0.56%,0.00%,7.22%,9.33%,EURO
17,30-10-2025,360,372,350,360,59.900,21.564.000,0.00%,3.33%,-2.78%,0.00%,3.33%,5.91%,EURO
18,29-10-2025,386,400,350,360,377.900,136.044.000,0.00%,3.63%,-9.33%,-6.74%,3.63%,3.50%,EURO
19,28-10-2025,428,428,386,386,406.600,156.947.600,0.00%,0.00%,-9.81%,-9.81%,0.00%,5.61%,EURO
20,27-10-2025,404,444,404,428,313.000,133.964.000,0.00%,9.90%,0.00%,5.94%,9.90%,9.01%,EURO
21,24-10-2025,440,440,404,404,239.000,96.556.000,5.26%,5.26%,-3.35%,-3.35%,0.00%,5.00%,EURO
22,23-10-2025,464,464,418,418,630.700,263.632.600,0.00%,0.00%,-9.91%,-9.91%,0.00%,0.00%,EURO
23,22-10-2025,515,515,464,464,389.000,180.496.000,0.00%,0.00%,-9.90%,-9.90%,0.00%,2.91%,EURO
24,21-10-2025,535,585,500,515,1.659.300,854.539.500,0.00%,9.35%,-6.54%,-3.74%,9.35%,8.55%,EURO
25,20-10-2025,535,535,535,535,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,EURO
26,17-10-2025,535,535,535,535,8.400,4.494.000,9.63%,9.63%,9.63%,9.63%,0.00%,14.02%,EURO
27,16-10-2025,460,488,460,488,32.100,15.664.800,3.60%,9.91%,3.60%,9.91%,6.09%,11.89%,EURO
28,15-10-2025,430,444,430,444,75.100,33.344.400,6.44%,9.90%,6.44%,9.90%,3.26%,14.41%,EURO
29,14-10-2025,380,404,380,404,194.800,78.699.200,3.26%,9.78%,3.26%,9.78%,6.32%,16.83%,EURO
30,13-10-2025,336,368,336,368,261.500,96.232.000,0.00%,9.52%,0.00%,9.52%,9.52%,18.48%,EURO
31,10-10-2025,310,340,300,336,499.600,167.865.600,0.00%,9.68%,-3.23%,8.39%,9.68%,13.53%,EURO
32,09-10-2025,298,316,294,310,38.700,11.997.000,-0.67%,5.33%,-2.00%,3.33%,6.04%,8.23%,EURO
